CHILDCODE	CHMVIDR5	YRMOVER5	MSMOVER5	WHRMVER5	LOCMVER5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPFMR5	MVOTRLR5	MVNONHR5	RSNMVR51
100022	1	2016	5	3	2	1	 	 	 	 	 	 	 	2
100026	1	2016	1	5	4	1	 	 	 	 	 	 	 	1
100074	1	2016	2	5	4	1	 	 	 	 	 	 	 	1
100076	1	2014	4	4	3	1	 	 	 	 	 	 	 	2
100077	1	2016	4	3	2	1	 	 	 	 	 	 	 	2
100084	1	2016	4	3	5	1	 	 	 	 	 	 	 	2
100095	1	2016	3	3	2	1	 	 	 	 	 	 	 	2
110027	1	2016	6	5	10	1	 	 	 	 	 	 	 	12
110033	1	2016	0	2	4	0	1	1	1	0	0	0	0	9
110033	2	2015	7	4	4	0	1	1	0	0	0	0	0	9
110038	1	 	 	 	 	 	 	 	 	 	 	 	 	 
110045	1	2016	0	5	4	0	0	1	0	0	0	0	0	5
110049	1	2015	12	3	2	1	 	 	 	 	 	 	 	1
110059	1	2016	2	2	4	1	 	 	 	 	 	 	 	1
110075	1	2016	2	2	5	1	 	 	 	 	 	 	 	1
110088	1	2013	10	4	2	0	1	1	0	0	0	0	0	15
110093	1	 	 	 	 	 	 	 	 	 	 	 	 	 
110094	1	2016	4	3	5	1	 	 	 	 	 	 	 	2
110099	1	2015	3	2	4	1	 	 	 	 	 	 	 	2
110115	1	2016	1	3	2	0	0	0	0	0	0	0	1	1
120020	1	2016	0	2	5	1	 	 	 	 	 	 	 	15
120022	1	2015	0	2	5	1	 	 	 	 	 	 	 	15
120034	1	 	 	 	 	 	 	 	 	 	 	 	 	 
120040	1	2016	0	5	5	0	0	1	1	0	0	0	0	1
120071	1	2014	34	3	3	0	1	0	1	0	0	0	0	7
120084	1	2013	29	2	5	1	 	 	 	 	 	 	 	2
120093	1	2016	6	2	4	1	 	 	 	 	 	 	 	15
120099	1	2014	33	4	4	0	1	0	1	0	0	1	0	8
120121	1	2016	1	5	4	1	 	 	 	 	 	 	 	1
120126	1	2013	39	2	5	1	 	 	 	 	 	 	 	2
120136	1	2016	0	2	4	0	1	0	0	1	0	0	0	12
120150	1	2016	6	5	10	0	0	0	0	0	0	0	1	1
130034	1	2014	32	2	10	0	1	1	1	0	0	0	0	12
130051	1	2015	18	2	4	1	 	 	 	 	 	 	 	15
130097	1	2014	1	5	1	0	1	1	1	0	0	0	0	15
140025	1	2016	1	2	4	0	0	0	0	0	1	0	0	15
140037	1	2016	0	2	4	0	1	1	1	0	0	0	0	15
140041	1	2016	2	2	4	1	 	 	 	 	 	 	 	15
140054	1	2014	0	5	5	0	1	1	0	0	0	0	0	5
140060	1	2016	4	3	5	1	 	 	 	 	 	 	 	1
