CHILDCODE	EDCHSTR5	ATSCR5	GRDER5	CMPGRDR5	SAMESCR5	TYSCR5	PROVR5	SCHNMER5
10082	2	1	8	1	1	 	 	 
10082	3	1	9	1	1	 	 	 
10082	4	1	10	4	0	3	1	182
10083	1	1	7	1	1	3	1	141
10083	2	1	8	1	1	 	 	 
10083	3	1	9	1	1	 	 	 
10083	4	1	10	4	0	3	1	184
10084	1	1	7	1	1	3	1	141
10084	2	1	8	1	1	 	 	 
10084	3	1	9	1	1	 	 	 
10084	4	1	10	4	0	1	1	184
10086	1	1	7	1	1	3	1	141
10086	2	1	8	1	1	 	 	 
10086	3	1	9	1	1	 	 	 
10086	4	1	10	4	0	3	1	182
10087	1	1	7	1	1	3	1	140
10087	2	1	8	1	1	 	 	 
10087	3	1	9	1	1	 	 	 
10087	4	1	10	4	0	3	1	184
10088	1	1	6	1	0	3	1	421
10088	2	1	7	1	1	 	 	 
10088	3	1	8	1	1	 	 	 
10088	4	1	9	4	1	 	 	 
10089	1	1	7	1	1	3	1	141
10089	2	1	8	1	1	 	 	 
10089	3	1	9	1	1	 	 	 
10089	4	0	 	 	 	 	 	 
10091	1	1	7	1	1	3	1	141
10091	2	1	8	1	1	 	 	 
10091	3	1	9	1	1	 	 	 
10091	4	1	10	4	0	3	1	184
10092	1	1	7	1	1	3	1	141
10092	2	1	8	1	1	 	 	 
10092	3	1	9	1	1	 	 	 
10092	4	0	 	 	 	 	 	 
10093	1	1	7	1	1	3	1	414
10093	2	1	7	1	1	 	 	 
10093	3	1	9	1	1	 	 	 
10093	4	1	10	4	1	 	 	 
10094	1	1	7	1	1	3	1	141
10094	2	1	8	1	1	 	 	 
10094	3	1	9	1	1	 	 	 
10094	4	1	10	4	0	3	1	191
10095	1	1	7	1	1	3	1	141
10095	2	1	8	1	1	 	 	 
10095	3	1	9	1	1	 	 	 
10095	4	1	10	4	0	3	1	189
10096	1	1	7	1	1	3	1	141
10096	2	1	8	1	1	 	 	 
10096	3	1	9	1	1	 	 	 
10096	4	1	10	4	0	3	1	1068
10097	1	1	7	1	1	3	1	141
10097	2	1	8	1	1	 	 	 
10097	3	1	9	1	1	 	 	 
10097	4	1	10	4	0	3	1	184
10100	1	1	7	1	1	3	1	141
10100	2	1	8	1	1	 	 	 
10100	3	1	9	1	1	 	 	 
10100	4	1	10	4	0	3	1	191
10104	1	1	7	1	1	3	1	141
10104	2	1	8	1	1	 	 	 
10104	3	1	9	1	1	 	 	 
10104	4	1	10	4	0	3	1	189
10109	1	1	7	1	1	3	1	141
10109	2	1	8	1	1	 	 	 
10109	3	1	9	1	1	 	 	 
10109	4	0	 	 	 	 	 	 
10118	1	1	7	1	1	3	1	141
10118	2	1	8	1	1	 	 	 
10118	3	1	9	1	1	 	 	 
10118	4	1	10	4	0	3	1	191
10121	1	1	7	1	1	3	1	141
