CHILDCODE	ACTIDR5	ACTR5	ACTOWNR5	ACTMTHR5	ACTDAYR5	ACTHRSR5	PYMRECR5	PDCASHR5	PDKINDR5	PDTIMER5	PDNMPCR5	KEEPMYR5
10003	1	6	2	3	26	10	1	700	 	4	 	2
10005	1	6	2	8	26	8	1	4000	 	4	 	0
10006	1	6	2	3	28	8	1	6000	 	4	 	2
10007	1	7	2	3	30	2	1	80	 	4	 	1
10029	1	2	1	12	30	1	0	 	 	 	 	 
10032	1	6	2	1	28	12	1	1500	 	4	 	1
10034	1	2	1	12	30	1	0	 	 	 	 	 
10037	1	1	1	2	20	4	0	 	 	 	 	 
10041	1	2	1	12	27	1	0	 	 	 	 	 
10043	1	7	2	2	25	8	1	1200	 	4	 	2
10049	1	7	2	2	10	8	3	200	0	3	 	1
10049	2	2	1	12	30	1	0	 	 	 	 	 
10050	1	2	1	12	25	1	0	 	 	 	 	 
10071	1	4	2	12	30	13	1	-77	 	4	 	0
10076	1	2	1	12	20	1	0	 	 	 	 	 
10076	2	3	1	12	28	1	0	 	 	 	 	 
10079	1	4	2	3	6	1	1	1000	 	4	 	2
10087	1	2	1	12	27	1	0	 	 	 	 	 
10087	2	7	2	2	25	9	1	1200	 	4	 	0
10088	1	2	1	12	25	1	0	 	 	 	 	 
10089	1	7	2	1	30	8	1	2000	 	4	 	0
10092	1	6	2	7	27	8	1	5400	 	4	 	2
10109	1	6	2	3	26	4	1	500	 	2	 	0
10140	1	7	2	5	20	7	1	500	 	4	 	2
20001	1	1	1	3	15	3	0	 	 	 	 	 
20001	2	2	1	12	28	1	0	 	 	 	 	 
20001	3	3	1	10	28	2	0	 	 	 	 	 
20002	1	2	1	12	30	4	0	 	 	 	 	 
20002	2	1	1	12	24	3	0	 	 	 	 	 
20003	1	7	2	1	20	8	1	200	 	2	 	2
20004	1	2	1	12	28	2	0	 	 	 	 	 
20004	2	1	1	12	28	3	0	 	 	 	 	 
20005	1	1	1	12	7	3	0	 	 	 	 	 
20005	2	2	1	12	30	2	0	 	 	 	 	 
20007	1	2	1	12	25	1	0	 	 	 	 	 
20008	1	1	1	12	30	4	0	 	 	 	 	 
20008	2	2	1	12	30	2	0	 	 	 	 	 
20009	1	2	1	12	30	2	0	 	 	 	 	 
20010	1	2	1	12	8	1	0	 	 	 	 	 
20011	1	4	2	6	30	12	1	2000	 	4	 	2
20011	2	2	1	6	30	3	0	 	 	 	 	 
20012	1	2	1	12	28	2	0	 	 	 	 	 
20012	2	1	1	12	27	3	0	 	 	 	 	 
20013	1	2	1	12	30	2	0	 	 	 	 	 
20016	1	2	1	12	28	2	0	 	 	 	 	 
20018	1	2	1	12	30	2	0	 	 	 	 	 
20019	1	3	1	12	15	2	0	 	 	 	 	 
20019	2	1	1	12	20	2	0	 	 	 	 	 
20019	3	2	1	12	26	2	0	 	 	 	 	 
20020	1	2	1	12	8	2	0	 	 	 	 	 
20021	1	2	1	12	30	1	0	 	 	 	 	 
20022	1	2	1	12	8	2	0	 	 	 	 	 
20023	1	2	1	12	24	1	0	 	 	 	 	 
20023	2	3	1	12	26	1	0	 	 	 	 	 
20024	1	4	1	12	15	3	0	 	 	 	 	 
20025	1	1	1	12	6	2	1	10	 	2	 	1
20025	2	2	1	12	20	2	0	 	 	 	 	 
20026	1	2	1	12	6	2	0	 	 	 	 	 
20027	1	2	1	12	16	2	0	 	 	 	 	 
20028	1	1	1	12	30	2	0	 	 	 	 	 
20028	2	2	1	12	20	2	0	 	 	 	 	 
20029	1	2	1	12	4	4	0	 	 	 	 	 
20032	1	5	1	12	20	2	0	 	 	 	 	 
20033	1	2	1	12	28	2	0	 	 	 	 	 
20033	2	1	1	8	16	2	0	 	 	 	 	 
20035	1	4	1	12	30	2	0	 	 	 	 	 
20035	2	2	1	12	30	1	0	 	 	 	 	 
20036	1	2	1	12	28	2	0	 	 	 	 	 
20037	1	1	1	12	2	2	0	 	 	 	 	 
20038	1	3	1	12	30	6	0	 	 	 	 	 
20038	2	2	1	12	27	2	0	 	 	 	 	 
20039	1	2	1	12	26	2	0	 	 	 	 	 
20041	1	2	1	12	30	2	0	 	 	 	 	 
20041	2	1	1	12	30	1	0	 	 	 	 	 
20043	1	2	1	12	20	1	0	 	 	 	 	 
20044	1	4	1	1	30	2	1	300	 	4	 	2
20044	2	2	1	12	30	1	0	 	 	 	 	 
20046	1	2	1	12	28	2	0	 	 	 	 	 
20046	2	1	1	6	12	2	0	 	 	 	 	 
20047	1	2	1	12	30	2	1	20	 	3	 	1
20047	2	1	1	12	16	2	0	 	 	 	 	 
20048	1	2	1	12	28	2	0	 	 	 	 	 
20048	2	3	1	7	20	1	0	 	 	 	 	 
20050	1	1	1	12	30	1	0	 	 	 	 	 
20050	2	2	1	12	30	1	0	 	 	 	 	 
20052	1	4	1	12	30	3	1	200	 	4	 	1
20052	2	2	1	12	30	1	0	 	 	 	 	 
20053	1	2	1	12	30	2	0	 	 	 	 	 
20053	2	1	1	3	20	3	0	 	 	 	 	 
20054	1	6	2	12	28	7	1	3500	 	4	 	2
20054	2	2	1	12	25	2	0	 	 	 	 	 
20055	1	7	2	4	25	6	1	3500	 	4	 	2
20055	2	2	1	8	30	2	0	 	 	 	 	 
20056	1	2	1	12	25	1	0	 	 	 	 	 
20056	2	3	1	12	22	1	0	 	 	 	 	 
20057	1	2	1	12	30	2	0	 	 	 	 	 
20060	1	2	1	12	28	2	0	 	 	 	 	 
20060	2	3	1	12	29	3	0	 	 	 	 	 
20060	3	6	2	2	28	6	1	2200	 	4	 	2
20061	1	1	1	10	10	4	0	 	 	 	 	 
20061	2	2	1	12	28	2	0	 	 	 	 	 
20063	1	2	1	12	30	2	0	 	 	 	 	 
20064	1	2	1	12	20	2	0	 	 	 	 	 
20064	2	1	1	3	20	2	0	 	 	 	 	 
20065	1	1	1	6	25	2	0	 	 	 	 	 
20065	2	2	1	12	28	3	0	 	 	 	 	 
20065	3	3	1	8	24	2	0	 	 	 	 	 
20066	1	2	1	12	24	2	0	 	 	 	 	 
20066	2	3	1	12	20	1	0	 	 	 	 	 
20066	3	7	2	2	30	10	1	400	 	4	 	2
20067	1	2	1	11	30	2	0	 	 	 	 	 
20067	2	4	2	1	30	10	1	1500	 	4	 	0
20068	1	2	1	12	30	2	0	 	 	 	 	 
20068	2	1	1	7	20	3	0	 	 	 	 	 
20069	1	3	1	12	25	2	0	 	 	 	 	 
20069	2	2	1	12	22	1	0	 	 	 	 	 
20070	1	2	1	12	27	4	0	 	 	 	 	 
20070	2	3	1	12	20	3	0	 	 	 	 	 
20073	1	2	1	12	30	2	0	 	 	 	 	 
20075	1	2	1	12	30	3	0	 	 	 	 	 
20077	1	2	1	12	30	2	0	 	 	 	 	 
20077	2	5	1	1	20	2	1	35	 	2	 	1
20078	1	1	1	12	28	3	0	 	 	 	 	 
20078	2	2	1	12	27	2	0	 	 	 	 	 
20079	1	2	1	12	30	2	0	 	 	 	 	 
20079	2	1	1	12	25	1	0	 	 	 	 	 
20080	1	2	1	12	30	2	0	 	 	 	 	 
20080	2	1	1	12	22	3	0	 	 	 	 	 
20081	1	2	1	12	25	2	0	 	 	 	 	 
20081	2	1	1	12	20	1	0	 	 	 	 	 
20083	1	2	1	12	30	1	0	 	 	 	 	 
20083	2	1	1	12	30	5	0	 	 	 	 	 
20084	1	4	2	6	28	15	1	1800	 	4	 	2
20084	2	2	1	6	30	2	0	 	 	 	 	 
20086	1	2	1	12	10	2	0	 	 	 	 	 
20086	2	1	1	2	30	5	1	10	 	2	 	1
20087	1	2	1	12	30	2	0	 	 	 	 	 
20087	2	4	2	1	30	11	1	2500	 	4	 	2
20088	1	2	1	12	25	1	0	 	 	 	 	 
20089	1	2	1	12	30	2	0	 	 	 	 	 
20089	2	1	1	12	24	2	0	 	 	 	 	 
20090	1	2	1	12	28	3	0	 	 	 	 	 
20091	1	6	2	5	26	8	1	4000	 	4	 	2
20092	1	4	1	12	4	2	0	 	 	 	 	 
20094	1	6	2	6	25	8	1	1400	 	3	 	2
20095	1	2	1	12	30	3	0	 	 	 	 	 
20096	1	3	1	2	20	8	1	150	 	4	 	1
20096	2	2	1	2	30	1	0	 	 	 	 	 
20097	1	6	2	6	26	8	1	140	 	2	 	2
20097	2	2	1	12	20	2	0	 	 	 	 	 
20098	1	2	1	12	25	1	0	 	 	 	 	 
20098	2	5	1	12	8	1	0	 	 	 	 	 
20099	1	6	2	12	25	11	1	8500	 	4	 	1
20100	1	2	1	12	27	2	0	 	 	 	 	 
20105	1	2	1	12	30	2	0	 	 	 	 	 
20106	1	4	2	4	28	11	1	3000	 	4	 	2
20106	2	2	1	3	20	1	0	 	 	 	 	 
20106	3	7	2	12	7	3	0	 	 	 	 	 
20108	1	2	1	12	15	2	0	 	 	 	 	 
20110	1	2	1	12	25	1	0	 	 	 	 	 
20110	2	1	1	3	20	4	0	 	 	 	 	 
20112	1	1	1	12	8	3	0	 	 	 	 	 
20112	2	2	1	12	30	2	0	 	 	 	 	 
20113	1	2	1	12	10	2	0	 	 	 	 	 
20113	2	1	1	12	6	3	0	 	 	 	 	 
20114	1	2	1	12	24	2	0	 	 	 	 	 
20117	1	1	1	12	20	2	0	 	 	 	 	 
20117	2	2	1	12	25	2	0	 	 	 	 	 
20117	3	4	2	6	30	7	1	1000	 	4	 	2
20118	1	2	1	12	30	2	0	 	 	 	 	 
