CHILDCODE	MOVEIDR4	YRMOVER4	MTHSTYR4	WHMOVER4	TYPKEBR4	RSNMVR41	RSNMVR42	KNWANYR4	KNWBSTR4
11002	1	2011	30	3	1	12	88	0	 
11004	1	2012	0	3	5	1	88	0	 
11006	1	2012	18	2	1	12	88	0	 
11019	1	2011	24	2	1	22	23	1	4
11021	1	2012	12	3	4	1	88	1	2
11022	1	2010	3	3	3	5	88	1	5
11024	1	2012	15	2	1	12	88	0	 
11031	1	2010	36	2	1	23	88	0	 
11036	1	2011	26	3	4	5	88	0	 
11038	1	2013	6	1	4	12	88	1	4
11040	1	2012	2	3	3	5	88	1	4
11043	1	2010	10	3	3	5	88	1	5
11043	2	2011	10	3	3	5	88	1	5
11043	3	2012	10	4	6	5	88	0	 
11043	4	2013	7	4	6	5	88	0	 
11044	1	2011	36	3	1	12	88	1	4
11046	1	2011	36	3	2	5	88	1	2
11048	1	2013	5	2	1	12	88	1	4
21002	1	2012	2	3	1	12	88	0	 
21005	1	2012	2	1	1	5	88	1	2
21006	1	2011	26	1	1	5	88	1	5
21008	1	2012	24	2	2	5	88	0	 
21024	1	 	 	 	 	 	 	 	 
21027	1	2011	2	2	2	5	88	0	 
21029	1	2013	2	2	1	6	88	0	 
21033	1	2010	45	3	1	12	88	1	4
21034	1	2011	37	3	1	12	88	0	 
21035	1	2010	30	3	1	12	23	1	4
21040	1	2010	3	3	4	5	88	0	 
21040	2	2011	2	3	4	5	88	0	 
21040	3	2012	2	3	3	5	88	0	 
21040	4	2013	26	3	4	5	88	0	 
21042	1	2010	33	2	1	12	88	0	 
21045	1	2012	12	2	1	1	12	1	3
21047	1	2012	16	4	8	1	88	0	 
21048	1	2012	18	3	6	1	88	1	4
21050	1	2012	16	2	1	10	19	1	2
31002	1	2013	5	3	3	5	88	0	 
31002	2	2012	3	3	3	5	88	0	 
31002	3	2011	2	3	3	5	88	0	 
31006	1	2012	8	3	4	23	88	1	4
31006	2	2013	11	3	3	35	88	1	4
31007	1	2012	5	4	7	5	88	0	 
31007	2	2013	6	4	7	5	88	0	 
31012	1	2012	4	3	5	5	88	0	 
31012	2	2012	3	3	5	5	88	0	 
31012	3	2012	2	3	5	5	88	0	 
31013	1	2013	4	3	3	5	88	0	 
31013	2	2012	6	3	3	5	88	0	 
31013	3	2011	6	3	4	5	88	1	4
31013	4	2010	3	3	4	5	88	1	4
31013	5	2010	2	3	4	5	88	1	4
31014	1	2013	5	3	4	1	88	1	4
31014	2	2012	4	3	4	1	88	1	4
31014	3	2012	3	3	4	1	88	1	4
31018	1	2011	5	3	4	5	88	0	 
31018	2	2010	3	3	4	5	88	0	 
31019	1	2012	0	3	4	5	88	0	 
31020	1	2013	2	2	2	1	88	0	 
31023	1	2012	3	3	5	5	88	0	 
31023	2	2013	2	3	5	5	88	0	 
31024	1	2010	11	3	5	1	88	1	4
31031	1	2012	2	2	2	14	37	1	2
31033	1	2013	4	3	2	5	88	0	 
31033	2	2012	2	3	2	5	88	0	 
31033	3	2012	4	3	2	5	88	0	 
31033	4	2011	7	3	2	5	88	0	 
31033	5	2010	3	3	2	5	88	0	 
31035	1	2009	6	3	5	1	88	1	4
31035	2	2009	4	3	5	1	88	1	4
31035	3	2010	5	3	5	1	88	1	4
31035	4	2010	4	3	5	1	88	1	4
31038	1	2012	2	3	5	5	88	1	4
31038	2	2013	2	3	5	5	88	1	4
31039	1	2012	2	3	2	8	88	1	2
31039	2	2013	2	3	3	38	88	1	88
31040	1	2010	5	3	4	5	88	1	5
31040	2	2010	3	3	4	5	88	1	5
31040	3	2011	4	3	4	5	88	1	4
31040	4	2011	4	3	4	5	88	1	5
31040	5	2012	6	3	4	5	88	1	5
31040	6	2012	4	4	7	5	88	1	4
31040	7	2013	5	4	7	5	88	1	4
31041	1	2012	2	3	3	38	88	0	 
31041	2	2013	2	3	2	23	88	0	 
31043	1	2013	6	3	4	5	88	0	 
31043	2	2012	5	3	4	5	88	0	 
31043	3	2012	4	3	4	5	88	0	 
31050	1	2013	7	2	2	12	88	1	4
41001	1	2013	7	3	1	1	88	1	4
41002	1	2009	8	1	1	5	88	0	 
41002	2	2010	8	1	1	5	88	0	 
41002	3	2011	8	1	1	5	88	0	 
41002	4	2012	8	2	4	5	88	0	 
41002	6	2013	6	2	2	5	88	0	 
41003	1	2010	27	2	1	12	88	1	4
41005	1	2013	6	2	4	5	88	1	5
41006	1	2009	50	1	2	5	88	1	5
41009	1	2012	12	3	1	1	88	1	5
41011	1	2012	20	1	1	12	88	1	4
41012	1	2011	26	3	5	5	88	0	 
41013	1	2011	26	1	1	5	88	0	 
41015	1	2011	19	3	3	1	88	0	 
41017	1	2010	10	2	2	5	88	0	 
41017	2	2011	10	2	2	5	88	0	 
41017	3	2012	10	2	2	5	88	0	 
41017	4	2013	7	3	2	5	88	0	 
41018	1	2011	28	1	2	5	88	0	 
41019	1	2009	20	1	1	5	88	0	 
41022	1	2010	8	1	1	5	88	0	 
41022	2	2011	8	1	1	5	88	0	 
41022	3	2012	8	1	1	5	88	0	 
41022	4	2013	6	1	1	5	88	0	 
41025	1	2010	36	1	1	5	88	0	 
41026	1	2011	4	1	1	6	88	0	 
41028	1	2011	18	3	4	5	88	0	 
41029	1	2011	27	3	4	5	88	0	 
41034	1	2013	3	3	4	5	88	1	4
