CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTDYMTR4	ACTWEKR4	ACTDAYHR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
41001	2	7	1	7	30	 	 	10	1	4500	 	4	 	1	5
41002	1	1	6	6	3	 	 	4	0	 	 	 	 	1	6
41003	1	1	6	10	4	 	 	8	0	 	 	 	 	1	10
41006	1	1	6	8	25	 	 	8	0	 	 	 	 	1	4
41006	2	5	3	3	20	 	 	8	1	200	 	2	 	1	4
41007	1	1	6	2	4	 	 	6	0	 	 	 	 	1	3
41007	2	5	3	1	5	 	 	8	1	30	 	2	 	1	2
41009	1	13	1	12	28	 	 	8	1	5000	 	4	 	1	12
41011	1	5	3	6	10	 	 	9	1	100	 	2	 	1	5
41011	2	1	2	6	25	 	 	8	0	 	 	 	 	1	6
41013	1	1	6	8	5	 	 	4	0	 	 	 	 	1	8
41014	1	2	2	2	5	 	 	6	0	 	 	 	 	0	2
41014	2	4	2	2	4	 	 	6	0	 	 	 	 	0	2
41015	1	13	1	12	30	 	 	8	1	7000	 	4	 	1	12
41020	1	1	2	3	10	 	 	6	0	 	 	 	 	1	3
41020	2	12	4	2	10	 	 	5	1	100	 	2	 	1	2
41022	1	1	6	4	3	 	 	3	0	 	 	 	 	1	4
41023	1	5	6	10	12	 	 	6	1	100	 	2	 	1	10
41023	2	2	6	4	10	 	 	4	0	 	 	 	 	1	4
41023	3	12	7	6	16	 	 	5	1	9600	 	3	 	1	6
41025	1	2	2	3	6	 	 	6	0	 	 	 	 	0	3
41026	1	2	2	6	20	 	 	6	0	 	 	 	 	1	6
41026	2	2	3	6	15	 	 	8	1	100	 	2	 	1	6
41033	1	12	3	3	20	 	 	8	1	300	 	2	 	0	3
41037	1	12	3	12	18	 	 	9	1	5400	 	4	 	1	12
41042	1	11	3	12	7	 	 	1	0	 	 	 	 	1	12
41048	1	13	1	6	30	 	 	8	1	6000	 	4	 	1	12
41049	1	13	1	10	15	 	 	2	1	4500	 	4	 	1	10
41049	2	9	6	12	10	 	 	3	0	 	 	 	 	1	12
51005	1	13	1	12	25	 	 	12	1	5000	 	4	 	1	12
51006	1	13	3	7	30	 	 	6	1	35000	 	4	 	1	12
51006	2	1	6	2	10	 	 	2	0	 	 	 	 	1	2
51006	3	1	3	1	5	 	 	2	0	 	 	 	 	1	1
51010	1	1	6	1	3	 	 	8	0	 	 	 	 	0	0
51010	2	9	6	3	30	 	 	6	1	750	 	4	 	0	0
51013	1	2	2	5	18	 	 	3	0	 	 	 	 	1	5
51013	2	12	1	6	25	 	 	11	1	150	 	2	 	1	6
51014	1	12	3	12	25	 	 	8	1	325	 	2	 	1	12
51015	1	9	6	12	25	 	 	7	1	250	 	2	 	1	11
51016	1	1	6	5	15	 	 	2	0	 	 	 	 	1	6
51018	1	10	6	12	25	 	 	2	0	 	 	 	 	0	12
51019	1	13	2	12	29	 	 	12	1	72000	 	4	 	1	5
51021	1	11	2	11	30	 	 	11	1	30000	 	5	 	1	12
