CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTDYMTR4	ACTWEKR4	ACTDAYHR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
121040	1	5	1	5	16	 	 	7	1	8000	 	2	 	1	5
121041	1	5	3	8	20	 	 	8	1	40000	 	2	 	1	12
121041	2	1	6	4	15	 	 	5	0	 	 	 	 	1	4
121042	1	12	4	12	16	 	 	8	1	76800	 	2	 	1	12
121043	1	5	3	6	20	 	 	8	3	12000	2400	2	 	1	10
121044	1	1	6	4	20	 	 	6	0	 	 	 	 	1	4
121047	1	1	6	8	15	 	 	6	0	 	 	 	 	1	8
121050	1	1	6	4	8	 	 	4	0	 	 	 	 	1	4
131002	1	13	3	10	25	 	 	10	1	40000	 	4	 	1	12
131002	2	13	1	8	25	 	 	8	1	24000	 	4	 	0	0
131003	1	13	1	12	28	 	 	8	1	5500	 	4	 	1	11
131003	2	13	1	8	26	 	 	10	1	4000	 	4	 	0	0
131005	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
131006	1	5	3	5	6	 	 	8	1	3000	 	2	 	1	3
131006	2	1	3	3	4	 	 	7	0	 	 	 	 	1	4
131013	1	1	6	2	15	 	 	7	0	 	 	 	 	0	2
131014	1	1	6	2	20	 	 	6	0	 	 	 	 	0	2
131017	1	13	1	3	30	 	 	8	1	7000	 	4	 	1	11
131017	2	13	1	6	26	 	 	8	1	5500	 	4	 	0	0
131017	3	12	3	3	25	 	 	9	1	600	 	2	 	0	0
131018	1	13	1	6	25	 	 	8	1	6000	 	4	 	1	12
131018	2	13	7	12	26	 	 	8	3	5000	1500	4	 	0	0
131019	1	13	1	3	26	 	 	8	1	12000	 	4	 	1	12
131019	2	5	3	6	15	 	 	8	1	9000	 	2	 	0	0
131020	1	13	3	12	30	 	 	12	3	24000	12000	5	 	1	12
131022	1	13	7	12	30	 	 	14	3	60000	36000	4	 	1	12
131023	1	13	3	11	28	 	 	14	1	3000	 	4	 	1	11
131024	1	1	3	4	7	 	 	7	0	 	 	 	 	1	4
131025	1	13	1	12	26	 	 	10	3	60000	8400	4	 	1	12
131026	1	1	6	5	10	 	 	3	0	 	 	 	 	1	4
131027	1	10	6	12	26	 	 	5	5	100	0	3	 	1	12
131028	1	13	3	8	26	 	 	10	3	4500	2500	4	 	1	12
131029	1	4	6	12	30	 	 	9	0	 	 	 	 	1	12
131030	1	1	6	8	25	 	 	7	0	 	 	 	 	1	8
131030	2	5	3	4	20	 	 	8	3	16000	3200	2	 	1	4
131031	1	12	3	8	29	 	 	9	1	20000	 	4	 	1	11
131031	2	10	6	4	20	 	 	5	0	 	 	 	 	0	0
131032	1	13	1	4	30	 	 	8	1	16000	 	4	 	0	0
131032	2	13	4	1	26	 	 	8	1	4000	 	4	 	1	12
131034	1	4	6	2	25	 	 	10	0	 	 	 	 	1	2
131034	2	1	6	4	5	 	 	2	0	 	 	 	 	1	4
131034	3	12	5	1	2	 	 	4	1	200	 	2	 	0	2
131035	1	19	3	6	20	 	 	10	1	300	 	2	 	1	4
131035	2	1	6	6	10	 	 	5	0	 	 	 	 	0	0
131036	1	9	7	8	25	 	 	3	1	8000	 	4	 	0	0
131036	2	13	3	3	25	 	 	8	1	6000	 	4	 	1	12
131037	1	1	6	4	4	 	 	9	0	 	 	 	 	0	4
131037	2	11	3	2	20	 	 	8	0	 	 	 	 	0	2
131038	1	5	3	6	15	 	 	8	1	13500	 	2	 	1	6
131038	2	1	6	4	15	 	 	8	0	 	 	 	 	1	4
131039	1	13	4	8	24	 	 	7	1	80000	 	4	 	1	12
131042	1	2	6	6	5	 	 	2	0	 	 	 	 	1	6
131043	1	13	1	6	26	 	 	9	1	84000	 	4	 	1	6
131046	1	1	6	4	20	 	 	7	0	 	 	 	 	1	4
131046	2	10	6	2	25	 	 	8	0	 	 	 	 	1	2
131047	1	12	3	5	15	 	 	10	1	7500	 	4	 	1	12
131048	1	13	1	12	26	 	 	8	1	60000	 	4	 	1	12
131049	1	4	6	12	25	 	 	12	0	 	 	 	 	1	12
141009	1	10	2	4	20	 	 	5	1	10000	 	4	 	1	4
141017	1	10	2	12	25	 	 	8	1	300000	 	4	 	1	12
141021	1	13	1	3	27	 	 	10	1	9000	 	4	 	1	0
141031	1	13	3	12	30	 	 	10	1	3000	 	4	 	0	0
141034	1	19	3	12	26	 	 	8	1	3000	 	4	 	1	12
141038	1	9	2	8	25	 	 	8	1	48000	 	4	 	1	12
141040	1	19	3	4	26	 	 	9	1	4000	 	4	 	1	5
151003	1	1	2	12	20	 	 	5	1	132000	 	5	 	1	12
151005	1	5	3	8	25	 	 	8	1	100	 	2	 	1	8
151005	2	1	3	4	15	 	 	6	0	 	 	 	 	1	3
151006	1	5	3	12	4	 	 	8	1	9600	 	2	 	1	6
151006	2	12	3	12	10	 	 	8	1	24000	 	2	 	1	12
151010	1	10	2	12	30	 	 	2	0	 	 	 	 	1	12
151013	1	13	3	12	28	 	 	11	1	3000	 	4	 	1	11
151017	1	1	3	7	5	 	 	8	0	 	 	 	 	0	0
151019	1	1	2	2	20	 	 	4	0	 	 	 	 	1	2
151019	2	19	2	2	20	 	 	5	1	4000	 	4	 	1	2
151021	1	1	6	8	10	 	 	7	0	 	 	 	 	1	10
151021	2	5	3	10	3	 	 	7	1	6000	 	2	 	1	10
151022	1	19	2	2	30	 	 	5	1	12000	 	2	 	1	10
151022	2	5	2	2	10	 	 	4	1	3000	 	2	 	0	2
151023	1	1	2	2	20	 	 	4	0	 	 	 	 	1	2
151025	1	1	6	7	10	 	 	6	0	 	 	 	 	1	8
151025	2	5	3	8	10	 	 	7	1	12000	 	2	 	1	8
151025	3	12	3	6	10	 	 	6	1	10000	 	2	 	1	4
151026	1	9	2	12	15	 	 	8	1	96000	 	4	 	1	12
151029	1	1	6	10	16	 	 	8	0	 	 	 	 	1	10
151029	2	7	3	10	14	 	 	8	1	14000	 	2	 	1	10
151031	1	4	2	12	26	 	 	10	1	76000	 	5	 	1	12
151034	1	1	3	8	20	 	 	7	0	 	 	 	 	1	8
151034	2	5	3	7	10	 	 	8	1	100	 	2	 	1	7
151035	1	1	2	6	8	 	 	8	1	150	 	2	 	0	4
151035	2	9	3	2	30	 	 	6	1	4000	 	4	 	1	12
151037	1	10	2	12	30	 	 	10	1	30000	 	4	 	1	12
151039	1	1	6	6	8	 	 	6	0	 	 	 	 	1	6
151039	2	12	5	4	9	 	 	4	1	6480	 	3	 	1	3
151039	3	12	3	4	5	 	 	7	1	3000	 	2	 	1	6
151042	1	1	2	7	10	 	 	5	0	 	 	 	 	1	8
151042	2	5	3	8	8	 	 	7	1	12000	 	2	 	1	7
151042	3	12	3	3	10	 	 	7	1	6000	 	2	 	1	6
151043	1	19	3	12	30	 	 	8	1	60000	 	4	 	1	12
151043	2	1	2	6	8	 	 	3	0	 	 	 	 	1	4
151045	1	1	3	3	4	 	 	8	0	 	 	 	 	0	2
151047	1	1	2	10	15	 	 	4	1	48000	 	5	 	1	10
151048	1	12	3	10	10	 	 	8	1	20000	 	3	 	1	12
151048	2	5	3	10	5	 	 	5	1	5000	 	2	 	1	10
151049	1	19	3	12	30	 	 	8	1	48000	 	4	 	1	12
161002	1	9	1	4	30	 	 	6	1	4000	 	4	 	1	6
161004	1	13	1	6	28	 	 	8	1	4000	 	4	 	0	0
161005	1	10	3	12	25	 	 	11	0	 	 	 	 	1	10
161006	1	10	3	10	28	 	 	6	0	 	 	 	 	1	12
161007	1	19	2	12	25	 	 	10	1	36000	 	4	 	1	12
161012	1	5	3	6	20	 	 	8	1	120	 	2	 	1	6
161013	1	1	2	1	20	 	 	4	0	 	 	 	 	1	2
161016	1	1	2	2	10	 	 	4	0	 	 	 	 	1	2
161018	1	1	3	10	25	 	 	9	0	 	 	 	 	1	7
161019	1	5	3	11	4	 	 	8	1	100	 	2	 	1	10
161021	1	2	6	6	20	 	 	2	0	 	 	 	 	1	12
161021	2	4	2	12	23	 	 	2	0	 	 	 	 	1	12
161021	3	5	3	4	5	 	 	6	1	2000	 	2	 	1	5
161022	1	1	3	4	12	 	 	6	0	 	 	 	 	0	4
161023	1	5	2	10	26	 	 	9	1	42000	 	2	 	1	6
161024	1	1	6	8	20	 	 	8	0	 	 	 	 	1	8
161024	2	5	3	4	8	 	 	8	1	120	 	2	 	1	3
161025	1	1	2	2	30	 	 	4	1	1000	 	5	 	1	2
161026	1	1	3	6	15	 	 	7	0	 	 	 	 	1	6
161026	2	10	3	12	30	 	 	6	0	 	 	 	 	1	12
161026	3	4	3	3	6	 	 	2	0	 	 	 	 	1	3
161027	1	1	3	3	10	 	 	8	0	 	 	 	 	1	8
161028	1	1	2	2	20	 	 	5	0	 	 	 	 	0	2
161029	1	1	2	5	20	 	 	2	0	 	 	 	 	1	4
161033	1	1	2	3	20	 	 	2	0	 	 	 	 	1	3
161036	1	1	6	10	23	 	 	8	0	 	 	 	 	1	10
161036	2	5	3	10	7	 	 	8	1	7000	 	2	 	1	10
161038	1	19	2	12	25	 	 	10	1	60000	 	5	 	1	12
161041	1	1	6	2	16	 	 	6	0	 	 	 	 	1	2
161044	1	19	2	1	30	 	 	8	1	4500	 	4	 	1	12
161050	1	7	3	7	22	 	 	9	1	20000	 	2	 	1	8
171002	1	10	6	12	20	 	 	6	1	60	 	6	2	1	12
171005	1	13	3	11	30	 	 	10	1	5000	 	4	 	1	12
171005	2	1	6	1	5	 	 	5	0	 	 	 	 	0	1
171006	1	1	6	2	15	 	 	2	0	 	 	 	 	1	2
171007	1	12	3	1	20	 	 	8	1	120	 	2	 	0	1
171007	2	1	3	1	15	 	 	9	5	500	0	3	 	0	2
171008	1	1	6	8	4	 	 	8	1	100	 	7	 	1	3
171008	2	11	6	1	2	 	 	6	0	 	 	 	 	0	2
171009	1	5	3	8	15	 	 	7	1	100	 	2	 	1	6
171009	2	1	3	8	7	 	 	7	0	 	 	 	 	1	4
171009	3	12	5	1	24	 	 	6	1	91	 	2	 	1	2
171010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
171011	1	1	6	8	10	 	 	6	0	 	 	 	 	1	6
171011	2	12	1	2	25	 	 	8	1	6000	 	4	 	0	6
171012	1	12	3	10	30	 	 	12	1	200	 	2	 	0	0
171012	2	12	3	2	30	 	 	12	0	 	 	 	 	1	0
171013	1	1	6	6	20	 	 	8	0	 	 	 	 	1	2
171014	1	1	3	8	4	 	 	8	0	 	 	 	 	1	3
171016	1	12	3	7	22	 	 	8	1	140	 	2	 	1	3
171017	1	12	1	10	15	 	 	11	1	19500	 	4	 	1	9
171017	2	1	3	4	3	 	 	6	0	 	 	 	 	1	2
171018	1	13	1	9	20	 	 	10	1	2500	 	4	 	1	12
171019	1	12	1	3	25	 	 	8	1	180	 	2	 	0	3
171019	2	1	6	5	5	 	 	6	0	 	 	 	 	1	5
171021	1	13	3	5	30	 	 	8	1	8000	 	4	 	1	12
171021	2	1	3	2	6	 	 	4	0	 	 	 	 	1	2
171022	1	1	6	12	15	 	 	7	0	 	 	 	 	1	10
171022	2	5	3	10	10	 	 	8	1	150	 	2	 	1	10
171022	3	11	6	10	8	 	 	3	1	60	 	6	3	1	10
171023	1	5	3	1	2	 	 	6	1	125	 	2	 	0	2
171024	1	5	3	3	26	 	 	8	1	120	 	2	 	0	3
171024	2	10	6	3	15	 	 	5	1	60	 	6	3	1	3
171024	3	1	3	2	10	 	 	8	0	 	 	 	 	1	2
171025	1	1	6	5	5	 	 	6	0	 	 	 	 	1	2
171025	2	5	3	4	5	 	 	8	1	200	 	2	 	0	4
171026	1	4	6	12	25	 	 	4	0	 	 	 	 	1	12
171027	1	12	1	3	15	 	 	8	1	250	 	2	 	1	2
171027	2	1	6	1	4	 	 	6	0	 	 	 	 	0	3
171029	1	13	4	12	30	 	 	5	1	1200	 	4	 	1	12
171029	2	1	6	6	10	 	 	8	0	 	 	 	 	1	4
171032	1	9	6	11	25	 	 	7	0	 	 	 	 	1	12
171033	1	1	6	12	18	 	 	8	0	 	 	 	 	1	12
171033	2	5	3	12	8	 	 	8	1	160	 	2	 	1	12
171035	1	11	6	2	20	 	 	8	0	 	 	 	 	0	2
171036	1	12	1	8	30	 	 	12	1	140	 	2	 	1	12
171036	2	5	3	3	10	 	 	8	1	60	 	2	 	0	0
171038	1	1	3	4	15	 	 	8	0	 	 	 	 	1	3
171038	2	12	5	1	6	 	 	7	1	100	 	2	 	0	2
171040	1	1	6	3	20	 	 	7	0	 	 	 	 	0	3
171042	1	1	6	3	15	 	 	7	0	 	 	 	 	1	3
171045	1	1	3	5	5	 	 	8	0	 	 	 	 	1	4
171045	2	5	3	4	4	 	 	8	1	100	 	2	 	1	4
171045	3	12	4	2	20	 	 	5	1	120	 	2	 	0	2
171046	1	1	3	6	14	 	 	8	0	 	 	 	 	0	6
171046	2	9	3	12	4	 	 	6	1	100	 	6	2	1	12
171047	1	12	1	8	25	 	 	8	1	220	 	2	 	1	6
171048	1	1	6	2	10	 	 	4	0	 	 	 	 	1	2
171048	2	12	1	2	25	 	 	9	1	220	 	2	 	0	2
171049	1	10	3	10	25	 	 	5	1	150	 	2	 	1	12
171049	2	1	6	12	5	 	 	8	0	 	 	 	 	0	0
171050	1	1	3	10	1	 	 	2	0	 	 	 	 	1	8
181001	1	1	6	1	5	 	 	5	0	 	 	 	 	1	1
181002	1	5	3	8	20	 	 	9	1	100	 	2	 	1	6
181002	2	1	6	4	10	 	 	8	0	 	 	 	 	1	5
181003	1	5	3	5	15	 	 	8	1	100	 	2	 	1	5
181003	2	10	6	3	5	 	 	8	1	100	 	6	2	1	5
181004	1	13	1	4	4	 	 	12	1	3000	 	4	 	1	4
181004	2	1	6	5	15	 	 	3	0	 	 	 	 	1	5
181007	1	1	3	5	12	 	 	8	1	150	 	2	 	1	4
181007	2	4	3	5	12	 	 	5	0	 	 	 	 	1	4
181007	3	12	5	3	12	 	 	6	1	110	 	4	 	0	3
181008	1	13	3	8	25	 	 	12	1	4000	 	4	 	1	12
181010	1	1	6	3	13	 	 	8	0	 	 	 	 	1	5
181011	1	13	3	12	30	 	 	10	1	6000	 	4	 	1	12
181011	2	1	6	1	15	 	 	6	0	 	 	 	 	0	2
181012	1	13	3	12	30	 	 	8	1	9000	 	4	 	1	12
181013	1	13	3	10	4	 	 	10	1	8000	 	4	 	1	12
181013	2	1	6	1	3	 	 	7	0	 	 	 	 	1	2
181014	1	13	1	4	25	 	 	10	1	7500	 	4	 	1	12
181014	2	1	6	3	15	 	 	8	0	 	 	 	 	0	3
181016	1	5	3	5	15	 	 	8	1	120	 	2	 	0	0
181016	2	19	3	2	7	 	 	6	0	 	 	 	 	1	6
181017	1	12	3	11	28	 	 	9	1	250	 	2	 	1	11
181018	1	12	3	4	25	 	 	10	1	100	 	2	 	0	0
181019	1	1	6	10	20	 	 	8	0	 	 	 	 	1	10
181020	1	13	1	10	22	 	 	10	1	7000	 	4	 	1	12
181020	2	1	6	2	27	 	 	10	0	 	 	 	 	0	2
181023	1	1	6	8	20	 	 	3	0	 	 	 	 	1	8
181024	1	1	6	4	15	 	 	10	0	 	 	 	 	1	4
181024	2	12	1	4	20	 	 	10	1	200	 	2	 	1	6
181025	1	1	6	4	20	 	 	11	0	 	 	 	 	1	0
181025	2	5	3	2	10	 	 	8	1	200	 	2	 	1	0
181025	3	12	3	4	20	 	 	8	1	200	 	2	 	0	0
181026	1	1	6	9	10	 	 	7	0	 	 	 	 	1	9
181026	2	4	7	11	20	 	 	6	0	 	 	 	 	1	11
181027	1	5	3	5	20	 	 	8	1	150	 	2	 	1	6
181027	2	1	6	2	10	 	 	8	0	 	 	 	 	1	2
181028	1	12	1	8	20	 	 	8	1	250	 	2	 	1	7
181028	2	1	6	4	15	 	 	4	0	 	 	 	 	1	5
181029	1	1	6	8	15	 	 	6	0	 	 	 	 	1	8
181029	2	4	7	10	8	 	 	10	0	 	 	 	 	1	10
181029	3	5	3	2	5	 	 	8	1	150	 	2	 	1	2
181030	1	4	7	10	23	 	 	8	0	 	 	 	 	1	10
181030	2	1	6	2	10	 	 	8	0	 	 	 	 	1	2
181031	1	1	6	6	10	 	 	2	0	 	 	 	 	1	6
181032	1	4	7	10	25	 	 	7	0	 	 	 	 	1	10
181032	2	1	6	6	20	 	 	3	0	 	 	 	 	1	11
181035	1	13	3	5	20	 	 	8	1	4500	 	4	 	1	10
181036	1	1	6	3	10	 	 	10	1	600	 	4	 	0	1
181036	2	13	1	1	25	 	 	8	1	2000	 	4	 	1	9
181037	1	5	3	4	23	 	 	8	1	150	 	2	 	0	0
181037	2	1	6	1	20	 	 	8	0	 	 	 	 	0	0
181038	1	1	6	9	20	 	 	8	0	 	 	 	 	1	8
181038	2	12	5	2	15	 	 	7	1	120	 	3	 	1	2
181039	1	1	6	4	6	 	 	6	0	 	 	 	 	1	5
181040	1	1	6	10	29	 	 	9	0	 	 	 	 	1	12
181040	2	5	3	1	21	 	 	8	1	2100	 	2	 	1	1
181040	3	12	3	1	7	 	 	5	1	700	 	2	 	0	1
181041	1	1	6	6	20	 	 	8	0	 	 	 	 	1	3
181041	2	5	3	4	6	 	 	8	1	150	 	2	 	1	3
181044	1	5	3	6	20	 	 	8	1	150	 	2	 	1	5
181045	1	12	1	9	28	 	 	12	1	3500	 	4	 	0	0
181045	2	10	3	3	30	 	 	10	1	400	 	2	 	1	12
181046	1	13	1	12	30	 	 	5	1	1400	 	4	 	1	12
181047	1	13	3	1	30	 	 	11	3	1000	1000	4	 	1	6
181049	1	1	3	1	24	 	 	8	0	 	 	 	 	1	1
181049	2	5	3	1	15	 	 	8	1	100	 	2	 	1	0
191001	1	5	3	4	28	 	 	8	1	200	 	2	 	1	2
191003	1	1	6	6	30	 	 	10	0	 	 	 	 	1	6
191003	2	5	3	3	25	 	 	9	1	200	 	2	 	1	4
191004	1	1	6	4	27	 	 	10	0	 	 	 	 	1	4
191004	2	12	1	4	22	 	 	8	1	200	 	2	 	1	4
191004	3	5	3	2	20	 	 	8	1	150	 	2	 	1	2
191005	1	1	6	10	28	 	 	10	0	 	 	 	 	1	12
191005	2	10	3	3	25	 	 	10	1	500	 	2	 	1	3
191006	1	1	6	4	20	 	 	9	0	 	 	 	 	0	12
191006	2	5	3	2	5	 	 	9	1	200	 	2	 	0	3
191007	1	1	6	4	20	 	 	2	0	 	 	 	 	1	4
191008	1	1	6	4	27	 	 	6	0	 	 	 	 	1	8
191008	2	5	3	4	20	 	 	7	1	200	 	2	 	1	6
191008	3	12	1	5	20	 	 	7	1	200	 	2	 	1	3
191011	1	5	3	6	22	 	 	9	1	150	 	2	 	1	6
191011	2	12	3	6	23	 	 	9	1	200	 	2	 	1	6
191012	1	4	7	12	30	 	 	12	0	 	 	 	 	1	12
191013	1	1	6	6	25	 	 	10	0	 	 	 	 	1	7
191013	2	5	3	3	20	 	 	9	1	200	 	2	 	1	3
191013	3	12	1	4	25	 	 	7	1	100	 	2	 	0	2
191014	1	13	3	12	20	 	 	2	1	800	 	4	 	1	12
191014	2	1	6	1	20	 	 	8	0	 	 	 	 	0	0
191014	3	5	3	1	3	 	 	8	1	150	 	2	 	0	0
191015	1	1	6	4	20	 	 	8	0	 	 	 	 	1	1
191016	1	1	6	1	30	 	 	11	0	 	 	 	 	0	1
191017	1	13	1	11	20	 	 	8	1	6000	 	4	 	1	11
191018	1	13	1	6	25	 	 	12	1	5000	 	4	 	0	0
191018	2	13	3	1	30	 	 	9	1	4000	 	4	 	1	12
191019	1	10	6	6	15	 	 	5	1	50	 	6	4	1	12
191020	1	12	3	11	25	 	 	9	1	550	 	2	 	1	11
191021	1	12	3	6	20	 	 	7	1	150	 	2	 	1	6
191021	2	1	6	4	10	 	 	9	0	 	 	 	 	1	4
191023	1	1	6	12	20	 	 	6	0	 	 	 	 	1	10
191023	2	12	3	10	10	 	 	7	1	250	 	2	 	1	10
191024	1	1	6	6	20	 	 	8	0	 	 	 	 	1	1
191024	2	12	5	1	20	 	 	5	1	70	 	2	 	0	0
191025	1	1	6	7	18	 	 	8	0	 	 	 	 	1	10
191025	2	5	3	7	10	 	 	8	1	150	 	2	 	1	12
191026	1	4	6	10	25	 	 	6	0	 	 	 	 	0	0
191027	1	1	6	4	25	 	 	6	0	 	 	 	 	0	4
191028	1	1	6	9	27	 	 	7	0	 	 	 	 	1	9
191028	2	4	7	9	27	 	 	2	0	 	 	 	 	1	9
191030	1	1	6	4	14	 	 	5	0	 	 	 	 	1	4
191031	1	1	6	3	30	 	 	9	0	 	 	 	 	1	3
191033	1	1	6	9	25	 	 	8	0	 	 	 	 	1	9
191033	2	5	3	3	20	 	 	8	1	120	 	2	 	1	3
191034	1	13	1	11	30	 	 	12	1	3000	 	4	 	1	12
191034	2	1	6	1	30	 	 	10	0	 	 	 	 	1	1
191035	1	1	6	4	30	 	 	9	0	 	 	 	 	1	0
191035	2	4	6	4	15	 	 	2	0	 	 	 	 	0	0
191036	1	12	3	8	20	 	 	9	1	300	 	2	 	1	8
191036	2	1	6	4	25	 	 	11	0	 	 	 	 	1	4
191037	1	1	6	6	20	 	 	8	0	 	 	 	 	1	6
191037	2	12	3	3	15	 	 	9	1	250	 	2	 	0	0
191038	1	1	3	8	20	 	 	10	0	 	 	 	 	1	10
191039	1	9	6	5	25	 	 	5	0	 	 	 	 	1	1
191040	1	1	6	8	20	 	 	9	0	 	 	 	 	1	8
191041	1	1	6	7	15	 	 	8	0	 	 	 	 	0	5
191041	2	10	6	2	15	 	 	6	1	100	 	6	3	0	5
191041	3	5	3	1	10	 	 	8	1	150	 	2	 	0	3
191044	1	9	6	11	25	 	 	10	0	 	 	 	 	1	11
191045	1	1	6	3	15	 	 	9	0	 	 	 	 	1	3
191046	1	1	6	5	30	 	 	8	0	 	 	 	 	1	10
191046	2	5	3	1	20	 	 	8	1	150	 	2	 	0	2
191047	1	1	3	10	30	 	 	10	0	 	 	 	 	1	12
191047	2	4	3	2	20	 	 	12	0	 	 	 	 	1	2
191049	1	5	3	6	30	 	 	9	1	200	 	2	 	1	6
191049	2	1	6	4	25	 	 	10	0	 	 	 	 	1	4
191049	3	12	1	2	30	 	 	10	1	250	 	2	 	0	2
191050	1	1	6	7	25	 	 	8	0	 	 	 	 	1	8
191050	2	5	3	1	5	 	 	8	1	150	 	2	 	1	4
201006	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
201009	1	9	6	10	24	 	 	2	1	1600	 	4	 	1	8
201011	1	9	6	10	24	 	 	2	1	400	 	4	 	1	12
201015	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
201016	1	13	1	12	29	 	 	10	1	5750	 	4	 	1	12
201019	1	9	3	6	24	 	 	8	1	2500	 	4	 	1	2
201020	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
201021	1	10	2	12	30	 	 	4	0	 	 	 	 	1	12
201021	2	13	1	9	24	 	 	10	1	6500	 	4	 	0	0
201022	1	13	1	4	25	 	 	9	1	2000	 	4	 	0	0
201026	1	13	3	4	30	 	 	8	1	2000	 	4	 	1	12
201034	1	13	1	5	26	 	 	9	1	6000	 	4	 	0	0
201037	1	13	3	12	26	 	 	10	1	5000	 	4	 	1	12
201041	1	9	3	12	26	 	 	10	1	4000	 	4	 	1	12
201044	1	11	3	12	30	 	 	9	1	4000	 	4	 	1	12
201047	1	9	3	4	28	 	 	10	1	2000	 	4	 	1	6
201048	1	11	3	12	30	 	 	12	1	7000	 	4	 	1	12
201049	1	12	3	12	30	 	 	12	1	150	 	2	 	1	12
201051	1	11	3	12	30	 	 	8	1	5000	 	4	 	1	12
