CHILDCODE	TRANIDR4	TYPTRNR4	DELTRNR4	PAYTRNR4	DURTTLR4	TRNCMPR4	ATDTRNR4	CRTDIPR4
11007	1	1	3	1	6	1	 	1
11013	1	2	3	1	12	0	8	0
11014	1	2	3	1	50000	1	 	1
11019	1	2	3	1	12	1	 	1
11022	1	2	3	1	6	1	 	1
11029	1	2	3	1	6	1	 	1
11032	1	2	3	1	8	0	8	0
11034	1	2	3	1	6	1	 	1
11040	1	2	3	1	12	0	10	0
21012	1	1	6	0	12	1	 	 
21013	1	1	5	0	12	0	6	 
21017	1	 	 	 	 	 	 	 
21018	1	3	2	1	8	1	 	 
21022	1	1	4	0	12	0	4	1
21023	1	2	6	0	16	1	 	 
21029	1	4	1	0	2	1	 	1
21039	1	1	2	1	24	0	2	 
21046	1	3	3	1	22	1	 	1
21050	1	1	2	0	48	1	 	 
31002	1	2	3	1	4	1	 	1
31004	1	3	3	1	32	1	 	1
31005	1	4	1	0	12	0	4	1
31006	1	2	3	1	2	1	 	1
31012	1	2	7	1	8	1	 	 
31019	1	3	3	1	16	1	 	1
31023	1	2	3	1	8	1	 	0
31025	1	4	8	0	48	1	 	 
31026	1	3	4	0	12	1	 	1
31033	1	2	4	1	4	1	 	1
31034	1	2	1	1	8	0	0	1
31036	1	1	1	0	12	1	 	1
31038	1	2	3	1	5	1	 	0
31040	1	2	3	1	8	1	 	0
31041	1	1	2	1	12	1	 	 
31049	1	1	3	0	8	1	 	1
31049	2	1	3	1	8	1	 	1
41004	1	4	1	0	8	0	4	1
41019	1	2	3	1	4	1	 	0
41020	1	1	1	1	4	1	 	1
41026	1	1	1	0	4	1	 	0
41030	1	1	2	1	24	0	1	 
41034	1	2	3	1	6	1	 	1
41041	1	1	3	1	4	0	4	0
41042	1	1	2	1	6	1	 	 
41044	1	1	1	1	8	1	 	1
41048	1	1	1	0	2	1	 	1
41049	1	1	2	1	1500	1	 	 
51001	1	1	3	1	4	1	 	1
51004	1	2	3	1	24	1	 	1
51008	1	2	3	1	12	1	 	1
51010	1	2	3	1	4	1	 	1
51011	1	1	1	0	8	1	 	1
51020	1	4	1	0	12	1	 	1
51026	1	2	3	1	4	1	 	1
51038	1	2	3	1	24	0	12	1
51040	1	4	1	0	8	1	 	1
51041	1	1	3	0	4	1	 	1
51044	1	1	3	1	1000	1	 	1
61004	1	3	3	1	600	0	8	0
61009	1	2	3	1	7	1	 	0
61010	1	2	3	1	24	0	4	0
61015	1	2	7	1	8	1	 	 
