round	childid	s_math	sibid	yc
4	IN010083	372.685852050781	10	1
5	IN010083	451.380340576172	10	1
5	IN020043	482.306823730469	10	1
5	IN040056	253.862243652344	10	1
4	IN040082	408.653564453125	10	1
5	IN040082	478.106048583984	10	1
4	IN050004	413.780029296875	10	1
5	IN050004	454.020965576172	10	1
4	IN050030	617.64111328125	10	1
4	IN060016	529.635498046875	10	1
5	IN060016	543.123901367188	10	1
4	IN060025	443.272247314453	10	1
5	IN060025	591.440246582031	10	1
5	IN070068	389.447021484375	10	1
4	IN080054	468.442535400391	10	1
5	IN080054	469.779510498047	10	1
4	IN080078	378.505523681641	10	1
5	IN080078	601.151611328125	10	1
4	IN110024	444.699920654297	10	1
4	IN120062	452.169006347656	10	1
5	IN120062	541.0703125	10	1
4	IN130045	682.371826171875	10	1
5	IN130045	464.963409423828	10	1
4	IN130094	346.232360839844	10	1
5	IN130094	424.164184570313	10	1
4	IN170002	442.122161865234	10	1
5	IN170002	370.2216796875	10	1
4	IN170036	204.304779052734	10	1
5	IN170036	289.034301757813	10	1
4	IN170056	231.546417236328	10	1
5	IN170056	275.033355712891	10	1
4	IN170087	209.413436889648	10	1
5	IN170087	264.723327636719	10	1
5	IN180015	368.102691650391	10	1
5	IN180062	225.082626342773	10	1
4	IN190018	408.644561767578	10	1
5	IN190018	481.970794677734	10	1
4	IN190087	480.989013671875	10	1
5	IN190087	418.496429443359	10	1
4	IN190093	492.3076171875	10	1
5	IN190093	255.35514831543	10	1
4	IN200062	346.055145263672	10	1
5	IN200062	480.46875	10	1
4	IN030074	672.63037109375	11	1
5	IN030074	712.924926757813	11	1
4	IN030092	405.194213867188	11	1
5	IN030092	459.550872802734	11	1
4	IN050080	470.937377929688	11	1
5	IN050080	548.987915039063	11	1
5	IN050091	602.149780273438	11	1
4	IN060047	393.290496826172	11	1
5	IN060047	440.290924072266	11	1
5	IN090030	502.353118896484	11	1
4	IN090051	191.978332519531	11	1
5	IN090051	395.880126953125	11	1
4	IN100036	288.421875	11	1
5	IN100036	314.201934814453	11	1
4	IN100080	536.726013183594	11	1
