childid	yc	round	theta_eap	ppvt_score	country	group	language
ET011001	0	2	-.476016014814377	1.06952261924744	1	1	1
ET011002	0	2	.157547995448112	2.08773016929626	1	1	1
ET011003	0	2	.366118997335434	2.422926902771	1	1	1
ET011004	0	2	.0740856975317001	1.95359706878662	1	1	1
ET011005	0	2	-.135398998856544	1.6169319152832	1	1	1
ET011006	0	2	-.147749006748199	1.59708416461945	1	1	1
ET011007	0	2	.269199013710022	2.26716589927673	1	1	1
ET011008	0	2	.265242010354996	2.26080656051636	1	1	1
ET011010	0	2	.736129999160767	3.01757574081421	1	1	1
ET011012	0	2	.648155987262726	2.87619161605835	1	1	1
ET011013	0	2	.577248990535736	2.76223635673523	1	1	1
ET011014	0	2	.900976002216339	3.2825014591217	1	1	1
ET011015	0	2	.671423971652985	2.91358590126038	1	1	1
ET011016	0	2	.778941988945007	3.08637928962708	1	1	1
ET011017	0	2	-.262690007686615	1.41236114501953	1	1	1
ET011018	0	2	.726435005664825	3.00199484825134	1	1	1
ET011019	0	2	.30926901102066	2.33156275749207	1	1	1
ET011020	0	2	.195179998874664	2.14820909500122	1	1	1
ET011021	0	2	.332204014062881	2.36842179298401	1	1	1
ET011022	0	2	1.55302000045776	4.33040857315063	1	1	1
ET011023	0	2	.242927998304367	2.22494530677795	1	1	1
ET011024	0	2	1.08201003074646	3.57344317436218	1	1	1
ET011025	0	2	-.364616990089417	1.24855315685272	1	1	1
ET011026	0	2	.727847993373871	3.00426554679871	1	1	1
ET011027	0	2	.351859003305435	2.4000096321106	1	1	1
ET011028	0	2	.941302001476288	3.34730982780457	1	1	1
ET011030	0	2	.445307999849319	2.5501925945282	1	1	1
ET011031	0	2	.640910029411316	2.86454653739929	1	1	1
ET011032	0	2	.146708995103836	2.07031083106995	1	1	1
ET011033	0	2	.921504974365234	3.31549382209778	1	1	1
ET011034	0	2	1.19148004055023	3.7493736743927	1	1	1
ET011035	0	2	.515522003173828	2.66303420066833	1	1	1
ET011036	0	2	.99456000328064	3.43290138244629	1	1	1
ET011037	0	2	.272076010704041	2.27178955078125	1	1	1
ET011038	0	2	.247601002454758	2.23245549201965	1	1	1
ET011039	0	2	.605530977249146	2.80768847465515	1	1	1
ET011040	0	2	.3870669901371	2.45659279823303	1	1	1
ET011041	0	2	.466675996780396	2.58453321456909	1	1	1
ET011042	0	2	.918362975120544	3.31044435501099	1	1	1
ET011043	0	2	.0660561993718147	1.94069278240204	1	1	1
ET011044	0	2	.311756014823914	2.33555960655212	1	1	1
ET011045	0	2	.863556981086731	3.22236490249634	1	1	1
ET011046	0	2	.460004985332489	2.57381224632263	1	1	1
ET011048	0	2	1.73403000831604	4.6213116645813	1	1	1
ET011049	0	2	.722374022006989	2.99546837806702	1	1	1
ET011050	0	2	.818229973316193	3.14951944351196	1	1	1
ET021001	0	2	1.5584100484848	4.33907079696655	1	1	1
ET021002	0	2	-.376740008592606	1.22907018661499	1	1	1
ET021003	0	2	.607626020908356	2.8110556602478	1	1	1
ET021004	0	2	.619620978832245	2.83033275604248	1	1	1
ET021005	0	2	.350695013999939	2.39813899993896	1	1	1
ET021006	0	2	.730445027351379	3.00843930244446	1	1	1
ET021007	0	2	.796853005886078	3.11516427993774	1	1	1
ET021008	0	2	.947256028652191	3.35687851905823	1	1	1
ET021009	0	2	.541538000106812	2.70484471321106	1	1	1
ET021010	0	2	.225178003311157	2.19641923904419	1	1	1
ET021011	0	2	.448812991380692	2.55582547187805	1	1	1
ET021012	0	2	.826583027839661	3.16294384002686	1	1	1
ET021013	0	2	1.08017003536224	3.57048606872559	1	1	1
ET021014	0	2	.41295799612999	2.49820232391357	1	1	1
ET021015	0	2	-.0946588963270187	1.68240582942963	1	1	1
ET021016	0	2	.56973797082901	2.75016522407532	1	1	1
ET021017	0	2	.520796000957489	2.6715099811554	1	1	1
ET021018	0	2	-.0650935024023056	1.72992062568665	1	1	1
ET021019	0	2	.702413022518158	2.96338868141174	1	1	1
ET021020	0	2	1.04568004608154	3.515056848526	1	1	1
ET021021	0	2	.534628987312317	2.69374132156372	1	1	1
ET021022	0	2	.526690006256104	2.6809823513031	1	1	1
