childid	round	yc	theta_eap	read_score	country	group	language
ET011001	4	0	.338138997554779	.59154886007309	1	3	1
ET011002	4	0	.261121988296509	.504750072956085	1	3	1
ET011003	4	0	.908851981163025	1.23474717140198	1	3	1
ET011006	4	0	.855122029781342	1.17419302463531	1	3	1
ET011007	4	0	.42951101064682	.694525897502899	1	3	1
ET011008	4	0	1.45620000362396	1.85161292552948	1	3	1
ET011009	4	0	1.13259994983673	1.48691296577454	1	3	1
ET011010	4	0	2.12599992752075	2.6064829826355	1	3	1
ET011013	4	0	.200949996709824	.436935722827911	1	3	1
ET011014	4	0	.928672015666962	1.25708448886871	1	3	1
ET011015	4	0	1.69613003730774	2.12201595306396	1	3	1
ET011020	4	0	.181622996926308	.415154010057449	1	3	1
ET011021	4	0	1.1220999956131	1.4750794172287	1	3	1
ET011022	4	0	.104015000164509	.327689170837402	1	3	1
ET011024	4	0	1.45601999759674	1.85141003131866	1	3	1
ET011025	4	0	.843577980995178	1.16118276119232	1	3	1
ET011026	4	0	.132580995559692	.359883278608322	1	3	1
ET011027	4	0	1.14919996261597	1.50562131404877	1	3	1
ET011028	4	0	.975073993206024	1.30937993526459	1	3	1
ET011029	4	0	.826970994472504	1.14246654510498	1	3	1
ET011030	4	0	.547145009040833	.827100396156311	1	3	1
ET011032	4	0	.781010985374451	1.09066927433014	1	3	1
ET011033	4	0	-.398445010185242	-.238587439060211	1	3	1
ET011034	4	0	1.02360999584198	1.36408042907715	1	3	1
ET011035	4	0	1.39399003982544	1.78150177001953	1	3	1
ET011037	4	0	1.02839004993439	1.36946749687195	1	3	1
ET011038	4	0	.492089003324509	.765051782131195	1	3	1
ET011039	4	0	.565366983413696	.847636699676514	1	3	1
ET011040	4	0	1.09987998008728	1.45003724098206	1	3	1
ET011042	4	0	2.33284997940063	2.83960461616516	1	3	1
ET011043	4	0	.294936001300812	.542858719825745	1	3	1
ET011044	4	0	.394708007574081	.655302584171295	1	3	1
ET011045	4	0	1.31356000900269	1.69085645675659	1	3	1
ET011046	4	0	.34519299864769	.599498748779297	1	3	1
ET011048	4	0	1.8047399520874	2.24442028999329	1	3	1
ET011049	4	0	.753790020942688	1.05999100208282	1	3	1
ET021002	4	0	.147299006581306	.376470595598221	1	3	1
ET021005	4	0	.162543997168541	.393651843070984	1	3	1
ET021006	4	0	2.05771994590759	2.5295307636261	1	3	1
ET021007	4	0	1.4658499956131	1.86248850822449	1	3	1
ET021008	4	0	-.525767982006073	-.382081508636475	1	3	1
