childid	country	round	yc	math	group
ET051048	1	2	0	347.130706787109	1
ET051049	1	2	0	519.926635742188	1
ET051050	1	2	0	462.706787109375	1
ET061002	1	2	0	351.904144287109	1
ET061003	1	2	0	410.067230224609	1
ET061004	1	2	0	238.761749267578	1
ET061005	1	2	0	511.523895263672	1
ET061007	1	2	0	389.452819824219	1
ET061008	1	2	0	556.333435058594	1
ET061009	1	2	0	534.65869140625	1
ET061010	1	2	0	484.288146972656	1
ET061015	1	2	0	443.653594970703	1
ET061020	1	2	0	472.586395263672	1
ET061021	1	2	0	376.323791503906	1
ET061022	1	2	0	548.7236328125	1
ET061023	1	2	0	415.391082763672	1
ET061024	1	2	0	349.865417480469	1
ET061025	1	2	0	557.023559570313	1
ET061026	1	2	0	267.073028564453	1
ET061028	1	2	0	319.538726806641	1
ET061029	1	2	0	437.664306640625	1
ET061031	1	2	0	465.653991699219	1
ET061034	1	2	0	382.681945800781	1
ET061036	1	2	0	457.572357177734	1
ET061037	1	2	0	403.5537109375	1
ET061039	1	2	0	410.335174560547	1
ET061040	1	2	0	382.823059082031	1
ET061041	1	2	0	408.324737548828	1
ET061044	1	2	0	443.856872558594	1
ET061046	1	2	0	377.18994140625	1
ET061047	1	2	0	362.225463867188	1
ET061049	1	2	0	384.555480957031	1
ET061050	1	2	0	400.329437255859	1
ET061051	1	2	0	530.119445800781	1
ET061052	1	2	0	615.3681640625	1
ET061053	1	2	0	647.575256347656	1
ET061054	1	2	0	460.133666992188	1
ET061056	1	2	0	512.020874023438	1
ET061057	1	2	0	369.819976806641	1
ET061058	1	2	0	322.39404296875	1
ET061059	1	2	0	395.991180419922	1
ET071001	1	2	0	451.525756835938	1
ET071002	1	2	0	302.318878173828	1
ET071003	1	2	0	517.153930664063	1
ET071004	1	2	0	370.8251953125	1
ET071005	1	2	0	408.710754394531	1
ET071006	1	2	0	445.112854003906	1
ET071007	1	2	0	379.055603027344	1
ET071008	1	2	0	418.986358642578	1
ET071009	1	2	0	379.669311523438	1
ET071010	1	2	0	522.90380859375	1
ET071011	1	2	0	373.049224853516	1
ET071012	1	2	0	367.217315673828	1
ET071013	1	2	0	497.366088867188	1
ET071014	1	2	0	322.075653076172	1
ET071015	1	2	0	240.474685668945	1
ET071016	1	2	0	404.915924072266	1
ET071017	1	2	0	383.009368896484	1
ET071018	1	2	0	305.802062988281	1
ET071019	1	2	0	508.513336181641	1
ET071020	1	2	0	510.182220458984	1
ET071021	1	2	0	328.532592773438	1
ET071022	1	2	0	316.948303222656	1
ET071024	1	2	0	519.828552246094	1
ET071025	1	2	0	436.801330566406	1
ET071026	1	2	0	484.718933105469	1
ET071027	1	2	0	326.804382324219	1
ET071028	1	2	0	378.163452148438	1
ET071029	1	2	0	422.983551025391	1
ET071030	1	2	0	656.985595703125	1
ET071031	1	2	0	372.851928710938	1
ET071032	1	2	0	453.231811523438	1
ET071033	1	2	0	491.268646240234	1
ET071034	1	2	0	403.311614990234	1
ET071035	1	2	0	385.538421630859	1
ET071036	1	2	0	493.096221923828	1
ET071037	1	2	0	468.268981933594	1
ET071039	1	2	0	458.380310058594	1
ET071040	1	2	0	393.7802734375	1
ET071041	1	2	0	489.723327636719	1
ET071042	1	2	0	314.956451416016	1
ET071043	1	2	0	561.499755859375	1
ET071044	1	2	0	385.988342285156	1
ET071045	1	2	0	536.063171386719	1
ET071046	1	2	0	437.559478759766	1
ET071047	1	2	0	419.826538085938	1
ET071048	1	2	0	496.148956298828	1
ET071049	1	2	0	348.526000976563	1
ET071050	1	2	0	511.059692382813	1
ET081001	1	2	0	306.776336669922	1
ET081002	1	2	0	318.379791259766	1
ET081003	1	2	0	533.517944335938	1
ET081004	1	2	0	350.496459960938	1
ET081005	1	2	0	367.447204589844	1
ET081006	1	2	0	194.672286987305	1
ET081007	1	2	0	210.475921630859	1
ET081008	1	2	0	482.303436279297	1
ET081009	1	2	0	386.83349609375	1
ET081010	1	2	0	308.2001953125	1
ET081011	1	2	0	377.823028564453	1
ET081012	1	2	0	329.375701904297	1
ET081013	1	2	0	312.815582275391	1
ET081014	1	2	0	350.412658691406	1
ET081015	1	2	0	291.44775390625	1
ET081016	1	2	0	517.025573730469	1
ET081017	1	2	0	338.215515136719	1
ET081018	1	2	0	408.387268066406	1
ET081019	1	2	0	503.701812744141	1
ET081020	1	2	0	420.228851318359	1
ET081021	1	2	0	364.554443359375	1
ET081022	1	2	0	438.871368408203	1
ET081023	1	2	0	459.678985595703	1
ET081024	1	2	0	258.770690917969	1
ET081026	1	2	0	227.022048950195	1
ET081027	1	2	0	456.438781738281	1
ET081028	1	2	0	213.30451965332	1
ET081029	1	2	0	358.071746826172	1
ET081030	1	2	0	283.03076171875	1
ET081031	1	2	0	356.8818359375	1
ET081032	1	2	0	429.823089599609	1
ET081033	1	2	0	439.450347900391	1
ET081034	1	2	0	455.60546875	1
ET081035	1	2	0	387.263305664063	1
ET081036	1	2	0	536.318908691406	1
ET081037	1	2	0	398.071655273438	1
ET081038	1	2	0	482.292541503906	1
ET081039	1	2	0	429.342468261719	1
ET081040	1	2	0	368.871551513672	1
ET081041	1	2	0	411.851867675781	1
ET081042	1	2	0	549.639831542969	1
ET081043	1	2	0	438.601776123047	1
ET081044	1	2	0	446.030822753906	1
ET081045	1	2	0	563.856750488281	1
ET081046	1	2	0	499.647033691406	1
ET081047	1	2	0	729.781127929688	1
ET081048	1	2	0	279.891448974609	1
ET081049	1	2	0	444.69091796875	1
ET081050	1	2	0	276.529235839844	1
ET091001	1	2	0	395.590118408203	1
ET091002	1	2	0	262.23095703125	1
ET091003	1	2	0	443.244903564453	1
