commid	rsid	module	section	module2	section2	module3	section3	ageres	sexres	capac	livres
VN012	9	1	3	2	5	 	 	40	2	6	40
VN012	10	2	1	 	3	 	 	46	2	8	46
VN010	16	1	5	 	 	 	 	29	2	10	29
VN010	17	2	3	 	5	 	 	33	2	8	33
VN010	18	1	5	2	3	 	 	31	2	10	31
VN034	1	1	3	 	1	2	2	28	1	1	28
VN034	2	1	1	 	2	2	4	45	2	6	30
VN034	3	1	3	 	 	 	 	34	2	8	34
VN034	4	1	1	 	4	 	 	42	2	8	31
VN034	5	2	3	 	 	 	 	49	2	4	10
VN034	6	1	3	 	 	 	 	28	1	8	25
VN034	7	2	2	 	 	 	 	27	2	8	25
VN034	8	2	4	 	 	 	 	36	2	3	4
VN034	9	2	4	 	 	 	 	34	2	10	16
VN034	10	2	2	 	3	 	 	39	2	4	39
VN034	11	2	3	 	 	 	 	33	2	8	33
VN034	12	2	2	 	 	 	 	32	2	8	32
VN001	1	1	1	 	2	 	3	42	1	1	66
VN001	2	1	3	 	5	 	 	36	2	2	13
VN001	3	2	1	 	2	 	 	45	1	4	66
VN001	4	1	1	 	3	 	2	40	2	3	66
VN001	5	2	1	 	2	 	8	38	1	1	66
VN001	6	2	8	 	7	 	1	50	2	6	66
VN001	7	2	3	 	 	 	 	52	2	8	66
VN001	8	2	4	 	 	 	 	48	1	8	66
VN006	1	1	1	 	2	2	3	39	1	1	39
VN006	2	1	1	 	2	 	 	36	1	2	32
VN008	2	2	4	 	5	1	3	40	1	3	40
VN008	3	1	1	 	3	2	2	45	2	8	45
VN008	4	1	2	 	4	2	3	24	2	1	24
VN008	5	1	3	2	4	 	5	53	1	1	53
VN008	6	1	6	2	4	 	 	37	1	3	20
VN008	7	1	6	2	1	 	2	49	1	4	25
VN008	8	1	1	2	4	 	 	40	1	8	40
VN008	9	1	3	2	1	 	2	35	2	8	6
VN008	10	1	3	2	3	 	 	43	1	8	43
VN008	11	1	4	2	5	 	 	25	2	10	25
VN008	12	1	2	2	5	 	 	29	1	8	29
VN008	13	2	1	 	4	 	 	32	2	8	32
VN002	8	1	4	 	 	 	 	43	1	8	43
VN002	9	1	3	 	 	 	 	51	1	1	51
VN002	10	1	4	 	 	 	 	34	2	3	34
VN002	11	2	5	 	 	 	 	35	2	8	35
VN002	12	2	 	 	 	 	 	38	1	8	38
VN002	13	2	3	 	 	 	 	42	1	4	42
VN002	14	2	5	 	 	 	 	34	1	2	34
VN002	15	2	3	 	 	 	 	39	2	8	31
VN002	16	2	2	 	 	 	 	22	2	8	6
VN002	99	 	 	 	 	 	 	99	99	99	99
VN002	88	 	 	 	 	 	 	99	99	99	99
VN025	6	1	3	2	6	 	 	35	2	4	5
VN025	7	2	2	 	3	 	 	45	2	4	45
VN025	8	2	2	 	 	 	 	26	2	4	26
VN025	9	1	3	 	4	 	 	32	2	8	32
VN025	10	1	3	2	2	 	 	43	1	8	43
VN025	11	1	3	 	 	 	 	44	1	2	44
VN025	12	1	2	 	 	 	 	53	1	1	50
VN025	13	2	4	 	 	 	 	46	1	2	46
VN025	14	2	4	 	 	 	 	45	1	2	40
VN025	15	1	5	 	 	 	 	45	1	10	2
VN025	16	1	5	 	 	 	 	50	2	10	2
VN025	17	1	5	 	 	 	 	45	2	10	42
VN025	18	1	5	 	 	 	 	28	2	10	28
VN032	1	1	1	2	2	 	3	50	1	1	50
VN032	2	2	4	 	 	 	 	30	2	3	30
VN032	3	1	1	2	2	 	4	43	2	99	43
VN032	4	2	5	1	3	 	2	32	2	8	13
VN032	5	1	6	 	1	 	4	40	2	8	40
VN032	6	1	6	 	3	 	 	30	1	2	30
VN032	7	 	 	 	 	 	 	35	2	10	35
VN032	8	2	3	 	 	 	 	37	2	4	10
VN032	9	2	3	 	 	 	 	30	2	8	30
VN032	10	2	2	 	3	 	 	46	2	8	46
VN032	11	2	2	 	 	 	 	37	2	8	16
VN032	12	2	3	 	 	 	 	42	2	8	42
VN032	99	 	 	 	 	 	 	99	99	99	99
VN019	99	 	 	 	 	 	 	99	99	99	99
VN019	88	 	 	 	 	 	 	99	99	99	99
VN020	1	1	1	 	2	2	3	46	1	1	46
VN020	2	 	1	 	2	 	 	41	1	8	14
VN020	3	 	1	 	2	 	 	31	2	8	13
VN020	4	 	3	 	4	 	6	24	2	2	24
VN020	5	 	3	 	4	 	6	27	2	8	27
VN020	6	 	3	 	4	 	6	41	1	8	13
VN020	7	2	1	 	 	 	 	49	2	4	15
VN020	8	 	1	 	 	 	 	24	2	1	24
VN020	9	 	1	 	 	 	 	24	2	8	6
VN020	10	 	2	 	 	 	 	45	2	4	25
VN020	11	 	2	 	3	 	4	42	2	8	25
VN020	12	 	2	 	3	 	4	38	2	8	38
VN020	13	 	4	 	 	 	 	30	1	3	2
VN020	14	 	5	 	 	 	 	28	2	2	28
VN020	15	 	5	 	 	 	 	48	2	6	46
VN020	99	 	 	 	 	 	 	99	99	99	99
VN020	88	 	 	 	 	 	 	99	99	99	99
VN033	1	1	1	 	2	2	3	35	1	1	25
VN033	2	1	1	1	2	2	4	35	2	6	21
VN033	3	1	3	 	2	 	 	37	1	8	15
VN033	4	1	4	 	 	 	 	36	2	8	12
VN033	5	1	3	 	 	 	 	27	2	2	20
VN033	6	2	4	 	 	 	 	30	2	3	3
