commid	projid	prjslct	prjdsgn	prjmgmt	prjsupr	prjuse
VN018	1	4	5	4	5	3
VN018	2	4	5	4	5	5
VN018	3	4	5	4	5	3
VN018	4	4	5	4	5	3
VN018	5	4	5	4	5	3
VN018	8	4	5	4	5	2
VN018	9	4	5	4	5	2
VN015	2	4	5	5	3	5
VN015	4	4	5	5	3	5
VN015	5	4	5	5	3	5
VN015	7	4	5	5	3	5
VN015	8	4	5	5	3	5
VN015	9	4	5	5	3	5
VN014	1	4	4	4	4	4
VN014	2	3	4	4	4	3
VN014	4	4	4	4	4	4
VN014	5	4	4	4	4	4
VN014	7	4	4	4	4	4
VN014	9	4	4	4	4	4
VN023	2	3	4	1	2	2
VN023	4	3	4	1	2	2
VN023	5	3	4	1	2	2
VN036	1	3	3	3	3	3
VN036	2	3	3	3	3	3
VN036	3	3	3	3	3	3
VN036	4	3	3	3	3	3
VN036	9	4	4	4	4	4
VN035	1	4	5	5	5	4
VN035	2	2	2	1	2	2
VN035	3	4	5	5	5	4
VN035	4	4	5	5	5	4
VN035	5	4	5	5	5	4
VN035	7	4	5	5	5	4
VN035	9	4	5	5	5	4
VN007	1	3	5	2	5	4
VN007	2	2	5	2	3	3
VN007	3	3	5	2	4	4
VN007	4	4	5	2	4	4
VN007	5	4	5	2	4	4
VN007	8	4	5	2	4	3
VN007	9	3	5	2	4	3
VN021	1	3	4	4	1	3
VN021	2	3	4	4	2	3
VN021	3	3	4	4	3	2
VN021	4	3	4	4	3	2
VN021	5	3	4	4	3	2
VN021	7	3	4	4	2	2
VN021	8	3	4	4	2	2
VN019	1	4	5	5	5	2
VN019	2	4	5	4	4	2
VN019	3	4	5	3	3	2
VN019	4	4	5	3	3	2
VN019	5	4	5	3	3	2
VN019	8	4	5	3	3	2
VN019	9	4	5	3	3	2
VN020	1	5	5	5	5	4
VN020	2	5	5	5	5	4
VN020	3	5	5	5	5	4
VN020	4	5	5	5	5	4
VN020	5	5	5	5	5	4
VN020	7	5	5	5	5	4
VN020	8	5	5	5	5	4
VN016	2	3	5	3	3	2
VN016	3	3	5	3	3	2
VN016	4	3	5	3	3	2
VN016	5	3	5	3	3	3
VN016	8	3	1	3	3	3
VN016	9	3	5	3	3	3
VN010	2	3	5	5	5	5
VN010	3	3	5	5	5	5
VN010	4	5	5	5	5	5
VN010	5	5	5	5	5	5
VN010	8	3	5	5	5	5
VN010	9	5	5	5	5	5
VN010	10	5	5	5	5	5
VN001	2	1	2	3	4	3
VN001	3	1	2	3	1	3
VN001	4	1	3	3	3	3
VN001	7	1	4	3	3	3
VN001	8	1	3	3	2	3
VN001	5	1	2	3	3	3
VN003	1	3	3	3	3	3
VN003	2	4	4	4	4	2
VN003	3	4	5	4	4	2
VN003	4	4	5	4	4	3
VN003	5	4	5	4	4	3
VN003	7	5	5	4	4	3
VN003	8	3	3	4	4	3
