commid	nursid	typenurs
VN026	1	2
VN026	2	2
VN026	3	2
VN028	1	4
VN028	2	4
VN029	1	4
VN029	2	1
VN029	3	1
VN014	1	1
VN014	2	1
VN014	3	1
VN024	1	6
VN024	2	6
VN024	3	6
VN036	1	4
VN036	2	1
VN036	3	4
VN035	1	1
VN035	2	4
VN035	3	4
VN019	1	88
VN019	2	88
VN019	3	88
VN033	1	4
VN033	2	99
VN033	3	99
VN002	1	4
VN027	1	2
VN027	2	2
VN027	3	2
VN025	1	2
VN025	2	2
VN032	1	4
VN032	2	4
VN032	3	4
VN034	1	4
VN034	2	4
VN034	3	4
