commid	locentid	codeloc	routeacc	transpor	timeschl
VN026	1	2	2	1	6
VN028	1	1	1	4	5
VN029	1	1	1	12	10
VN029	2	1	1	12	10
VN029	3	1	1	12	10
VN018	1	2	1	1	10
VN018	2	2	1	1	10
VN018	3	2	1	1	15
VN018	4	2	1	3	5
VN017	1	2	1	4	3
VN017	2	2	1	4	10
VN017	3	2	1	3	10
VN017	4	2	1	3	20
VN015	1	2	3	1	10
VN015	2	2	3	1	15
VN014	1	2	1	5	5
VN014	2	2	1	5	7
VN014	3	2	1	5	7
VN014	4	2	1	5	7
VN013	1	2	1	3	10
VN013	2	2	1	3	10
VN013	3	2	1	3	15
VN013	4	2	2	3	25
VN023	1	2	5	4	2
VN023	2	2	5	4	5
VN023	3	2	5	4	2
VN023	4	2	5	4	2
VN024	1	2	2	1	6
VN036	1	1	1	4	10
VN036	2	1	1	4	10
VN036	3	1	4	1	10
VN035	1	1	1	4	5
VN007	1	2	1	3	10
VN007	2	2	1	3	15
VN007	3	2	1	3	40
VN021	1	2	2	4	5
VN019	1	2	3	1	15
VN019	2	2	3	1	25
VN020	1	2	2	1	25
VN020	2	2	2	1	20
VN020	3	2	2	1	15
VN020	4	2	2	1	10
VN033	1	1	1	4	5
VN002	1	2	1	1	20
VN002	2	2	2	1	20
VN002	3	2	2	1	15
VN002	4	2	2	1	15
VN027	1	2	2	1	6
VN016	1	2	2	4	15
VN016	2	2	2	4	10
VN016	3	2	2	4	5
VN025	1	2	2	88	5
VN032	1	1	1	4	7
VN022	1	2	5	5	4
VN022	2	2	5	5	4
VN022	3	2	5	5	4
VN011	1	2	1	1	20
VN011	2	2	1	3	10
VN011	3	2	1	3	15
VN011	4	2	1	3	10
VN012	1	2	2	1	10
VN012	2	2	2	3	25
VN012	3	2	2	3	20
VN012	4	2	2	3	25
VN009	1	2	2	3	30
VN009	2	2	1	3	20
VN009	3	2	1	3	20
VN009	4	2	1	3	30
VN010	1	2	1	3	15
VN010	2	2	1	3	7
VN010	3	2	1	3	15
VN010	4	2	1	3	8
VN034	1	1	1	4	10
VN001	1	2	1	3	10
VN001	2	2	1	3	8
VN001	3	2	1	3	20
VN006	1	2	1	5	5
VN006	2	2	5	3	10
VN004	1	2	1	3	20
VN004	2	2	1	1	10
VN004	3	2	1	3	15
VN005	1	2	4	3	20
VN005	2	2	1	3	5
VN005	3	2	2	3	10
VN005	4	2	5	3	25
VN003	1	2	1	4	10
VN003	2	2	2	1	20
VN003	3	2	1	4	5
VN003	4	2	1	3	15
VN008	1	2	2	3	20
VN008	2	2	2	3	20
VN008	3	2	2	3	10
VN008	4	2	2	3	20
