CHILDCODE	EDCHSTR5	ATSCR5	GRDER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	CODMODR5	COD_MOD	ANEXO	NMSCSCR5	NIV_MOD	D_NIV_MOD	GESTION	D_GESTION	GES_DEP	D_GES_DEP	TYSCR5_C
11001	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11001	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11001	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11001	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11002	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11002	14	1	7	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11002	15	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11002	16	1	9	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11003	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11003	14	1	8	2	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11003	15	1	8	2	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11003	16	1	8	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11004	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11004	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11004	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11004	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11005	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11005	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11005	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11005	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11006	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11006	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11006	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11006	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11007	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11007	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11007	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11007	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11008	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11008	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11008	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11008	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11009	13	1	6	1	7	1	 	 	 	 	 	 	 	 	 	 	 	4
11009	14	1	7	1	7	1	 	 	 	 	 	 	 	 	 	 	 	4
11009	15	1	8	1	7	1	 	 	 	 	 	 	 	 	 	 	 	4
11009	16	1	9	4	7	1	 	 	 	 	 	 	 	 	 	 	 	4
11010	13	1	4	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11010	14	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11010	15	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
