CHILDCODE	CHMVIDR5	CNTRYR5	TYPLOCR5	YRMOVER5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPFMR5	MVOTHMR5	MVNONHR5	RSNMVR51	RSNMVR52
11003	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	9	88
11010	1	51	5	2014	12	N	Y	Y	N	N	N	N	N	1	88
11010	2	51	5	2015	0	N	Y	N	Y	N	N	N	N	9	88
11017	1	51	4	2014	12	N	Y	Y	Y	N	N	N	N	3	88
11017	2	51	4	2015	0	N	Y	Y	Y	N	N	N	N	3	88
11025	1	51	5	2014	0	N	Y	Y	Y	N	N	N	N	3	88
11028	1	51	1	2015	0	N	N	Y	Y	N	N	N	N	9	88
11032	1	51	1	2013	6	N	Y	N	Y	N	N	Y	N	9	88
11032	2	51	2	2014	0	N	Y	N	Y	N	N	Y	N	1	88
11034	1	51	5	2015	3	Y	 	 	 	 	 	 	 	10	88
11034	2	51	5	2015	0	Y	 	 	 	 	 	 	 	1	88
11035	1	51	5	2015	0	N	N	Y	Y	N	N	N	N	9	1
11038	1	51	1	2016	0	N	N	Y	Y	N	N	N	N	9	88
11043	1	51	1	2015	0	Y	 	 	 	 	 	 	 	9	88
11045	1	51	1	2016	0	N	Y	Y	Y	N	N	N	N	9	88
11053	1	51	1	2016	0	Y	 	 	 	 	 	 	 	9	88
11056	2	51	2	2015	0	N	Y	Y	Y	N	N	N	N	9	88
11060	1	51	1	2013	0	N	Y	Y	N	N	N	Y	N	9	88
11068	1	51	1	2015	0	N	Y	Y	Y	N	N	N	N	9	88
11069	1	51	5	2013	34	N	N	Y	Y	N	N	N	N	9	88
11069	2	51	5	2016	0	N	N	Y	Y	N	N	N	N	9	88
11073	1	51	5	2016	0	Y	 	 	 	 	 	 	 	1	88
11075	1	51	5	2016	0	Y	 	 	 	 	 	 	 	2	88
11087	1	80	7	2015	12	N	Y	N	N	N	N	N	N	9	88
11087	2	51	5	2016	0	N	Y	Y	N	N	N	N	N	3	88
11089	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	9	88
11092	1	51	1	2015	0	N	Y	Y	Y	N	N	N	N	9	88
11099	1	51	5	2015	0	N	N	Y	Y	N	N	Y	N	9	88
11100	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	3	9
21006	1	51	1	2015	0	N	Y	Y	N	N	N	N	N	3	88
21007	1	51	3	2016	0	Y	 	 	 	 	 	 	 	1	88
21018	1	51	4	2013	13	Y	 	 	 	 	 	 	 	1	88
21018	2	51	5	2015	0	Y	 	 	 	 	 	 	 	9	88
21031	1	51	2	2016	0	N	Y	Y	Y	N	N	N	N	9	88
21032	1	51	4	2016	0	Y	 	 	 	 	 	 	 	1	88
21038	1	51	3	2013	4	Y	 	 	 	 	 	 	 	1	88
21038	2	51	3	2014	0	Y	 	 	 	 	 	 	 	9	88
21059	1	51	5	2014	0	N	Y	Y	Y	N	N	N	N	3	88
21081	1	51	4	2014	0	N	N	Y	N	N	N	N	N	3	88
21097	1	51	5	2016	0	Y	 	 	 	 	 	 	 	1	88
21098	1	51	4	2015	0	N	N	Y	N	N	N	N	N	3	88
31004	1	51	5	2016	0	Y	 	 	 	 	 	 	 	1	88
31012	1	51	4	2015	11	N	N	Y	Y	N	N	N	N	9	9
31012	2	51	4	2016	0	N	N	Y	Y	N	N	N	N	1	88
31015	1	51	5	2016	0	Y	 	 	 	 	 	 	 	2	88
31018	1	51	4	2015	0	N	Y	N	Y	N	N	N	N	1	88
31030	1	51	4	2016	0	N	N	Y	Y	N	N	N	N	9	88
31031	1	51	3	2014	36	N	Y	Y	Y	N	N	N	N	10	88
31031	2	51	3	2014	0	N	Y	Y	Y	N	N	N	N	1	88
31044	1	51	1	2016	0	N	Y	Y	Y	N	N	N	Y	3	2
31050	1	51	8	2016	0	N	Y	N	N	N	N	N	N	4	88
31054	1	51	3	2016	0	N	N	Y	Y	N	N	N	N	1	88
31056	1	51	3	2013	0	N	N	N	Y	N	N	N	N	1	88
31065	1	51	3	2014	0	Y	 	 	 	 	 	 	 	1	9
31071	1	51	3	2014	0	N	N	Y	N	N	N	N	N	1	88
31074	1	51	2	2014	0	Y	 	 	 	 	 	 	 	1	88
31074	2	51	3	2015	0	Y	 	 	 	 	 	 	 	9	88
41004	1	51	2	2016	0	N	N	N	Y	N	N	N	N	1	88
41007	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41010	1	51	2	2015	0	Y	 	 	 	 	 	 	 	1	 
41015	1	51	2	2015	0	N	N	Y	Y	N	N	N	N	3	88
41021	1	51	1	2016	7	N	N	Y	Y	N	N	N	N	9	88
41021	2	51	1	2016	0	Y	 	 	 	 	 	 	 	9	88
41026	1	51	2	2015	0	N	N	N	Y	N	N	N	N	1	88
41030	1	51	2	2015	3	Y	 	 	 	 	 	 	 	10	9
41030	2	51	2	2016	0	Y	 	 	 	 	 	 	 	9	88
41031	1	51	2	2014	0	Y	 	 	 	 	 	 	 	1	88
41036	1	51	2	2015	0	Y	 	 	 	 	 	 	 	1	88
41045	1	51	2	2014	0	N	Y	Y	Y	N	N	N	N	1	3
41053	1	51	3	2014	0	N	Y	N	Y	N	N	N	N	3	9
41057	1	51	1	2014	23	N	Y	Y	Y	N	N	N	N	9	88
41057	2	51	2	2016	4	N	Y	Y	Y	N	N	N	N	9	1
41063	1	51	2	2014	0	N	Y	Y	Y	N	N	N	N	1	88
41065	1	51	2	2014	0	N	N	Y	Y	N	N	N	N	1	88
41067	1	51	3	2015	0	Y	 	 	 	 	 	 	 	1	3
41079	1	51	5	2015	0	Y	 	 	 	 	 	 	 	1	88
41080	1	51	5	2016	0	Y	 	 	 	 	 	 	 	1	2
41083	1	51	4	2015	7	N	Y	Y	Y	N	N	N	N	1	3
41083	2	51	1	2016	0	N	Y	Y	Y	N	N	N	N	1	9
41088	1	51	8	2016	0	N	N	N	N	Y	N	N	N	9	88
41092	1	51	2	2013	0	N	Y	Y	Y	N	N	N	N	3	88
41094	1	51	5	2015	0	N	Y	N	Y	Y	N	N	N	4	1
41096	1	51	3	2015	0	N	Y	Y	Y	N	N	N	N	9	 
51001	1	51	1	2016	6	N	N	N	N	Y	N	Y	N	3	88
51004	1	51	2	2015	0	N	N	Y	Y	N	N	N	N	4	88
51014	1	51	3	2014	0	N	Y	Y	Y	N	N	Y	N	3	88
51024	1	51	1	2013	0	Y	 	 	 	 	 	 	 	9	88
51029	1	51	4	2014	0	N	Y	Y	Y	N	N	N	N	3	88
51046	1	51	4	2016	0	N	N	N	N	N	N	Y	N	2	6
51048	1	51	3	2013	2	N	N	Y	Y	N	N	N	N	3	88
51048	2	51	1	2016	0	N	N	Y	Y	N	N	N	N	3	88
51060	1	51	3	2014	0	N	Y	Y	Y	N	N	N	N	9	88
51071	1	51	5	2014	0	N	Y	Y	Y	N	N	N	N	1	9
51078	1	51	5	2015	11	N	N	Y	Y	N	N	N	N	9	88
51078	2	51	5	2015	0	N	N	Y	Y	N	N	N	N	3	88
51083	1	51	3	2014	0	N	N	Y	Y	N	N	N	N	4	88
51085	1	51	5	2014	12	Y	 	 	 	 	 	 	 	1	88
51085	2	51	5	2015	0	Y	 	 	 	 	 	 	 	9	88
51086	1	51	3	2014	0	N	Y	Y	Y	N	N	N	N	3	9
51087	1	51	5	2016	0	Y	 	 	 	 	 	 	 	9	88
51088	1	51	4	2014	12	N	Y	N	N	N	N	N	N	3	9
51088	2	51	2	2016	0	N	Y	N	N	N	N	N	N	4	88
51092	1	51	5	2015	0	N	Y	N	Y	N	N	N	N	4	1
61002	1	51	8	2015	0	N	Y	Y	Y	N	N	N	N	1	88
61003	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	9	88
61004	1	51	3	2016	0	N	N	N	Y	N	N	N	N	1	88
61008	1	51	4	2015	0	Y	 	 	 	 	 	 	 	1	88
61016	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61028	1	51	1	2015	0	N	N	Y	Y	N	N	N	N	4	88
61029	1	51	4	2015	6	N	N	Y	Y	N	N	N	N	1	88
61029	2	51	4	2015	0	N	N	Y	Y	N	N	N	N	1	88
61034	1	51	5	2016	0	N	N	Y	N	N	N	N	N	4	3
61040	1	51	1	2016	0	N	Y	Y	Y	N	N	N	N	9	88
61041	1	51	1	2013	0	N	Y	Y	Y	N	N	N	N	8	88
61043	1	51	5	2015	0	N	Y	Y	Y	N	N	N	N	3	1
61049	1	51	1	2015	0	N	Y	N	Y	N	N	N	N	9	88
61054	1	51	2	2015	0	N	Y	Y	Y	N	N	N	N	9	88
61057	1	51	5	2015	0	N	Y	N	N	N	N	N	N	1	4
61067	1	51	1	2014	0	N	N	Y	N	N	N	N	N	9	88
61071	1	51	3	2016	0	N	N	Y	Y	N	N	N	N	9	88
61074	1	51	3	2013	0	N	Y	Y	Y	N	N	N	N	1	88
61076	1	51	5	2016	0	N	N	Y	N	N	N	N	N	5	4
61082	1	51	5	2016	0	N	N	Y	Y	N	N	N	N	9	88
61084	1	51	3	2014	12	N	N	Y	Y	N	N	N	N	1	4
61084	2	51	3	2015	0	Y	 	 	 	 	 	 	 	1	4
61090	1	51	1	2016	8	N	Y	N	N	N	N	N	N	5	88
61094	1	51	5	2014	0	N	Y	Y	Y	N	N	N	N	1	88
61098	1	51	2	2014	0	N	N	Y	Y	N	N	N	N	3	88
71005	1	51	2	2013	0	N	Y	Y	Y	N	N	N	N	9	88
71009	1	51	1	2014	0	N	N	Y	Y	N	N	N	N	9	 
71014	1	51	1	2016	0	N	N	N	N	N	N	Y	N	9	88
71020	1	51	5	2013	0	N	N	Y	Y	N	N	N	N	4	88
71024	1	51	5	2016	0	N	N	Y	Y	N	N	N	N	1	88
71026	1	51	1	2016	0	N	Y	N	Y	N	N	N	N	1	88
71051	1	51	1	2015	0	N	Y	Y	N	N	N	N	N	9	88
71057	1	51	1	2013	0	N	Y	Y	Y	N	N	N	N	8	88
71066	1	51	2	2014	0	N	N	Y	Y	N	N	N	N	1	88
71071	1	51	2	2015	0	N	Y	Y	Y	N	N	N	N	9	88
71094	1	51	1	2013	0	N	N	Y	Y	N	N	N	N	4	88
81012	1	51	1	2016	0	N	N	Y	Y	N	N	N	N	9	88
81014	1	51	1	2016	0	N	Y	Y	Y	N	N	N	N	9	88
81016	1	51	2	2016	0	Y	 	 	 	 	 	 	 	1	88
81019	1	51	2	2016	0	Y	 	 	 	 	 	 	 	1	 
