CHILDCODE	ACTIDR4	ACTR5	ACTOWNR5	ACTMTHR5	ACTDAYR5	ACTHRSR5	PYMRECR5	PDCASHR5	PDKINDR5	PDTIMER5	PDNMPCR5	KEEPMYR5
11001	1	2	1	12	30	1	0	 	 	 	 	 
11001	2	3	1	12	30	1	0	 	 	 	 	 
11002	1	2	1	12	30	1	0	 	 	 	 	 
11002	2	4	1	12	8	1	0	 	 	 	 	 
11003	1	2	1	12	30	2	0	 	 	 	 	 
11004	1	3	1	12	30	5	0	 	 	 	 	 
11004	2	2	1	12	30	1	0	 	 	 	 	 
11005	1	2	1	12	2	1	0	 	 	 	 	 
11005	2	3	1	12	30	1	0	 	 	 	 	 
11006	1	2	1	12	20	1	0	 	 	 	 	 
11006	2	3	1	12	24	1	0	 	 	 	 	 
11007	1	2	1	12	30	1	0	 	 	 	 	 
11008	1	2	1	12	30	1	0	 	 	 	 	 
11008	2	3	1	12	30	1	0	 	 	 	 	 
11011	1	3	1	12	30	5	0	 	 	 	 	 
11011	2	7	1	12	30	4	0	 	 	 	 	 
11011	3	2	1	12	30	4	0	 	 	 	 	 
11012	1	3	1	12	20	4	0	 	 	 	 	 
11012	2	2	1	12	30	1	0	 	 	 	 	 
11013	1	2	1	12	30	1	0	 	 	 	 	 
11013	2	3	1	12	20	4	0	 	 	 	 	 
11014	1	3	1	12	30	1	0	 	 	 	 	 
11014	2	6	2	12	8	4	1	15	 	2	 	1
11014	3	2	1	12	30	1	0	 	 	 	 	 
11015	1	3	1	12	26	6	0	 	 	 	 	 
11015	2	4	1	12	4	3	0	 	 	 	 	 
11017	1	1	2	7	20	6	1	35	 	2	 	0
11017	2	2	1	12	30	1	0	 	 	 	 	 
11017	3	3	1	12	30	2	0	 	 	 	 	 
11018	1	2	1	12	30	1	0	 	 	 	 	 
11019	1	3	1	12	30	3	0	 	 	 	 	 
11019	2	7	2	12	8	8	1	100	 	2	 	1
11019	3	2	1	12	30	1	0	 	 	 	 	 
11020	1	2	1	12	30	2	0	 	 	 	 	 
11021	1	2	1	12	30	2	0	 	 	 	 	 
11022	1	2	1	10	30	1	0	 	 	 	 	 
11022	2	4	1	10	30	2	0	 	 	 	 	 
11022	3	1	2	2	24	5	5	 	 	4	 	2
11022	4	3	1	12	30	1	0	 	 	 	 	 
11024	1	2	1	12	7	2	0	 	 	 	 	 
11024	2	3	1	12	30	2	0	 	 	 	 	 
11025	1	2	1	12	30	1	0	 	 	 	 	 
11025	2	3	1	12	30	1	0	 	 	 	 	 
11026	1	2	1	12	30	1	0	 	 	 	 	 
11026	2	3	1	12	30	1	0	 	 	 	 	 
11027	1	2	1	12	30	2	0	 	 	 	 	 
11027	2	1	1	12	2	1	0	 	 	 	 	 
11029	1	2	1	12	30	2	0	 	 	 	 	 
11030	1	3	1	12	30	3	0	 	 	 	 	 
11030	2	2	1	12	30	1	0	 	 	 	 	 
11031	1	2	1	12	8	1	0	 	 	 	 	 
11033	1	3	1	12	7	1	0	 	 	 	 	 
11033	2	7	1	12	8	5	1	5	 	2	 	1
11033	3	2	1	12	20	1	0	 	 	 	 	 
11034	1	2	1	12	30	2	0	 	 	 	 	 
