PLACEID	MNTRIDR4	TRANS	TITRANS
1	1	4	70
1	2	5	90
1	3	8	80
2	1	8	90
2	2	4	60
3	1	8	180
3	2	5	200
4	1	8	100
4	2	5	120
5	1	8	120
5	2	5	130
6	1	8	120
6	2	4	90
6	3	5	150
7	1	8	200
7	2	5	230
8	1	8	160
8	2	5	180
9	1	8	90
9	2	5	100
10	1	8	210
10	2	5	240
11	1	8	120
11	2	5	150
12	1	8	120
12	2	5	180
12	3	4	100
13	1	8	90
13	2	5	120
13	3	4	70
14	1	8	60
14	2	10	120
15	1	8	90
15	2	4	60
16	1	8	65
16	2	5	80
16	3	7	80
17	1	8	90
17	2	5	90
18	1	8	210
18	2	10	150
18	3	4	170
19	1	8	210
19	2	5	240
19	3	13	120
20	1	8	180
20	2	7	200
20	3	10	120
21	1	8	190
21	2	10	120
21	3	6	90
22	1	8	180
22	2	10	60
23	1	8	180
23	2	10	120
23	3	5	180
24	1	5	12
24	2	4	8
24	3	1	20
25	1	5	15
25	2	4	10
25	3	3	30
26	1	5	15
26	2	4	10
26	3	1	20
27	1	8	150
27	2	5	180
28	1	8	240
28	2	5	300
29	1	8	240
29	2	5	300
29	3	6	180
30	1	5	190
30	2	8	170
31	1	8	180
31	2	5	240
32	1	8	160
32	2	5	180
33	1	88	 
34	1	88	 
35	1	10	120
35	2	8	120
35	3	5	120
36	1	8	180
36	2	5	210
37	1	8	120
37	2	5	150
37	3	4	130
38	1	8	120
38	2	5	150
40	1	5	120
40	2	8	110
41	1	8	90
41	2	5	120
42	1	8	160
43	1	8	240
44	1	8	180
45	1	8	365
46	1	8	210
47	1	5	20
47	2	4	10
47	3	3	25
48	1	5	10
48	2	4	10
48	3	1	30
49	1	3	30
49	2	4	15
49	3	5	15
50	1	8	90
50	2	5	90
50	3	4	80
51	1	8	120
51	2	5	120
51	3	4	100
52	1	8	120
52	2	5	120
52	3	4	60
53	1	8	100
53	2	5	100
53	3	4	90
54	1	8	120
54	2	5	150
54	3	4	90
55	1	8	120
55	2	5	126
55	3	4	30
56	1	8	90
56	2	5	120
56	3	4	70
57	1	5	105
57	2	4	90
58	1	8	80
58	2	5	60
58	3	7	60
61	1	8	120
61	2	5	100
61	3	4	90
62	1	5	60
62	2	8	60
62	3	4	50
63	1	8	60
63	2	5	55
63	3	4	50
64	1	8	60
64	2	5	60
64	3	4	50
65	1	8	45
65	2	5	45
65	3	4	40
66	1	8	70
66	2	5	70
66	3	4	60
67	1	8	60
67	2	5	60
67	3	4	50
68	1	8	35
68	2	5	35
68	3	4	30
69	1	8	80
69	2	5	85
69	3	4	70
70	1	8	90
70	2	5	100
70	3	4	60
71	1	8	210
71	2	5	180
72	1	8	300
73	1	8	300
74	1	8	180
74	2	6	150
75	1	8	240
76	1	8	180
76	2	10	165
77	1	10	150
77	2	8	180
77	3	6	100
78	1	8	240
78	2	10	180
79	1	8	360
79	2	5	300
79	3	10	150
80	1	8	240
81	1	8	180
81	2	5	180
82	1	8	180
82	2	5	180
83	1	8	180
83	2	5	180
84	1	8	200
84	2	5	200
85	1	8	190
85	2	5	180
86	1	8	10
86	2	5	10
86	3	4	10
87	1	8	10
87	2	4	10
87	3	5	10
88	1	8	10
88	2	5	10
88	3	4	10
89	1	5	20
89	2	4	15
89	3	3	30
89	4	8	45
90	1	8	50
90	2	5	40
90	3	4	30
90	4	10	30
91	1	5	20
91	2	3	30
91	3	4	25
91	4	8	30
92	1	8	70
92	2	5	80
92	3	10	40
93	1	8	180
93	2	5	240
94	1	88	 
96	1	8	180
96	2	5	180
97	1	8	150
97	2	10	90
97	3	6	60
99	1	8	120
99	2	5	150
101	1	5	20
101	2	8	15
101	3	4	15
102	1	5	15
102	2	4	15
