PLACEID	TYFDIDR4	AVGPRCE
1	1	30
1	2	3
4	1	15
6	1	20
6	2	5
12	1	30
14	1	40
14	2	5
16	1	30
16	2	50
17	1	40
17	2	50
18	1	40
18	2	45
18	3	4
19	1	15
20	1	20
20	2	40
21	1	30
27	1	50
35	1	30
38	1	30
42	1	30
43	1	(20,20,7,20=)67
44	1	(20/7/5)=32
45	1	(50/7/5/40)=112
46	1	(25 ,5 , 2O, 5 )  =50
50	1	30
50	2	45
51	1	20
51	2	30
51	3	10
52	1	35
52	2	10
52	3	5
52	4	25
54	1	35
54	2	10
54	3	5
54	4	25
55	1	20
55	2	30
56	1	20
56	2	30
56	3	8
56	4	5
57	1	30
57	2	30
57	3	5
57	4	10
57	5	70
58	1	25
58	2	5
61	1	10
62	1	15
63	1	10
64	1	15
65	1	10
66	1	10
66	2	15
66	3	10
67	1	10
68	1	10
69	1	10
69	2	15
70	1	10
74	1	10
76	1	10
76	2	5
76	3	2
77	1	10
78	1	7
79	1	10
80	1	10
84	1	10
86	1	20
88	1	30
92	1	30
92	2	5
92	3	50
97	1	50
97	2	10
99	1	30
99	2	15
101	1	00
