PLACEID	TYWKIDR4	TYPWMALE	TYPWFMLE
1	1	60	50
1	2	-1111	-1111
1	3	320	130
1	4	200	100
1	5	200	-1111
1	6	-1111	-1111
1	7	-1111	-1111
1	8	-1111	-1111
1	9	-1111	-1111
1	10	-1111	50
1	11	90	-1111
1	12	100	-1111
1	13	0	0
2	1	-2222	-2222
2	2	-1111	-1111
2	3	300	150
2	4	350	100
2	5	400	250
2	6	-1111	-1111
2	7	-1111	60
2	8	150	-1111
2	9	200	-1111
2	10	-1111	-1111
2	11	-1111	-1111
2	12	300	200
2	13	-1111	-1111
3	1	-2222	-2222
3	2	-1111	-1111
3	3	270	80
3	4	170	120
3	5	300	-1111
3	6	-1111	-1111
3	7	-1111	-1111
3	8	-1111	-1111
3	9	-1111	-1111
3	10	-1111	-1111
3	11	-1111	-1111
3	12	250	100
3	13	-1111	-1111
4	1	100	80
4	2	-1111	-11111
4	3	300	100
4	4	200	-1111
4	5	-1111	-1111
4	6	180	-1111
4	7	-1111	-1111
4	8	150	-1111
4	9	-1111	-1111
4	10	-1111	60
4	11	150	-1111
4	12	200	150
4	13	-1111	-1111
5	1	100	70
5	2	-1111	-1111
5	3	300	130
5	4	250	-1111
5	5	250	-1111
5	6	-1111	-1111
5	7	-1111	-1111
5	8	-1111	-1111
5	9	-1111	-1111
5	10	-1111	-1111
5	11	-1111	-1111
5	12	200	100
5	13	-1111	-1111
6	1	150	100
6	2	150	-1111
6	3	250	150
6	4	300	200
6	5	-1111	-1111
6	6	250	-1111
6	7	-1111	-1111
6	8	120	80
6	9	-1111	-1111
6	10	-1111	-1111
6	11	-1111	-1111
6	12	300	150
6	13	-1111	-1111
7	1	-1111	-1111
7	2	-1111	-1111
7	3	300	200
7	4	-1111	-1111
7	5	300	-1111
7	6	-1111	-1111
7	7	-1111	-1111
7	8	-1111	-1111
7	9	-1111	-1111
7	10	-1111	-1111
7	11	200	-1111
7	12	350	300
7	13	-1111	-1111
8	1	-1111	-1111
8	2	-1111	-1111
8	3	350	250
8	4	-1111	-1111
8	5	200	-1111
8	6	-1111	-1111
8	7	-1111	-1111
8	8	-1111	-1111
8	9	-1111	-1111
8	10	-1111	-1111
8	11	-1111	-1111
8	12	-1111	-1111
8	13	-1111	-1111
9	1	-1111	-1111
9	2	-1111	-1111
9	3	300	200
9	4	-1111	-1111
9	5	300	-1111
9	6	-1111	-1111
9	7	-1111	-1111
9	8	-1111	-1111
9	9	-1111	-1111
9	10	-1111	-1111
9	11	-1111	-1111
9	12	200	300
9	13	-1111	-1111
10	1	-1111	-1111
10	2	-1111	-1111
10	3	150	100
10	4	-1111	-1111
10	5	200	-1111
10	6	-1111	-1111
10	7	-1111	-1111
10	8	-1111	-1111
10	9	-1111	-1111
10	10	-1111	-1111
10	11	-1111	-1111
10	12	-1111	-1111
10	13	-1111	-1111
11	1	150	150
11	2	-1111	-1111
