PLACEID	EDUCIDR4	SCHLOC	SCHDES	SCHLOW	SCHHIGH
1	1	1	3	1	5
1	2	2	1	6	10
2	1	1	3	1	5
2	2	1	3	1	7
2	3	2	1	0	12
2	4	2	1	0	12
2	5	2	1	0	10
2	6	2	1	1	12
2	7	2	3	11	12
2	8	2	1	6	10
3	1	1	3	1	5
3	2	1	3	6	10
3	3	2	1	0	10
3	4	2	1	0	10
3	6	2	1	11	12
3	7	2	1	1	10
3	8	2	1	1	12
4	1	1	3	1	5
4	2	2	1	0	10
4	3	2	1	1	10
4	4	2	3	6	10
4	5	2	1	6	10
4	6	2	3	11	12
4	7	2	1	11	12
4	8	2	3	11	12
5	1	1	3	1	7
5	2	2	3	1	10
5	3	2	1	1	10
5	4	2	1	1	10
5	5	2	1	11	12
5	6	2	1	11	12
6	1	1	3	1	5
6	2	1	3	6	10
6	3	1	3	6	10
6	4	2	1	0	10
6	5	2	1	1	10
6	6	2	1	1	10
6	7	2	1	1	10
6	8	2	1	1	10
7	1	1	3	1	5
7	2	1	3	1	5
7	3	1	3	6	10
7	4	1	3	1	5
8	1	1	3	1	5
8	2	1	3	1	5
8	3	2	3	6	10
9	1	1	3	1	5
9	2	1	3	1	5
9	3	1	3	1	5
10	1	1	3	1	5
10	2	1	3	1	5
10	3	1	3	1	5
11	1	1	3	1	5
11	2	1	3	1	10
11	3	1	3	1	10
11	4	1	3	1	7
11	5	1	1	1	10
11	6	1	3	6	10
12	1	2	3	6	10
12	2	2	3	1	5
12	3	2	1	1	10
12	4	1	3	1	7
12	5	2	1	11	12
12	6	2	1	11	12
13	1	2	1	1	10
13	2	2	3	1	5
13	3	1	3	1	7
13	4	2	3	1	5
13	5	2	3	1	5
13	6	2	3	1	10
13	7	2	1	11	12
13	8	2	1	1	10
13	9	2	3	11	12
14	1	1	3	1	7
14	2	2	3	8	10
14	3	2	3	11	12
14	4	2	3	6	10
14	5	2	3	1	10
15	1	1	3	1	5
15	2	1	3	1	5
15	3	1	3	1	5
15	5	2	3	11	12
15	6	2	1	11	12
15	7	2	1	11	12
16	1	1	3	1	7
16	2	1	3	1	5
16	3	2	1	1	10
16	4	2	1	1	10
16	5	2	3	1	10
16	6	2	3	11	12
17	1	1	3	1	7
17	2	1	3	1	5
17	3	2	3	6	10
17	4	2	1	1	12
17	5	2	1	1	10
18	1	1	3	1	7
18	2	2	1	1	10
18	3	2	3	1	10
18	4	2	3	6	10
18	5	2	1	0	10
18	6	2	3	11	12
18	7	2	3	11	12
18	8	2	1	11	12
19	1	1	3	1	7
19	2	1	3	6	10
19	3	2	3	6	10
19	4	2	3	6	10
19	5	2	1	0	10
19	6	1	3	1	5
19	7	2	3	11	12
19	8	2	1	11	12
20	1	2	3	6	10
20	2	2	3	6	10
20	3	2	3	11	12
20	4	2	3	12	12
21	1	1	3	1	5
21	2	2	3	6	10
21	3	2	1	1	10
21	4	2	1	11	12
21	5	2	1	12	12
21	6	2	1	12	12
22	1	2	3	6	10
22	2	2	8	11	12
22	3	2	8	11	12
22	4	1	3	1	5
22	5	1	3	1	5
23	1	1	3	1	5
23	2	2	3	6	10
23	3	2	1	1	10
23	4	2	3	6	10
23	5	2	1	1	10
24	1	1	1	0	7
24	2	1	8	0	10
24	3	2	8	0	10
24	4	2	3	11	12
25	1	1	3	1	5
25	2	1	3	6	10
25	3	1	1	1	10
25	4	1	1	6	10
25	5	1	1	1	10
25	6	2	1	1	10
25	7	1	1	11	12
25	8	2	3	11	12
25	9	1	1	1	10
25	10	1	1	6	10
26	1	1	3	1	5
26	2	1	3	1	7
26	3	2	1	1	10
26	4	2	1	1	10
27	1	1	3	1	5
27	2	1	3	1	10
27	3	1	3	1	5
27	4	1	3	1	5
28	1	1	3	6	10
28	2	1	3	1	5
29	1	1	3	1	7
29	2	2	1	0	10
29	3	2	3	6	10
29	4	2	3	11	12
30	1	1	3	1	5
30	2	2	3	6	10
30	3	2	3	6	12
31	1	1	3	1	5
31	2	1	3	1	5
31	3	1	3	6	10
32	1	1	3	1	5
32	2	1	8	1	5
32	3	1	3	6	10
33	1	1	3	1	5
33	2	1	3	1	5
33	3	2	8	1	5
33	4	2	8	1	5
33	5	2	1	1	10
33	6	2	3	6	10
33	7	2	3	6	10
33	8	1	1	1	10
34	1	1	8	1	5
34	2	1	8	1	5
34	3	2	3	1	7
34	4	1	8	6	12
34	5	1	3	6	10
35	1	1	3	1	5
35	2	2	3	6	10
35	3	2	1	1	10
35	4	2	1	1	10
35	5	2	1	11	12
35	6	2	1	11	12
35	7	2	1	11	12
35	8	2	3	11	12
36	1	1	3	1	5
36	2	2	3	6	10
36	3	2	1	1	10
36	4	2	1	1	10
36	5	2	1	11	12
36	6	2	1	11	12
36	7	2	1	11	12
36	8	2	3	11	12
36	9	2	1	11	12
37	1	1	3	6	10
37	2	1	3	1	5
37	3	2	3	11	12
37	4	2	1	11	12
37	5	2	1	1	10
37	6	2	1	1	10
38	1	1	3	1	7
38	2	2	3	6	10
38	3	2	1	0	10
38	4	2	1	0	10
38	5	2	3	11	12
38	6	2	1	11	12
40	1	2	3	1	7
40	2	2	3	1	5
40	3	2	3	6	10
40	4	2	1	1	10
40	5	2	1	1	10
40	6	2	1	11	12
40	7	2	3	11	12
41	1	1	3	1	5
41	2	1	2	1	10
41	3	2	1	1	10
41	4	1	3	1	10
41	5	2	3	11	12
42	1	1	3	1	5
42	2	1	3	1	5
42	3	1	3	1	5
42	4	1	3	1	5
42	5	1	3	1	5
42	6	2	1	1	10
42	7	1	3	1	10
42	8	2	3	11	12
42	9	2	1	11	12
43	1	1	3	1	5
43	2	1	3	6	10
43	3	2	1	1	10
43	4	2	3	11	12
44	1	1	3	1	5
44	2	1	3	1	5
44	3	1	3	6	10
44	4	2	2	1	10
44	5	1	3	1	5
44	6	1	3	1	5
44	7	2	3	11	12
45	1	1	3	1	5
45	2	1	3	1	5
45	3	2	3	1	8
45	4	2	3	6	10
45	5	2	1	1	10
45	6	2	1	1	10
45	7	1	3	11	12
45	8	1	3	6	10
46	1	1	3	1	5
46	2	1	3	6	10
46	3	2	1	1	5
46	4	2	1	1	10
46	5	2	3	1	10
46	6	1	3	11	12
47	1	1	3	6	10
47	2	1	11	10	0
47	3	1	3	1	5
47	4	2	3	6	12
48	1	1	3	1	7
48	2	2	3	6	10
48	3	2	6	6	12
49	1	1	3	6	10
49	2	1	11	0	10
49	3	2	3	1	10
49	4	2	3	1	10
49	5	2	3	6	12
50	1	1	3	1	5
50	2	2	3	1	5
50	3	2	11	0	10
50	4	2	3	6	10
51	1	1	3	1	6
51	2	2	11	0	10
51	3	2	11	0	10
51	4	2	3	6	10
52	1	1	3	1	5
52	2	2	3	1	5
52	3	2	3	6	10
52	4	2	11	0	10
53	1	1	3	1	5
53	2	1	3	6	10
53	3	1	11	0	10
54	1	1	3	1	5
54	2	2	3	6	10
54	3	2	1	0	12
55	1	1	3	1	5
55	2	2	3	1	5
55	3	2	3	6	10
55	4	2	11	0	10
55	5	2	11	0	10
56	1	1	3	1	7
56	2	1	3	1	5
56	3	2	11	0	5
56	4	2	3	6	10
56	5	2	3	6	10
57	1	1	3	1	5
