PLACEID	EDINIDR4	EDFACAVL	OTHEDFAC	EDFACTIM	EDFACTRN
13	4	0	 	30	5
13	5	3	 	 	 
13	6	0	 	30	5
13	7	88	 	 	 
14	1	3	 	 	 
14	2	3	 	 	 
14	3	0	 	30	5
14	4	0	 	30	5
14	5	3	 	 	 
14	6	0	 	30	5
14	7	88	 	 	 
15	1	0	 	35	5
15	2	0	 	35	5
15	3	0	 	25	5
15	4	0	 	35	5
15	5	0	 	80	8
15	6	0	 	35	5
15	7	88	 	 	 
16	1	0	 	120	8
16	2	0	 	20	8
16	3	0	 	20	5
16	4	0	 	20	5
16	5	0	 	120	8
16	6	3	 	 	 
16	7	88	 	 	 
17	1	0	 	90	8
17	2	0	 	60	8
17	3	0	 	15	5
17	4	0	 	15	5
17	5	0	 	120	8
17	6	0	 	90	8
17	7	88	 	 	 
18	1	0	 	55	8
18	2	0	 	55	8
18	3	0	 	7	8
18	4	0	 	34	8
18	5	0	 	180	8
18	6	0	 	55	8
18	7	88	 	 	 
19	1	3	 	 	 
19	2	0	 	40	5
19	3	0	 	30	5
19	4	0	 	45	5
19	5	3	 	 	 
19	6	3	 	 	 
19	7	88	 	 	 
20	1	3	 	 	 
20	2	0	 	10	1
20	3	0	 	30	5
20	4	3	 	 	 
20	5	0	 	50	5
20	6	0	 	30	5
20	7	88	 	 	 
21	1	3	 	 	 
21	2	3	 	 	 
21	3	0	 	30	5
21	4	0	 	30	5
21	5	0	 	30	5
21	6	3	 	 	 
21	7	3	 	 	 
22	1	3	 	 	 
22	2	3	 	 	 
22	3	0	 	15	5
22	4	3	 	 	 
22	5	0	 	45	8
22	6	3	 	 	 
22	7	88	 	 	 
23	1	0	 	30	8
23	2	0	 	30	8
23	3	0	 	30	8
23	4	0	 	15	8
23	5	0	 	180	8
23	6	0	 	15	8
23	7	0	 	15	8
24	1	0	 	20	8
24	2	0	 	15	5
24	3	0	 	10	5
24	4	1	 	 	 
24	5	0	 	26	8
24	6	1	 	 	 
24	7	88	 	 	 
25	1	0	 	20	5
25	2	0	 	10	5
25	3	0	 	15	5
25	4	1	 	 	 
25	5	0	 	50	8
25	6	0	 	15	5
25	7	3	 	 	 
26	1	0	 	20	5
26	2	0	 	15	5
26	3	0	 	15	5
26	4	0	 	20	5
26	5	0	 	25	8
26	6	0	 	15	5
26	7	88	 	 	 
27	1	3	 	 	 
27	2	3	 	 	 
27	3	3	 	 	 
27	4	3	 	 	 
27	5	3	 	 	 
27	6	3	 	 	 
27	7	3	 	 	 
