PLACEID	SERVIDR4	AVLOC	SRVAVL	SRVRT	SRVTIME	SRVTRANS
1	1	1	1	1	 	 
1	2	0	 	 	25	8
1	3	0	 	 	40	8
1	4	0	 	 	40	8
1	5	0	 	 	40	8
1	6	1	1	3	 	 
1	7	0	 	 	40	8
1	8	0	 	 	 	 
1	9	0	 	 	40	8
1	10	1	1	2	 	 
1	11	0	 	 	 	 
1	12	0	 	 	 	 
1	13	0	 	 	25	8
1	14	1	1	2	 	 
1	15	0	 	 	25	8
1	16	0	 	 	25	8
1	17	0	 	 	25	8
1	18	0	 	 	25	8
1	19	0	 	 	25	8
1	20	0	 	 	0	88
1	21	1	1	2	 	 
1	22	0	 	 	40	8
1	23	1	1	2	 	 
1	24	0	 	 	40	8
1	25	0	 	 	40	8
1	26	0	 	 	40	8
2	1	0	 	 	30	5
2	2	0	 	 	30	5
2	3	0	 	 	30	5
2	4	0	 	 	30	5
2	5	0	 	 	30	5
2	6	1	1	3	 	 
2	7	0	 	 	30	5
2	8	1	1	2	 	 
2	9	0	 	 	30	5
2	10	1	1	2	 	 
2	11	1	1	3	 	 
2	12	1	1	2	 	 
2	13	0	 	 	30	5
2	14	1	1	2	 	 
2	15	0	 	 	30	5
2	16	0	 	 	30	5
2	17	0	 	 	30	5
2	18	0	 	 	30	5
2	19	0	 	 	30	5
2	20	0	 	 	30	5
2	21	1	1	3	 	 
2	22	0	 	 	30	5
2	23	1	1	2	 	 
2	24	0	 	 	30	5
2	25	1	1	2	 	 
2	26	0	 	 	30	5
3	1	0	 	 	30	5
3	2	0	 	 	30	5
3	3	0	 	 	30	5
3	4	0	 	 	30	5
3	5	0	 	 	30	5
3	6	1	1	2	 	 
3	7	0	 	 	30	5
3	8	0	 	 	 	 
3	9	0	 	 	30	5
3	10	1	1	2	 	 
3	11	0	 	 	 	 
3	12	1	1	1	 	 
3	13	0	 	 	30	5
3	14	1	1	2	 	 
3	15	0	 	 	30	5
3	16	0	 	 	30	5
3	17	0	 	 	30	5
3	18	0	 	 	30	5
3	19	0	 	 	30	5
3	20	0	 	 	0	88
3	21	1	1	2	 	 
3	22	0	 	 	30	5
3	23	1	1	2	 	 
3	24	0	 	 	30	5
3	25	1	1	3	 	 
3	26	0	 	 	30	5
4	1	0	 	 	45	5
4	2	0	 	 	45	5
4	3	0	 	 	45	5
4	4	0	 	 	45	5
4	5	0	 	 	45	5
4	6	1	4	3	 	 
4	7	0	 	 	45	5
4	8	0	 	 	 	 
4	9	0	 	 	30	5
4	10	1	1	2	 	 
4	11	1	1	1	 	 
4	12	1	1	1	 	 
4	13	0	 	 	30	5
4	14	1	1	3	 	 
4	15	1	1	2	 	 
4	16	0	 	 	40	5
4	17	0	 	 	40	5
4	18	0	 	 	40	5
4	19	0	 	 	40	5
4	20	0	 	 	0	88
4	21	1	1	3	 	 
4	22	0	 	 	40	5
4	23	1	1	2	 	 
4	24	0	 	 	40	5
4	25	1	1	3	 	 
4	26	0	 	 	40	5
5	1	0	 	 	20	5
5	2	0	 	 	20	5
5	3	0	 	 	20	5
5	4	0	 	 	20	5
5	5	0	 	 	20	5
5	6	1	1	2	 	 
5	7	1	1	2	 	 
5	8	1	1	2	 	 
5	9	0	 	 	20	5
5	10	1	1	3	 	 
5	11	0	 	 	 	 
5	12	1	1	2	 	 
5	13	0	 	 	20	5
5	14	1	1	2	 	 
5	15	0	 	 	20	5
5	16	0	 	 	20	5
5	17	0	 	 	20	5
5	18	0	 	 	20	5
5	19	0	 	 	20	5
5	20	0	 	 	0	88
5	21	1	1	3	 	 
5	22	0	 	 	20	5
5	23	1	1	3	 	 
5	24	0	 	 	10	5
5	25	1	1	3	 	 
5	26	0	 	 	20	5
6	1	0	 	 	30	5
6	2	0	 	 	30	5
6	3	0	 	 	30	5
6	4	0	 	 	30	5
