PLACEID	DWAGIDR4	MAVWG	MADWG01	MADWG02	MADWG03	FAVWG	FADWG01	FADWG02	FADWG03
1	1	250	0	88	88	0	88	88	88
1	2	-1111	0	88	88	80	6	88	88
1	3	-1111	88	88	88	60	0	88	88
1	4	200	0	88	88	100	0	88	88
1	5	200	2	88	88	100	0	88	88
1	6	60	0	88	88	-1111	88	88	88
1	7	0	88	88	88	0	88	88	88
2	1	220	1	0	88	-1111	88	88	88
2	2	-1111	88	88	88	150	0	88	88
2	3	-1111	88	88	88	80	0	88	88
2	4	220	0	88	88	100	0	88	88
2	5	250	0	88	88	100	0	88	88
2	6	-1111	88	88	88	-1111	88	88	88
2	7	-1111	88	88	88	-1111	88	88	88
3	1	200	0	88	88	-1111	88	88	88
3	2	-1111	88	88	88	100	0	88	88
3	3	-1111	88	88	88	100	0	88	88
3	4	200	0	88	88	100	0	88	88
3	5	100	0	88	88	70	0	88	88
3	6	-2222	0	88	88	-2222	0	88	88
3	7	-1111	88	88	88	-1111	88	88	88
4	1	200	1	0	88	100	1	0	88
4	2	-1111	0	0	88	100	1	0	88
4	3	-1111	0	0	88	100	1	0	88
4	4	200	0	0	88	150	0	0	88
4	5	200	0	0	88	100	0	0	88
4	6	-1111	0	0	88	-1111	0	0	88
4	7	-1111	0	0	88	-1111	0	0	88
5	1	200	2	0	88	100	6	0	88
5	2	200	2	0	88	100	6	0	88
5	3	-1111	88	88	88	100	6	0	88
5	4	200	2	0	88	100	6	0	88
5	5	200	2	0	88	100	6	0	88
5	6	110	0	88	88	-1111	88	88	88
5	7	-1111	88	88	88	-1111	88	88	88
6	1	200	1	6	88	100	1	6	88
6	2	-1111	0	0	88	100	1	6	88
6	3	-1111	0	0	88	100	1	6	88
6	4	250	1	6	88	-1111	0	0	88
6	5	200	1	6	88	100	1	6	88
6	6	-1111	0	0	88	-1111	0	0	88
6	7	-1111	0	0	88	-1111	0	0	88
7	1	50	0	0	0	30	0	0	0
7	2	50	0	0	0	30	0	0	0
7	3	50	0	0	0	30	0	0	0
7	4	100	0	0	0	50	0	0	0
7	5	50	0	0	0	30	0	0	0
7	6	0	88	88	88	0	88	88	88
7	7	0	88	88	88	0	88	88	88
8	1	150	0	0	0	50	0	0	0
8	2	150	0	0	0	50	0	0	0
8	3	150	0	0	0	50	0	0	0
8	4	150	0	0	0	50	0	0	0
8	5	150	0	0	0	50	0	0	0
8	6	-1111	88	88	88	-1111	88	88	88
8	7	0	88	88	88	0	88	88	88
9	1	150	0	0	0	100	0	0	0
9	2	150	0	0	0	100	0	0	0
9	3	150	0	0	0	100	0	0	0
9	4	150	0	0	0	100	0	0	0
9	5	150	0	0	0	100	0	0	0
9	6	-1111	88	88	88	-1111	88	88	88
9	7	-1111	88	88	88	-1111	88	88	88
10	1	50	0	0	0	30	0	0	0
10	2	50	0	0	0	30	0	0	0
10	3	50	0	0	0	30	0	0	0
10	4	50	0	0	0	30	0	0	0
10	5	50	0	0	0	30	0	0	0
10	6	-1111	88	88	88	-1111	88	88	88
10	7	-1111	88	88	88	-1111	88	88	88
11	1	150	0	0	0	120	0	0	0
11	2	150	0	0	0	120	0	0	0
11	3	150	0	0	0	120	0	0	0
11	4	150	0	0	0	150	0	0	0
11	5	150	0	0	0	120	0	0	0
11	6	175	0	0	0	175	0	0	0
11	7	-1111	88	88	88	-1111	88	88	88
12	1	250	0	88	88	-1111	88	88	88
12	2	-1111	88	88	88	130	0	88	88
12	3	-1111	88	88	88	100	0	88	88
12	4	300	2	88	88	-1111	0	88	88
12	5	300	0	88	88	100	0	88	88
12	6	70	0	88	88	-1111	88	88	88
12	7	100	88	88	88	100	88	88	88
13	1	150	0	88	88	-1111	88	88	88
13	2	-1111	88	88	88	120	0	88	88
13	3	-1111	88	88	88	100	0	88	88
13	4	150	0	88	88	100	0	88	88
13	5	150	0	88	88	100	0	88	88
13	6	-1111	88	88	88	-1111	88	88	88
13	7	-1111	88	88	88	-1111	88	88	88
14	1	250	2	6	0	120	6	0	88
14	2	300	2	0	88	200	0	88	88
14	3	-1111	88	88	88	120	0	88	88
14	4	250	2	6	0	150	2	6	0
14	5	-1111	88	88	88	120	0	88	88
14	6	-1111	88	88	88	-1111	88	88	88
14	7	-1111	88	88	88	-1111	88	88	88
15	1	200	0	88	88	-1111	88	88	88
15	2	-1111	88	88	88	120	88	88	88
15	3	150	88	88	88	-1111	88	88	88
15	4	200	2	88	88	-1111	88	88	88
15	5	200	88	88	88	120	88	88	88
15	6	70	88	88	88	-1111	88	88	88
15	7	35	88	88	88	0	88	88	88
16	1	200	1	2	0	150	1	2	0
16	2	300	1	2	0	150	1	2	0
16	3	-1111	88	88	88	100	0	88	88
16	4	300	1	2	0	150	0	88	88
16	5	300	1	2	0	100	0	88	88
16	6	-1111	88	88	88	-1111	88	88	88
16	7	0	88	88	88	0	88	88	88
17	1	300	2	4	88	-1111	0	88	88
17	2	-1111	0	88	88	100	2	0	88
17	3	-1111	0	88	88	100	2	0	88
17	4	200	0	88	88	200	0	88	88
17	5	300	2	3	88	100	0	88	88
17	6	-1111	0	88	88	-1111	0	88	88
17	7	-1111	0	88	88	-1111	0	88	88
18	1	250	2	1	88	-1111	88	88	88
18	2	1111	88	88	88	120	88	88	88
18	3	1111	88	88	88	60	88	88	88
18	4	250	2	4	88	1111	88	88	88
18	5	250	0	0	0	70	88	88	88
18	6	60	88	88	88	1111	88	88	88
18	7	0	88	88	88	0	88	88	88
19	1	200	0	88	88	100	0	88	88
19	2	200	0	88	88	100	0	88	88
19	3	-1111	88	88	88	100	0	88	88
19	4	200	1	0	88	100	1	0	88
19	5	200	0	88	88	-1111	88	88	88
19	6	-1111	88	88	88	-1111	88	88	88
19	7	-1111	88	88	88	-1111	88	88	88
20	1	250	1	0	88	120	0	88	88
20	2	-1111	88	88	88	150	0	88	88
20	3	250	1	0	88	150	0	88	88
20	4	250	1	2	88	150	0	88	88
20	5	300	1	2	88	300	0	88	88
20	6	0	6	0	88	-1111	88	88	88
20	7	-1111	88	88	88	-1111	88	88	88
21	1	250	0	88	88	-1111	0	88	88
21	2	-1111	0	88	88	100	2	0	88
21	3	-1111	0	88	88	100	0	88	88
21	4	250	2	0	88	100	0	88	88
21	5	200	0	88	88	80	0	88	88
21	6	-1111	0	88	88	-1111	0	88	88
21	7	-1111	0	88	88	-1111	0	88	88
22	1	200	1	2	0	100	0	0	0
22	2	200	0	0	0	100	0	0	0
22	3	200	0	0	0	100	0	0	0
22	4	300	1	2	0	100	0	0	0
22	5	300	0	0	0	100	0	0	0
22	6	-1111	0	0	0	-1111	0	0	0
22	7	-1111	0	0	0	-1111	0	0	0
23	1	250	2	3	88	120	2	6	88
23	2	0	88	88	88	120	1	6	88
23	3	250	2	4	88	120	1	6	88
23	4	300	2	3	88	120	1	6	88
23	5	300	2	3	88	120	1	6	88
23	6	-1111	88	88	88	-1111	88	88	88
23	7	-1111	0	0	0	-1111	0	0	88
24	1	0	88	88	88	0	88	88	88
24	2	0	88	88	88	0	88	88	88
24	3	0	88	88	88	0	88	88	88
