PLACEID	HLTHIDR4	CURHFAC	TRNHFAC
1	1	0	8
1	2	0	8
1	3	0	8
1	4	0	8
1	5	0	8
1	6	0	8
1	7	0	8
1	8	0	8
1	9	0	8
1	10	88	 
1	11	0	8
2	1	0	5
2	2	0	5
2	3	0	5
2	4	0	5
2	5	1	 
2	6	0	5
2	7	0	5
2	8	0	5
2	9	3	 
2	10	3	 
2	11	0	5
3	1	0	5
3	2	0	5
3	3	0	5
3	4	0	5
3	5	0	5
3	6	0	5
3	7	0	5
3	8	0	5
3	9	0	5
3	10	3	 
3	11	0	5
4	1	0	5
4	2	0	5
4	3	0	5
4	4	0	5
4	5	0	5
4	6	0	5
4	7	0	5
4	8	0	5
4	9	0	8
4	10	88	 
4	11	0	8
5	1	0	5
5	2	0	5
5	3	0	5
5	4	0	5
5	5	0	5
5	6	0	5
5	7	0	5
5	8	0	5
5	9	0	5
5	10	3	 
5	11	0	5
6	1	0	5
6	2	0	5
6	3	0	5
6	4	0	5
6	5	0	5
6	6	0	5
6	7	0	5
6	8	0	5
6	9	0	5
6	10	88	 
6	11	0	5
7	1	3	 
7	2	3	 
7	3	1	 
7	4	3	 
7	5	3	 
7	6	3	 
7	7	3	 
7	8	1	 
7	9	3	 
7	10	88	 
7	11	3	 
8	1	3	 
8	2	3	 
8	3	0	8
8	4	3	 
8	5	0	8
8	6	3	 
8	7	3	 
8	8	3	 
8	9	3	 
8	10	88	 
8	11	3	 
9	1	3	 
9	2	3	 
9	3	0	8
9	4	0	8
9	5	0	5
9	6	3	 
9	7	0	8
9	8	0	8
9	9	3	 
9	10	88	 
9	11	3	 
10	1	3	 
10	2	3	 
10	3	0	1
10	4	3	 
10	5	3	 
10	6	3	 
10	7	3	 
10	8	3	 
10	9	3	 
10	10	88	 
10	11	3	 
11	1	3	 
11	2	3	 
11	3	1	 
11	4	1	 
11	5	3	 
11	6	3	 
11	7	1	 
11	8	1	 
11	9	3	 
11	10	88	 
11	11	3	 
12	1	0	5
12	2	0	5
12	3	0	5
12	4	0	5
12	5	0	5
12	6	0	5
12	7	0	5
12	8	0	5
12	9	0	5
12	10	88	 
12	11	0	8
13	1	0	5
13	2	0	5
13	3	0	5
13	4	0	5
13	5	0	5
13	6	0	5
13	7	0	5
13	8	0	5
13	9	3	 
13	10	88	 
13	11	3	 
14	1	0	5
14	2	0	5
14	3	0	5
14	4	0	5
14	5	0	5
14	6	0	5
14	7	0	5
14	8	0	5
14	9	3	 
14	10	3	 
14	11	3	 
15	1	1	 
15	2	1	 
15	3	1	 
15	4	1	 
15	5	1	 
15	6	1	 
15	7	1	 
15	8	1	 
15	9	1	 
15	10	88	 
15	11	1	 
16	1	0	8
16	2	0	8
16	3	0	5
16	4	0	5
16	5	0	5
16	6	0	5
16	7	0	5
16	8	0	5
16	9	0	5
16	10	88	 
16	11	0	5
17	1	0	5
17	2	0	5
17	3	0	5
17	4	0	5
17	5	0	5
17	6	0	5
17	7	0	5
17	8	0	5
17	9	0	5
17	10	88	 
17	11	0	5
18	1	0	5
18	2	0	8
18	3	0	1
18	4	0	8
18	5	0	8
18	6	0	8
18	7	0	8
18	8	0	8
18	9	0	8
18	10	88	 
18	11	0	8
19	1	0	8
19	2	0	8
19	3	0	5
19	4	1	 
19	5	0	1
19	6	0	5
19	7	0	5
19	8	0	5
19	9	0	8
19	10	88	 
19	11	0	8
20	1	0	5
20	2	0	5
20	3	0	5
20	4	0	5
20	5	0	5
20	6	0	5
20	7	0	5
20	8	0	5
20	9	0	5
20	10	88	 
20	11	0	5
21	1	0	8
21	2	0	8
21	3	0	8
21	4	0	8
21	5	0	8
21	6	0	8
21	7	0	8
21	8	0	8
21	9	3	 
21	10	88	 
21	11	0	8
22	1	0	5
22	2	0	8
22	3	0	5
22	4	0	5
22	5	0	1
22	6	0	5
22	7	0	3
22	8	0	5
22	9	0	5
22	10	88	 
22	11	0	5
23	1	0	8
23	2	0	8
23	3	0	8
23	4	1	 
23	5	1	 
23	6	0	8
23	7	0	8
23	8	0	8
23	9	0	8
23	10	88	 
23	11	0	8
24	1	0	5
24	2	0	5
24	3	0	1
24	4	1	 
24	5	1	 
24	6	0	5
24	7	1	 
24	8	0	5
24	9	0	5
24	10	88	 
24	11	0	5
25	1	0	5
25	2	1	 
25	3	1	 
25	4	1	 
25	5	1	 
25	6	1	 
25	7	1	 
25	8	0	5
25	9	1	 
25	10	3	 
25	11	1	 
26	1	0	5
26	2	0	5
26	3	0	5
26	4	1	 
26	5	1	 
26	6	0	1
26	7	1	 
26	8	0	5
26	9	0	5
26	10	88	 
26	11	0	5
27	1	3	 
27	2	3	 
27	3	0	5
27	4	0	5
27	5	3	 
27	6	3	 
27	7	0	5
27	8	0	5
27	9	3	 
27	10	88	 
27	11	3	 
28	1	3	 
28	2	3	 
28	3	1	 
28	4	3	 
28	5	0	5
28	6	3	 
28	7	0	5
28	8	1	 
28	9	3	 
28	10	88	 
28	11	3	 
29	1	3	 
29	2	3	 
29	3	0	1
29	4	0	5
29	5	1	 
29	6	3	 
29	7	0	5
29	8	0	5
29	9	3	 
29	10	88	 
29	11	3	 
30	1	3	 
30	2	3	 
30	3	0	5
30	4	3	 
30	5	0	1
30	6	3	 
30	7	0	5
30	8	0	5
30	9	3	 
30	10	3	 
30	11	3	 
31	1	3	 
31	2	3	 
31	3	0	5
31	4	0	5
31	5	0	5
31	6	3	 
31	7	0	5
31	8	3	 
31	9	3	 
31	10	88	 
31	11	3	 
32	1	3	 
32	2	3	 
32	3	0	5
32	4	3	 
32	5	3	 
32	6	3	 
32	7	0	5
32	8	0	5
32	9	3	 
32	10	88	 
32	11	3	 
33	1	0	5
33	2	1	 
33	3	3	 
33	4	1	 
33	5	3	 
33	6	1	 
33	7	1	 
33	8	0	5
33	9	1	 
33	10	88	 
33	11	0	5
34	1	1	 
34	2	1	 
34	3	0	5
34	4	1	 
34	5	1	 
34	6	1	 
34	7	1	 
34	8	1	 
34	9	1	 
34	10	88	 
34	11	1	 
35	1	0	5
35	2	0	5
35	3	0	5
35	4	0	5
35	5	0	5
35	6	0	5
35	7	0	5
35	8	0	5
35	9	0	5
35	10	88	 
35	11	0	5
36	1	0	5
36	2	0	8
36	3	0	5
36	4	0	5
36	5	0	5
36	6	0	8
36	7	0	8
36	8	0	8
36	9	0	8
36	10	88	 
36	11	0	8
37	1	0	5
37	2	0	5
37	3	0	1
37	4	0	1
37	5	0	5
37	6	0	5
37	7	0	5
37	8	0	8
37	9	0	5
37	10	88	 
37	11	0	8
38	1	0	5
38	2	0	5
38	3	0	5
38	4	1	 
38	5	1	 
38	6	0	5
38	7	0	5
38	8	0	5
38	9	0	5
38	10	88	 
38	11	0	5
40	1	0	5
40	2	0	5
40	3	0	5
40	4	0	5
40	5	0	5
40	6	0	5
40	7	0	5
40	8	0	5
