PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
1	1	2	2013	11	8	88	2	1	88	 
1	2	6	2013	10	8	88	1	0	 	 
1	3	6	2010	11	8	88	2	1	88	 
2	1	6	2010	11	8	9	1	1	88	 
2	2	6	2013	10	8	9	1	88	 	 
3	1	6	2009	10	8	12	1	1	88	 
3	2	6	2011	9	8	9	2	1	88	 
3	3	6	2013	10	8	12	2	88	 	 
4	1	6	2010	9	8	12	1	1	88	 
4	2	6	2012	10	8	18	2	1	88	 
4	3	6	2013	10	8	18	2	0	 	 
5	1	2	2012	9	8	88	3	1	88	 
5	2	3	2009	4	8	88	3	88	 	 
6	1	6	2011	11	8	9	2	1	88	 
6	2	6	2012	10	8	6	2	1	88	 
6	3	6	2013	10	8	3	3	0	 	 
7	1	2	2012	10	8	88	2	0	 	 
8	1	2	2012	10	8	88	2	1	88	 
9	1	2	2012	10	8	88	2	0	 	 
11	1	2	2012	10	8	88	2	1	88	 
12	1	6	2011	9	8	88	2	1	88	 
12	2	2	2010	12	8	88	3	1	88	 
13	1	3	2011	11	9	8	2	0	 	 
13	2	6	2012	12	8	12	2	0	 	 
14	1	6	2009	12	8	88	3	1	88	 
14	2	6	2012	12	8	88	-88	88	 	 
15	1	2	2013	10	8	88	3	0	 	 
15	2	6	2013	10	8	88	2	0	 	 
15	3	6	2010	12	8	88	3	1	88	 
15	4	6	2011	10	8	88	2	1	88	 
16	1	6	2012	10	8	88	3	0	 	 
16	2	3	2010	4	8	88	2	1	88	 
16	3	11	2010	6	13	88	2	0	 	 
17	1	2	2011	11	8	9	2	0	 	 
17	2	2	2013	10	8	18	3	0	 	 
18	1	6	2010	11	8	9	3	1	88	 
18	2	6	2011	7	8	88	2	1	88	 
19	1	6	2009	11	8	18	2	0	 	 
19	2	3	2010	8	9	3	3	0	 	 
20	1	6	2010	11	8	88	2	1	88	 
20	2	3	2011	7	8	9	1	1	88	 
20	3	2	2012	9	8	88	1	0	 	 
21	1	6	2011	11	8	9	2	1	88	 
21	2	6	2010	12	8	9	2	1	88	 
22	1	3	2010	9	8	88	1	1	0	 
22	2	6	2011	10	4	88	2	3	88	 
23	1	6	2011	10	8	9	2	1	3	88
23	2	10	2012	11	8	88	1	0	 	 
27	1	2	2012	9	8	88	1	0	 	 
30	1	2	2012	9	8	88	1	1	88	 
32	1	2	2012	9	8	88	-88	1	88	 
35	1	3	2010	7	8	1	3	1	88	 
35	2	2	2012	9	8	11	3	1	88	 
35	3	9	2013	5	5	88	1	0	 	 
36	2	3	2009	7	1	8	-88	1	88	 
36	3	2	2010	11	8	9	3	1	88	 
37	1	3	2010	7	8	9	3	1	88	 
38	1	3	2010	7	8	9	3	1	88	 
