PLACEID	GBGEIDR4	GRBDIS	OTHDIS	AVGCOL	COMTH
77	3	1	 	 	3
77	4	0	 	 	 
77	5	1	 	 	1
77	9	0	 	 	 
78	1	0	 	 	 
78	2	1	 	 	3
78	3	1	 	 	2
78	4	0	 	 	 
78	5	1	 	 	1
78	9	0	 	 	 
79	1	0	 	 	 
79	2	1	 	 	1
79	3	1	 	 	2
79	4	0	 	 	 
79	5	1	 	 	3
79	9	0	 	 	 
80	1	0	 	 	 
80	2	1	 	 	3
80	3	1	 	 	2
80	4	0	 	 	 
80	5	1	 	 	1
80	9	0	 	 	 
81	1	0	 	 	 
81	2	1	 	 	0
81	3	0	 	 	 
81	4	0	 	 	 
81	5	1	 	 	3
81	9	0	 	 	 
82	1	0	 	 	 
82	2	1	 	 	0
82	3	0	 	 	 
82	4	0	 	 	 
82	5	1	 	 	3
82	9	0	 	 	 
83	1	0	 	 	 
83	2	0	 	 	 
83	3	0	 	 	 
83	4	0	 	 	 
83	5	1	 	 	1
83	9	0	 	 	 
84	1	0	 	 	 
84	2	1	 	 	0
84	3	1	 	 	0
84	4	0	 	 	 
84	5	1	 	 	3
84	9	0	 	 	 
85	1	0	 	 	 
85	2	1	 	 	0
85	3	0	 	 	 
85	4	0	 	 	 
85	5	1	 	 	2
85	9	0	 	 	 
86	1	1	 	15	1
86	2	0	 	 	 
86	3	0	 	 	 
86	4	0	 	 	 
86	5	0	 	 	 
86	9	0	 	 	 
87	1	1	 	30	1
87	2	0	 	 	 
87	3	0	 	 	 
87	4	1	 	 	1
87	5	0	 	 	 
87	9	0	 	 	 
88	1	1	 	20	1
88	2	0	 	 	 
88	3	0	 	 	 
88	4	0	 	 	 
88	5	0	 	 	 
88	9	0	 	 	 
89	1	1	 	5	1
89	2	1	 	 	1
89	3	1	 	 	1
89	4	1	 	 	1
89	5	0	 	 	 
89	9	0	 	 	 
90	1	1	 	20	1
90	2	0	 	 	 
90	3	1	 	 	2
90	4	1	 	 	2
90	5	0	 	 	 
90	9	0	 	 	 
91	1	1	 	20	2
91	2	0	 	 	 
91	3	1	 	 	2
91	4	1	 	 	3
91	5	0	 	 	 
91	9	0	 	 	 
92	1	0	 	 	 
92	2	1	 	 	1
