PLACEID	RSID	AGERES	SEXRES	CASTE	CAPAC	LIVRES
10	3	28	2	2	4	28
10	4	50	1	4	8	25
10	5	45	1	4	8	45
10	6	38	1	4	8	5
10	7	40	1	4	8	40
10	8	60	1	4	8	40
10	9	48	1	3	8	20
10	10	29	1	4	8	29
10	11	33	1	3	8	33
10	12	26	1	3	8	8
10	13	30	1	3	8	10
10	14	28	2	2	3	6
10	15	40	2	2	3	40
11	1	52	1	3	9	15
11	2	46	2	4	4	30
11	3	40	2	1	6	25
11	4	45	1	4	8	20
11	5	50	1	4	8	30
11	6	40	1	4	8	40
11	7	38	1	4	8	5
11	8	60	1	4	8	40
11	9	48	1	3	8	20
11	10	50	1	3	8	50
11	11	55	1	4	8	55
11	12	30	1	3	8	10
11	13	43	1	3	8	8
11	14	55	2	4	3	30
11	15	40	2	3	3	15
12	1	42	1	3	8	42
12	2	24	2	3	1	5
12	3	47	1	3	8	47
12	4	65	1	3	8	65
12	5	39	1	1	8	39
12	6	26	1	1	8	26
12	7	38	2	2	3	1
12	8	36	1	1	9	1
12	9	62	2	1	1	62
12	10	40	1	1	9	2
12	11	30	2	1	6	12
12	12	45	1	4	8	45
12	13	48	1	3	8	15
12	14	40	1	3	8	40
12	15	45	1	4	8	45
12	16	60	1	4	8	60
12	17	46	1	4	8	46
12	18	50	1	4	8	50
12	19	55	1	4	8	55
12	20	52	1	4	8	52
12	21	35	1	3	8	35
12	22	34	1	3	8	34
12	23	42	1	3	8	42
12	24	56	1	3	8	18
12	25	48	1	4	8	48
12	26	47	1	4	8	47
12	27	36	2	3	8	14
12	28	38	2	3	8	10
12	29	45	1	3	8	45
12	30	37	1	3	8	37
12	31	29	1	3	8	29
12	32	32	1	3	8	32
12	33	45	1	3	8	45
12	34	36	1	3	8	36
13	1	48	1	3	2	48
13	2	30	1	3	4	30
13	3	38	1	3	8	38
13	4	40	2	3	8	18
13	5	38	2	3	8	15
13	6	26	2	2	3	26
13	7	36	2	3	8	15
13	8	28	2	3	4	3
13	9	47	1	1	8	47
13	10	40	1	2	2	40
13	11	42	2	3	3	3
13	12	45	1	4	8	45
13	13	48	1	3	8	15
13	14	40	1	3	8	40
13	15	55	1	4	8	55
13	16	50	1	4	8	50
13	17	56	1	4	8	18
13	18	42	1	3	8	16
13	19	60	1	4	8	60
13	20	46	1	4	8	46
13	21	36	2	3	8	14
13	22	38	2	3	8	10
13	23	45	1	4	8	40
13	24	52	1	4	8	52
13	25	47	1	4	8	47
13	26	48	1	4	8	48
13	27	45	1	3	8	45
13	28	37	1	3	8	37
13	29	34	1	3	8	34
13	30	35	1	3	8	35
13	31	29	1	3	8	29
13	32	32	1	3	8	32
13	33	45	1	3	8	45
13	34	36	1	3	8	36
14	1	52	1	3	1	52
14	2	35	2	3	8	35
14	3	27	2	3	8	11
14	4	32	2	3	3	14
14	5	64	1	4	8	64
14	6	45	1	3	8	45
14	7	35	2	3	6	35
14	8	27	2	1	8	11
14	9	70	1	3	4	70
14	10	45	1	3	8	45
14	11	42	1	1	8	42
14	12	45	1	3	9	2
14	13	45	1	4	8	45
14	14	48	1	3	8	15
14	15	40	1	3	8	40
14	16	50	1	4	8	50
14	17	55	1	4	8	55
14	18	56	1	4	8	18
14	19	42	1	3	8	16
14	20	60	1	4	8	60
14	21	46	1	4	8	46
14	22	45	1	4	8	40
14	23	52	1	4	8	52
14	24	48	1	4	8	48
14	25	47	1	4	8	47
14	26	45	1	3	8	45
14	27	37	1	3	8	37
14	28	34	1	3	8	34
14	29	35	1	3	8	35
14	30	29	1	3	8	29
14	31	32	1	3	8	32
14	32	36	2	3	8	14
14	33	38	2	3	8	10
14	34	45	1	3	8	45
14	35	36	1	3	8	36
15	1	52	2	3	1	52
15	2	58	1	3	8	58
15	3	36	2	3	8	20
15	4	38	2	3	3	17
15	5	30	2	3	8	12
15	6	26	2	3	3	10
15	7	41	2	3	8	25
15	8	47	1	3	5	47
15	9	40	2	3	4	3
15	10	32	2	3	3	32
15	11	42	1	3	8	42
15	12	35	1	3	8	35
15	13	48	1	3	8	48
15	14	29	1	3	8	29
15	15	39	1	1	8	39
15	16	43	1	3	8	43
15	17	28	1	3	8	28
15	18	41	1	3	8	41
15	19	46	1	4	8	46
15	20	53	1	3	8	53
15	21	32	1	3	8	32
15	22	47	1	3	8	47
15	23	33	1	3	8	33
15	24	29	1	3	8	29
15	25	34	1	3	8	34
15	26	44	1	1	8	44
15	27	43	1	3	8	43
15	28	32	1	3	8	32
15	29	36	1	3	8	36
15	30	46	1	3	8	46
15	31	39	1	3	8	39
15	32	42	1	3	8	42
15	33	38	2	3	8	38
15	34	44	2	1	8	44
16	1	40	1	1	7	20
16	2	35	2	1	3	20
16	3	40	1	1	9	1
16	4	60	2	3	1	60
16	5	35	1	3	1	35
16	6	60	1	3	7	60
16	7	30	2	3	8	2
16	8	38	2	3	8	18
16	9	52	2	3	6	30
16	10	49	2	3	4	1
16	11	33	2	3	8	10
16	12	42	1	3	8	42
16	13	35	1	3	8	35
16	14	48	1	3	8	48
16	15	29	1	3	8	29
16	16	39	1	1	8	39
16	17	43	1	3	8	43
16	18	28	1	3	8	28
16	19	41	1	3	8	41
16	20	46	1	4	8	46
16	21	53	1	3	8	53
16	22	32	1	3	8	32
16	23	47	1	3	8	47
16	24	33	1	3	8	33
16	25	29	1	3	8	29
16	26	34	1	3	8	34
16	27	44	1	1	8	44
16	28	43	1	3	8	43
16	29	32	1	3	8	43
16	30	36	1	3	8	36
16	31	46	1	3	8	46
16	32	39	1	3	8	39
16	33	42	1	3	8	42
16	34	38	2	3	8	38
16	35	44	2	1	8	44
16	36	31	1	4	8	31
17	1	41	1	1	1	41
17	2	32	1	3	1	32
17	3	40	1	3	2	40
17	4	25	2	3	8	6
17	5	28	1	3	1	28
17	6	23	2	1	3	1
17	7	32	2	3	6	15
17	8	31	2	3	6	16
17	9	43	1	4	4	43
17	10	45	1	3	8	45
17	11	45	1	4	8	45
17	12	48	1	3	8	15
17	13	40	1	3	8	40
17	14	45	1	4	8	40
17	15	52	1	4	8	52
17	16	60	1	4	8	60
17	17	46	1	4	8	46
17	18	50	1	4	8	50
17	19	55	1	4	8	55
17	20	56	1	4	8	18
17	21	42	1	3	8	16
17	22	48	1	4	8	48
17	23	47	1	4	8	47
17	24	45	1	3	8	45
17	25	37	1	3	8	37
17	26	34	1	3	8	34
17	27	35	1	3	8	35
17	28	29	1	3	8	29
17	29	32	2	3	8	32
17	30	36	2	3	8	36
17	31	38	2	3	8	10
17	32	45	1	3	8	45
17	33	36	1	3	8	36
18	1	60	1	3	7	60
18	2	40	2	1	8	23
18	3	32	2	3	3	10
18	4	41	2	3	4	2
18	5	45	1	3	7	45
18	6	45	1	3	1	45
18	7	43	2	3	1	24
18	8	23	1	3	8	23
