PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	MONTHS	MTRNYSSN	FACTORY	KNDFCCL1	KNDFCCL2	KNDFCCL3	KNDFACE1	EMPLMEN	EMPLWOMN	EMPLCHLD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	PRGINF1	PRGINF2	PRGINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	MTLHLTH	GENPHYS	SPECPHYS	DENTIST	OTHRPERS	PHCINF1	TYPESTB	HLTHDL01	HLTHDL02	HLTHDL03	HLTHDL04	HLTHDL05	HLTHDL06	HLTHDL07	HLTHDL08	HLTHDL09	HLTHDL10	HLTHDL11	HLTHDL12	HLTHDL13	HLTHDL14	HLTHDL15	HLTHLD16	OVRALLCN	CNDSPACE	CNDLIGHT	CNDVNTL	CNDCLEAN	CNDOTHR	CHHLTPR01	CHHLTPR02	CHHLTPR03	ADHLTPR01	ADHLTPR02	ADHLTPR03	WNHLTPR01	WNHLTPR02	WNHLTPR03	MNHLTPR01	MNHLTPR02	MNHLTPR03
47	20/01/2014 09:53:57	12	10	0	1	2	3	12610	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	2	4	5	1	4	6	5	2	6	4	6	9	11	12	13	14	10	5	7	4	6	10	3	2	4	0	6	10	1	0	0	0	1	0	1	0	0	1	0	1	0	3	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	2	2	2	1	2	2	1	14	6	6	1	13	1	8	21	1	10	11
48	20/01/2014 15:09:31	12	10	0	1	11	2	3568	0	0	0	0	0	0	1	8	0	 	0	 	 	 	 	 	 	 	0	14	3	4	5	7	8	6	9	12	15	17	18	25	24	23	22	21	20	8	7	11	6	13	16	11	0	26	27	13	0	0	0	1	1	1	1	0	0	0	0	0	26	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	2	1	1	1	1	77	18	1	6	4	1	18	4	20	22	20	4	1
49	27/01/2014 15:42:57	12	49	0	1	2	3	23118	0	1	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	3	5	4	7	6	8	7	8	2	8	9	10	18	17	16	15	14	5	7	11	4	3	1	11	4	0	13	12	5	0	0	0	1	1	1	1	0	0	0	0	0	13	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	3	1	1	1	1	88	18	1	6	4	1	18	4	22	1	18	15	6
50	13/11/2013 10:32:30	11	8	0	1	2	3	1500	0	0	1	0	0	0	0	3	2	2	2	19	88	 	19	15	10	0	0	8	6	3	4	5	7	7	3	4	5	6	3	1	2	3	4	5	6	7	8	7	4	7	8	9	0	3	4	5	0	0	0	1	1	1	1	0	0	0	0	0	5	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	2	2	2	2	1	88	15	6	13	1	7	6	4	11	7	1	7	11
51	04/11/2013 11:27:41	11	8	0	1	12	7	721	1	0	0	0	1	0	0	3	3	3	0	 	 	 	 	 	 	 	1	2	6	7	2	3	4	16	12	9	3	4	5	10	11	12	13	14	15	16	17	5	6	3	4	6	0	5	7	9	0	0	0	1	1	1	1	0	0	0	0	0	3	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	2	2	2	2	2	88	15	7	11	1	7	11	4	7	13	1	11	7
52	22/10/2013 10:34:33	11	8	0	1	2	12	1699	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	3	14	2	6	7	15	11	2	3	1	13	8	9	10	6	5	7	12	15	13	2	1	3	11	0	11	5	10	1	0	0	1	1	0	0	0	0	0	0	0	11	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	2	88	1	11	6	1	6	11	4	7	13	10	9	19
53	04/11/2013 10:54:49	11	8	0	1	2	7	1750	1	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	10	4	7	5	6	7	5	8	2	9	3	4	3	1	2	4	5	6	7	8	9	10	1	10	4	0	4	5	8	0	0	0	1	0	1	1	0	0	0	0	0	8	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	2	1	1	2	2	88	6	13	15	7	11	13	4	7	13	11	1	6
54	09/11/2013 10:17:32	11	8	0	1	2	6	725	0	0	1	0	1	0	0	3	3	3	0	 	 	 	 	 	 	 	1	7	4	2	5	6	10	11	4	2	6	2	9	1	2	3	4	5	6	7	8	9	10	2	3	4	0	1	5	4	0	0	0	1	1	1	0	0	0	0	0	0	9	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	2	2	2	2	2	88	1	15	16	6	7	11	4	11	7	7	1	13
55	17/09/2013 09:52:32	11	9	0	1	6	9	1713	1	0	1	1	0	0	0	1	6	0	0	 	 	 	 	 	 	 	0	3	2	5	5	3	9	5	10	11	7	3	4	3	4	5	6	7	8	9	10	11	12	3	5	7	0	11	4	9	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	2	2	2	2	2	88	15	1	13	1	7	11	7	4	11	1	7	11
56	28/07/2013 08:21:42	11	9	0	1	7	4	1286	1	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	3	6	7	1	4	3	1	2	7	2	3	5	6	12	13	7	12	10	17	15	19	20	9	1	4	1	7	8	6	0	0	0	1	1	1	1	0	0	0	0	0	8	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	2	1	1	2	88	6	15	8	1	13	11	4	8	22	7	11	1
57	21/07/2013 09:37:53	11	9	0	1	4	10	1150	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	1	10	6	1	5	10	1	3	5	10	6	5	11	2	3	12	14	16	13	17	18	19	13	18	20	1	3	15	4	1	0	0	1	1	1	1	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	88	6	9	11	4	15	13	4	8	15	15	1	11
58	01/08/2013 15:20:45	11	9	0	1	10	9	970	0	1	1	0	1	0	0	2	2	1	0	 	 	 	 	 	 	 	0	3	4	8	12	2	8	11	2	12	6	5	7	4	5	6	7	8	9	10	11	12	3	4	1	5	0	8	4	10	0	0	0	1	1	1	1	0	0	0	0	0	5	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	2	2	1	2	1	88	15	7	11	1	7	11	4	1	13	1	7	11
61	18/08/2013 07:42:21	14	17	0	1	2	3	1200	1	1	0	1	0	0	0	2	6	4	2	11	8	2	8	6	15	0	1	1	4	5	2	10	3	1	2	9	6	7	5	13	14	15	16	17	18	19	20	21	22	1	9	2	1	1	11	12	1	1	1	1	1	1	1	0	0	0	0	0	12	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	88	1	6	11	1	6	11	9	19	21	5	19	11
62	17/08/2013 07:42:30	14	17	0	1	2	4	635	1	0	1	0	0	0	0	3	0	 	2	16	18	88	16	20	10	0	1	1	22	11	2	3	1	6	7	2	10	11	22	12	13	14	15	16	17	18	19	20	21	1	2	6	1	9	3	7	0	1	1	1	1	1	1	0	0	0	0	0	9	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	1	1	2	1	88	1	6	15	1	6	11	9	19	5	5	1	19
63	06/09/2013 10:02:47	14	17	0	1	2	4	2200	1	1	1	1	0	0	0	3	2	2	2	8	4	88	8	5	3	0	1	2	3	7	1	8	7	1	2	3	10	2	9	11	12	13	14	15	16	17	18	19	20	4	2	1	0	5	6	1	1	1	1	1	1	1	1	0	0	0	0	1	6	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	2	1	1	1	88	1	6	7	6	11	4	9	6	4	5	9	3
64	11/09/2013 17:30:17	14	17	0	1	3	2	2500	1	0	1	1	0	0	0	3	0	 	2	14	88	 	14	40	20	0	1	1	7	2	1	3	4	3	6	8	6	7	1	12	13	14	15	16	17	18	19	20	21	22	1	5	0	1	8	23	1	1	1	1	1	1	1	0	0	0	0	0	23	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	88	1	6	11	1	6	11	9	19	21	5	19	11
65	27/08/2013 10:59:17	14	17	0	1	3	4	1030	1	1	0	1	0	0	0	2	3	3	0	 	 	 	 	 	 	 	1	1	3	11	4	3	5	1	3	10	6	5	11	12	13	14	15	16	17	18	19	20	21	3	1	10	1	8	9	1	0	1	0	1	1	1	1	0	0	0	0	0	9	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	2	88	1	6	11	6	1	11	9	19	21	5	19	11
66	17/10/2013 12:19:21	14	18	0	1	5	2	1837	1	0	1	1	0	0	0	3	4	4	2	18	88	 	18	10	5	0	1	2	3	1	2	9	12	1	2	10	1	4	9	6	8	13	14	15	16	18	19	20	21	11	1	2	0	17	7	2	0	1	1	1	1	1	1	1	0	0	0	0	17	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	2	1	2	1	20	4	6	6	1	15	8	4	21	9	1	11
67	11/11/2013 11:41:19	14	18	0	1	3	4	2150	1	1	0	1	0	0	0	2	4	4	1	18	88	 	18	15	0	0	1	1	2	3	1	2	3	1	4	9	1	2	3	11	12	13	14	15	16	17	18	19	20	4	7	9	0	2	3	9	0	1	1	1	1	1	1	0	0	0	0	0	8	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	2	1	2	1	20	1	15	4	20	1	5	11	21	17	19	11
68	19/09/2013 15:29:54	14	18	0	1	2	3	1450	0	0	1	1	0	0	0	3	0	 	2	8	19	88	8	5	3	0	1	8	6	4	1	2	5	1	2	8	2	3	20	12	13	14	15	16	17	18	19	9	10	7	2	1	0	11	5	8	0	1	0	1	1	1	1	0	0	0	0	0	11	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	2	1	1	2	2	88	1	20	15	1	6	4	5	11	21	19	7	11
69	03/10/2013 08:40:32	14	18	0	1	3	5	2100	1	0	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	4	1	6	2	2	7	6	18	17	19	6	7	8	9	10	11	12	13	15	16	1	2	21	1	14	2	1	0	1	1	1	1	1	1	0	0	0	0	0	14	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	2	1	2	2	15	4	6	1	6	4	5	11	8	19	7	11
70	04/11/2013 06:28:16	14	18	0	1	3	5	2195	1	1	1	1	0	1	0	3	8	4	0	 	 	 	 	 	 	 	1	1	3	5	1	3	5	1	3	11	1	5	6	12	13	14	15	16	17	18	19	22	23	1	3	11	1	9	10	1	0	1	0	1	1	1	1	0	1	0	0	0	9	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	88	1	20	6	1	20	9	22	4	15	1	20	17
71	16/08/2013 08:47:22	14	71	0	1	10	5	2200	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	10	5	1	5	10	1	10	5	1	10	5	2	3	4	7	8	5	1	6	10	11	6	10	1	1	9	10	1	0	1	1	1	1	1	0	0	1	0	0	0	9	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	2	2	2	2	2	88	5	1	6	5	1	6	4	1	11	1	6	5
72	11/08/2013 08:38:13	14	16	0	3	10	4	3600	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	4	3	10	3	4	10	4	10	8	10	1	3	1	2	6	7	9	11	12	13	5	10	10	4	7	1	8	10	4	0	1	1	1	1	1	1	0	1	0	0	0	5	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	3	1	1	1	1	88	1	15	11	1	15	20	1	8	4	1	14	20
73	12/08/2013 10:27:24	14	73	0	4	5	8	2000	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	4	5	8	4	5	8	5	8	12	4	5	8	1	2	6	7	9	10	5	5	3	13	5	8	11	1	5	8	12	0	0	0	1	1	1	0	0	1	0	0	0	12	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	3	1	1	1	1	88	1	15	6	1	15	6	1	8	4	1	4	6
74	21/10/2013 08:52:12	14	16	0	1	11	4	4200	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	4	11	1	3	11	1	4	11	1	4	11	5	6	7	8	9	10	1	4	11	5	3	1	11	0	2	11	1	1	1	1	1	1	1	0	1	0	0	0	0	2	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	2	1	1	2	88	11	14	15	1	8	6	8	22	1	1	9	19
75	12/08/2013 12:10:52	14	75	0	1	11	7	2850	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	7	11	1	7	11	1	7	11	7	1	11	1	2	3	5	6	7	8	9	10	3	7	5	11	1	4	11	7	0	0	1	1	1	1	0	0	1	0	0	0	4	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	88	15	6	11	11	15	1	4	1	14	1	9	14
76	10/01/2014 07:00:43	14	19	0	1	2	8	750	0	0	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	4	8	1	4	2	1	2	10	8	6	5	11	12	13	14	15	16	17	18	19	19	4	10	1	0	9	3	4	1	1	0	1	1	1	0	0	0	0	0	0	9	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	2	1	1	1	1	2	1	6	11	1	6	7	22	4	8	1	3	19
77	05/12/2013 19:03:54	14	19	0	1	2	5	2500	1	0	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	5	1	3	6	1	2	9	1	5	6	11	12	13	14	15	16	17	18	19	20	1	2	9	1	10	4	5	0	1	0	0	1	1	1	0	0	0	0	0	10	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	88	1	6	20	15	4	19	1	20	21	1	19	5
78	01/02/2014 06:58:47	14	19	0	2	1	3	2850	1	0	1	1	0	1	0	3	0	 	0	 	 	 	 	 	 	 	1	3	2	12	1	2	4	2	6	12	6	7	1	15	16	17	18	19	20	21	22	23	24	10	12	2	1	13	9	14	1	1	0	1	1	1	1	0	1	0	0	0	13	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	2	1	1	1	2	1	20	15	1	4	15	21	22	1	11	19	5
79	05/12/2013 19:09:17	14	19	0	1	3	4	2500	1	0	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	1	3	5	1	3	5	1	3	7	5	6	1	10	11	12	13	14	15	16	17	21	22	7	1	3	0	10	4	1	0	1	0	1	1	1	1	0	1	0	0	0	18	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	2	1	1	1	88	20	6	1	15	4	1	1	20	4	1	19	5
80	01/02/2014 07:41:48	14	19	0	1	2	3	1250	1	1	0	1	0	0	0	1	9	3	1	17	18	88	18	20	40	0	1	1	2	3	2	3	4	1	2	4	4	5	6	10	11	12	13	14	15	16	17	18	19	1	2	4	1	1	2	5	0	1	0	1	1	1	1	0	1	1	0	0	8	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	2	1	1	1	88	20	6	1	15	4	1	1	20	4	1	19	5
81	28/11/2013 10:08:04	20	15	0	8	9	10	1199	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	8	9	10	8	9	10	8	9	10	8	9	10	1	2	3	4	5	6	7	8	9	10	8	9	10	1	8	9	10	0	1	1	1	1	1	1	0	0	0	0	0	11	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	2	1	1	1	2	88	1	20	15	1	11	20	22	14	20	9	20	14
82	30/11/2013 13:38:40	20	15	0	1	2	8	1290	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	8	1	2	8	1	2	8	1	2	8	3	4	5	6	7	8	9	10	11	1	1	7	8	1	1	2	8	0	0	1	1	1	1	0	0	0	0	0	0	11	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	2	1	1	1	2	88	1	15	20	1	11	20	14	22	20	9	14	19
83	02/12/2013 12:31:15	20	15	0	1	4	5	2500	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	4	5	1	4	5	1	4	5	1	4	5	2	3	5	6	7	8	9	1	4	8	1	10	4	1	11	4	1	0	0	0	1	1	1	1	0	0	0	0	0	11	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	2	88	1	15	20	1	20	11	22	14	20	9	14	19
84	01/12/2013 11:30:26	20	15	0	2	4	5	1714	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	2	4	10	2	4	5	10	2	4	2	4	5	1	2	3	4	5	6	7	8	9	10	2	12	10	1	4	10	2	0	0	0	1	1	0	1	0	0	0	0	0	11	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	2	1	1	1	2	88	1	15	20	1	11	20	14	22	20	9	14	19
85	29/11/2013 14:46:05	20	15	0	7	8	9	2400	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	7	8	10	7	8	9	7	8	9	2	8	9	1	2	3	4	5	6	7	8	9	1	10	8	9	1	7	8	9	0	0	0	1	1	1	1	0	0	0	0	0	11	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	2	1	1	1	2	88	1	15	20	1	11	20	14	22	20	9	14	19
86	26/12/2013 11:48:56	20	14	0	1	2	6	5850	0	0	1	0	0	0	0	3	0	 	1	8	18	88	18	15	20	0	0	1	2	6	1	2	6	1	2	6	1	2	6	2	3	4	5	6	7	8	9	10	1	9	1	6	1	10	1	6	0	0	0	1	1	1	1	0	1	0	0	0	10	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	1	2	1	1	2	88	1	6	20	4	20	14	4	20	22	1	19	14
87	11/01/2014 08:53:15	20	87	0	1	3	10	4520	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	1	3	10	1	3	10	10	3	8	1	3	10	1	2	4	5	6	7	3	8	9	10	3	9	10	1	8	3	10	0	0	0	1	1	1	1	0	1	1	1	0	8	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	2	2	1	88	1	6	20	14	20	4	4	20	22	1	19	14
88	19/01/2014 08:39:19	20	88	0	2	8	9	5200	0	0	1	0	0	0	0	3	0	 	1	8	18	88	18	50	40	0	0	2	8	9	2	8	9	2	8	9	2	8	9	1	2	3	4	5	6	7	8	9	10	7	8	9	1	8	9	10	0	0	0	1	1	1	1	0	1	1	1	0	10	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	2	1	1	1	88	20	1	6	4	1	14	8	14	20	9	14	19
89	09/01/2014 16:28:08	16	89	0	1	2	3	4300	0	0	1	0	0	0	0	3	0	 	2	18	16	8	16	1500	1000	0	0	1	2	3	1	4	5	1	5	3	1	2	5	10	12	13	15	17	19	19	20	21	22	1	4	7	0	1	2	8	1	1	1	1	1	1	1	0	1	1	0	0	8	2	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	2	1	1	1	88	6	15	20	20	1	17	10	20	19	5	10	19
90	08/11/2013 10:12:49	16	90	0	1	2	4	4500	0	0	1	0	0	1	0	3	0	 	2	16	18	1	16	1200	2000	0	0	1	2	5	2	6	8	2	3	7	1	2	4	18	19	20	21	22	23	24	25	26	27	2	4	1	0	11	17	32	1	1	1	1	1	1	1	0	1	1	1	0	11	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	2	2	1	1	2	88	15	20	20	20	6	8	22	20	4	5	19	20
91	11/12/2013 15:02:40	16	91	0	1	2	3	3000	0	0	1	0	0	1	0	3	0	 	1	15	18	16	16	1600	600	0	0	1	2	3	1	2	3	1	2	3	1	2	3	6	8	8	10	10	12	14	16	18	20	1	2	3	0	1	2	3	0	0	0	1	1	1	1	0	1	1	1	0	22	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	2	2	2	1	88	15	20	20	20	20	20	8	4	20	4	17	19
92	06/11/2013 09:00:44	1	6	0	9	1	4	1150	0	0	1	0	0	1	0	3	0	 	2	8	19	88	8	15	20	0	1	9	7	3	8	2	9	2	9	10	1	5	7	11	13	17	20	23	27	29	33	32	14	2	3	8	0	10	9	7	1	1	0	1	1	1	1	0	1	0	0	0	10	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	88	1	11	6	1	6	4	4	1	22	6	19	5
93	18/09/2013 14:38:47	5	2	0	1	2	3	1800	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	3	0	0	0	1	1	1	1	0	1	0	0	0	14	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	2	2	2	2	2	88	1	6	11	1	4	11	1	4	9	1	10	19
94	15/12/2013 16:00:05	5	1	0	1	2	3	3756	0	0	1	0	0	1	0	3	0	 	2	19	88	 	19	50	50	0	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	1	1	0	1	1	1	0	0	1	0	0	0	14	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	2	2	2	1	1	88	1	20	9	1	4	17	1	22	8	1	13	19
96	04/12/2013 09:52:53	20	15	0	5	8	9	2800	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	5	8	9	5	8	9	5	8	9	5	8	9	1	2	3	4	5	6	7	8	9	2	10	8	5	1	11	8	5	0	0	0	1	1	1	1	1	1	0	0	0	11	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	2	1	1	1	2	88	1	20	15	1	20	11	22	14	20	9	14	19
97	02/09/2013 19:47:26	1	7	0	2	5	8	2500	0	0	1	0	0	0	0	3	0	 	1	8	2	16	8	100	120	0	1	4	7	5	1	3	8	7	4	5	5	1	3	8	11	12	13	17	15	16	17	23	18	4	7	1	1	5	4	6	1	0	0	1	1	1	0	0	1	0	0	1	5	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	2	3	1	1	1	88	1	6	13	4	1	6	4	1	6	17	1	6
99	31/01/2014 10:20:31	1	5	0	1	3	8	2500	1	0	1	1	0	0	0	3	0	 	2	19	18	88	19	70	40	0	1	6	8	10	9	2	8	9	1	7	10	3	6	11	13	15	17	18	21	24	25	30	34	7	8	9	1	4	5	8	0	0	0	1	1	1	0	0	0	0	0	0	4	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	88	4	1	6	6	4	1	19	8	15	11	5	6
101	22/12/2013 20:44:56	1	101	0	2	3	5	4845	0	0	1	0	0	0	0	3	0	 	2	8	16	18	16	540	330	0	0	3	5	6	1	3	7	6	2	4	7	5	2	8	9	10	11	21	17	27	32	29	15	2	5	1	0	5	1	3	0	0	0	1	1	1	1	1	1	1	1	0	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	88	11	1	9	4	1	15	4	6	5	19	5	1
102	25/12/2013 13:09:20	1	102	0	1	2	4	3015	0	0	1	0	1	0	0	3	0	 	1	8	16	18	16	1000	500	50	1	1	2	4	4	2	1	3	2	4	1	4	2	5	7	9	11	13	15	17	19	21	23	1	4	2	1	3	2	1	0	1	0	1	1	1	1	1	1	1	1	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	88	6	1	9	13	17	6	4	8	6	19	1	7
