PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	MONTHS	MTRNYSSN	FACTORY	KNDFCCL1	KNDFCCL2	KNDFCCL3	KNDFACE1	EMPLMEN	EMPLWOMN	EMPLCHLD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	PRGINF1	PRGINF2	PRGINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	MTLHLTH	GENPHYS	SPECPHYS	DENTIST	OTHRPERS	PHCINF1	TYPESTB	HLTHDL01	HLTHDL02	HLTHDL03	HLTHDL04	HLTHDL05	HLTHDL06	HLTHDL07	HLTHDL08	HLTHDL09	HLTHDL10	HLTHDL11	HLTHDL12	HLTHDL13	HLTHDL14	HLTHDL15	HLTHLD16	OVRALLCN	CNDSPACE	CNDLIGHT	CNDVNTL	CNDCLEAN	CNDOTHR	CHHLTPR01	CHHLTPR02	CHHLTPR03	ADHLTPR01	ADHLTPR02	ADHLTPR03	WNHLTPR01	WNHLTPR02	WNHLTPR03	MNHLTPR01	MNHLTPR02	MNHLTPR03
11	25/02/2014 14:53:39	1	4	0	1	2	3	7450	0	0	1	0	0	0	0	3	2	2	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	1	0	0	1	1	1	1	1	1	1	1	0	14	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	88	1	20	11	1	5	4	1	19	22	1	19	2
12	05/11/2013 10:55:46	1	6	0	1	2	3	1342	1	0	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	11	1	3	5	12	13	14	15	16	17	18	19	20	21	1	3	5	0	1	7	9	1	0	1	1	0	0	0	0	0	0	0	0	7	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	2	88	1	6	11	1	4	13	1	4	15	1	9	10
13	05/11/2013 11:08:45	1	6	0	1	3	4	3500	1	0	1	1	0	0	0	3	0	 	1	8	18	88	8	25	30	0	1	1	5	2	2	4	6	2	4	5	3	5	8	12	13	15	17	19	21	23	25	27	29	4	10	1	1	11	7	4	0	0	0	1	1	1	1	0	1	0	0	0	11	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	88	13	1	6	1	15	6	6	15	21	5	1	19
14	27/10/2013 20:50:23	1	6	0	1	10	11	1100	1	0	1	1	0	0	0	3	0	 	2	19	88	 	19	10	0	0	1	1	2	11	1	3	11	1	4	9	1	6	11	5	13	15	17	19	21	23	25	27	29	1	9	10	1	1	4	10	0	0	0	1	1	1	0	0	0	0	0	0	4	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	2	2	1	2	2	88	6	1	13	7	11	13	22	19	9	19	7	9
15	01/11/2013 12:57:43	1	0	0	1	2	8	1286	1	1	1	1	0	0	0	3	0	 	1	2	9	88	8	0	6	0	1	1	8	2	1	6	8	1	3	8	1	6	8	11	12	13	14	15	16	17	18	19	20	1	9	7	0	1	4	8	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	2	88	6	1	1	1	15	4	12	15	4	1	10	13
16	07/11/2013 15:26:58	1	6	0	2	3	5	1299	1	1	1	1	0	0	0	3	0	 	1	8	18	88	8	15	5	0	1	5	8	1	6	7	9	10	3	5	4	1	3	12	14	16	18	20	22	24	26	28	30	3	11	8	1	4	7	8	1	1	0	1	1	1	1	0	1	1	1	0	7	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	88	13	6	4	4	6	20	22	4	20	1	5	11
17	08/11/2013 11:09:02	1	17	0	1	2	7	1240	1	0	1	1	0	0	0	3	0	 	1	8	18	88	18	10	10	0	1	1	3	9	4	9	7	9	1	4	1	7	2	10	12	4	18	20	22	33	29	26	23	4	1	9	0	6	4	9	1	1	0	1	1	1	1	0	1	0	0	0	6	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	88	1	4	11	4	1	9	19	15	8	1	5	19
18	01/09/2013 16:03:58	1	7	0	7	9	1	1860	1	1	1	1	0	0	0	3	0	 	1	8	88	 	88	0	0	0	1	7	2	3	1	5	6	7	11	5	1	6	7	12	15	16	17	18	19	20	24	22	23	5	6	8	0	3	9	10	0	1	0	1	1	1	1	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	2	1	1	2	88	1	6	11	4	15	6	1	11	20	19	6	11
19	02/09/2013 17:24:49	1	7	0	1	3	11	1309	0	1	1	1	0	0	0	3	0	 	2	8	88	 	8	5	40	10	1	7	3	12	7	13	3	7	2	13	4	5	12	11	15	16	17	25	19	18	24	26	29	2	8	7	1	14	7	1	0	1	0	1	1	1	0	0	0	0	0	0	14	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	2	1	1	1	1	88	1	15	4	1	6	19	4	1	6	17	1	6
20	02/09/2013 17:15:22	1	20	0	10	5	3	1240	1	1	1	1	0	1	0	1	0	 	0	 	 	 	 	 	 	 	1	5	9	2	5	8	2	5	1	3	5	9	10	4	11	12	13	17	15	16	23	24	18	1	8	2	1	5	3	2	1	1	0	1	1	1	0	0	0	0	0	0	3	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	2	3	1	1	1	88	1	6	7	1	7	13	8	19	22	10	13	20
21	16/09/2013 17:19:14	1	21	0	1	7	10	2730	1	1	0	0	0	0	0	1	0	 	0	 	 	 	 	 	 	 	1	1	8	9	1	8	7	5	3	2	4	8	9	11	12	13	18	20	26	15	24	23	30	5	1	8	1	2	10	6	1	0	0	1	1	1	1	0	0	0	0	0	2	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	2	3	1	1	1	88	4	1	9	6	11	13	4	6	15	6	17	3
22	18/09/2013 13:33:15	1	22	0	1	4	5	810	1	0	1	1	0	0	0	1	0	 	1	8	88	 	8	0	95	0	1	2	4	5	2	9	37	1	2	37	4	9	37	6	10	15	16	18	19	22	27	29	36	1	2	5	1	7	8	2	1	1	0	1	1	1	1	1	1	1	1	0	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	88	4	11	17	1	4	17	7	22	8	10	13	19
