PLACEID	HLTAMIDR4	ACCAMEN	OFTAMEN
1	1	1	1
1	2	1	2
1	3	1	2
1	4	1	1
2	1	1	1
2	2	1	1
2	3	1	1
2	4	1	1
3	1	1	1
3	2	1	1
3	3	1	1
3	4	1	1
4	1	1	1
4	2	1	1
4	3	1	1
4	4	1	1
5	1	1	1
5	2	1	1
5	3	1	1
5	4	1	1
6	1	1	1
6	2	1	1
6	3	1	1
6	4	1	1
7	1	1	1
7	2	1	1
7	3	1	1
7	4	1	1
8	1	1	1
8	2	1	1
8	3	1	1
8	4	1	1
9	1	1	1
9	2	1	1
9	3	1	1
9	4	1	1
10	1	0	 
10	2	1	1
10	3	1	1
10	4	1	1
11	1	1	1
11	2	1	1
11	3	1	1
11	4	1	1
12	1	1	2
12	2	1	1
12	3	1	1
12	4	1	3
13	1	1	1
13	2	0	 
13	3	1	1
13	4	1	2
14	1	0	 
14	2	1	1
14	3	1	1
14	4	1	1
15	1	1	2
15	2	1	1
15	3	0	 
15	4	0	 
16	1	1	1
16	2	1	1
16	3	1	1
16	4	1	1
17	1	1	1
17	2	1	1
17	3	1	1
17	4	1	1
18	1	0	 
18	2	1	1
18	3	1	1
18	4	1	1
19	1	0	 
19	2	1	1
19	3	1	1
19	4	1	1
20	1	0	 
20	2	1	2
20	3	1	1
20	4	1	1
21	1	0	 
21	2	1	1
21	3	1	1
21	4	1	1
22	1	1	1
22	2	1	1
22	3	1	1
22	4	1	1
23	1	1	2
23	2	1	1
23	3	0	 
23	4	1	1
24	1	1	2
24	2	1	1
24	3	1	1
24	4	1	1
25	1	1	1
25	2	1	1
25	3	1	1
25	4	1	1
26	1	1	2
26	2	1	1
26	3	1	1
26	4	1	1
27	1	0	 
27	2	1	1
27	3	1	1
27	4	1	1
28	1	1	1
28	2	1	1
28	3	1	1
28	4	1	1
29	1	0	 
29	2	1	1
29	3	1	1
29	4	1	1
30	1	0	 
30	2	1	1
30	3	1	1
30	4	1	1
31	1	0	 
31	2	1	1
31	3	1	1
31	4	0	 
32	1	0	 
32	2	1	1
32	3	1	1
32	4	1	1
33	1	1	1
33	2	1	1
33	3	1	1
33	4	1	1
34	1	1	1
34	2	1	1
34	3	1	1
34	4	1	1
35	1	1	1
35	2	1	1
35	3	1	1
35	4	0	 
36	1	1	1
36	2	1	1
36	3	1	1
36	4	1	1
37	1	1	2
37	2	1	1
37	3	1	1
37	4	1	1
38	1	1	1
38	2	1	1
38	3	1	1
38	4	1	1
40	1	1	1
40	2	1	1
40	3	0	 
40	4	1	1
41	1	0	 
41	2	0	 
41	3	1	1
41	4	1	1
42	1	0	 
42	2	1	1
42	3	1	1
42	4	1	1
43	1	1	1
43	2	1	1
43	3	1	1
43	4	1	1
44	1	1	1
44	2	1	1
44	3	1	1
44	4	1	1
45	1	1	1
45	2	1	1
45	3	1	1
45	4	1	1
46	1	1	1
46	2	1	1
46	3	1	1
46	4	1	1
47	1	1	1
47	2	1	1
47	3	1	1
47	4	1	1
48	1	0	 
48	2	1	2
48	3	1	1
48	4	1	1
49	1	0	 
49	2	1	2
49	3	1	1
49	4	1	1
50	1	1	1
50	2	1	1
50	3	1	1
50	4	1	1
51	1	1	1
51	2	1	1
51	3	1	1
51	4	1	1
52	1	0	 
52	2	1	1
52	3	1	1
52	4	1	1
53	1	1	1
53	2	1	1
53	3	1	1
53	4	1	1
54	1	1	1
54	2	1	1
54	3	1	1
54	4	1	1
55	1	1	1
55	2	1	1
