PLACEID	PRGIDR4	CURRPROG	PROGSTOP
5	44	0	88
5	45	0	88
5	46	0	88
5	47	0	88
5	50	0	88
5	51	1	 
5	52	1	 
5	53	1	 
5	55	1	 
5	62	1	 
5	63	0	88
5	65	1	 
5	66	1	 
5	67	0	88
5	68	0	88
6	10	1	 
6	11	1	 
6	12	0	88
6	13	1	 
6	15	0	88
6	16	1	 
6	17	1	 
6	18	0	88
6	21	1	 
6	24	1	 
6	25	1	 
6	26	1	 
6	27	0	88
6	29	0	88
6	34	0	88
6	35	1	 
6	37	0	88
6	38	0	88
6	39	1	 
6	40	1	 
6	44	0	88
6	45	0	88
6	46	0	88
6	47	0	88
6	50	1	 
6	51	1	 
6	52	1	 
6	53	1	 
6	55	1	 
6	62	1	 
6	63	0	88
6	65	1	 
6	66	1	 
6	67	1	 
6	68	0	88
7	10	1	 
7	11	1	 
7	12	0	88
7	13	1	 
7	15	1	 
7	16	0	88
7	17	1	 
7	18	0	88
7	21	1	 
7	24	1	 
7	25	1	 
7	26	1	 
7	27	1	 
7	29	1	 
7	34	0	88
7	35	1	 
7	37	0	88
7	38	1	 
7	39	1	 
7	40	1	 
7	44	0	88
7	45	0	88
7	46	0	88
7	47	1	 
7	50	0	88
7	51	1	 
7	52	1	 
7	53	1	 
7	55	1	 
7	62	1	 
7	63	0	88
7	65	1	 
7	66	0	88
7	67	1	 
7	68	1	 
8	10	1	 
8	11	1	 
8	12	0	88
8	13	1	 
8	15	1	 
8	16	0	88
8	17	1	 
8	18	0	88
8	21	1	 
8	24	1	 
8	25	1	 
8	26	1	 
8	27	0	88
8	29	0	88
8	34	0	88
8	35	1	 
8	37	0	88
8	38	0	88
8	39	0	88
8	40	1	 
8	44	0	88
8	45	0	88
8	46	0	88
8	47	1	 
8	50	0	88
8	51	1	 
8	52	1	 
8	53	1	 
8	55	1	 
8	62	1	 
8	63	0	88
8	65	1	 
8	66	0	88
8	67	1	 
8	68	1	 
9	10	1	 
9	11	1	 
9	12	0	88
9	13	1	 
9	15	1	 
9	16	0	88
9	17	1	 
9	18	0	88
9	21	1	 
9	24	1	 
9	25	1	 
9	26	1	 
9	27	0	88
9	29	0	88
9	34	0	88
9	35	1	 
9	37	0	88
9	38	0	88
9	39	0	88
9	40	1	 
9	44	0	88
9	45	1	 
9	46	0	88
9	47	1	 
9	50	0	88
9	51	1	 
9	52	1	 
9	53	1	 
9	55	1	 
9	62	1	 
9	63	0	88
9	65	1	 
9	66	0	88
9	67	1	 
9	68	1	 
10	10	1	 
10	11	1	 
10	12	0	88
10	13	1	 
10	15	1	 
10	16	0	88
10	17	1	 
10	18	0	88
10	21	1	 
10	24	1	 
10	25	1	 
10	26	1	 
10	27	0	88
10	29	0	88
10	34	0	88
10	35	1	 
10	37	0	88
10	38	0	88
10	39	0	88
10	40	1	 
10	44	0	88
10	45	0	88
10	46	0	88
10	47	0	88
10	50	0	88
10	51	1	 
10	52	1	 
10	53	1	 
10	55	1	 
10	62	1	 
10	63	0	88
10	65	1	 
10	66	0	88
10	67	1	 
10	68	1	 
11	10	1	 
11	11	1	 
11	12	0	88
11	13	1	 
11	15	1	 
11	16	0	88
11	17	1	 
11	18	0	88
11	21	1	 
11	24	1	 
11	25	1	 
11	26	1	 
11	27	0	88
11	29	1	 
11	34	0	88
11	35	1	 
11	37	0	88
11	38	0	88
11	39	0	88
11	40	1	 
11	44	0	88
11	45	1	 
11	46	0	88
11	47	1	 
11	50	0	88
11	51	1	 
11	52	1	 
11	53	1	 
