PLACEID	SCPRIDR4	PRBLCTLY	AGSTPRB	O4YRDIMS
1	1	0	0	88
1	2	0	0	88
1	3	0	0	88
1	4	0	0	88
1	5	0	0	88
1	6	0	0	88
1	7	0	0	88
1	8	0	0	88
1	9	0	0	88
1	10	0	0	88
1	11	0	0	88
2	1	0	0	88
2	2	0	0	88
2	3	0	0	88
2	4	0	0	88
2	5	0	0	88
2	6	0	0	88
2	7	0	0	88
2	8	1	1	1
2	9	0	0	88
2	10	0	0	88
2	11	0	0	88
3	1	0	0	88
3	2	0	0	88
3	3	0	0	88
3	4	0	0	88
3	5	1	1	1
3	6	0	0	88
3	7	0	0	88
3	8	1	1	4
3	9	0	0	88
3	10	0	0	88
3	11	0	0	88
4	1	0	0	88
4	2	0	0	88
4	3	0	0	88
4	4	0	0	88
4	5	0	0	88
4	6	0	0	88
4	7	0	0	88
4	8	1	1	4
4	9	0	0	88
4	10	0	0	88
4	11	0	0	88
5	1	0	0	88
5	2	0	0	88
5	3	0	0	88
5	4	0	0	88
5	5	0	0	88
5	6	0	0	88
5	7	0	0	88
5	8	1	1	4
5	9	0	0	88
5	10	0	0	88
5	11	0	0	88
6	1	0	0	88
6	2	0	0	88
6	3	0	0	88
6	4	0	0	88
6	5	1	0	3
6	6	0	0	88
6	7	0	0	88
6	8	1	1	1
6	9	0	0	88
6	10	0	0	88
6	11	0	0	88
7	1	0	0	6
7	2	0	0	6
7	3	0	0	6
7	4	0	0	6
7	5	0	0	6
7	6	0	0	6
7	7	0	0	6
7	8	1	1	5
7	9	0	0	6
7	10	0	0	6
7	11	0	0	6
8	1	0	0	6
8	2	0	0	6
8	3	0	0	6
8	4	0	0	6
8	5	0	0	6
8	6	0	0	6
8	7	0	0	6
8	8	1	1	1
8	9	0	0	6
8	10	0	0	88
8	11	0	0	88
9	1	0	0	6
9	2	0	0	6
9	3	0	0	6
9	4	0	0	6
9	5	0	0	6
9	6	0	0	6
9	7	0	0	6
9	8	1	1	1
9	9	0	0	6
9	10	0	0	6
9	11	0	0	6
10	1	0	0	6
10	2	0	0	6
10	3	0	0	6
10	4	0	0	6
10	5	0	0	6
10	6	0	0	6
10	7	0	0	6
10	8	1	1	1
10	9	0	0	6
10	10	0	0	6
10	11	0	0	6
11	1	0	0	6
11	2	0	0	6
11	3	0	0	6
11	4	0	0	6
11	5	0	0	6
11	6	0	0	6
11	7	0	0	6
11	8	1	1	5
11	9	0	0	6
11	10	0	0	6
11	11	0	0	6
12	1	0	0	88
12	2	0	0	88
12	3	0	0	88
12	4	0	0	88
12	5	0	0	88
12	6	0	0	88
12	7	0	0	88
12	8	0	0	88
12	9	0	0	88
12	10	0	0	88
12	11	0	0	88
13	1	0	0	88
13	2	0	0	88
13	3	0	0	88
13	4	0	0	88
13	5	1	1	2
13	6	0	0	88
13	7	0	0	88
13	8	1	1	2
13	9	0	0	88
13	10	0	0	88
13	11	0	0	88
14	1	0	0	88
14	2	0	0	88
14	3	0	0	88
14	4	0	0	88
14	5	0	0	88
14	6	0	0	88
14	7	0	0	88
14	8	1	0	4
14	9	0	0	88
14	10	0	0	88
14	11	0	0	88
15	1	0	0	88
15	2	0	0	88
15	3	0	0	88
15	4	0	0	88
15	5	0	0	88
15	6	0	0	88
15	7	0	0	88
15	8	0	0	88
15	9	0	0	88
15	10	0	0	88
15	11	0	0	88
16	1	0	0	88
16	2	0	0	88
16	3	0	0	88
16	4	0	0	88
16	5	0	0	88
16	6	0	0	88
16	7	0	0	88
16	8	0	0	88
16	9	0	0	88
16	10	0	0	88
16	11	0	0	88
17	1	0	0	88
17	2	0	0	88
17	3	0	0	88
17	4	0	0	88
17	5	0	0	88
17	6	0	0	88
17	7	0	0	88
17	8	1	1	4
17	9	0	0	88
17	10	0	0	88
17	11	0	0	88
18	1	0	0	88
18	2	0	0	88
18	3	0	0	88
18	4	0	0	88
18	5	0	0	88
18	6	0	0	88
18	7	0	0	88
18	8	0	0	88
18	9	0	0	88
18	10	0	0	88
18	11	0	0	88
19	1	1	0	6
19	2	0	0	88
19	3	0	0	88
19	4	0	0	88
19	5	0	0	88
19	6	0	0	88
19	7	0	0	88
19	8	1	1	1
19	9	0	0	88
19	10	0	0	88
19	11	0	0	88
20	1	0	0	6
20	2	0	0	6
20	3	0	0	6
20	4	0	0	6
20	5	0	0	6
20	6	0	0	6
20	7	0	0	6
20	8	1	0	4
20	9	0	0	6
20	10	0	0	6
20	11	0	0	6
21	1	1	1	4
21	2	0	0	6
21	3	0	0	6
21	4	0	0	6
21	5	1	1	1
21	6	0	0	6
21	7	0	0	6
21	8	1	1	1
21	9	0	0	6
21	10	0	0	6
21	11	0	0	6
22	1	0	0	6
22	2	0	0	6
22	3	0	0	6
22	4	0	0	6
22	5	0	0	6
22	6	1	0	6
22	7	0	0	6
22	8	1	0	6
22	9	0	0	6
22	10	0	0	6
22	11	0	0	6
23	1	1	0	3
23	2	0	0	88
23	3	0	0	88
23	4	0	0	88
23	5	0	0	88
23	6	0	0	88
23	7	0	0	88
23	8	1	0	5
23	9	0	0	88
23	10	0	0	88
23	11	0	0	88
24	1	0	0	88
24	2	0	0	88
24	3	0	0	88
24	4	0	0	88
24	5	0	0	88
24	6	0	0	88
24	7	0	0	88
24	8	0	0	88
24	9	0	0	88
24	10	0	0	88
24	11	0	0	88
25	1	1	1	2
25	2	0	0	88
25	3	0	0	88
25	4	0	0	88
25	5	1	0	4
25	6	0	0	88
25	7	0	0	88
25	8	1	0	4
25	9	1	1	2
25	10	0	0	88
25	11	0	0	88
26	1	0	0	6
26	2	0	0	6
26	3	0	0	6
26	4	0	0	6
26	5	0	0	6
26	6	0	0	6
26	7	0	0	6
26	8	0	1	4
26	9	0	0	6
26	10	0	0	6
26	11	0	0	6
27	1	0	0	6
27	2	0	0	6
27	3	0	0	6
27	4	0	0	6
27	5	0	0	6
27	6	0	0	6
27	7	0	0	6
27	8	1	1	1
27	9	0	0	6
27	10	0	0	6
27	11	0	0	6
28	1	0	0	6
28	2	0	0	6
28	3	0	0	6
28	4	0	0	6
28	5	0	0	6
28	6	0	0	6
28	7	0	0	6
28	8	1	1	0
28	9	0	0	6
28	10	0	0	6
28	11	0	0	6
29	1	0	0	6
29	2	0	0	6
29	3	0	0	6
29	4	0	0	6
29	5	0	0	6
29	6	0	0	6
29	7	0	0	6
29	8	1	1	1
29	9	0	0	6
29	10	0	0	6
29	11	0	0	6
30	1	0	0	6
30	2	0	0	6
30	3	0	0	6
