CHILDCODE	MOVEIDR5	YRMOVER5	MTHSTYR5	WHMOVER5	TYPKEBR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPFMR5	MVOTRLR5	MVNONHR5	RSNMVR51
10005	1	2016	1	3	4	N	N	Y	Y	N	N	N	N	12
10009	1	2015	1	1	2	N	N	N	Y	N	N	N	N	12
10011	1	2016	1	3	2	N	Y	Y	N	N	N	N	N	10
10013	1	2015	1	4	6	N	N	Y	N	N	N	N	N	12
10013	2	2014	1	4	6	N	N	Y	N	N	N	N	N	12
10031	1	2016	1	3	1	Y	 	 	 	 	 	 	 	12
10038	1	2016	1	3	4	N	Y	N	N	N	N	Y	N	12
10038	2	2014	2	3	4	N	Y	Y	N	N	N	Y	N	12
10052	1	2016	3	2	2	N	Y	N	Y	N	N	N	N	12
10052	2	2014	1	2	2	N	Y	N	Y	N	N	Y	N	12
10053	1	2017	2	4	1	N	Y	Y	Y	N	N	N	N	7
10053	2	2016	12	4	1	N	Y	Y	Y	N	N	N	N	7
10053	3	2015	12	4	1	N	Y	Y	Y	N	N	N	N	7
10062	1	2015	1	1	2	N	N	N	Y	N	N	Y	N	12
10063	1	2016	1	1	1	Y	 	 	 	 	 	 	 	12
10066	1	2015	2	2	1	N	N	N	N	N	N	Y	N	12
10066	2	2014	1	2	1	N	N	Y	N	N	N	Y	N	12
10066	3	2013	1	2	1	N	N	N	N	N	N	Y	N	12
10069	1	2016	1	3	1	N	N	N	N	N	N	Y	N	12
10075	1	2014	1	4	6	N	Y	Y	Y	N	N	N	N	12
10090	1	2015	2	1	2	Y	 	 	 	 	 	 	 	12
10097	1	2016	1	2	4	Y	 	 	 	 	 	 	 	12
20023	1	2016	1	1	2	N	Y	Y	Y	N	N	N	N	12
20023	2	2015	1	1	2	N	N	Y	Y	N	N	N	N	12
20026	1	2015	10	2	2	N	N	N	N	N	N	N	Y	1
20027	1	2015	2	2	2	N	N	Y	N	N	N	N	N	3
20028	1	2014	1	1	1	Y	 	 	 	 	 	 	 	1
20035	1	2016	1	2	1	N	N	Y	N	N	N	N	N	12
20035	2	2015	2	2	1	N	N	Y	N	N	N	N	N	12
20037	1	2016	2	2	2	N	Y	Y	N	N	N	N	N	3
20047	1	2015	1	2	2	N	Y	N	N	N	N	N	N	12
20053	1	2016	1	1	1	N	Y	N	Y	N	N	N	N	12
20056	1	2016	2	2	4	Y	 	 	 	 	 	 	 	2
20057	1	2016	1	1	1	N	N	N	N	N	N	Y	N	12
20061	1	2016	1	2	1	N	Y	N	N	N	N	N	N	5
20062	1	2015	1	1	1	N	N	N	N	N	N	Y	N	12
20071	1	2015	2	1	1	N	N	N	N	N	N	Y	N	12
