CHILDID	CROPID	CROP	QNTHARV	QNTUNIT	ESTVLCRP	VLCRSLD	CROPCOST
VN011001	1	1	1200	1	2400	1300	2000
VN011002	1	1	2800	1	6500	2100	1200
VN011002	2	31	500	1	400	0	150
VN011003	1	1	1200	1	2500	250	1400
VN011004	1	1	2300	1	4800	2200	1600
VN011004	2	31	300	1	300	210	0
VN011004	3	56	25	2	50	15	10
VN011005	1	1	2500	1	5000	2000	1400
VN011006	1	1	1600	1	3600	0	600
VN011006	2	1	3000	1	7000	6000	1000
VN011007	1	1	2800	1	5600	3000	1200
VN011008	1	1	3000	1	6700	2200	2100
VN011009	1	1	2100	1	5700	2100	950
VN011009	2	4	320	1	800	0	180
VN011010	1	1	2800	1	6700	2000	1800
VN011010	2	116	160	4	80	0	25
VN011010	3	126	90	4	45	0	10
VN011010	4	109	60	2	30	0	3
VN011011	1	1	800	1	1900	0	500
VN011012	1	1	5000	1	12000	4000	1500
VN011012	2	4	300	1	900	0	100
VN011013	1	1	2400	1	6000	2000	1000
VN011015	1	1	1900	1	4100	2000	600
VN011016	1	1	3600	1	8800	0	1200
VN011016	2	126	1200	4	600	0	200
VN011016	3	109	70	10	56	0	0
VN011017	1	1	1800	1	3800	2200	1300
VN011018	1	1	800	1	2000	300	600
VN011019	1	1	4000	1	11000	7000	7000
VN011019	2	45	50	1	350	0	0
VN011020	1	1	2800	1	7100	300	1300
VN011020	2	4	20	5	40	0	0
VN011021	1	1	1000	1	2000	0	1000
VN011021	2	31	1900	1	900	0	300
VN011022	1	1	3000	1	6000	2000	2000
VN011024	1	1	2400	1	4800	0	1600
VN011024	2	4	40	1	80	0	0
VN011024	3	33	20	1	40	0	0
VN011024	4	45	200	1	200	0	0
VN011025	1	1	2300	1	5100	2100	1700
VN011025	2	31	650	1	420	0	100
VN011026	1	1	3000	1	6300	2100	1200
VN011026	2	31	720	1	1800	0	1000
VN011028	1	1	1200	1	2400	200	800
VN011029	1	1	1200	1	2500	1000	700
VN011029	2	4	10	5	20	0	0
VN011029	3	116	10	1	15	0	2
VN011029	4	109	3	10	5	0	0
VN011030	1	1	2500	1	5000	2800	900
VN011031	1	126	100	1	100	0	50
VN011031	2	1	2000	1	4000	1500	600
VN011032	1	1	1350	1	3500	1250	800
VN011033	1	1	1800	1	3600	-77	1380
VN011034	1	1	1600	1	3200	800	1600
VN011035	1	1	1950	1	4200	100	1200
VN011037	1	1	1200	1	2500	1000	800
VN011038	1	1	3600	1	7800	2500	1400
VN011039	1	1	2800	1	7500	3800	2600
VN011039	2	31	180	1	120	0	20
VN011040	1	1	2100	1	5200	2500	1800
VN011041	1	1	2400	1	6000	2000	3000
VN011041	2	31	800	1	400	0	125
VN011042	1	1	1300	1	2800	1000	8000
VN011044	1	31	4080	1	3600	0	480
VN011044	2	1	2000	1	4000	0	1600
VN011047	1	1	3000	1	7800	3500	2000
VN011047	2	4	350	1	1200	0	250
VN011048	1	1	1250	1	2500	0	1300
VN011050	1	1	3100	1	7500	3000	2200
VN011052	1	1	1200	1	3000	1000	700
VN011052	2	4	120	1	280	0	15
VN011052	3	65	10	1	100	0	0
VN011061	1	1	1600	1	3680	400	1250
VN011063	1	1	2300	1	4500	3000	600
VN011069	1	1	3000	1	7500	2800	1050
VN011069	2	31	3500	1	1250	0	0
VN011074	1	1	2400	1	5000	1800	1700
VN011088	1	1	1600	1	3950	0	800
VN011088	2	31	950	1	460	0	70
VN021002	1	1	320	1	800	0	300
VN021002	2	44	-77	3	-77	0	0
VN021006	1	1	0	1	0	0	600
VN021006	2	45	100	1	250	0	30
VN021006	3	51	10	1	25	0	30
VN021006	4	25	30	1	50	0	40
VN021008	1	1	350	1	875	0	450
VN021012	1	1	500	1	1500	0	700
VN021013	1	1	300	1	750	0	300
VN021017	1	65	30	1	60	0	0
VN021022	1	1	4	10	1000	250	1000
VN021022	2	80	0	10	0	0	0
VN021023	1	1	1	10	2500	2500	1200
VN021024	1	1	600	1	1500	0	300
VN021024	2	80	11	10	4000	4000	1000
VN021025	1	1	1	10	2200	0	1000
VN021027	1	1	160	1	400	0	150
VN021029	1	1	5	10	1250	0	3000
VN021030	1	1	800	1	2000	0	640
VN021031	1	1	4	10	10300	0	4500
VN021032	1	1	400	1	1000	0	630
VN021033	1	1	15	10	3750	0	1600
VN021033	2	15	0	99	0	0	200
VN021034	1	1	700	1	1500	600	500
VN021034	2	80	-77	3	1600	1600	300
VN021036	1	116	2	10	600	600	50
VN021036	2	50	4	10	1000	1000	100
VN021036	3	16	2	10	1000	1000	80
VN021036	4	1	5	10	1250	0	650
VN021037	1	1	1	10	2500	1250	1000
VN021041	1	1	700	1	1750	0	3000
VN021042	1	1	800	1	2080	350	1000
VN021044	1	1	600	1	1500	0	500
VN021046	1	1	500	1	1350	0	700
VN021049	1	1	0	1	0	0	0
VN021056	1	1	3	10	780	0	150
VN021069	1	1	1	10	2200	0	1000
VN021069	2	18	200	1	1200	1200	300
VN021069	3	15	100	1	1000	1000	300
VN021072	1	1	700	1	1750	0	520
VN021072	2	80	-77	1	1100	1100	760
VN021078	1	114	0	1	0	0	0
VN021078	2	109	9	2	15	0	0
VN021078	3	33	100	2	50	0	0
VN021089	1	1	6	10	1560	0	600
VN021094	1	1	1000	1	2000	0	600
VN021094	2	80	500	1	3500	3500	1000
VN031001	1	80	50000	1	16500	16500	5000
