CHILDID	SASSID	SASSET	NUMSASS	VALSASS	DECSASS
VN011002	1	30	2	100	1
VN011003	1	1	2	50	1
VN011004	1	1	5	300	80
VN011004	2	3	1	35	80
VN011007	1	1	3	50	1
VN011007	2	8	1	1000	1
VN011008	1	8	1	800	80
VN011009	1	1	3	270	2
VN011009	2	8	4	650	80
VN011010	1	1	5	50	2
VN011010	2	3	1	25	2
VN011011	1	1	2	15	1
VN011012	1	1	4	800	80
VN011013	1	1	5	750	80
VN011014	1	30	-99	-99	99
VN011015	1	1	5	300	80
VN011016	1	1	7	80	80
VN011016	2	3	1	12	3
VN011017	1	21	2	1600	2
VN011017	2	30	4	1200	2
VN011018	1	1	4	200	80
VN011019	1	30	3	300	2
VN011020	1	30	-99	-99	99
VN011021	1	1	3	50	2
VN011021	2	3	1	10	2
VN011021	3	8	2	50	2
VN011022	1	1	4	50	1
VN011022	2	3	1	20	1
VN011025	1	2	2	500	80
VN011026	1	6	1	12000	1
VN011028	1	1	3	30	2
VN011029	1	1	3	10	2
VN011030	1	1	4	200	1
VN011030	2	6	1	500	1
VN011032	1	6	1	300	1
VN011033	1	1	4	60	2
VN011035	1	1	2	25	1
VN011037	1	1	3	40	1
VN011038	1	1	3	50	4
VN011038	2	3	1	30	4
VN011038	3	2	1	300	4
VN011039	1	1	5	480	80
VN011040	1	1	4	290	2
VN011041	1	1	4	250	80
VN011042	1	1	3	120	2
VN011043	1	30	-99	-99	99
VN011047	1	1	4	370	80
VN011048	1	1	4	50	2
VN011048	2	3	1	30	2
VN011050	1	1	5	150	2
VN011050	2	3	1	70	2
VN011052	1	1	3	180	80
VN011052	2	8	4	210	80
VN011061	1	1	3	50	2
VN011061	2	3	1	15	2
VN011063	1	6	1	400	1
VN011063	2	8	3	500	1
VN011069	1	1	5	120	2
VN011069	2	1	1	10	2
VN011074	1	1	4	50	2
VN011088	1	1	6	160	1
VN011088	2	3	1	50	1
VN021002	1	8	1	700	1
VN021002	2	1	6	30	1
VN021002	3	3	1	27	1
VN021004	1	30	2	2000	1
VN021006	1	31	.33	30000	1
VN021006	2	30	.33	17000	1
VN021008	1	23	1	300	2
VN021009	1	23	7	500	4
VN021014	1	30	16	1400	3
VN021017	1	25	1	3000	1
VN021018	1	10	10	1000	1
VN021018	2	9	2	1000	1
VN021022	1	13	5	200	1
VN021023	1	1	4	40	2
VN021027	1	1	4	40	2
VN021029	1	22	-77	0	1
VN021030	1	1	3	15	2
VN021032	1	2	1	1200	1
VN021033	1	30	77	1000	2
VN021036	1	8	1	300	1
VN021038	1	30	6	100	2
VN021041	1	31	1	10000	1
VN021041	2	31	.5	5000	1
VN021044	1	1	4	8	2
VN021046	1	1	6	17	2
VN021048	1	5	1	3000	2
VN021049	1	1	2	77	2
VN021089	1	23	1	2500	2
VN021089	2	15	2	50	2
VN021090	1	5	1	2000	1
