CHILDID	PASSID	PASSET	NUMPASS	VALPASS	DECPASS
VN031052	1	1	3	180	80
VN031052	2	2	1	7000	80
VN031052	3	8	4	850	80
VN031058	1	30	-99	-99	99
VN031059	1	1	3	220	80
VN031059	2	2	1	500	1
VN031059	3	8	4	700	80
VN031060	1	1	3	180	80
VN031060	2	2	1	400	80
VN031060	3	8	4	900	80
VN031079	1	1	4	70	1
VN031096	1	1	3	250	80
VN031096	2	2	1	1400	1
VN031096	3	8	5	920	80
VN031098	1	1	6	150	1
VN031098	2	8	1	500	2
VN031108	1	1	6	80	2
VN031108	2	8	2	300	1
VN031134	1	1	4	280	2
VN031134	2	8	6	1200	80
VN041001	1	31	1	4000	1
VN041001	2	30	1	1500	1
VN041001	3	30	1	4000	1
VN041002	1	31	1	200	1
VN041002	2	30	2	300	1
VN041003	1	31	1	2000	1
VN041003	2	30	1	4000	1
VN041004	1	30	1	1000	1
VN041005	1	30	4	8	1
VN041005	2	30	4	40	1
VN041006	1	31	1	50000	1
VN041006	2	30	1	12000	1
VN041007	1	31	1	20000	1
VN041007	2	30	1	30000	1
VN041008	1	30	1	1000	1
VN041009	1	31	1	45000	1
VN041009	2	30	1	15	1
VN041010	1	31	1	20000	1
VN041010	2	30	1	50000	1
VN041010	3	30	1	15000	1
VN041011	1	31	1	20000	1
VN041011	2	30	1	15000	1
VN041012	1	31	1	15000	1
VN041012	2	30	1	10000	1
VN041013	1	31	1	200	1
VN041013	2	30	1	100	1
VN041014	1	31	1	10000	1
VN041015	1	30	3	1500	1
VN041016	1	30	2	3000	1
VN041017	1	30	2	1000	1
VN041019	1	30	1	1200	1
VN041019	2	30	3	4500	1
VN041021	1	30	4	5000	1
VN041022	1	31	1	8000	1
VN041022	2	30	1	6000	1
VN041023	1	23	-77	2000	2
VN041024	1	30	1	17000	1
VN041025	1	30	2	2000	1
VN041026	1	30	4	200	1
VN041026	2	23	2	200	2
VN041027	1	30	2	2000	1
VN041028	1	30	2	5000	1
VN041030	1	31	.25	35000	90
VN041030	2	30	.25	2000	90
VN041031	1	31	1	50000	2
VN041031	2	30	1	3000	2
VN041032	1	31	1	80000	1
VN041032	2	30	1	20000	1
VN041032	3	30	1	7000	1
VN041034	1	31	1	40000	1
VN041034	2	30	50	10000	1
VN041036	1	15	2000	20000	1
VN041037	1	31	1	100000	1
VN041037	2	30	2	20000	1
VN041038	1	31	1	35000	1
VN041038	2	30	1	7000	1
VN041039	1	31	.5	20000	80
VN041039	2	30	.5	5000	80
VN041040	1	31	1	35000	80
VN041040	2	30	1	7000	80
VN041041	1	31	.5	40000	80
VN041041	2	30	.5	2000	80
VN041042	1	30	1	1500	1
VN041042	2	5	1	500	1
VN041043	1	15	4	2000	80
VN041046	1	30	3	1800	1
VN041047	1	30	3	3000	3
VN041049	1	31	1	20000	1
VN041049	2	30	1	6000	1
VN041050	1	31	1	12000	1
VN041059	1	30	1	4000	1
VN041059	2	25	1	4000	1
VN041092	1	31	1	50000	80
VN041092	2	30	1	7000	80
VN041109	1	30	1	600	1
VN041109	2	30	1	7000	1
VN041110	1	31	1	16000	1
VN041110	2	30	1	5000	1
VN041110	3	30	1	2000	1
VN041114	1	31	1	3500	1
VN041114	2	30	1	4000	1
VN041130	1	23	1	3000	1
VN051002	1	1	3	-99	99
VN051003	1	8	4	8000	20
VN051003	2	5	1	1000	20
VN051004	1	15	8	1000	2
VN051005	1	8	5	10000	2
VN051005	2	5	1	1000	2
VN051008	1	8	0	0	80
VN051009	1	8	5	10000	2
VN051009	2	5	1	1500	2
VN051010	1	15	20	300	4
VN051011	1	31	1	200	1
VN051011	2	8	2	2000	1
VN051011	3	5	1	1000	1
VN051012	1	31	1	3000	1
VN051012	2	8	1	500	1
VN051013	1	5	1	2000	1
VN051013	2	8	1	2000	1
VN051015	1	23	3	1000	2
VN051016	1	5	1	200	1
VN051016	2	8	1	600	1
VN051017	1	8	2	10000	1
VN051017	2	5	1	2000	1
VN051018	1	30	6	40	1
VN051019	1	1	4	20	1
VN051020	1	8	1	340	1
VN051021	1	8	2	1000	1
VN051022	1	8	4	5000	1
VN051022	2	31	1	500	1
VN051022	3	5	1	4000	1
VN051023	1	25	1	5000	1
VN051023	2	30	2	50	1
VN051024	1	5	1	400	1
VN051024	2	8	2	2000	1
VN051024	3	1	3	10	1
VN051025	1	8	5	400	1
VN051026	1	5	1	700	1
VN051026	2	3	1	400	1
VN051026	3	1	4	80	1
VN051027	1	3	1	40	1
VN051027	2	1	3	100	1
VN051029	1	1	2	60	1
VN051031	1	3	0	-99	99
VN051031	2	5	1	200	1
VN051031	3	1	4	200	1
VN051032	1	88	-99	-99	99
VN051032	2	1	12	100	2
VN051033	1	5	1	350	1
VN051033	2	3	2	150	1
VN051033	3	1	10	0	1
VN051034	1	23	20	3000	2
VN051034	2	25	1	6000	2
VN051035	1	3	1	2600	2
VN051035	2	5	1	400	2
VN051035	3	1	4	100	2
VN051036	1	5	1	500	2
VN051036	2	3	1	400	2
VN051036	3	8	1	1600	2
VN051037	1	5	1	500	2
VN051037	2	3	1	200	2
VN051037	3	30	1	4000	2
VN051038	1	8	3	200	2
VN051038	2	5	1	350	2
VN051038	3	1	2	15	2
VN051040	1	30	2	700	4
VN051041	1	5	1	400	1
VN051041	2	3	1	200	1
VN051041	3	1	5	35	1
VN051042	1	8	1	20000	1
VN051043	1	3	1	30	2
VN051043	2	5	1	250	2
VN051043	3	1	5	30	2
VN051044	1	3	0	-99	99
VN051044	2	1	8	20	3
VN051045	1	1	3	50	1
VN051045	2	3	1	20	1
VN051045	3	5	1	150	1
VN051046	1	1	2	5	1
VN051047	1	3	1	20	1
VN051047	2	1	10	200	1
VN051048	1	1	1	10	1
VN051048	2	3	1	200	1
VN051048	3	5	1	300	1
VN051049	1	15	4	250	1
VN051050	1	1	3	20	1
VN051070	1	5	1	600	3
VN051070	2	1	2	25	3
VN061001	1	5	2	1500	3
VN061001	2	8	16	480	3
VN061001	3	88	-99	-99	99
VN061003	1	13	4	0	1
VN061003	2	88	-99	-99	99
VN061003	3	88	-99	-99	99
VN061004	1	25	1	100	2
VN061004	2	88	-99	-99	99
VN061004	3	88	-99	-99	99
VN061006	1	23	3	150	2
VN061006	2	88	-99	-99	99
VN061006	3	88	-99	-99	99
VN061008	1	7	1	30000	1
VN061009	1	5	4	2000	1
VN061009	2	8	4	1000	1
VN061011	1	13	2	46	1
VN061012	1	24	1	4000	1
