CHILDID	LOANID	LOANTYPE	LOANSRCE	LOANIMPT	LOANKIDS	LOANREPY
VN041092	1	1	2	2	2	3
VN041109	1	1	2	2	3	2
VN041110	1	1	1	2	2	1
VN041114	1	1	1	2	2	2
VN051003	1	1	2	2	2	2
VN051004	1	2	7	2	2	2
VN051006	1	2	8	1	1	2
VN051006	2	2	7	1	1	2
VN051008	1	2	7	2	2	3
VN051010	1	1	1	2	2	2
VN051011	1	2	8	1	1	2
VN051012	1	1	3	3	3	3
VN051013	1	1	1	2	2	2
VN051015	1	1	1	2	2	3
VN051016	1	1	2	3	3	3
VN051016	2	2	7	2	3	2
VN051018	1	2	7	1	3	1
VN051020	1	2	8	3	3	3
VN051021	1	1	2	3	3	3
VN051022	1	1	2	1	1	2
VN051024	1	1	2	3	3	3
VN051024	2	2	7	2	2	2
VN051025	1	1	1	1	1	2
VN051028	1	1	1	2	2	3
VN051028	2	2	7	2	2	3
VN051031	1	2	8	1	1	1
VN051033	1	1	2	2	3	3
VN051037	1	1	2	2	2	3
VN051038	1	1	2	2	2	1
VN051044	1	1	2	2	2	3
VN051048	1	1	2	4	3	3
VN051057	1	1	1	4	4	3
VN061001	1	2	7	2	2	2
VN061003	1	1	2	2	2	2
VN061008	1	1	3	3	3	1
VN061009	1	2	8	2	2	1
VN061012	1	1	6	3	3	3
VN061014	1	1	2	2	2	2
VN061015	1	1	2	2	2	2
VN061018	1	1	1	3	3	2
VN061023	1	2	8	2	2	2
VN061028	1	1	1	2	2	1
VN061032	1	2	7	4	3	2
VN061034	1	1	1	2	2	1
VN061036	1	1	2	3	3	2
VN061038	1	1	3	2	2	3
VN061041	1	1	6	3	3	3
VN061043	1	1	2	2	2	3
VN061046	1	1	2	2	2	1
VN061047	1	2	8	3	3	1
VN061048	1	1	2	1	1	1
VN061049	1	1	2	2	2	2
VN061050	1	2	8	2	2	3
VN061052	1	1	2	2	3	1
VN061055	1	1	2	3	3	1
VN061057	1	1	2	2	2	1
VN061076	1	1	1	2	2	2
VN071002	1	1	1	2	2	3
VN071002	2	2	7	2	2	3
VN071004	1	1	1	1	1	1
VN071005	1	2	7	2	2	3
VN071007	1	1	2	3	3	2
VN071008	1	1	2	1	1	1
VN071009	1	1	2	1	1	1
VN071011	1	2	8	1	3	1
VN071019	1	2	8	2	2	2
VN071021	1	2	8	1	2	2
VN071023	1	2	8	77	77	1
VN071025	1	2	8	3	3	4
VN071026	1	2	8	2	2	3
VN071027	1	2	8	3	3	3
VN071028	1	2	7	1	2	1
VN071032	1	2	8	2	2	3
VN071034	1	2	2	1	3	2
VN071036	1	1	2	2	2	3
VN071037	1	2	7	2	2	1
VN071042	1	1	2	3	3	3
VN071043	1	1	2	2	3	3
VN071044	1	1	3	2	3	2
VN071047	1	2	8	2	2	1
VN071048	1	1	2	2	2	3
VN071097	1	1	3	2	1	1
VN071112	1	2	7	2	3	2
VN071121	1	1	2	2	2	3
VN081006	1	2	8	1	1	2
VN081007	1	1	2	2	2	1
VN081008	1	1	2	4	3	3
VN081008	2	2	7	4	3	3
VN081009	1	2	7	2	2	3
VN081010	1	1	2	2	2	1
VN081013	1	2	7	2	2	3
VN081018	1	1	2	2	2	1
VN081020	1	1	2	2	2	1
VN081021	1	2	8	3	3	3
VN081022	1	1	1	2	2	1
VN081023	1	2	7	3	3	2
VN081025	1	2	8	2	2	3
VN081026	1	1	1	2	2	3
VN081028	1	1	2	1	2	2
VN081029	1	1	1	2	3	1
VN081032	1	1	2	2	3	3
VN081035	1	1	2	2	3	2
VN081038	1	1	3	1	1	1
VN081043	1	2	7	2	2	2
VN081046	1	2	8	2	2	2
VN081047	1	2	7	4	4	3
VN081092	1	1	2	2	2	1
VN081105	1	1	3	2	2	1
VN081108	1	1	2	2	2	1
VN081120	1	1	1	2	2	2
VN081130	1	2	7	2	3	1
VN081152	1	1	1	2	2	3
VN081152	2	2	8	2	2	2
VN091003	1	1	2	1	2	2
VN091003	2	2	7	2	2	2
VN091005	1	1	1	1	3	2
VN091006	1	1	1	1	2	2
VN091011	1	2	7	2	2	1
VN091014	1	2	7	1	2	1
VN091017	1	2	7	2	3	2
VN091022	1	2	8	1	3	1
VN091024	1	1	1	2	2	1
VN091024	2	2	7	2	2	1
VN091025	1	1	1	3	3	3
VN091028	1	1	1	3	3	3
VN091030	1	2	7	2	2	2
VN091031	1	2	8	2	2	2
VN091039	1	2	8	2	2	1
VN091042	1	2	7	2	2	2
VN091046	1	2	7	4	3	2
VN091048	1	1	2	1	2	2
VN091050	1	2	7	3	3	1
VN091057	1	1	2	1	1	3
VN101001	1	2	8	2	2	1
VN101005	1	1	1	1	1	1
VN101010	1	1	3	3	3	1
VN101016	1	1	2	2	2	2
VN101017	1	1	3	2	2	2
VN101018	1	1	6	2	2	3
VN101019	1	1	1	2	2	2
VN101020	1	2	7	3	3	1
VN101021	1	1	3	2	2	2
VN101021	2	2	8	2	2	1
VN101022	1	1	1	2	2	2
VN101024	1	2	8	2	3	1
VN101025	1	2	7	2	2	3
VN101029	1	1	1	2	2	1
VN101030	1	2	8	2	2	1
VN101036	1	2	8	2	2	1
VN101037	1	2	7	4	3	3
VN101039	1	2	7	3	3	3
VN101041	1	1	3	2	2	2
VN101043	1	1	1	2	2	2
VN101045	1	2	8	3	3	3
VN101047	1	2	8	3	3	2
VN111001	1	1	2	1	3	3
VN111002	1	1	2	2	2	2
VN111003	1	1	2	2	3	2
VN111004	1	1	2	2	2	3
VN111005	1	1	3	2	2	2
VN111009	1	1	2	2	3	2
VN111010	1	1	3	1	1	2
VN111014	1	1	1	1	1	1
VN111016	1	1	2	2	2	1
VN111020	1	1	1	2	2	1
VN111022	1	1	2	1	1	1
VN111025	1	1	2	2	2	2
VN111027	1	1	2	2	2	2
VN111030	1	1	2	2	2	1
VN111030	2	2	8	2	2	1
VN111032	1	1	1	1	2	2
VN111034	1	1	2	1	1	1
VN111036	1	1	2	2	2	1
VN111038	1	1	1	1	1	1
VN111039	1	1	2	2	2	1
VN111040	1	1	2	2	2	2
VN111041	1	1	1	2	2	1
VN111042	1	1	2	2	2	2
VN111043	1	1	2	2	2	2
VN111045	1	1	2	1	2	2
VN111047	1	1	2	2	2	1
VN111057	1	1	2	3	3	2
VN111065	1	1	5	1	1	2
VN111086	1	1	3	1	1	2
VN121001	1	1	2	1	1	1
VN121002	1	1	2	2	2	2
VN121005	1	2	8	1	1	1
VN121007	1	1	1	2	2	2
VN121008	1	1	1	2	2	1
VN121009	1	1	1	1	1	1
VN121013	1	1	1	2	2	3
VN121014	1	1	1	2	2	3
VN121014	2	1	2	2	2	3
VN121019	1	2	8	1	2	2
