CHILDID	GRPID	GROUP	IDGRP	YEARMEM	BENGRP1	BENGRP2	FRQATTEN	LEADMEM	YEARLEAD	PAREPOST	WHYJOIN	INFLNCE
VN011001	1	23	2	2002	8	99	3	0	-88	88	88	88
VN011002	1	24	1	2002	1	2	4	0	-88	88	88	88
VN011002	2	23	2	2000	1	6	3	0	-88	88	88	88
VN011003	1	28	1	2003	5	88	4	0	-88	88	88	88
VN011003	2	23	2	2001	5	88	4	0	-88	88	88	88
VN011004	1	24	1	2003	3	88	2	0	-88	88	88	88
VN011004	2	23	2	2003	3	88	2	0	-88	88	88	88
VN011005	1	99	1	1995	2	88	4	0	-88	88	88	88
VN011005	2	2	2	2002	4	88	4	0	-88	88	88	88
VN011006	1	23	2	2000	2	1	3	0	-88	88	88	88
VN011006	2	24	1	2001	99	99	3	0	-88	88	88	88
VN011007	1	23	2	2002	3	99	3	1	2002	0	99	99
VN011008	1	24	1	1994	3	4	4	1	2003	0	5	3
VN011008	2	23	2	1994	3	4	4	0	-88	88	88	88
VN011010	1	24	2	2001	3	4	5	0	-88	88	88	88
VN011011	1	23	1	-77	3	88	4	0	-88	88	88	88
VN011012	1	24	1	2000	1	2	5	0	-88	88	88	88
VN011013	1	24	1	1997	1	6	5	0	-88	88	88	88
VN011013	2	23	2	1998	2	4	3	0	-88	88	88	88
VN011015	1	23	3	2000	2	6	3	0	-88	88	88	88
VN011017	1	23	2	2001	2	99	3	0	-88	88	88	88
VN011019	1	23	3	2000	1	6	3	0	-88	88	88	88
VN011020	1	23	2	2003	3	88	3	0	-88	88	88	88
VN011021	1	2	1	2005	2	9	3	0	-88	88	88	88
VN011022	1	24	1	2004	2	99	3	0	-88	88	88	88
VN011030	1	23	2	2003	4	1	5	0	-88	88	88	88
VN011031	1	24	2	2001	1	99	3	0	-88	88	88	88
VN011031	2	23	3	2001	2	99	3	0	-88	88	88	88
VN011032	1	23	1	1994	2	1	3	0	-88	88	88	88
VN011033	1	22	1	1995	5	99	3	1	2000	0	10	2
VN011034	1	5	1	2001	4	99	5	0	-88	88	88	88
VN011035	1	24	2	2004	3	88	6	0	-88	88	88	88
VN011038	1	23	3	2001	3	4	2	0	-88	88	88	88
VN011040	1	23	2	2002	2	4	3	0	-88	88	88	88
VN011041	1	23	2	1997	2	4	3	0	-88	88	88	88
VN011041	2	24	1	1997	4	6	5	0	-88	88	88	88
VN011042	1	23	2	2003	4	88	3	0	-88	88	88	88
VN011044	1	23	2	2005	4	99	3	0	-88	88	88	88
VN011047	1	23	4	2002	4	6	3	0	-88	88	88	88
VN011052	1	23	2	1999	4	6	3	0	-88	88	88	88
VN011061	1	23	2	1999	3	88	3	0	-88	88	88	88
VN011063	1	24	1	2003	1	4	5	0	-88	88	88	88
VN011069	1	16	5	-77	4	88	77	0	-88	88	88	88
VN011074	1	23	2	2001	3	88	3	0	-88	88	88	88
VN011088	1	23	2	2001	3	4	3	0	-88	88	88	88
VN021006	1	28	2	2002	4	5	3	1	2002	0	14	3
VN021007	1	23	2	2002	2	88	4	0	-88	88	88	88
VN021017	1	23	2	1999	4	5	4	0	-88	88	88	88
VN021018	1	23	2	1985	1	2	3	0	-88	88	88	88
VN021022	1	23	2	2002	3	5	3	0	-88	88	88	88
VN021023	1	28	1	-77	5	88	4	0	-88	88	88	88
VN021023	2	23	2	2000	5	88	4	0	-88	88	88	88
VN021025	1	23	2	1994	4	6	3	0	-88	88	88	88
VN021025	2	5	2	1994	2	6	4	0	-88	88	88	88
VN021034	1	23	2	2004	2	88	5	0	-88	88	88	88
VN021038	1	23	2	2006	11	88	5	0	-88	88	88	88
VN021042	1	23	2	2006	3	4	4	1	2006	0	6	3
VN021069	1	23	2	1992	2	4	3	0	-88	88	88	88
VN031001	1	23	2	1995	2	4	4	1	2002	0	3	2
VN031001	2	22	2	1996	5	88	4	0	-88	88	88	88
VN031002	1	28	1	2004	8	88	5	0	-88	88	88	88
VN031002	2	23	2	1994	2	88	2	0	-88	88	88	88
VN031002	3	16	4	2003	4	88	3	1	2004	0	12	2
VN031002	4	99	5	2006	4	88	3	0	-88	88	88	88
VN031003	1	23	18	1991	3	4	1	1	2006	0	15	3
VN031005	1	23	2	2002	4	6	4	0	-88	88	88	88
VN031006	1	23	2	2000	2	99	3	0	-88	88	88	88
VN031007	1	28	1	1998	4	88	3	0	-88	88	88	88
VN031007	2	23	2	2000	8	88	4	1	2000	0	2	3
