CHILDID	POSID	ID	POSHELD	POSFIRST	POSYEARS	POSTILL	POSREL	POSOUT	POSEFFEC
VN011005	1	77	99	-99	99	99	99	99	99
VN021006	1	2	18	2001	6	1	0	11	3
VN021089	1	2	2	2006	0	1	0	12	2
VN031045	1	2	18	2000	6	1	0	16	77
VN031098	1	1	14	2003	4	0	0	16	77
VN041110	1	1	4	2006	0	1	0	13	3
VN051010	1	5	18	1996	11	1	0	16	2
VN051036	1	2	18	2000	6	0	0	6	2
VN051045	1	1	1	2003	3	1	0	16	3
VN061104	1	1	8	1964	19	0	0	14	3
VN081028	1	3	17	2005	1	1	0	14	3
VN081150	1	1	15	2005	1	1	0	14	3
VN091019	1	1	12	2000	6	1	0	10	3
VN091020	1	3	8	1996	10	1	0	8	3
VN101015	1	1	8	2005	1	1	0	8	3
VN101029	1	3	14	2000	7	1	0	15	2
VN101075	1	1	18	1992	14	1	0	1	3
VN101075	2	2	13	2005	1	1	0	1	3
VN121003	1	1	18	2002	4	1	0	6	3
VN121031	1	1	14	-77	77	1	77	16	77
VN121057	1	1	18	2003	3	1	0	15	3
VN121063	1	3	18	2000	6	1	0	10	2
VN131004	1	3	18	2003	3	1	0	9	3
VN131005	1	77	77	-99	77	77	77	77	77
VN131037	1	2	18	2001	5	1	0	5	3
VN131037	2	2	18	2001	5	0	0	5	3
VN131038	1	2	99	2006	1	1	0	9	77
VN131047	1	77	77	-99	77	77	77	77	77
VN141004	1	2	16	2005	1	1	0	6	2
VN141031	1	1	6	1965	10	0	0	16	3
VN161032	1	1	1	2004	2	1	0	6	3
VN171023	1	1	7	2004	2	1	0	10	3
