CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
VN011063	4	12	1	0	0
VN011069	1	1	1	0	0
VN011069	2	5	0	0	1
VN011069	3	7	0	0	1
VN011069	4	10	0	0	1
VN011074	1	1	1	0	0
VN011074	2	5	1	1	0
VN011074	3	2	1	0	1
VN011074	4	10	0	1	1
VN011074	5	12	0	0	1
VN011088	1	1	1	0	0
VN011088	2	2	0	0	0
VN011088	3	10	0	0	1
VN011088	4	12	0	0	1
VN021002	1	1	0	0	1
VN021002	2	2	0	0	1
VN021002	3	5	0	0	1
VN021002	4	7	0	0	1
VN021002	5	10	0	0	1
VN021003	1	1	0	0	1
VN021003	2	17	1	1	1
VN021003	3	10	0	0	1
VN021003	4	12	0	0	1
VN021004	1	1	1	0	1
VN021004	2	2	0	0	1
VN021004	3	5	0	0	1
VN021004	4	12	0	0	1
VN021005	1	1	1	0	1
VN021005	2	2	0	0	1
VN021005	3	10	1	0	1
VN021005	4	12	1	1	1
VN021006	1	5	0	0	1
VN021006	2	2	0	0	1
VN021006	3	23	0	0	1
VN021007	1	1	0	0	1
VN021007	2	2	0	0	1
VN021007	3	10	0	0	1
VN021007	4	12	0	0	1
VN021008	1	1	1	0	1
VN021008	2	5	0	0	1
VN021008	3	2	0	0	1
VN021008	4	12	1	0	1
VN021008	5	10	1	0	1
VN021009	1	1	0	0	1
VN021009	2	2	0	0	1
VN021009	3	10	0	0	1
VN021009	4	11	0	0	1
VN021009	5	12	0	0	1
VN021011	1	1	0	0	1
VN021011	2	2	0	0	1
VN021011	3	5	0	0	1
VN021011	4	10	0	0	1
VN021011	5	12	0	0	1
VN021012	1	1	1	0	1
VN021012	2	7	0	0	1
VN021012	3	2	0	0	1
VN021012	4	10	0	0	1
VN021013	1	1	1	0	1
VN021013	2	2	0	0	1
VN021013	3	5	0	0	1
VN021013	4	10	1	1	1
VN021013	5	12	1	1	1
VN021014	1	1	0	0	1
VN021014	2	2	0	0	1
VN021014	3	10	0	0	1
VN021014	4	12	0	0	1
VN021015	1	1	1	0	1
VN021015	2	5	0	1	1
VN021015	3	10	99	1	1
VN021015	4	2	0	0	1
VN021017	1	1	0	0	1
VN021017	2	23	1	0	1
