CHILDID	WORKID	WORKACT	WORKPAY	PAYNAME	RANKPAY
VN011031	1	4	1	0	1
VN011039	1	7	1	0	77
VN011074	1	4	77	0	77
VN021007	1	5	1	2	1
VN021014	1	5	1	1	1
VN021018	1	5	1	2	1
VN021030	1	4	1	2	1
VN021032	1	4	1	2	1
VN021032	2	7	1	1	1
VN021032	3	7	1	2	1
VN021037	1	7	1	1	1
VN021044	1	5	1	2	1
VN021056	1	7	1	1	1
VN021065	1	7	1	1	1
VN021083	1	5	1	2	1
VN031006	1	7	1	2	77
VN031013	1	1	1	0	1
VN031018	1	2	77	77	1
VN031018	2	7	77	77	77
VN031027	1	1	77	77	77
VN031027	2	2	77	77	1
VN031027	3	6	77	77	77
VN031028	1	7	77	77	1
VN031028	2	7	1	0	77
VN031031	1	7	77	77	1
VN031031	2	6	77	77	88
VN031035	1	1	1	0	1
VN031036	1	1	1	0	88
VN031052	1	1	1	2	1
VN031059	1	1	77	0	77
VN041001	1	7	1	2	1
VN041005	1	7	1	0	1
VN041012	1	3	1	2	1
VN041031	1	5	1	1	1
VN041037	1	4	1	2	1
VN041038	1	7	1	0	1
VN051040	1	1	1	0	1
VN051042	1	4	1	0	1
VN061004	1	7	1	2	1
VN061014	1	2	1	2	1
VN061024	1	7	1	0	1
VN071002	1	5	1	0	1
VN071038	1	5	1	1	1
VN071041	1	4	1	0	1
VN081004	1	1	1	0	1
VN081152	1	3	1	2	88
VN091049	1	1	1	0	77
VN101045	1	1	1	0	1
VN131011	1	7	1	0	1
VN141012	1	1	1	1	1
VN141041	1	1	1	0	1
VN141076	1	4	1	2	1
VN151010	1	4	77	0	1
VN151020	1	5	1	0	88
VN151036	1	6	77	77	77
VN161049	1	7	1	0	88
VN171009	1	4	1	0	99
VN191005	1	7	1	0	99
VN191025	1	4	1	0	1
