CHILDID	ID	AGE	MEMSEX	RELATE	LIVHSE	GRADE	STILL	CHGRADE	CHSTILL	WHYNOT	AGEGRADE	AGESTSCH	HHSCHTYP	PERF	SCHOOLEN	DISAB	ACT1	MONTHS1	DAYS1	HOURS1	ACT2	MONTHS2	DAYS2	HOURS2	ACT3	MONTHS3	DAYS3	HOURS3	SLEEP	CHCARE	HHCHORE	NPAYWORK	PAYWORK	SCHOOL	STUDY	PLAY
VN011007	5	9	2	7	1	 	 	3	1	88	88	6	3	2	2	0	15	8	15	1	17	88	88	88	88	88	88	88	10	0	1	0	0	6	2	5
VN011008	0	12	1	0	1	 	 	6	1	88	88	6	3	2	2	0	15	5	10	3	17	88	88	88	88	88	88	88	8	0	1	3	0	4	3	5
VN011008	1	39	1	1	1	12	0	 	 	 	 	 	 	 	 	0	1	6	10	3	10	12	26	4	4	12	26	3	 	 	 	 	 	 	 	 
VN011008	2	38	2	1	1	5	0	 	 	 	 	 	 	 	 	0	1	6	12	4	10	12	26	4	4	12	25	2	 	 	 	 	 	 	 	 
VN011008	3	19	1	7	1	11	1	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011008	4	15	1	7	1	 	 	9	1	88	88	6	3	3	2	0	15	6	15	4	17	88	88	88	88	88	88	88	8	0	2	2	0	4	4	4
VN011009	0	11	1	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	20	3	17	88	88	88	88	88	88	88	9	1	2	0	0	4	5	3
VN011009	1	34	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	8	22	8	1	4	7	3	88	88	88	88	 	 	 	 	 	 	 	 
VN011009	2	33	2	1	1	11	0	 	 	 	 	 	 	 	 	0	4	12	20	7	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011009	17	8	2	7	1	 	 	1	1	88	88	6	3	2	2	0	15	8	15	1	17	88	88	88	88	88	88	88	10	0	1	0	0	4	4	5
VN011010	0	11	1	0	1	 	 	5	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	9	0	0	0	0	4	3	8
VN011010	1	69	2	6	1	3	0	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011010	2	40	1	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	15	4	12	4	10	8	15	9	20	2	 	 	 	 	 	 	 	 
VN011010	3	36	2	1	1	9	0	 	 	 	 	 	 	 	 	0	13	12	25	8	1	6	5	3	15	12	29	2	 	 	 	 	 	 	 	 
VN011010	4	16	2	7	1	 	 	9	0	11	14	6	 	 	 	0	13	12	25	8	15	12	28	2	88	88	88	88	9	1	2	1	8	0	0	3
VN011010	5	14	2	7	1	 	 	7	1	88	88	6	3	2	2	0	15	12	20	2	17	88	88	88	88	88	88	88	8	0	2	0	0	4	4	6
VN011011	0	11	2	0	1	 	 	5	1	88	88	6	3	2	2	0	15	7	15	2	17	88	88	88	88	88	88	88	8	0	1	1	0	4	5	5
VN011011	1	48	2	1	1	4	0	 	 	 	 	 	 	 	 	0	10	12	30	5	1	4	5	3	15	12	30	2	 	 	 	 	 	 	 	 
VN011012	0	12	1	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	20	2	17	88	88	88	88	88	88	88	10	0	2	0	0	4	6	2
VN011012	1	51	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	8	20	8	1	4	7	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011012	2	49	2	1	1	2	0	 	 	 	 	 	 	 	 	0	10	10	24	5	1	3	6	3	15	12	30	1	 	 	 	 	 	 	 	 
VN011012	3	24	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011012	4	17	2	7	1	 	 	9	1	88	88	7	3	1	2	0	15	10	20	3	17	88	88	88	88	88	88	88	8	0	3	0	0	4	7	2
VN011013	0	11	1	0	1	 	 	6	1	88	88	6	3	3	2	0	15	10	15	2	17	88	88	88	88	88	88	88	9	0	2	0	0	4	6	3
VN011013	1	53	1	1	1	7	0	 	 	 	 	 	 	 	 	0	4	8	15	6	1	6	12	3	88	88	88	88	 	 	 	 	 	 	 	 
VN011013	2	52	2	1	1	5	0	 	 	 	 	 	 	 	 	0	12	6	20	9	1	4	8	2	15	12	25	1	 	 	 	 	 	 	 	 
VN011013	3	27	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011013	4	24	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011013	5	22	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011013	6	19	1	7	1	9	0	 	 	 	 	 	 	 	 	0	12	9	20	8	4	5	6	3	88	88	88	88	 	 	 	 	 	 	 	 
VN011013	7	15	1	7	1	 	 	9	0	11	14	6	 	 	 	0	12	9	20	8	1	4	5	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011013	8	11	2	7	1	 	 	5	1	88	88	6	3	3	2	0	15	10	20	2	17	88	88	88	88	88	88	88	9	0	2	0	0	4	5	4
VN011014	0	12	1	0	1	 	 	6	1	88	88	6	3	3	2	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	2	8
VN011014	1	41	1	1	1	12	0	 	 	 	 	 	 	 	 	0	12	12	27	8	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011014	2	39	2	1	1	7	0	 	 	 	 	 	 	 	 	0	13	12	29	7	15	12	30	3	88	88	88	88	 	 	 	 	 	 	 	 
VN011014	3	17	1	7	1	 	 	11	1	88	88	6	3	2	2	0	15	10	20	4	17	88	88	88	88	88	88	88	6	0	4	0	0	4	6	4
VN011014	4	16	2	7	1	 	 	9	1	88	88	6	3	2	2	0	15	10	20	2	17	88	88	88	88	88	88	88	8	0	2	0	0	4	5	5
VN011015	0	12	1	0	1	 	 	6	1	88	88	6	3	1	2	0	15	10	20	3	17	88	88	88	88	88	88	88	8	1	2	0	0	4	6	3
VN011015	1	70	1	6	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011015	2	36	1	1	1	12	0	 	 	 	 	 	 	 	 	0	12	8	25	8	1	4	10	3	88	88	88	88	 	 	 	 	 	 	 	 
VN011015	3	35	2	1	1	10	0	 	 	 	 	 	 	 	 	0	4	12	25	3	1	6	12	4	15	12	30	2	 	 	 	 	 	 	 	 
VN011015	4	31	2	13	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011015	17	6	2	7	1	 	 	0	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	3	7
VN011016	0	12	2	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	20	5	17	88	88	88	88	88	88	88	9	1	2	2	0	4	3	3
VN011016	1	70	2	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011016	2	43	1	1	1	11	0	 	 	 	 	 	 	 	 	0	1	6	20	8	12	12	20	12	15	11	25	3	 	 	 	 	 	 	 	 
VN011016	3	40	2	1	1	8	0	 	 	 	 	 	 	 	 	0	1	6	20	8	15	12	30	6	88	88	88	88	 	 	 	 	 	 	 	 
VN011016	4	19	1	7	1	12	1	 	 	 	 	 	 	 	 	0	12	8	20	8	15	8	20	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011016	5	17	2	7	1	 	 	10	1	88	88	6	3	2	2	0	15	10	20	6	17	88	88	88	88	88	88	88	8	2	2	2	0	4	4	2
VN011016	6	14	2	7	1	 	 	8	1	88	88	6	3	2	2	0	15	8	15	6	17	88	88	88	88	88	88	88	9	2	2	2	0	4	3	2
VN011016	7	10	1	7	1	 	 	4	1	88	88	6	3	2	2	0	15	6	15	2	17	88	88	88	88	88	88	88	10	1	1	0	0	4	2	6
VN011016	17	6	1	7	1	 	 	0	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	4	2	7
VN011017	0	12	1	0	1	 	 	6	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	5	2	7
VN011017	1	41	1	1	1	12	0	 	 	 	 	 	 	 	 	0	11	10	20	6	1	3	10	5	88	88	88	88	 	 	 	 	 	 	 	 
VN011017	2	39	2	1	1	12	0	 	 	 	 	 	 	 	 	0	9	12	25	8	1	3	12	3	15	12	30	3	 	 	 	 	 	 	 	 
VN011017	3	16	1	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011017	17	6	2	7	1	 	 	0	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	4	2	6
VN011018	0	11	1	0	1	 	 	5	1	88	88	6	3	3	2	0	15	10	20	7	17	88	88	88	88	88	88	88	9	4	3	0	0	4	2	2
VN011018	1	38	1	1	1	4	0	 	 	 	 	 	 	 	 	0	12	8	20	8	1	4	7	2	15	5	10	2	 	 	 	 	 	 	 	 
VN011018	2	34	2	1	1	3	0	 	 	 	 	 	 	 	 	0	1	6	10	4	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011018	3	10	2	7	1	 	 	3	1	88	88	6	3	3	2	0	15	10	15	5	17	88	88	88	88	88	88	88	10	3	2	0	0	4	2	3
VN011018	4	3	2	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011019	0	11	2	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	15	2	17	88	88	88	88	88	88	88	8	0	2	0	0	4	4	6
VN011019	1	69	2	6	1	5	0	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011019	2	43	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	10	20	8	1	3	5	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011019	3	39	2	1	1	13	0	 	 	 	 	 	 	 	 	0	13	9	26	8	1	4	6	3	15	12	30	2	 	 	 	 	 	 	 	 
VN011019	4	16	2	7	1	 	 	10	1	88	88	6	3	2	2	0	15	12	20	4	17	88	88	88	88	88	88	88	6	0	4	0	0	5	6	3
VN011019	5	14	2	7	1	 	 	8	1	88	88	6	3	1	2	0	15	10	20	3	17	88	88	88	88	88	88	88	7	0	3	0	0	4	4	6
VN011019	6	9	1	7	1	 	 	3	1	88	88	6	3	1	2	0	15	8	15	1	17	88	88	88	88	88	88	88	8	0	1	0	0	4	3	8
VN011020	0	12	2	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	20	1	17	88	88	88	88	88	88	88	9	0	1	0	0	4	4	6
VN011020	1	43	1	1	1	12	0	 	 	 	 	 	 	 	 	0	1	6	5	8	15	12	30	5	88	88	88	88	 	 	 	 	 	 	 	 
VN011020	2	43	2	1	1	11	0	 	 	 	 	 	 	 	 	0	1	6	4	5	15	12	30	6	88	88	88	88	 	 	 	 	 	 	 	 
VN011020	3	23	2	7	1	13	0	 	 	 	 	 	 	 	 	0	13	8	25	8	15	8	20	3	88	88	88	88	 	 	 	 	 	 	 	 
VN011020	4	21	1	7	1	12	0	 	 	 	 	 	 	 	 	0	15	10	30	2	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011021	0	12	2	0	1	 	 	6	1	88	88	6	3	2	2	0	15	5	20	2	17	88	88	88	88	88	88	88	7	0	2	0	0	5	2	6
VN011021	1	34	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	6	30	8	1	6	15	5	88	88	88	88	 	 	 	 	 	 	 	 
VN011021	2	34	2	1	1	8	0	 	 	 	 	 	 	 	 	0	1	6	25	8	15	12	30	5	88	88	88	88	 	 	 	 	 	 	 	 
VN011021	17	8	1	7	1	 	 	1	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	9	0	0	0	0	5	2	6
VN011022	0	11	1	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	12	1	17	88	88	88	17	88	88	88	9	0	1	0	0	5	3	6
VN011022	1	45	1	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	20	8	15	12	30	5	88	88	88	88	 	 	 	 	 	 	 	 
VN011022	2	46	2	1	1	5	0	 	 	 	 	 	 	 	 	0	12	12	25	12	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011022	3	23	2	7	1	9	0	 	 	 	 	 	 	 	 	0	5	12	26	8	15	8	20	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011022	4	21	2	7	1	9	0	 	 	 	 	 	 	 	 	0	13	12	26	8	15	5	15	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011022	5	19	1	7	1	9	0	 	 	 	 	 	 	 	 	0	13	12	26	8	15	4	10	1	88	88	88	88	 	 	 	 	 	 	 	 
VN011024	0	11	2	0	1	 	 	5	1	88	88	6	3	3	2	0	15	6	15	2	17	88	88	88	88	88	88	88	10	0	2	0	0	5	3	4
VN011024	1	61	1	1	1	4	0	 	 	 	 	 	 	 	 	0	1	12	20	4	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011024	2	56	2	1	1	4	0	 	 	 	 	 	 	 	 	0	1	12	15	4	15	12	30	3	88	88	88	88	 	 	 	 	 	 	 	 
VN011024	3	29	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011024	4	22	1	7	1	9	0	 	 	 	 	 	 	 	 	0	1	6	15	8	15	4	10	2	88	88	88	88	 	 	 	 	 	 	 	 
