CHILDID	OUTID	REMREL	REMEST	REMGOOD
VN011001	1	7	200	0
VN011002	1	5	100	50
VN011002	2	6	100	50
VN011002	3	13	200	30
VN011002	4	21	20	0
VN011003	1	13	500	100
VN011003	2	14	200	0
VN011004	1	14	400	250
VN011004	2	19	100	80
VN011004	3	5	1000	100
VN011004	4	6	600	80
VN011006	1	5	200	50
VN011006	2	6	250	30
VN011006	3	13	100	0
VN011006	4	21	30	0
VN011007	1	5	400	0
VN011007	2	6	200	0
VN011008	1	19	300	200
VN011008	2	13	250	50
VN011008	3	5	100	0
VN011008	4	6	100	0
VN011009	1	5	270	120
VN011009	2	6	270	120
VN011009	3	21	30	0
VN011010	1	13	200	100
VN011010	2	19	150	0
VN011010	3	14	100	0
VN011011	1	13	200	0
VN011011	2	19	100	50
VN011012	1	5	200	150
VN011012	2	13	150	50
VN011012	3	21	30	0
VN011013	1	5	400	100
VN011013	2	13	200	70
VN011013	3	21	30	0
VN011014	1	13	400	0
VN011014	2	19	200	80
VN011014	3	21	300	80
VN011015	1	5	200	100
VN011015	2	6	200	100
VN011015	3	13	150	50
VN011015	4	21	30	0
VN011016	1	13	400	0
VN011016	2	19	200	0
VN011016	3	5	50	20
VN011017	1	5	200	50
VN011018	1	5	0	50
VN011018	2	6	0	50
VN011019	1	5	300	100
VN011019	2	6	300	100
VN011019	3	13	200	50
VN011019	4	21	40	0
VN011020	1	13	300	0
VN011020	2	19	500	100
VN011020	3	14	300	0
VN011021	1	5	200	100
VN011021	2	6	200	100
VN011022	1	6	200	30
VN011025	1	6	250	50
VN011025	2	13	180	40
VN011025	3	21	30	0
VN011028	1	13	850	300
VN011029	1	13	500	0
VN011029	2	5	50	0
VN011029	3	6	50	0
VN011029	4	19	200	0
VN011030	1	5	300	50
VN011030	2	6	300	70
VN011030	3	14	200	40
VN011030	4	21	20	0
VN011032	1	13	200	100
VN011032	2	21	30	0
VN011034	1	6	100	100
VN011034	2	5	100	100
VN011035	1	5	500	0
VN011035	2	6	500	0
VN011035	3	14	200	0
VN011038	1	19	1200	200
VN011038	2	13	3000	100
VN011038	3	14	1000	0
VN011038	4	5	250	100
VN011038	5	19	500	0
VN011039	1	13	170	50
VN011039	2	21	20	0
VN011040	1	5	150	50
VN011040	2	6	150	50
VN011041	1	5	1000	500
VN011041	2	6	1000	500
VN011041	3	13	250	50
VN011041	4	21	50	0
VN011042	1	13	250	50
VN011042	2	21	30	0
VN011044	1	5	200	0
VN011044	2	6	200	0
VN011047	1	5	500	120
VN011047	2	13	200	50
VN011047	3	21	40	0
VN011048	1	5	20	0
VN011048	2	6	20	0
VN011050	1	13	500	0
VN011050	2	19	400	200
VN011050	3	5	200	0
VN011050	4	6	200	0
VN011052	1	5	500	180
VN011052	2	6	500	170
VN011052	3	13	200	50
VN011061	1	14	300	0
VN011061	2	13	400	100
VN011061	3	19	500	200
VN011061	4	5	300	0
VN011061	5	5	300	0
VN011063	1	6	200	50
VN011063	2	5	200	30
VN011063	3	13	1000	300
VN011063	4	21	100	0
VN011069	1	19	400	100
VN011069	2	13	200	0
VN011069	3	14	300	50
VN011074	1	13	400	100
VN011074	2	19	200	0
VN011074	3	15	200	0
VN011074	4	14	100	0
VN011088	1	13	200	0
VN011088	2	19	100	0
VN011088	3	14	50	50
VN021003	1	6	400	0
VN021003	2	19	200	0
VN021003	3	17	50	0
VN021005	1	19	300	0
VN021006	1	21	500	0
VN021007	1	21	20	0
VN021008	1	21	20	60
VN021009	1	21	10	0
VN021011	1	21	50	0
VN021013	1	21	50	-88
VN021014	1	21	20	-88
VN021015	1	21	10	0
VN021017	1	21	100	500
VN021017	2	6	100	150
VN021017	3	5	150	100
VN021017	4	7	500	500
VN021018	1	21	50	-88
VN021020	1	21	10	0
VN021022	1	21	20	-88
VN021024	1	21	50	-88
VN021025	1	21	50	-88
VN021026	1	21	10	0
VN021027	1	21	10	0
VN021029	1	21	100	-88
VN021032	1	21	10	0
VN021033	1	21	20	0
VN021036	1	21	20	0
VN021038	1	21	10	0
VN021039	1	21	60	0
VN021040	1	21	50	0
VN021042	1	21	40	0
VN021042	2	6	400	0
VN021044	1	21	20	0
VN021046	1	21	15	0
VN021047	1	21	200	0
VN021047	2	5	100	0
VN021048	1	21	20	0
VN021049	1	21	10	0
VN021069	1	21	30	-88
VN021072	1	21	20	-77
VN021078	1	21	50	-88
VN021083	1	21	50	0
VN021089	1	21	20	0
VN021090	1	21	20	0
VN021094	1	21	50	0
VN021094	2	5	50	0
VN031001	1	13	150	0
VN031001	2	19	150	0
VN031002	1	5	400	108
VN031002	2	6	400	108
VN031005	1	5	300	50
VN031005	2	6	300	50
VN031005	3	13	100	20
VN031006	1	5	200	50
VN031006	2	6	200	50
VN031007	1	5	1000	0
VN031008	1	19	60	0
VN031009	1	13	250	50
VN031009	2	21	30	0
VN031011	1	13	350	120
VN031011	2	21	50	20
VN031013	1	19	50	0
VN031013	2	13	50	0
VN031018	1	13	120	30
VN031021	1	5	100	0
VN031021	2	6	100	0
VN031023	1	19	100	0
VN031023	2	13	150	0
VN031025	1	19	100	0
VN031025	2	13	100	0
VN031027	1	6	300	30
VN031027	2	13	100	0
VN031028	1	6	50	30
VN031028	2	13	70	30
VN031029	1	5	300	120
VN031029	2	13	200	70
VN031029	3	21	120	0
VN031031	1	6	180	20
VN031031	2	13	70	10
VN031032	1	5	300	150
VN031032	2	6	350	120
VN031032	3	13	80	30
VN031032	4	21	25	0
VN031033	1	5	150	60
VN031033	2	6	150	60
VN031033	3	13	75	50
VN031034	1	21	150	0
VN031036	1	5	100	0
VN031036	2	6	100	0
VN031037	1	13	500	100
VN031037	2	19	400	0
