PLACEID	HLEQIDR4	HAVEEQ	EQPWRK
1203	13	1	1
1203	14	1	1
1203	15	1	1
1203	16	1	1
1203	17	0	 
1203	18	1	1
1203	19	1	1
1203	20	1	1
1302	1	0	 
1302	2	1	3
1302	3	1	1
1302	4	1	2
1302	5	0	 
1302	6	0	 
1302	7	0	 
1302	8	1	1
1302	9	0	 
1302	10	1	1
1302	11	1	1
1302	12	1	1
1302	13	1	1
1302	14	1	1
1302	15	1	1
1302	16	1	1
1302	17	1	1
1302	18	1	1
1302	19	0	 
1302	20	0	 
1303	1	0	 
1303	2	0	 
1303	3	0	 
1303	4	1	2
1303	5	0	 
1303	6	0	 
1303	7	0	 
1303	8	1	3
1303	9	0	 
1303	10	1	1
1303	11	0	 
1303	12	0	 
1303	13	0	 
1303	14	0	 
1303	15	0	 
1303	16	0	 
1303	17	1	1
1303	18	1	3
1303	19	1	2
1303	20	0	 
1304	1	1	1
1304	2	1	1
1304	3	1	1
1304	4	1	1
1304	5	0	 
1304	6	0	 
1304	7	0	 
1304	8	1	1
1304	9	1	1
1304	10	1	1
1304	11	1	1
1304	12	1	1
1304	13	1	1
1304	14	1	1
1304	15	1	1
1304	16	1	1
1304	17	0	 
1304	18	1	1
1304	19	1	1
1304	20	1	1
1402	1	0	 
1402	2	0	 
1402	3	0	 
1402	4	1	1
1402	5	0	 
1402	6	0	 
1402	7	0	 
1402	8	0	 
1402	9	0	 
1402	10	0	 
1402	11	0	 
1402	12	0	 
1402	13	0	 
1402	14	1	1
1402	15	0	 
1402	16	0	 
1402	17	0	 
1402	18	1	1
1402	19	0	 
1402	20	0	 
1403	1	1	1
1403	2	1	4
1403	3	1	1
1403	4	1	1
1403	5	0	 
1403	6	0	 
1403	7	0	 
1403	8	0	 
1403	9	0	 
1403	10	1	1
1403	11	1	1
1403	12	0	 
1403	13	1	1
1403	14	1	1
1403	15	1	1
1403	16	1	1
1403	17	0	 
1403	18	1	1
1403	19	1	1
1403	20	0	 
1404	1	1	1
1404	2	1	4
1404	3	1	1
1404	4	1	1
1404	5	0	 
1404	6	0	 
1404	7	0	 
1404	8	0	 
1404	9	0	 
1404	10	1	1
1404	11	1	1
1404	12	0	 
1404	13	1	1
1404	14	1	1
1404	15	1	1
1404	16	1	1
1404	17	0	 
1404	18	1	1
1404	19	1	1
1404	20	0	 
1501	1	0	 
1501	2	0	 
1501	3	0	 
1501	4	1	1
1501	5	0	 
1501	6	0	 
1501	7	0	 
1501	8	1	2
1501	9	0	 
1501	10	0	 
1501	11	0	 
1501	12	0	 
1501	13	0	 
1501	14	0	 
1501	15	0	 
1501	16	0	 
1501	17	0	 
1501	18	0	 
1501	19	1	1
1501	20	0	 
1502	1	0	 
1502	2	0	 
1502	3	0	 
1502	4	1	1
1502	5	0	 
1502	6	0	 
1502	7	0	 
1502	8	1	1
1502	9	0	 
1502	10	0	 
1502	11	0	 
1502	12	0	 
1502	13	0	 
1502	14	0	 
1502	15	0	 
1502	16	1	4
1502	17	0	 
1502	18	0	 
1502	19	1	1
1502	20	1	1
1503	1	1	1
1503	2	1	4
1503	3	1	1
1503	4	1	2
1503	5	0	 
1503	6	0	 
1503	7	0	 
1503	8	1	1
1503	9	1	1
1503	10	1	1
1503	11	1	1
1503	12	1	1
1503	13	1	4
1503	14	0	 
1503	15	1	2
1503	16	1	1
1503	17	0	 
1503	18	1	1
1503	19	1	1
1503	20	1	1
1504	1	0	 
1504	2	0	 
1504	3	0	 
1504	4	1	2
1504	5	0	 
1504	6	0	 
1504	7	0	 
1504	8	0	 
1504	9	0	 
1504	10	0	 
1504	11	0	 
1504	12	0	 
1504	13	0	 
1504	14	0	 
1504	15	0	 
1504	16	1	4
1504	17	0	 
1504	18	0	 
1504	19	1	1
1504	20	1	1
1505	1	0	 
1505	2	0	 
1505	3	0	 
1505	4	1	2
1505	5	0	 
1505	6	0	 
1505	7	0	 
1505	8	0	 
1505	9	0	 
1505	10	1	1
1505	11	0	 
1505	12	0	 
1505	13	0	 
1505	14	0	 
1505	15	0	 
1505	16	1	4
1505	17	0	 
1505	18	1	1
1505	19	1	1
1505	20	1	1
1506	1	0	 
1506	2	0	 
1506	3	0	 
1506	4	1	2
1506	5	0	 
1506	6	0	 
1506	7	0	 
1506	8	1	1
1506	9	0	 
1506	10	1	1
1506	11	0	 
1506	12	0	 
1506	13	0	 
1506	14	0	 
1506	15	0	 
1506	16	0	 
1506	17	0	 
1506	18	0	 
1506	19	0	 
1506	20	0	 
1507	1	0	 
1507	2	0	 
