PLACEID	GBGEIDR4	GBGEPLAC	GRBCLCT	CMNGARB
101	1	1	12	1
101	2	1	 	2
101	3	0	 	 
101	4	0	 	 
101	5	1	 	88
101	6	0	 	 
101	7	0	 	 
101	8	1	 	3
101	9	0	 	 
102	1	0	 	 
102	2	1	 	2
102	3	0	 	 
102	4	0	 	 
102	5	0	 	 
102	6	0	 	 
102	7	0	 	 
102	8	0	 	 
102	9	1	 	1
201	1	1	1	3
201	2	0	 	 
201	3	0	 	 
201	4	0	 	 
201	5	1	 	2
201	6	0	 	 
201	7	0	 	 
201	8	1	 	1
201	9	0	 	 
202	1	0	 	 
202	2	1	 	2
202	3	0	 	 
202	4	0	 	 
202	5	0	 	 
202	6	0	 	 
202	7	0	 	 
202	8	1	 	1
202	9	0	 	 
203	1	1	4	3
203	2	1	 	2
203	3	0	 	 
203	4	0	 	 
203	5	0	 	 
203	6	0	 	 
203	7	0	 	 
203	8	1	 	1
203	9	0	 	 
204	1	1	4	3
204	2	1	 	1
204	3	0	 	 
204	4	0	 	 
204	5	0	 	 
204	6	0	 	 
204	7	0	 	 
204	8	1	 	2
204	9	0	 	 
205	1	1	4	1
205	2	0	 	 
205	3	1	 	2
205	4	0	 	 
205	5	0	 	 
205	6	0	 	 
205	7	0	 	 
205	8	0	 	 
205	9	1	 	3
301	1	1	-88	88
301	2	1	 	1
301	3	0	 	 
301	4	0	 	 
301	5	0	 	 
301	6	0	 	 
301	7	0	 	 
301	8	1	 	2
301	9	0	 	 
304	1	0	 	 
304	2	1	 	2
304	3	0	 	 
304	4	0	 	 
304	5	0	 	 
304	6	0	 	 
304	7	1	 	3
304	8	1	 	1
304	9	0	 	 
305	1	0	 	 
305	2	1	 	2
305	3	0	 	 
305	4	0	 	 
305	5	0	 	 
305	6	1	 	1
305	7	0	 	 
305	8	0	 	 
305	9	0	 	 
306	1	0	 	 
306	2	1	 	1
306	3	0	 	 
306	4	0	 	 
306	5	0	 	 
306	6	1	 	3
306	7	0	 	 
306	8	1	 	2
306	9	0	 	 
307	1	0	 	 
307	2	1	 	2
307	3	0	 	 
307	4	0	 	 
307	5	0	 	 
307	6	0	 	 
307	7	0	 	 
307	8	0	 	 
307	9	0	 	 
308	1	1	12	1
308	2	1	 	2
308	3	0	 	 
308	4	0	 	 
308	5	0	 	 
308	6	0	 	 
308	7	0	 	 
308	8	0	 	 
308	9	0	 	 
309	1	0	 	 
309	2	1	 	1
309	3	0	 	 
309	4	0	 	 
309	5	0	 	 
309	6	1	 	3
309	7	0	 	 
309	8	1	 	2
309	9	0	 	 
310	1	0	 	 
310	2	1	 	1
310	3	0	 	 
310	4	0	 	 
310	5	0	 	 
310	6	0	 	 
310	7	1	 	3
310	8	1	 	2
310	9	0	 	 
311	1	0	 	 
311	2	1	 	1
311	3	0	 	 
311	4	0	 	 
311	5	0	 	 
311	6	1	 	2
311	7	0	 	 
311	8	1	 	3
311	9	0	 	 
312	1	0	 	 
312	2	0	 	 
312	3	0	 	 
312	4	0	 	 
312	5	0	 	 
312	6	1	 	3
312	7	1	 	2
312	8	1	 	1
312	9	0	 	 
313	1	0	 	 
313	2	1	 	2
313	3	0	 	 
313	4	0	 	 
313	5	0	 	 
313	6	0	 	 
313	7	0	 	 
313	8	1	 	1
