PLACEID	PRANIDR4	AVGPRCAN	MINPRCAN	MAXPRCAN
101	1	3000	 	 
101	2	1200	 	 
101	3	1400	 	 
101	4	300	 	 
101	5	500	 	 
101	6	120	 	 
101	7	200	 	 
101	8	150	 	 
101	9	25	 	 
101	10	20	 	 
101	11	20	 	 
101	12	-88	 	 
101	13	15000	 	 
101	14	30	 	 
102	1	3000	 	 
102	2	3000	 	 
102	3	5000	 	 
102	4	400	 	 
102	5	500	 	 
102	6	120	 	 
102	7	120	 	 
102	8	200	 	 
102	9	15	 	 
102	10	20	 	 
102	11	12	 	 
102	12	-77	300	500
102	13	4000	 	 
102	14	3000	 	 
201	1	4000	 	 
201	2	1500	 	 
201	3	-88	 	 
201	4	400	 	 
201	5	1500	 	 
201	6	200	 	 
201	7	150	 	 
201	8	500	 	 
201	9	25	 	 
201	10	15	 	 
201	11	15	 	 
201	12	-88	 	 
201	13	1500	 	 
201	14	30	 	 
202	1	1500	 	 
202	2	1200	 	 
202	3	3000	 	 
202	4	500	 	 
202	5	2000	 	 
202	6	120	 	 
202	7	120	 	 
202	8	300	 	 
202	9	30	 	 
202	10	20	 	 
202	11	20	 	 
202	12	500	 	 
202	13	1500	 	 
202	14	1500	 	 
203	1	2500	 	 
203	2	1700	 	 
203	3	2500	 	 
203	4	300	 	 
203	5	1500	 	 
203	6	150	 	 
203	7	150	 	 
203	8	250	 	 
203	9	25	 	 
203	10	12	 	 
203	11	12	 	 
203	12	-88	 	 
203	13	1400	 	 
203	14	800	 	 
204	1	-88	 	 
204	2	-88	 	 
204	3	-88	 	 
204	4	200	 	 
204	5	-88	 	 
204	6	150	 	 
204	7	150	 	 
204	8	400	 	 
204	9	15	 	 
204	10	-88	 	 
204	11	-88	 	 
204	12	-88	 	 
204	13	-88	 	 
204	14	30	 	 
205	1	1500	 	 
205	2	750	 	 
205	3	1000	 	 
205	4	300	 	 
205	5	1000	 	 
205	6	200	 	 
205	7	150	 	 
205	8	900	 	 
205	9	20	 	 
205	10	15	 	 
205	11	15	 	 
205	12	500	 	 
205	13	1000	 	 
205	14	500	 	 
301	1	2000	 	 
301	2	1000	 	 
301	3	1500	 	 
301	4	500	 	 
301	5	2500	 	 
301	6	100	 	 
301	7	100	 	 
301	8	200	 	 
301	9	30	 	 
301	10	-88	 	 
301	11	5	 	 
301	12	-88	 	 
301	13	1000	 	 
301	14	1000	 	 
304	1	900	 	 
304	2	800	 	 
304	3	1500	 	 
304	4	1000	 	 
304	5	3000	 	 
304	6	200	 	 
304	7	100	 	 
304	8	200	 	 
304	9	30	 	 
304	10	10	 	 
304	11	10	 	 
304	12	300	 	 
304	13	1000	 	 
304	14	200	 	 
305	1	2000	 	 
305	2	1200	 	 
305	3	1200	 	 
305	4	500	 	 
305	5	1700	 	 
305	6	-88	 	 
305	7	-88	 	 
305	8	200	 	 
305	9	20	 	 
305	10	-88	 	 
305	11	15	 	 
305	12	-88	 	 
305	13	1000	 	 
305	14	1500	 	 
306	1	2500	 	 
306	2	1200	 	 
306	3	2000	 	 
306	4	600	 	 
306	5	-88	 	 
306	6	-88	 	 
306	7	-88	 	 
306	8	700	 	 
306	9	20	 	 
306	10	-88	 	 
306	11	-88	 	 
306	12	-88	 	 
306	13	1500	 	 
306	14	1000	 	 
307	1	2000	 	 
307	2	1500	 	 
307	3	1500	 	 
307	4	700	 	 
307	5	2000	 	 
307	6	-88	 	 
307	7	-88	 	 
307	8	300	 	 
307	9	30	 	 
307	10	-88	 	 
307	11	-88	 	 
307	12	-88	 	 
307	13	1500	 	 
307	14	1200	 	 
308	1	2000	 	 
308	2	800	 	 
308	3	2000	 	 
308	4	500	 	 
308	5	1500	 	 
308	6	100	 	 
308	7	80	 	 
308	8	700	 	 
308	9	40	 	 
308	10	-88	 	 
308	11	-88	 	 
308	12	-88	 	 
308	13	2000	 	 
308	14	800	 	 
309	1	1500	 	 
309	2	1700	 	 
309	3	1500	 	 
309	4	500	 	 
309	5	1500	 	 
309	6	60	 	 
309	7	60	 	 
309	8	200	 	 
309	9	28	 	 
309	10	-77	15	20
309	11	-77	15	20
309	12	-77	90	100
309	13	1500	 	 
309	14	800	 	 
310	1	2500	 	 
310	2	1500	 	 
310	3	1200	 	 
310	4	1000	 	 
310	5	2000	 	 
310	6	-88	 	 
310	7	-88	 	 
310	8	300	 	 
310	9	25	 	 
310	10	-88	 	 
310	11	-88	 	 
310	12	-88	 	 
310	13	1000	 	 
310	14	2000	 	 
311	1	3000	 	 
311	2	1500	 	 
311	3	1500	 	 
311	4	300	 	 
311	5	2000	 	 
311	6	100	 	 
311	7	100	 	 
311	8	200	 	 
311	9	25	 	 
311	10	-88	 	 
311	11	-88	 	 
311	12	-88	 	 
311	13	1500	 	 
311	14	1000	 	 
312	1	2000	 	 
312	2	1000	 	 
312	3	1500	 	 
312	4	500	 	 
312	5	2500	 	 
312	6	80	 	 
312	7	100	 	 
312	8	300	 	 
312	9	30	 	 
312	10	10	 	 
312	11	10	 	 
312	12	300	 	 
312	13	2000	 	 
312	14	1000	 	 
313	1	1800	 	 
313	2	1000	 	 
313	3	3000	 	 
313	4	600	 	 
313	5	1500	 	 
313	6	100	 	 
313	7	100	 	 
313	8	400	 	 
313	9	30	 	 
313	10	10	 	 
313	11	10	 	 
313	12	300	 	 
313	13	1500	 	 
313	14	1200	 	 
314	1	1500	 	 
314	2	1000	 	 
314	3	3000	 	 
314	4	500	 	 
314	5	2000	 	 
314	6	50	 	 
314	7	50	 	 
314	8	300	 	 
314	9	30	 	 
314	10	10	 	 
314	11	15	 	 
314	12	100	 	 
314	13	1500	 	 
314	14	800	 	 
401	1	4000	 	 
401	2	1200	 	 
401	3	-88	 	 
401	4	300	 	 
401	5	2000	 	 
401	6	500	 	 
401	7	-88	 	 
401	8	300	 	 
401	9	25	 	 
401	10	-88	 	 
401	11	10	 	 
401	12	-88	 	 
401	13	700	 	 
401	14	1200	 	 
402	1	3000	 	 
402	2	1000	 	 
402	3	-88	 	 
402	4	300	 	 
402	5	1500	 	 
402	6	200	 	 
402	7	-88	 	 
402	8	250	 	 
402	9	25	 	 
402	10	-88	 	 
402	11	15	 	 
402	12	-88	 	 
402	13	1500	 	 
402	14	800	 	 
403	1	1550	 	 
403	2	600	 	 
403	3	2500	 	 
403	4	120	 	 
403	5	1800	 	 
403	6	150	 	 
403	7	-88	 	 
403	8	200	 	 
403	9	25	 	 
403	10	-88	 	 
403	11	20	 	 
403	12	-88	 	 
403	13	1000	 	 
403	14	500	 	 
404	1	5000	 	 
404	2	800	 	 
404	3	-88	 	 
404	4	80	 	 
404	5	2000	 	 
404	6	200	 	 
404	7	-88	 	 
404	8	700	 	 
404	9	36	 	 
404	10	-88	 	 
404	11	20	 	 
404	12	-88	 	 
404	13	3000	 	 
404	14	20	 	 
405	1	2500	 	 
405	2	1000	 	 
405	3	-88	 	 
405	4	200	 	 
405	5	2000	 	 
405	6	-88	 	 
405	7	-88	 	 
405	8	500	 	 
405	9	30	 	 
405	10	-88	 	 
