PLACEID	HLTHIDR4	HLTHCURR	HLTHTIM	HLTHTRN
801	7	3	 	 
801	8	1	 	 
801	9	0	5	5
801	10	1	 	 
801	11	0	30	7
801	12	88	 	 
802	1	1	 	 
802	2	0	30	7
802	3	0	20	5
802	4	0	20	5
802	5	1	 	 
802	6	1	 	 
802	7	1	 	 
802	8	1	 	 
802	9	1	 	 
802	10	1	 	 
802	11	0	30	7
802	12	88	 	 
901	1	0	90	7
901	2	0	120	7
901	3	0	120	7
901	4	1	 	 
901	5	0	90	7
901	6	0	90	7
901	7	3	 	 
901	8	0	90	7
901	9	0	90	7
901	10	0	20	1
901	11	3	 	 
901	12	1	 	 
902	1	0	90	7
902	2	0	180	7
902	3	0	180	7
902	4	0	30	7
902	5	3	 	 
902	6	0	90	7
902	7	3	 	 
902	8	0	90	7
902	9	0	90	7
902	10	0	30	7
902	11	3	 	 
902	12	1	 	 
903	1	0	60	6
903	2	0	60	6
903	3	0	150	6
903	4	0	30	6
903	5	0	60	6
903	6	0	60	6
903	7	1	 	 
903	8	0	60	6
903	9	0	60	6
903	10	0	60	6
903	11	0	60	6
903	12	88	 	 
904	1	0	25	6
904	2	0	120	6
904	3	0	120	6
904	4	1	 	 
904	5	0	25	6
904	6	0	25	6
904	7	3	 	 
904	8	0	25	6
904	9	0	25	6
904	10	0	25	6
904	11	3	 	 
904	12	1	 	 
905	1	0	60	7
905	2	0	130	7
905	3	0	130	7
905	4	0	40	7
905	5	0	60	7
905	6	0	60	7
905	7	3	 	 
905	8	0	60	7
905	9	0	60	7
905	10	0	60	7
905	11	3	 	 
905	12	0	-88	88
906	1	0	90	7
906	2	0	100	7
906	3	0	100	7
906	4	0	70	7
906	5	0	90	7
906	6	0	90	7
906	7	3	 	 
906	8	0	90	7
906	9	0	90	7
906	10	0	90	7
906	11	3	 	 
906	12	1	 	 
907	1	0	90	7
907	2	0	180	7
907	3	0	180	7
907	4	0	120	7
907	5	0	90	7
907	6	0	90	7
907	7	3	 	 
907	8	0	90	7
907	9	0	90	7
907	10	0	90	7
907	11	3	 	 
907	12	0	35	1
908	1	0	25	6
908	2	0	100	6
908	3	0	100	6
908	4	0	20	1
908	5	0	25	6
908	6	0	25	6
908	7	3	 	 
908	8	0	25	6
908	9	0	25	6
908	10	0	25	6
908	11	3	 	 
908	12	1	 	 
909	1	0	15	6
909	2	0	80	6
909	3	0	80	6
909	4	0	15	6
909	5	0	15	6
909	6	0	15	6
909	7	3	 	 
909	8	0	15	6
909	9	0	15	6
909	10	0	15	6
909	11	3	 	 
909	12	0	10	6
910	1	0	90	7
910	2	0	180	7
910	3	0	180	7
910	4	0	120	7
910	5	0	90	7
910	6	0	90	7
910	7	3	 	 
910	8	0	90	7
910	9	0	90	7
910	10	0	90	7
910	11	3	 	 
910	12	1	 	 
911	1	0	60	6
911	2	0	150	6
911	3	0	150	6
911	4	0	60	1
911	5	0	60	6
911	6	0	60	6
911	7	3	 	 
911	8	0	60	6
911	9	0	60	6
911	10	0	60	6
911	11	0	150	6
911	12	1	 	 
912	1	0	60	7
912	2	0	120	7
912	3	0	120	7
912	4	0	50	1
912	5	0	60	7
912	6	0	120	7
912	7	3	 	 
912	8	0	60	7
912	9	0	60	7
912	10	0	60	7
912	11	0	120	7
912	12	0	20	1
1001	1	0	10	7
1001	2	0	25	8
1001	3	1	 	 
1001	4	1	 	 
1001	5	0	50	7
1001	6	1	 	 
1001	7	3	 	 
1001	8	1	 	 
1001	9	1	 	 
1001	10	1	 	 
1001	11	1	 	 
1001	12	88	 	 
1003	1	0	10	1
1003	2	0	30	7
1003	3	0	20	1
1003	4	0	20	7
1003	5	0	50	7
1003	6	0	15	7
1003	7	3	 	 
1003	8	0	10	1
1003	9	0	25	1
1003	10	1	 	 
1003	11	0	15	7
1003	12	88	 	 
1004	1	0	10	1
1004	2	0	25	7
1004	3	0	15	7
1004	4	0	20	7
1004	5	0	50	7
1004	6	0	20	7
1004	7	3	 	 
1004	8	0	10	1
1004	9	0	15	7
1004	10	1	 	 
1004	11	0	15	7
1004	12	88	 	 
1005	1	0	10	1
1005	2	0	30	7
1005	3	0	15	7
1005	4	0	15	7
1005	5	0	50	7
1005	6	0	15	7
1005	7	3	 	 
1005	8	0	10	1
1005	9	0	15	7
1005	10	1	 	 
1005	11	0	15	7
1005	12	88	 	 
1006	1	0	15	7
1006	2	0	25	7
1006	3	0	15	7
1006	4	0	20	7
1006	5	0	50	7
1006	6	0	15	7
1006	7	3	 	 
1006	8	0	15	7
1006	9	0	15	7
1006	10	0	10	7
1006	11	0	15	7
1006	12	88	 	 
1101	1	0	300	7
1101	2	0	300	7
1101	3	0	300	7
1101	4	0	45	7
1101	5	0	90	7
1101	6	0	300	7
1101	7	3	 	 
1101	8	0	90	7
1101	9	3	 	 
1101	10	0	90	7
1101	11	3	 	 
1101	12	1	 	 
1102	1	0	240	6
1102	2	0	240	6
1102	3	0	240	6
1102	4	0	120	7
1102	5	0	120	7
1102	6	0	240	6
1102	7	3	 	 
1102	8	0	240	6
1102	9	0	240	6
1102	10	0	120	6
1102	11	3	 	 
1102	12	1	 	 
1103	1	0	390	7
1103	2	0	390	7
1103	3	0	390	7
1103	4	0	150	7
1103	5	0	180	7
1103	6	0	390	7
1103	7	3	 	 
1103	8	0	180	7
1103	9	0	390	7
1103	10	0	180	7
1103	11	3	 	 
1103	12	1	 	 
1104	1	0	240	6
1104	2	0	240	6
1104	3	0	240	6
1104	4	0	120	7
1104	5	0	120	7
1104	6	0	120	7
1104	7	3	 	 
1104	8	0	240	6
1104	9	0	240	6
1104	10	0	120	7
1104	11	3	 	 
1104	12	1	 	 
1105	1	0	210	6
1105	2	0	210	6
1105	3	0	210	6
1105	4	1	 	 
1105	5	0	90	6
1105	6	0	210	6
1105	7	3	 	 
1105	8	0	90	6
1105	9	0	210	6
1105	10	0	90	6
1105	11	3	 	 
1105	12	0	-88	88
1106	1	0	360	6
1106	2	0	360	6
1106	3	0	360	6
1106	4	0	240	7
1106	5	0	240	7
1106	6	0	360	6
1106	7	3	 	 
1106	8	0	360	7
1106	9	0	360	7
1106	10	0	240	6
1106	11	3	 	 
1106	12	1	 	 
1107	1	0	180	6
1107	2	0	180	6
1107	3	0	180	6
1107	4	0	45	6
1107	5	0	45	6
1107	6	0	180	6
1107	7	3	 	 
1107	8	0	45	6
1107	9	0	180	6
1107	10	0	45	6
1107	11	3	 	 
1107	12	0	-88	88
1108	1	0	225	6
1108	2	0	225	6
1108	3	0	225	6
1108	4	0	90	6
1108	5	0	90	6
1108	6	0	225	6
1108	7	3	 	 
1108	8	0	90	6
1108	9	0	225	6
1108	10	0	90	6
1108	11	3	 	 
1108	12	0	-88	88
1202	1	0	10	7
1202	2	0	10	7
1202	3	0	8	7
1202	4	1	 	 
1202	5	0	15	7
1202	6	0	10	7
1202	7	0	10	7
1202	8	0	15	1
1202	9	0	15	7
1202	10	1	 	 
1202	11	0	15	7
1202	12	88	 	 
1203	1	1	 	 
1203	2	0	10	7
1203	3	1	 	 
1203	4	1	 	 
1203	5	0	10	7
1203	6	1	 	 
1203	7	1	 	 
1203	8	1	 	 
1203	9	1	 	 
1203	10	1	 	 
1203	11	1	 	 
1203	12	88	 	 
1302	1	1	 	 
1302	2	0	40	7
1302	3	1	 	 
1302	4	0	10	7
1302	5	1	 	 
1302	6	1	 	 
1302	7	0	20	7
1302	8	1	 	 
1302	9	1	 	 
1302	10	1	 	 
1302	11	1	 	 
1302	12	1	 	 
1303	1	0	10	7
1303	2	0	50	7
1303	3	0	10	7
1303	4	1	 	 
1303	5	0	10	7
1303	6	0	10	7
1303	7	1	 	 
1303	8	0	10	7
1303	9	0	10	7
1303	10	1	 	 
1303	11	0	10	7
1303	12	1	 	 
1304	1	1	 	 
1304	2	1	 	 
1304	3	1	 	 
1304	4	1	 	 
1304	5	1	 	 
1304	6	1	 	 
1304	7	1	 	 
1304	8	1	 	 
1304	9	1	 	 
1304	10	1	 	 
1304	11	1	 	 
1304	12	88	 	 
1402	1	0	10	5
1402	2	0	20	5
1402	3	0	20	5
1402	4	0	15	1
1402	5	0	10	5
1402	6	1	 	 
1402	7	1	 	 
1402	8	1	 	 
1402	9	0	10	5
1402	10	0	10	5
1402	11	0	10	5
1402	12	88	 	 
1403	1	0	15	7
1403	2	0	30	7
1403	3	1	 	 
1403	4	0	20	7
1403	5	1	 	 
1403	6	1	 	 
1403	7	1	 	 
1403	8	1	 	 
1403	9	1	 	 
1403	10	1	 	 
1403	11	3	 	 
1403	12	1	 	 
1404	1	0	15	7
1404	2	0	30	7
1404	3	0	10	5
1404	4	0	30	7
1404	5	0	10	5
1404	6	0	5	5
1404	7	0	5	5
1404	8	0	5	5
1404	9	0	5	5
1404	10	0	5	5
1404	11	3	 	 
1404	12	0	10	5
1501	1	0	30	7
1501	2	3	 	 
1501	3	3	 	 
1501	4	0	10	1
1501	5	0	45	6
1501	6	0	30	7
1501	7	3	 	 
1501	8	0	30	7
1501	9	0	30	7
1501	10	1	 	 
1501	11	3	 	 
1501	12	1	 	 
1502	1	0	15	5
1502	2	3	 	 
1502	3	3	 	 
1502	4	0	20	5
1502	5	0	60	6
1502	6	0	15	5
1502	7	3	 	 
1502	8	0	15	5
1502	9	0	15	5
1502	10	0	15	5
1502	11	3	 	 
1502	12	1	 	 
1503	1	0	10	5
1503	2	3	 	 
1503	3	3	 	 
1503	4	0	10	5
1503	5	0	80	6
1503	6	0	10	5
1503	7	3	 	 
1503	8	0	10	5
1503	9	0	10	5
1503	10	0	10	5
1503	11	3	 	 
1503	12	88	 	 
1504	1	0	20	6
1504	2	3	 	 
1504	3	3	 	 
1504	4	0	15	6
1504	5	0	80	6
1504	6	0	20	6
1504	7	3	 	 
1504	8	0	20	6
1504	9	0	20	6
1504	10	1	 	 
1504	11	3	 	 
1504	12	1	 	 
1505	1	0	20	6
1505	2	3	 	 
1505	3	3	 	 
1505	4	0	15	6
1505	5	0	80	6
1505	6	0	20	6
1505	7	3	 	 
1505	8	0	20	6
1505	9	0	20	6
1505	10	0	5	1
1505	11	3	 	 
1505	12	1	 	 
1506	1	0	15	1
1506	2	3	 	 
1506	3	3	 	 
1506	4	1	 	 
1506	5	0	90	7
1506	6	3	 	 
1506	7	3	 	 
1506	8	0	15	1
1506	9	0	15	1
1506	10	1	 	 
1506	11	3	 	 
1506	12	88	 	 
1507	1	0	30	5
1507	2	3	 	 
1507	3	3	 	 
1507	4	0	35	5
1507	5	3	 	 
1507	6	0	30	5
1507	7	3	 	 
1507	8	0	30	5
1507	9	0	30	5
1507	10	0	30	5
1507	11	3	 	 
1507	12	0	-88	88
1508	1	0	15	5
1508	2	3	 	 
1508	3	3	 	 
1508	4	0	15	5
1508	5	0	90	6
1508	6	3	 	 
1508	7	3	 	 
1508	8	0	15	5
1508	9	0	15	5
1508	10	0	15	5
1508	11	3	 	 
1508	12	88	 	 
1509	1	1	 	 
1509	2	3	 	 
1509	3	3	 	 
1509	4	0	15	1
1509	5	0	75	6
1509	6	1	 	 
1509	7	3	 	 
1509	8	1	 	 
1509	9	1	 	 
1509	10	1	 	 
1509	11	3	 	 
1509	12	88	 	 
1601	1	0	120	7
1601	2	0	120	7
1601	3	0	120	7
1601	4	0	120	7
1601	5	0	120	7
1601	6	0	120	7
1601	7	0	10	7
1601	8	0	120	7
1601	9	0	120	7
1601	10	0	120	7
1601	11	0	120	7
1601	12	88	 	 
1602	1	0	80	7
1602	2	0	80	7
1602	3	0	80	7
1602	4	1	 	 
1602	5	0	80	7
1602	6	0	80	7
1602	7	0	80	7
1602	8	0	80	7
1602	9	0	80	7
1602	10	1	 	 
1602	11	0	80	7
1602	12	3	 	 
1603	1	0	90	7
1603	2	0	90	7
1603	3	0	90	7
1603	4	0	90	7
1603	5	0	90	7
1603	6	0	90	7
1603	7	1	 	 
1603	8	0	90	7
1603	9	0	90	7
1603	10	1	 	 
1603	11	0	90	7
1603	12	0	-88	88
1604	1	0	60	7
1604	2	0	60	7
1604	3	0	60	7
1604	4	0	60	7
1604	5	0	60	7
1604	6	0	60	7
1604	7	0	60	7
1604	8	0	60	7
1604	9	0	60	7
1604	10	1	 	 
1604	11	0	60	7
1604	12	1	 	 
1605	1	0	150	7
1605	2	0	150	7
1605	3	0	150	7
1605	4	0	150	7
1605	5	0	150	7
1605	6	0	150	7
1605	7	1	 	 
1605	8	0	150	7
1605	9	0	150	7
1605	10	1	 	 
1605	11	0	150	7
1605	12	88	 	 
1606	1	0	50	7
1606	2	0	50	7
1606	3	0	50	7
1606	4	0	50	7
1606	5	0	50	7
1606	6	0	50	7
1606	7	1	 	 
1606	8	0	50	7
1606	9	0	50	7
1606	10	1	 	 
1606	11	0	50	7
1606	12	88	 	 
1607	1	0	30	7
1607	2	0	30	7
1607	3	0	30	7
1607	4	0	30	7
1607	5	0	30	7
1607	6	0	30	7
1607	7	0	30	7
1607	8	0	30	7
1607	9	0	30	7
1607	10	0	30	7
1607	11	0	30	7
1607	12	88	 	 
1608	1	0	40	7
1608	2	0	40	7
1608	3	0	40	7
1608	4	0	40	7
1608	5	0	40	7
1608	6	0	40	7
1608	7	0	5	7
1608	8	0	40	7
1608	9	0	40	7
1608	10	0	40	7
1608	11	0	40	7
1608	12	88	 	 
1701	1	0	40	6
1701	2	3	 	 
1701	3	0	40	6
1701	4	0	20	6
1701	5	0	40	6
1701	6	3	 	 
1701	7	1	 	 
1701	8	0	40	6
1701	9	3	 	 
1701	10	1	 	 
1701	11	3	 	 
1701	12	3	 	 
1702	1	0	30	6
1702	2	0	30	6
1702	3	0	30	6
1702	4	1	 	 
1702	5	0	30	6
1702	6	0	30	6
1702	7	0	30	6
1702	8	0	30	6
1702	9	3	 	 
1702	10	1	 	 
1702	11	3	 	 
1702	12	3	 	 
1703	1	0	60	7
1703	2	3	 	 
1703	3	0	30	7
1703	4	0	30	7
1703	5	0	60	7
1703	6	3	 	 
1703	7	1	 	 
1703	8	0	60	7
1703	9	3	 	 
1703	10	1	 	 
1703	11	3	 	 
1703	12	3	 	 
1704	1	0	60	88
1704	2	3	 	 
1704	3	3	 	 
1704	4	0	60	7
1704	5	0	60	7
1704	6	3	 	 
1704	7	1	 	 
1704	8	0	60	7
1704	9	3	 	 
1704	10	0	60	7
1704	11	3	 	 
1704	12	3	 	 
1705	1	3	 	 
1705	2	3	 	 
1705	3	3	 	 
1705	4	0	90	1
1705	5	0	180	7
1705	6	3	 	 
1705	7	3	 	 
1705	8	0	180	7
1705	9	3	 	 
1705	10	0	90	1
1705	11	3	 	 
1705	12	3	 	 
1706	1	0	60	7
1706	2	3	 	 
1706	3	3	 	 
1706	4	0	15	7
1706	5	0	60	7
1706	6	3	 	 
1706	7	0	30	7
1706	8	0	60	7
1706	9	3	 	 
1706	10	0	15	7
1706	11	3	 	 
1706	12	3	 	 
1708	1	3	 	 
1708	2	3	 	 
1708	3	3	 	 
1708	4	0	45	1
1708	5	0	150	7
1708	6	3	 	 
1708	7	3	 	 
1708	8	0	150	7
1708	9	3	 	 
1708	10	0	45	1
1708	11	3	 	 
1708	12	88	 	 
1709	1	3	 	 
1709	2	3	 	 
1709	3	3	 	 
1709	4	1	 	 
1709	5	3	 	 
1709	6	3	 	 
1709	7	3	 	 
1709	8	3	 	 
1709	9	3	 	 
1709	10	1	 	 
1709	11	3	 	 
1709	12	3	 	 
1710	1	1	 	 
1710	2	3	 	 
1710	3	1	 	 
1710	4	1	 	 
1710	5	1	 	 
1710	6	3	 	 
1710	7	0	60	7
1710	8	1	 	 
1710	9	3	 	 
1710	10	1	 	 
1710	11	3	 	 
1710	12	88	 	 
1711	1	0	60	7
1711	2	3	 	 
1711	3	3	 	 
1711	4	0	30	7
1711	5	0	60	7
1711	6	3	 	 
1711	7	1	 	 
1711	8	0	60	7
1711	9	3	 	 
1711	10	1	 	 
1711	11	3	 	 
1711	12	3	 	 
1801	1	0	90	13
1801	2	0	100	13
1801	3	0	90	13
1801	4	0	90	13
1801	5	3	 	 
1801	6	3	 	 
1801	7	0	60	1
1801	8	0	90	13
1801	9	3	 	 
1801	10	0	90	13
1801	11	3	 	 
1801	12	3	 	 
1802	1	0	30	7
1802	2	0	40	7
1802	3	0	30	7
1802	4	0	30	7
1802	5	3	 	 
1802	6	3	 	 
1802	7	1	 	 
1802	8	0	30	7
1802	9	3	 	 
1802	10	1	 	 
1802	11	3	 	 
1802	12	3	 	 
1803	1	0	30	6
1803	2	0	40	6
1803	3	0	30	6
1803	4	0	20	6
1803	5	3	 	 
1803	6	3	 	 
1803	7	1	 	 
1803	8	0	30	6
1803	9	3	 	 
1803	10	1	 	 
1803	11	3	 	 
1803	12	3	 	 
1804	1	0	30	7
1804	2	0	45	7
1804	3	0	30	7
1804	4	0	15	7
1804	5	3	 	 
1804	6	3	 	 
1804	7	0	30	7
1804	8	0	30	7
1804	9	3	 	 
1804	10	0	30	7
1804	11	3	 	 
1804	12	3	 	 
1806	1	0	45	13
1806	2	0	55	13
1806	3	0	45	13
1806	4	0	35	13
1806	5	3	 	 
1806	6	3	 	 
1806	7	0	15	13
1806	8	0	45	13
1806	9	3	 	 
1806	10	0	15	13
1806	11	3	 	 
1806	12	3	 	 
1807	1	0	5	6
1807	2	0	15	6
1807	3	0	5	6
1807	4	1	 	 
1807	5	3	 	 
1807	6	3	 	 
1807	7	0	15	6
1807	8	0	5	6
1807	9	3	 	 
1807	10	1	 	 
1807	11	3	 	 
1807	12	3	 	 
1901	1	0	15	6
1901	2	0	15	6
