PLACEID	ANFDIDR4	ITEM	PRICE	ACCOUNT
101	1	POLLO	7	1
101	2	PESCADO	7	1
101	3	HUEVO	0,3	2
102	1	POLLO	7,5	1
102	2	RES	12	1
102	3	PESCADO	7	1
201	1	POLLO	9	1
201	2	CABRITO	10	1
201	3	PESCADO9	8	1
202	1	ARROZ	2	1
202	2	FREJOL BLANCO	4	1
202	3	POLLO	6	1
203	1	POLLO	9	1
203	2	CARNERO	12	1
203	3	PESCADO	8	1
204	1	POLLO	8	1
204	2	PESCADO	5	1
204	3	CABRITO	12	1
205	1	SOYA	0,5	3
205	2	POLLO	7,5	1
205	3	ARROZ	2,2	1
301	1	QUESO	10	1
301	2	HUEVO	0,3	2
301	3	POLLO	10	1
304	1	HIERRO	0,3	2
304	2	CARNE	10	1
304	3	QUESO	10	1
305	1	QUESO	7	1
305	2	CHANCHO	10	1
305	3	HUEVOS	0,3	2
306	1	QUESO	10	1
306	2	HUEVO	0,3	2
306	3	POLLO	9	1
307	1	QUESO	8	1
307	2	HUEVOS	0,3	2
307	3	GALLINA	13	1
308	1	HUEVO	4,8	1
308	2	QUESO	10	1
308	3	POLLO	10	1
309	1	QUESO	7	1
309	2	HUEVO	4	1
309	3	CARNE	9	1
310	1	QUESO	10	1
310	2	HUEVOS	0,3	2
310	3	CHANCHO	12	1
311	1	HUEVOS	0,3	2
311	2	QUESO	10	1
311	3	POLLO	9	1
312	1	CARNE	12	1
312	2	LECHE	1,5	3
312	3	QUESO	8	1
313	1	LECHE	2,4	2
313	2	HUEVO	5	1
313	3	QUESO	8	1
314	1	LECHE	1,5	3
314	2	CARNE	12	1
314	3	QUESO	8	1
401	1	POLLO	8	1
401	2	HUEVO	0,3	2
401	3	QUESO	10	1
402	1	POLLO	9	1
402	2	TRUCHA	12	1
402	3	HUEVOS	0,3	2
403	1	POLLO	9	1
403	2	CARNE	12	1
403	3	PESCADO	12	1
404	1	HUEVOS	0,3	2
404	2	POLLO	12	1
404	3	PESCADO CABALLA	5	1
405	1	HUEVOS	0,3	2
405	2	GALLINA CRIOLLA	12	1
405	3	CUY	10	2
406	1	LECHE	1	3
406	2	HUEVOS	0,3	2
406	3	POLLO	10	1
408	1	GALLINA CRIOLLA	12	1
408	2	CUY	20	2
408	3	HUEVO	0,3	2
501	1	POLLO	10	1
501	2	QUESO	10	1
501	3	LECHE	1	3
503	1	POLLO	10	1
503	2	HUEVOS	4	1
503	3	CARNE DE RES	9	1
504	1	LECHE	1	3
504	2	HUEVO	14	1
504	3	POLLO	10	1
505	1	CARNE DE RES	9	1
505	2	POLLO	9	1
505	3	HUEVOS	4	1
507	1	GALLINA	35	2
507	2	HUEVO	0,25	2
507	3	QUESO	7	1
508	1	GALLINA	40	2
508	2	HUEVOS	0,5	2
508	3	CARNE DE RES	12	1
509	1	POLLO	10	1
509	2	CARNE RES	9	1
509	3	HUEVOS	0,5	2
510	1	POLLO	10	1
510	2	CARNE DE RES	10	1
510	3	PESCADO	10	1
511	1	GALLINA CRIOLLA	12	1
511	2	POLLO	10	1
511	3	CARNE DE RES	9	1
512	1	POLLO	9	1
512	2	HUEVOS	0,3	2
512	3	CARNE DE RES	10	1
601	1	HUEVO	0,3	2
601	2	POLLO	9	1
601	3	PESCADO TILAPIA	12	1
602	1	POLLO	8,7	1
602	2	CARNE DE RES	10	1
602	3	LECHE	1,5	3
701	1	POLLO	8,5	1
701	2	PESCADO	7	1
701	3	CARNE DE RES	15	1
702	1	POLLO	6,5	1
702	2	PESCADO	7	1
702	3	HUEVO	5,2	1
703	1	POLLO	6,5	1
703	2	PESCADO	7	1
703	3	HUEVOS	5,2	1
704	1	POLLO	8,5	1
704	2	MENUDENCIA DE POLLO	4,5	1
704	3	PESCADO	7	1
801	1	POLLOS	7,5	1
801	2	HUEVOS	5,6	1
801	3	PESCADO	7	1
802	1	PESCADO	7	1
802	2	POLLO	8,2	1
802	3	CARNE DE RES	12	1
901	1	HUEVOS	-88	1
901	2	POLLO	-88	1
901	3	CARNE DE RES	-88	1
902	1	CUY	20	2
902	2	GALLINA	30	2
902	3	OVEJA	14	1
903	1	CUY	15	2
903	2	GALLINA	20	2
903	3	CARNERO	100	2
904	1	CUY	12	2
904	2	POLLO	8	1
904	3	HUEVOS	5,5	1
905	1	HUEVO	5,5	1
905	2	CUY	15	2
905	3	POLLO	20	2
906	1	HUEVOS	5	1
906	2	CARNE DE CARNERO	-77	4
906	3	PESCADO	6,5	1
907	1	HUEVO	5,5	1
907	2	LECHE	2	3
907	3	QUESO	10	1
908	1	CUY	12	2
908	2	POLLO	9	1
908	3	HUEVOS	6	1
909	1	POLLO	7	1
909	2	HUEVOS	6	1
909	3	CUY	10	2
910	1	CUY	15	2
910	2	GALLINA	25	2
910	3	HUEVOS	5,5	1
911	1	HUEVOS	5,5	1
911	2	CUY	15	2
911	3	GALLINA	30	2
912	1	CUY	15	2
912	2	PESCADO	6,5	1
912	3	HUEVOS	5,5	1
1001	1	POLLO	8	1
1001	2	HUEVOS	5	1
1001	3	CARNE DE CERDO	12	1
1003	1	POLLO	8,5	1
1003	2	CARNE DE RES	12	1
1003	3	HUEVOS	5,5	1
1004	1	POLLO	8	1
1004	2	HUEVOS	5	1
1004	3	CARNE DE CHANCHO	12	1
1005	1	HUEVO	5	1
1005	2	GALLINA	30	2
1005	3	CUY	20	2
1006	1	POLLO	8	1
1006	2	HUEVO	5	1
1006	3	CARNE DE CHANCHO	12	1
1101	1	CUY	15	2
1101	2	GALLINA	25	2
1101	3	HUEVO	5	1
1102	1	CUY	10	2
1102	2	GALLINA	30	2
1102	3	HUEVO	5	1
1103	1	CARNE DE CARNERO	80	2
1103	2	CUY	15	2
1103	3	GALLINA	20	2
1104	1	CARNE DE CORDERO	11	1
1104	2	CUY	10	2
1104	3	GALLINA	20	2
1105	1	CUY	15	2
1105	2	GALLINA	30	2
1105	3	HUEVO	5	1
1106	1	CARNE DE CARNERO	180	2
1106	2	CARNE DE CHANCHO	200	2
1106	3	GALLINA	30	2
1107	1	POLLO	10	1
1107	2	CUY	20	2
1107	3	GALLINA	25	2
1108	1	HUEVOS	5	1
1108	2	CUY	15	2
1108	3	GALLINA	20	2
1202	1	POLLO	7	1
1202	2	PESCADO	5	1
1202	3	CHANCHO	11	1
1203	1	POLLO	7,5	1
1203	2	CARNE	14	1
1203	3	PESCADO	6	1
1302	1	POLLO	6,5	1
1302	2	CARNE DE RES	12	1
1302	3	CARNE DE CHANCHO	10	1
1303	1	POLLO	6,5	1
1303	2	PESCADO	6	1
1303	3	CARNE DE RES	12	1
1304	1	POLLO	6,5	1
1304	2	CARNE DE RES	12	1
1304	3	PESCADO	6	1
1402	1	POLLO	6,5	1
1402	2	LECHE	2,2	4
1402	3	CARNE DE RES	12	1
1403	1	POLLO	7	1
1403	2	CARNE	14	1
1403	3	PESCADO	7,5	1
1404	1	POLLO	7,8	1
1404	2	HUEVOS	5,4	1
1404	3	PESCADO	7	1
1501	1	GALLINA	30	2
1501	2	CUY	15	2
1501	3	PATOS	25	2
1502	1	POLLO	7,8	1
1502	2	CARNE DE RES	11	1
1502	3	CARNE DE CERDO	12	1
1503	1	HUEVOS	5	1
1503	2	POLLO	7,8	1
1503	3	GALLINA	15	1
1504	1	GALLINA	17	1
1504	2	CUY	20	2
1504	3	CHANCHO	12	1
1505	1	MAJAS	12	1
1505	2	AÑUJE	10	1
1505	3	ARMADILLO	10	1
1506	1	POLLO	8	1
1506	2	HUEVO	5	1
1506	3	LECHE	3	4
1507	1	PESCADO CHUPADORA	12	1
1507	2	PESCADO CARACHAMA	8	1
1507	3	PESCADO ANGUIA	8	1
1508	1	CUTPE	15	1
1508	2	SAMANI	20	1
1508	3	QUIRQUINCHO	15	1
1509	1	CARNE DE RES	11	1
1509	2	GALLINA	35	2
1509	3	PESCADO BARBON	7	1
1601	1	CARNE  DE CARNERO	10	1
1601	2	QUESO	10	1
1601	3	LECHE	1,2	3
1602	1	POLLO	8	1
1602	2	HUEVO	5,5	1
1602	3	CARNE DE CARNERO	7	1
1603	1	CARNE DE CORDERO	10	1
1603	2	LECHE	1,2	3
1603	3	QUESO	10	1
1604	1	CARNE DE OVINO	8	1
1604	2	LECHE	1	3
1604	3	QUESO	8	1
1605	1	CARNE DE OVEJA	7,5	1
1605	2	QUESO	10	1
1605	3	LECHE	1	3
1606	1	CARNE DE CARNERO	10	1
1606	2	LECHE	1	3
1606	3	QUESO	10	1
1607	1	QUESO	10	1
1607	2	LECHE	1	3
1607	3	GALLINA	25	2
1608	1	QUESO	10	1
1608	2	HUEVOS	5,5	1
1608	3	CARNE DE CARNERO	10	1
1701	1	CARNE DE CARNERO	10	1
1701	2	QUESO	13	1
1701	3	CUY	10	2
1702	1	CARNE DE RES	9	1
1702	2	CARNE DE CORDERO	12	1
1702	3	QUESO	18	1
1703	1	CARNE DE RES	8	1
1703	2	CARNE DE ALPACA	6	1
1703	3	CARNE DE OVEJA	7	1
1704	1	LECHE	2	3
1704	2	QUESO	16	1
1704	3	HUEVO	5,2	1
1705	1	CARNE DE CABRA	8	1
1705	2	CARNE DE CORDERO	9	1
1705	3	LECHE DE VACA	1	3
1706	1	QUESO	12	1
1706	2	CARNE DE RES	9	1
1706	3	LECHE	3	3
1708	1	CARNERO	7,5	1
1708	2	CABRITO	6	1
1708	3	LECHE	1	3
1709	1	POLLO	10	1
1709	2	CARNE	9	1
1709	3	QUESO	14	1
1710	1	POLLO	9	1
1710	2	CARNE DE CARNERO	7	1
1710	3	CARNE DE RES	8	1
1711	1	CARNE DE RES	8,5	1
1711	2	CARNE DE CORDERO	7	1
1711	3	QUUESO	14	1
1801	1	LECHE	1,3	3
1801	2	QUESO	10	1
1801	3	HUEVO	6	1
1802	1	QUESO	10	1
1802	2	CARNE DE CORDERO	9	1
1802	3	LECHE	1,5	3
1803	1	CUY	15	2
1803	2	QUESO	10	1
1803	3	CARNE CARNERO	8	1
1804	1	QUESO	10	1
1804	2	LECHE	2	3
1804	3	CUY	20	1
1806	1	LECHE	1,5	3
1806	2	CUY	15	2
1806	3	CARNE DE CARNERO	7	1
1807	1	CARNE CARNERO	7	1
1807	2	LECHE	1,5	3
1807	3	QUESO	10	1
1901	1	CAMARON	20	1
1901	2	RES	12	1
1901	3	GALLINA	25	2
1902	1	CARNE DE RES	11	1
1902	2	POLLO	7	1
1902	3	CAMARON	20	1
1903	1	CARNE DE RES	10	1
1903	2	CHANCHO	12	1
1903	3	HUEVOS	6	1
1904	1	PESCADO	12	1
1904	2	CAMARON	20	1
1904	3	CARNE DE RES	10	1
1905	1	POLLO	9,5	1
1905	2	HUEVOS	6	1
1905	3	CARNE DE RES	11	1
2001	1	CARNE DE CARNERO	12	1
2001	2	TRUCHA	10	1
2001	3	QUESO	12	1
2002	1	CARNE DE CORDERO	12	1
