PLACEID	YREXIDR4	REGMTHPY	APAFAPY	PURBOKPY	EXTORDPY
101	1	0	30	150	50
101	2	0	30	120	50
101	3	0	30	200	30
102	1	0	15	0	0
102	2	0	15	0	0
102	3	-88	-88	-88	-88
201	1	0	20	200	10
201	2	0	20	200	4
201	3	0	20	150	10
202	1	0	30	350	0
202	2	0	30	350	0
202	3	0	30	200	0
203	1	0	30	200	30
203	2	0	30	100	30
203	3	-88	-88	-88	-88
204	1	0	30	12	50
204	2	0	30	100	50
204	3	0	30	150	50
205	1	0	25	500	10
205	2	0	25	600	10
205	3	0	25	350	10
301	1	0	15	250	60
301	2	0	10	250	60
301	3	-88	-88	-88	-88
304	1	 	 	 	 
304	2	 	 	 	 
304	3	 	 	 	 
305	1	 	 	 	 
305	2	 	 	 	 
305	3	 	 	 	 
306	1	 	 	 	 
306	2	 	 	 	 
306	3	 	 	 	 
307	1	 	 	 	 
307	2	 	 	 	 
307	3	 	 	 	 
308	1	 	 	 	 
308	2	 	 	 	 
308	3	 	 	 	 
309	1	 	 	 	 
309	2	 	 	 	 
309	3	 	 	 	 
310	1	 	 	 	 
310	2	 	 	 	 
310	3	 	 	 	 
311	1	 	 	 	 
311	2	 	 	 	 
311	3	 	 	 	 
312	1	 	 	 	 
312	2	 	 	 	 
312	3	 	 	 	 
313	1	 	 	 	 
313	2	 	 	 	 
313	3	 	 	 	 
314	1	 	 	 	 
314	2	 	 	 	 
314	3	 	 	 	 
401	1	 	 	 	 
401	2	 	 	 	 
401	3	 	 	 	 
402	1	0	25	120	30
402	2	0	25	180	50
402	3	0	25	150	50
403	1	0	20	150	10
403	2	0	20	120	10
403	3	-88	-88	-88	-88
404	1	0	10	150	30
404	2	0	10	200	30
404	3	-88	-88	-88	-88
405	1	 	 	 	 
405	2	 	 	 	 
405	3	 	 	 	 
406	1	 	 	 	 
406	2	 	 	 	 
406	3	 	 	 	 
408	1	 	 	 	 
408	2	 	 	 	 
408	3	 	 	 	 
501	1	0	50	100	0
501	2	0	50	100	0
501	3	-88	-88	-88	-88
503	1	0	50	400	50
503	2	0	50	500	50
503	3	-88	-88	-88	-88
504	1	 	 	 	 
504	2	 	 	 	 
504	3	 	 	 	 
505	1	 	 	 	 
505	2	 	 	 	 
505	3	 	 	 	 
507	1	 	 	 	 
507	2	 	 	 	 
507	3	 	 	 	 
508	1	 	 	 	 
508	2	 	 	 	 
508	3	 	 	 	 
509	1	 	 	 	 
509	2	 	 	 	 
509	3	 	 	 	 
510	1	 	 	 	 
510	2	 	 	 	 
510	3	 	 	 	 
511	1	0	25	300	30
511	2	0	25	300	30
511	3	0	25	300	30
512	1	 	 	 	 
512	2	 	 	 	 
512	3	 	 	 	 
601	1	0	70	120	30
601	2	0	70	100	30
601	3	-88	-88	-88	-88
602	1	0	70	120	30
602	2	0	7	100	30
602	3	-88	-88	-88	-88
701	1	0	30	350	15
701	2	0	30	300	15
701	3	-88	-88	-88	-88
702	1	 	 	 	 
702	2	 	 	 	 
702	3	 	 	 	 
703	1	 	 	 	 
703	2	 	 	 	 
703	3	 	 	 	 
704	1	 	 	 	 
704	2	 	 	 	 
704	3	 	 	 	 
801	1	0	12	350	50
801	2	0	12	400	40
801	3	-88	-88	-88	-88
802	1	10	0	0	0
802	2	10	0	0	0
802	3	-88	-88	-88	-88
901	1	0	10	0	0
901	2	0	10	0	0
901	3	-8	-88	-88	-88
902	1	0	10	200	30
902	2	0	10	200	20
902	3	-8	-88	-88	-88
903	1	 	 	 	 
903	2	 	 	 	 
903	3	 	 	 	 
904	1	0	10	120	10
904	2	0	10	120	10
904	3	-88	-88	-88	-88
905	1	0	5	100	5
905	2	0	5	150	5
905	3	-88	-88	-88	-88
906	1	0	0	150	0
906	2	0	0	180	0
906	3	-88	-88	-88	-88
907	1	 	 	 	 
907	2	 	 	 	 
907	3	 	 	 	 
908	1	 	 	 	 
908	2	 	 	 	 
908	3	 	 	 	 
909	1	 	 	 	 
909	2	 	 	 	 
909	3	 	 	 	 
910	1	 	 	 	 
910	2	 	 	 	 
910	3	 	 	 	 
911	1	 	 	 	 
911	2	 	 	 	 
911	3	 	 	 	 
912	1	 	 	 	 
912	2	 	 	 	 
912	3	 	 	 	 
1001	1	0	20	300	60
1001	2	0	20	400	60
1001	3	-88	-88	-88	-88
1003	1	0	20	300	70
1003	2	0	20	200	50
1003	3	-88	-88	-88	-88
1004	1	0	20	300	70
1004	2	0	20	200	50
1004	3	-88	-88	-88	-88
1005	1	0	20	300	70
1005	2	0	20	200	50
1005	3	-88	-88	-88	-88
1006	1	 	 	 	 
1006	2	 	 	 	 
1006	3	 	 	 	 
1101	1	 	 	 	 
1101	2	 	 	 	 
1101	3	 	 	 	 
1102	1	0	5	100	15
1102	2	0	5	200	20
1102	3	-88	-88	-88	-88
1103	1	 	 	 	 
1103	2	 	 	 	 
1103	3	 	 	 	 
1104	1	0	5	150	10
1104	2	0	5	200	10
1104	3	-88	-88	-88	-88
1105	1	 	 	 	 
1105	2	 	 	 	 
1105	3	 	 	 	 
1106	1	 	 	 	 
1106	2	 	 	 	 
1106	3	 	 	 	 
1107	1	0	2	100	10
1107	2	0	2	200	25
1107	3	-88	-88	-88	-88
1108	1	 	 	 	 
1108	2	 	 	 	 
1108	3	 	 	 	 
1202	1	0	60	0	0
1202	2	0	11	50	0
1202	3	-88	-88	-88	-88
1203	1	20	120	120	30
1203	2	0	20	180	30
1203	3	-88	-88	-88	-88
1302	1	 	 	 	 
1302	2	 	 	 	 
1302	3	 	 	 	 
1303	1	0	30	350	40
1303	2	0	30	380	50
1303	3	-88	-88	-88	-88
1304	1	0	0	300	100
1304	2	0	0	350	150
1304	3	-88	-88	-88	-88
1402	1	 	 	 	 
1402	2	 	 	 	 
1402	3	 	 	 	 
1403	1	0	10	300	40
1403	2	0	10	500	60
1403	3	0	10	300	30
1404	1	0	20	300	60
1404	2	0	20	400	60
1404	3	0	20	300	40
1501	1	0	31	150	15
1501	2	0	31	180	15
1501	3	-88	-88	-88	-88
1502	1	 	 	 	 
1502	2	 	 	 	 
1502	3	 	 	 	 
1503	1	 	 	 	 
1503	2	 	 	 	 
1503	3	 	 	 	 
1504	1	0	10	200	20
1504	2	0	10	300	50
1504	3	-88	-88	-88	-88
1505	1	 	 	 	 
1505	2	 	 	 	 
1505	3	 	 	 	 
1506	1	 	 	 	 
1506	2	 	 	 	 
1506	3	 	 	 	 
1507	1	 	 	 	 
1507	2	 	 	 	 
1507	3	 	 	 	 
1508	1	 	 	 	 
1508	2	 	 	 	 
1508	3	 	 	 	 
1509	1	 	 	 	 
1509	2	 	 	 	 
1509	3	 	 	 	 
1601	1	 	 	 	 
1601	2	 	 	 	 
1601	3	 	 	 	 
1602	1	 	 	 	 
1602	2	 	 	 	 
1602	3	 	 	 	 
1603	1	 	 	 	 
1603	2	 	 	 	 
1603	3	 	 	 	 
1604	1	 	 	 	 
1604	2	 	 	 	 
1604	3	 	 	 	 
1605	1	 	 	 	 
1605	2	 	 	 	 
1605	3	 	 	 	 
1606	1	 	 	 	 
1606	2	 	 	 	 
1606	3	 	 	 	 
1607	1	 	 	 	 
1607	2	 	 	 	 
1607	3	 	 	 	 
1608	1	 	 	 	 
1608	2	 	 	 	 
1608	3	 	 	 	 
1701	1	 	 	 	 
1701	2	 	 	 	 
1701	3	 	 	 	 
1702	1	 	 	 	 
1702	2	 	 	 	 
1702	3	 	 	 	 
1703	1	 	 	 	 
1703	2	 	 	 	 
1703	3	 	 	 	 
1704	1	 	 	 	 
1704	2	 	 	 	 
1704	3	 	 	 	 
1705	1	 	 	 	 
1705	2	 	 	 	 
1705	3	 	 	 	 
1706	1	 	 	 	 
1706	2	 	 	 	 
1706	3	 	 	 	 
1708	1	 	 	 	 
1708	2	 	 	 	 
1708	3	 	 	 	 
1709	1	 	 	 	 
