PLACEID	YREXIDR4	REGMTHPY	APAFAPY	PURBOKPY	EXTORDPY
1709	2	 	 	 	 
1709	3	 	 	 	 
1710	1	 	 	 	 
1710	2	 	 	 	 
1710	3	 	 	 	 
1711	1	 	 	 	 
1711	2	 	 	 	 
1711	3	 	 	 	 
1801	1	 	 	 	 
1801	2	 	 	 	 
1801	3	 	 	 	 
1802	1	 	 	 	 
1802	2	 	 	 	 
1802	3	 	 	 	 
1803	1	 	 	 	 
1803	2	 	 	 	 
1803	3	 	 	 	 
1804	1	 	 	 	 
1804	2	 	 	 	 
1804	3	 	 	 	 
1806	1	 	 	 	 
1806	2	 	 	 	 
1806	3	 	 	 	 
1807	1	 	 	 	 
1807	2	 	 	 	 
1807	3	 	 	 	 
1901	1	0	50	300	60
1901	2	0	50	300	50
1901	3	-88	-88	-88	-88
1902	1	 	 	 	 
1902	2	 	 	 	 
1902	3	 	 	 	 
1903	1	 	 	 	 
1903	2	 	 	 	 
1903	3	 	 	 	 
1904	1	 	 	 	 
1904	2	 	 	 	 
1904	3	 	 	 	 
1905	1	 	 	 	 
1905	2	 	 	 	 
1905	3	 	 	 	 
2001	1	 	 	 	 
2001	2	 	 	 	 
2001	3	 	 	 	 
2002	1	 	 	 	 
2002	2	 	 	 	 
2002	3	 	 	 	 
2003	1	 	 	 	 
2003	2	 	 	 	 
2003	3	 	 	 	 
2004	1	 	 	 	 
2004	2	 	 	 	 
2004	3	 	 	 	 
2005	1	 	 	 	 
2005	2	 	 	 	 
2005	3	 	 	 	 
2006	1	 	 	 	 
2006	2	 	 	 	 
2006	3	 	 	 	 
2007	1	 	 	 	 
2007	2	 	 	 	 
2007	3	 	 	 	 
2008	1	 	 	 	 
2008	2	 	 	 	 
2008	3	 	 	 	 
8002	1	0	45	160	10
8002	2	0	45	200	10
8002	3	-88	-88	-88	-88
8003	1	 	 	 	 
8003	2	 	 	 	 
8003	3	 	 	 	 
8004	1	 	 	 	 
8004	2	 	 	 	 
8004	3	 	 	 	 
8006	1	0	90	270	50
8006	2	0	90	200	50
8006	3	0	90	350	50
8007	1	10	15	60	0
8007	2	10	15	60	0
8007	3	-88	-88	-88	-88
8008	1	0	10	250	10
8008	2	0	10	250	10
8008	3	-88	-88	-88	-88
8010	1	0	40	250	6
8010	2	0	40	250	6
8010	3	-88	-88	-88	-88
8011	1	0	20	0	0
8011	2	0	20	0	0
8011	3	-88	-88	-88	-88
8012	1	 	 	 	 
8012	2	 	 	 	 
8012	3	 	 	 	 
8014	1	0	45	120	8
8014	2	0	45	200	20
8014	3	-88	-88	-88	-88
8015	1	 	 	 	 
8015	2	 	 	 	 
8015	3	 	 	 	 
8016	1	0	10	100	30
8016	2	0	10	150	50
8016	3	-88	-88	-88	-88
8017	1	 	 	 	 
8017	2	 	 	 	 
8017	3	 	 	 	 
8018	1	 	 	 	 
8018	2	 	 	 	 
8018	3	 	 	 	 
8019	1	0	-88	-88	-88
8019	2	0	-88	-88	-88
8019	3	-88	-88	-88	-88
8020	1	0	20	400	100
8020	2	0	20	500	100
8020	3	-88	-88	-88	-88
8021	1	0	10	500	10
8021	2	0	10	500	20
8021	3	-88	-88	-88	-88
8022	1	0	20	200	50
8022	2	0	20	300	100
8022	3	-88	-88	-88	-88
8023	1	0	51	70	10
8023	2	0	51	70	10
8023	3	-88	-88	-88	-88
8024	1	0	50	120	0
8024	2	 	 	 	 
8024	3	 	 	 	 
8025	1	0	100	200	40
8025	2	0	100	200	40
8025	3	-88	-88	-88	-88
8026	1	0	0	300	20
8026	2	0	0	300	30
8026	3	-88	-88	-88	-88
8027	1	0	10	120	0
8027	2	0	10	150	0
8027	3	-88	-88	-88	-88
8028	1	0	0	100	0
8028	2	0	0	100	0
8028	3	0	0	50	0
