PLACEID	SCPRIDR4	PRBLCTLY	AGSTPRB	O4YRDIMS
101	1	1	1	4
101	2	0	0	88
101	3	1	1	4
101	4	1	1	5
101	5	0	0	88
101	6	1	1	4
101	7	1	1	4
101	8	1	0	4
101	9	1	0	5
101	10	1	1	4
101	11	88	 	 
102	1	1	1	5
102	2	0	0	88
102	3	1	1	5
102	4	1	1	5
102	5	1	1	5
102	6	1	1	5
102	7	1	1	5
102	8	0	0	88
102	9	1	1	1
102	10	88	 	 
102	11	88	 	 
201	1	1	1	1
201	2	1	1	1
201	3	0	0	88
201	4	0	0	88
201	5	0	0	88
201	6	0	0	88
201	7	0	0	88
201	8	0	0	88
201	9	0	0	88
201	10	1	1	1
201	11	88	 	 
202	1	1	1	1
202	2	0	0	88
202	3	0	0	88
202	4	0	0	88
202	5	0	0	88
202	6	0	0	88
202	7	1	1	0
202	8	0	0	88
202	9	0	0	88
202	10	88	 	 
202	11	88	 	 
203	1	1	1	1
203	2	1	1	1
203	3	0	0	88
203	4	0	0	88
203	5	0	0	88
203	6	0	0	88
203	7	0	0	88
203	8	1	0	4
203	9	0	0	88
203	10	1	1	1
203	11	88	 	 
204	1	1	1	1
204	2	1	1	1
204	3	0	0	88
204	4	0	0	88
204	5	0	0	88
204	6	0	0	88
204	7	1	1	1
204	8	1	0	4
204	9	0	0	88
204	10	1	1	1
204	11	88	 	 
205	1	1	1	1
205	2	0	0	88
205	3	1	1	1
205	4	1	1	1
205	5	0	0	88
205	6	0	0	88
205	7	1	1	1
205	8	1	0	5
205	9	0	0	88
205	10	1	1	1
205	11	1	1	1
301	1	1	1	2
301	2	1	1	1
301	3	0	0	88
301	4	0	0	88
301	5	0	0	88
301	6	0	0	88
301	7	0	0	88
301	8	1	1	1
301	9	0	0	88
301	10	1	1	1
301	11	88	 	 
304	1	1	1	1
304	2	1	1	1
304	3	0	0	88
304	4	0	0	88
304	5	0	0	88
304	6	0	0	88
304	7	0	0	88
304	8	88	 	 
304	9	1	1	1
304	10	1	1	1
304	11	88	 	 
305	1	0	0	88
305	2	0	0	88
305	3	0	0	88
305	4	0	0	88
305	5	0	0	88
