PLACEID	HCHRIDR4	OPENDAYS	OPENHRS
1202	2	-88	-88
1202	3	-88	-88
1202	4	-88	-88
1203	1	7	24
1203	2	7	24
1203	3	6	7AM A 1PM / 1PM A 7PM
1203	4	-88	-88
1302	1	6	12
1302	2	7	24
1302	3	6	12
1302	4	-88	-88
1303	1	6	8AM A 1PM, 2PM A 6 PM (9)
1303	2	7	24
1303	3	-88	-88
1303	4	-88	-88
1304	1	6	12
1304	2	7	24
1304	3	6	12
1304	4	-88	-88
1402	1	6 DÃ_AS	6 HORAS
1402	2	-88	-88
1402	3	-88	-88
1402	4	-88	-88
1403	1	LUN- DOM	24 HORAS
1403	2	LUN- DOM	24 HORAS
1403	3	LUN- DOM	8AM A 2PM /  2PM A 8PM
1403	4	-88	-88
1404	1	LUN- DOM	24 HORAS
1404	2	LUN- DOM	24 HORAS
1404	3	LUN- DOM	12 HORAS
1404	4	-88	-88
1501	1	LUNES - DOMINGO	8 HORAS
1501	2	LUNES- DOMINGO	8 HORAS
1501	3	-88	-88
1501	4	-88	-88
1502	1	6	8
1502	2	6	8
1502	3	-88	-88
1502	4	-88	-88
1503	1	6	12 HORAS
1503	2	7	24 HORAS
1503	3	6	6 HORAS
1503	4	-	-
1504	1	7	8
1504	2	7	8
1504	3	-88	-88
1504	4	-88	-88
1505	1	7	8
1505	2	7	8
1505	3	-88	-88
1505	4	-88	-88
1506	1	7	8
1506	2	7	8
1506	3	-88	-88
1506	4	-88	-88
1507	1	7	8 HORAS
1507	2	7	8 HORAS
1507	3	-88	-88
1507	4	-88	-88
1508	1	7	8
1508	2	7	8
1508	3	-88	-88
1508	4	-88	-88
1509	1	6	12
1509	2	7	24
1509	3	6	6
1509	4	-88	-88
1601	1	LUNES A DOMINGO(7)	DE 0 7:00 A 13:00 Y 15:00 A 19.00
1601	2	LUNES A DOMINGO(7)	24 HORAS
1601	3	-88	-88
1601	4	-88	-88
1602	1	LUNES A DOMINGO	08:.00 A 13:30 Y 14:OO A
1602	2	LUNES A DOMINGO	24
1602	3	88	-88
1602	4	88	-88
1603	1	07   LUNES A DOMINGO (7) DIAS	07:00 A 13:00 -  15:00 A  19:00 (10) HORAS
1603	2	07  LUNES A DOMINGO(7)DIAS	24 HORAS
1603	3	-88	-88
1603	4	-88	-88
1604	1	LUNES A DOMINGO (7)	DE 08:00 A 18.00
1604	2	-88	-88
1604	3	-88	-88
1604	4	-88	-88
1605	1	LUNES A DOMINGO(7)	DE 07:00 A 19:00 (12)
1605	2	LUNES A DOMINGO(7)	24
1605	3	-88	-88
1605	4	-88	-88
1606	1	LUNESW A DOMINGO (7)	08:00 A 18:00    (10)
1606	2	--88	-88
1606	3	-88	-88
1606	4	-88	-88
1607	1	LUNES A DOMINGO	08:00 a 18:00
1607	2	-88	-88
1607	3	-88	-88
1607	4	-88	-88
1608	1	LUNES A DOMINGO	08:00 A 18:00
1608	2	-88	-88
1608	3	-88	-88
1608	4	-88	-88
1701	1	LUNES A DOMINGO	07:30 A 19:30
1701	2	-88	-88
1701	3	-88	-88
1701	4	-88	-88
1702	1	6	12
1702	2	7	24
1702	3	-88	-88
1702	4	-88	-88
1703	1	7	24
1703	2	7	24
1703	3	-88	-88
1703	4	-88	-88
1704	1	7	24
1704	2	7	24
1704	3	0	0
1704	4	0	0
1705	1	LUNES A DOMINGO	08:00 A 13:00 Y DE14:00 A 19:00
1705	2	LUNES A DOMINGO	24 HORAS
1705	3	88	-88
1705	4	88	-88
1706	1	6	12
1706	2	7	24
1706	3	88	88
1706	4	88	88
1708	1	LUNES A DOMINGO	08:00 A13:00Y DE14:00 A 19:00.
