PLACEID	FDMTIDR4	MNTSCARC	MNTEXP	MNTNOMON
101	1	0	0	0
101	2	0	1	0
101	3	0	1	0
101	4	0	0	0
101	5	0	0	0
101	6	0	0	0
101	7	0	0	1
101	8	0	0	0
101	9	0	0	0
101	10	0	0	0
101	11	0	0	0
101	12	0	0	1
102	1	0	1	0
102	2	0	1	0
102	3	0	1	0
102	4	0	0	1
102	5	0	0	1
102	6	0	0	1
102	7	0	0	1
102	8	0	0	1
102	9	0	0	1
102	10	0	0	1
102	11	0	0	1
102	12	0	1	1
201	1	0	0	0
201	2	0	1	0
201	3	0	1	0
201	4	0	0	0
201	5	1	0	0
201	6	0	0	1
201	7	0	0	1
201	8	0	0	0
201	9	0	0	0
201	10	0	0	0
201	11	0	0	0
201	12	0	0	0
202	1	0	0	0
202	2	0	1	0
202	3	0	1	0
202	4	0	1	0
202	5	0	0	0
202	6	0	0	0
202	7	0	0	0
202	8	0	0	0
202	9	0	0	1
202	10	0	0	1
202	11	0	0	1
202	12	0	0	0
203	1	0	0	1
203	2	0	0	0
203	3	0	0	0
203	4	0	0	0
203	5	1	0	0
203	6	0	0	0
203	7	0	1	1
203	8	0	0	0
203	9	0	0	0
203	10	0	0	0
203	11	1	0	0
203	12	0	1	1
204	1	1	1	0
204	2	1	1	0
204	3	1	1	0
204	4	0	0	0
204	5	0	0	0
204	6	0	0	0
204	7	0	0	1
204	8	0	0	0
204	9	0	0	0
204	10	0	0	0
204	11	0	0	0
204	12	0	0	1
205	1	1	0	1
205	2	1	0	0
205	3	1	0	0
205	4	0	0	0
205	5	0	0	1
205	6	0	0	1
205	7	0	0	1
205	8	0	1	0
205	9	0	1	0
205	10	0	0	0
205	11	0	0	0
205	12	0	0	1
301	1	0	0	0
301	2	0	0	0
301	3	1	1	0
301	4	1	1	0
301	5	1	1	0
301	6	1	1	0
301	7	0	0	0
301	8	0	0	0
301	9	0	0	1
301	10	0	0	1
301	11	0	0	0
301	12	0	0	0
304	1	0	0	0
304	2	1	1	0
304	3	1	1	0
304	4	1	1	0
304	5	0	0	0
304	6	0	0	0
304	7	0	0	0
304	8	0	0	1
304	9	0	0	1
304	10	0	0	1
304	11	0	0	0
304	12	0	0	0
305	1	0	0	0
305	2	0	0	0
305	3	0	0	0
305	4	1	1	0
305	5	1	1	0
305	6	0	0	0
305	7	0	0	1
305	8	0	0	1
305	9	0	0	1
305	10	0	0	1
305	11	0	0	1
305	12	0	0	1
306	1	1	1	1
306	2	1	1	1
306	3	1	1	1
306	4	0	0	1
306	5	0	0	1
306	6	0	0	1
306	7	0	0	1
306	8	0	0	1
306	9	0	0	1
306	10	0	0	1
306	11	0	0	1
306	12	0	0	1
307	1	0	0	0
307	2	0	0	0
307	3	0	0	0
307	4	0	0	0
307	5	0	0	0
307	6	0	0	0
307	7	0	0	0
307	8	0	0	1
307	9	0	0	1
307	10	0	0	0
307	11	0	0	0
307	12	0	0	0
308	1	0	1	0
308	2	0	1	0
308	3	0	1	0
308	4	1	1	0
308	5	1	1	0
308	6	0	0	0
308	7	0	0	1
308	8	0	0	1
308	9	0	0	1
308	10	0	0	0
308	11	0	0	0
308	12	0	0	0
309	1	1	1	0
309	2	1	1	0
309	3	1	1	0
309	4	1	1	0
309	5	0	0	0
309	6	0	0	1
309	7	0	0	1
309	8	0	0	0
309	9	0	0	0
309	10	0	0	0
309	11	0	0	0
309	12	1	1	0
310	1	0	0	0
310	2	0	0	0
310	3	0	1	0
310	4	1	1	0
310	5	1	0	0
310	6	1	0	0
310	7	0	0	0
310	8	0	0	1
310	9	0	0	1
310	10	0	0	1
310	11	0	0	0
310	12	0	0	0
311	1	0	0	0
311	2	0	0	0
311	3	0	0	0
311	4	0	0	0
311	5	1	0	0
311	6	1	0	0
311	7	0	0	0
311	8	0	0	1
311	9	0	0	1
311	10	0	0	0
311	11	0	1	0
311	12	0	1	0
312	1	1	1	0
312	2	1	1	0
312	3	1	1	0
312	4	1	1	0
312	5	0	0	0
312	6	0	0	0
312	7	0	0	0
312	8	0	0	1
312	9	0	0	1
312	10	0	0	1
312	11	0	0	0
312	12	0	0	0
313	1	0	0	0
313	2	0	0	0
313	3	1	1	0
313	4	1	1	0
313	5	1	1	0
313	6	0	0	0
313	7	0	0	0
313	8	0	0	0
313	9	0	0	0
313	10	0	0	0
313	11	0	0	1
313	12	0	0	1
314	1	0	0	0
314	2	0	0	0
314	3	1	1	0
314	4	1	1	0
314	5	1	1	0
314	6	0	0	0
314	7	0	0	0
314	8	0	0	1
314	9	0	0	1
314	10	0	0	1
314	11	0	0	0
314	12	0	0	0
401	1	0	0	0
401	2	0	0	0
401	3	0	0	0
401	4	0	0	0
401	5	0	0	0
401	6	0	0	1
401	7	0	0	1
401	8	0	0	1
401	9	0	0	1
401	10	0	0	0
401	11	0	0	0
401	12	0	0	0
402	1	0	0	1
402	2	1	0	1
402	3	1	0	1
402	4	0	0	1
402	5	0	0	1
402	6	0	1	1
402	7	0	1	1
402	8	0	0	1
402	9	0	0	1
402	10	0	0	1
402	11	0	0	1
402	12	0	0	1
403	1	1	1	0
403	2	1	1	0
403	3	1	1	0
403	4	0	0	0
403	5	0	0	1
403	6	0	0	1
403	7	0	0	1
403	8	0	0	1
403	9	0	0	1
403	10	0	0	1
403	11	0	0	0
403	12	0	0	0
404	1	0	1	0
404	2	1	1	0
404	3	1	0	0
404	4	0	0	0
404	5	0	0	0
404	6	0	0	1
404	7	0	0	1
404	8	0	0	1
404	9	0	0	0
404	10	0	0	0
404	11	0	0	0
404	12	0	0	0
405	1	0	1	0
405	2	1	1	0
405	3	1	1	0
405	4	0	1	0
405	5	0	0	1
405	6	0	0	1
405	7	0	0	1
