PLACEID	PREXIDR4	PRREGPAY	PRAPAFA	PRBOOKPY	PREXTPAY
101	1	 	 	 	 
101	2	 	 	 	 
102	1	 	 	 	 
102	2	 	 	 	 
201	1	 	 	 	 
201	2	 	 	 	 
202	1	 	 	 	 
202	2	 	 	 	 
203	1	 	 	 	 
203	2	 	 	 	 
204	1	 	 	 	 
204	2	 	 	 	 
205	1	 	 	 	 
205	2	 	 	 	 
301	1	 	 	 	 
301	2	 	 	 	 
304	1	0	20	0	0
304	2	-88	-88	-88	-88
305	1	0	10	50	5
305	2	0	10	50	5
306	1	0	20	300	30
306	2	-88	-88	-88	-88
307	1	0	10	400	0
307	2	-88	-88	-88	-88
308	1	0	10	250	50
308	2	-88	-88	30	-88
309	1	0	20	150	0
309	2	0	20	150	0
310	1	0	30	300	0
310	2	-88	-88	-88	-88
311	1	0	10	300	20
311	2	-88	-88	-88	-88
312	1	0	10	250	50
312	2	-88	-88	30	-88
313	1	0	10	250	50
313	2	-88	-88	30	-88
314	1	0	10	250	50
314	2	-88	-88	30	-88
401	1	0	5	200	20
401	2	-88	-88	-88	-88
402	1	 	 	 	 
402	2	 	 	 	 
403	1	 	 	 	 
403	2	 	 	 	 
404	1	 	 	 	 
404	2	 	 	 	 
405	1	0	0	300	100
405	2	-88	-88	-88	-88
406	1	0	0	50	10
406	2	-88	-88	-88	-88
408	1	0	10	30	10
408	2	-88	-88	-88	-88
501	1	 	 	 	 
501	2	 	 	 	 
503	1	 	 	 	 
503	2	 	 	 	 
504	1	0	40	130	25
504	2	-88	-88	-88	-88
505	1	0	30	200	25
505	2	-88	-88	-88	-88
507	1	0	50	100	20
507	2	-88	-88	88	-88
508	1	0	20	200	30
508	2	-88	-88	-88	-88
509	1	0	40	100	0
509	2	-88	-88	-88	-88
510	1	0	40	150	30
510	2	0	-88	-88	-88
511	1	 	 	 	 
511	2	 	 	 	 
512	1	0	30	150	60
512	2	-88	-88	-88	-88
601	1	 	 	 	 
601	2	 	 	 	 
602	1	 	 	 	 
602	2	 	 	 	 
701	1	 	 	 	 
701	2	 	 	 	 
702	1	0	30	90	60
702	2	-88	-88	-88	-88
703	1	30	5	150	80
703	2	-88	-88	-88	-88
704	1	50	30	250	80
704	2	-88	-88	-88	-88
801	1	 	 	 	 
801	2	 	 	 	 
802	1	 	 	 	 
802	2	 	 	 	 
901	1	 	 	 	 
901	2	 	 	 	 
902	1	 	 	 	 
902	2	 	 	 	 
903	1	0	5	0	0
903	2	-88	-88	-88	-88
904	1	 	 	 	 
904	2	 	 	 	 
905	1	 	 	 	 
905	2	 	 	 	 
906	1	 	 	 	 
906	2	 	 	 	 
907	1	0	3	130	10
907	2	-88	-88	-88	-88
908	1	0	5	0	0
908	2	-88	-88	-88	-88
909	1	0	5	0	1
909	2	-88	-88	-88	-88
910	1	0	1	70	10
910	2	-88	-88	-88	-88
911	1	0	0	50	8
911	2	-88	-88	-88	-88
912	1	0	5	120	0
912	2	-88	-88	-88	-88
1001	1	 	 	 	 
1001	2	 	 	 	 
1003	1	 	 	 	 
1003	2	 	 	 	 
1004	1	 	 	 	 
1004	2	 	 	 	 
1005	1	 	 	 	 
1005	2	 	 	 	 
1006	1	0	5	130	30
1006	2	-88	-88	-88	-88
1101	1	0	5	350	20
1101	2	-88	-88	-88	-88
1102	1	 	 	 	 
1102	2	 	 	 	 
1103	1	0	8	250	15
1103	2	-88	-88	-88	-88
1104	1	 	 	 	 
1104	2	 	 	 	 
1105	1	0	5	160	20
1105	2	-88	-88	-88	-88
1106	1	0	10	250	20
1106	2	-88	-88	-88	-88
1107	1	 	 	 	 
1107	2	 	 	 	 
1108	1	0	1	140	10
1108	2	-88	-88	-88	-88
1202	1	 	 	 	 
1202	2	 	 	 	 
1203	1	 	 	 	 
1203	2	 	 	 	 
1302	1	0	7,5	340	90
1302	2	-88	-88	-88	-88
1303	1	 	 	 	 
1303	2	 	 	 	 
1304	1	 	 	 	 
1304	2	 	 	 	 
1402	1	0	10	500	35
1402	2	0	0	0	0
1403	1	 	 	 	 
1403	2	 	 	 	 
1404	1	 	 	 	 
1404	2	 	 	 	 
1501	1	 	 	 	 
1501	2	 	 	 	 
1502	1	0	15	300	100
1502	2	-88	-88	-88	-88
1503	1	0	10	200	50
1503	2	-88	-88	-88	-88
1504	1	 	 	 	 
1504	2	 	 	 	 
1505	1	0	50	150	100
1505	2	-88	-88	-88	-88
1506	1	0	30	300	100
1506	2	-88	-88	-88	-88
1507	1	0	10	300	10
1507	2	-88	-88	-88	-88
1508	1	0	30	100	50
1508	2	-88	-88	-88	-88
1509	1	0	8	300	100
1509	2	-88	-88	-88	-88
1601	1	0	5	80	10
1601	2	-88	-88	-88	-88
1602	1	0	5	150	10
1602	2	-88	-88	-88	-88
1603	1	0	10	60	10
1603	2	-88	-88	-88	-88
1604	1	0	5	300	50
1604	2	-88	-88	-88	-88
1605	1	0	5	80	0
1605	2	-88	-88	-88	-88
1606	1	0	8	250	50
1606	2	-88	-88	-88	-88
1607	1	0	0	30	0
1607	2	-88	-88	-88	-88
1608	1	0	5	40	10
1608	2	-88	-88	-88	-88
1701	1	0	10	250	10
1701	2	-88	-88	-88	-88
1702	1	0	7	100	70
1702	2	-88	-88	-88	-88
1703	1	0	0	150	30
1703	2	-88	-88	-88	-88
1704	1	0	0	120	10
1704	2	-88	-88	-88	-88
1705	1	0	10	80	20
1705	2	-88	-88	-88	-88
1706	1	0	5	80	30
1706	2	-88	-88	-88	-88
1708	1	0	-77	90	10
1708	2	-88	-88	-88	-88
1709	1	0	20	0	10
1709	2	-88	-88	-88	-88
1710	1	0	10	150	20
1710	2	-88	-88	-88	-88
1711	1	0	0	60	10
1711	2	-88	-88	-88	-88
1801	1	0	10	90	10
1801	2	-88	-88	-88	-88
1802	1	0	15	150	30
1802	2	-88	-88	-88	-88
1803	1	0	5	30	3
1803	2	-88	-88	-88	-88
1804	1	0	10	200	100
1804	2	0	-88	-88	-88
1806	1	0	5	30	3
1806	2	-88	-88	-88	-88
1807	1	0	25	500	50
1807	2	-88	-88	-88	-88
1901	1	 	 	 	 
1901	2	 	 	 	 
1902	1	0	20	150	0
1902	2	-88	-88	-88	-88
1903	1	0	25	200	40
1903	2	-88	-88	-88	-88
1904	1	0	45	250	50
1904	2	-88	-88	-88	-88
1905	1	0	20	350	50
1905	2	-88	-88	-88	-88
2001	1	0	8	100	10
2001	2	-88	-88	-88	-88
2002	1	0	10	90	10
2002	2	-88	-88	-88	-88
2003	1	10	0	180	20
2003	2	-88	-88	-88	-88
2004	1	0	8	120	50
2004	2	-88	-88	-88	-88
2005	1	0	10	300	0
2005	2	-88	-88	-88	-88
2006	1	0	0	80	25
2006	2	-88	-88	-88	-88
2007	1	0	15	200	50
2007	2	-88	-88	-88	-88
2008	1	0	10	200	10
2008	2	-88	-88	-88	-88
8002	1	 	 	 	 
8002	2	 	 	 	 
8003	1	0	60	180	59
8003	2	0	60	200	50
8004	1	-88	120	700	200
8004	2	-88	-88	-88	0
8006	1	 	 	 	 
8006	2	 	 	 	 
8007	1	 	 	 	 
8007	2	 	 	 	 
8008	1	 	 	 	 
8008	2	 	 	 	 
8010	1	 	 	 	 
8010	2	 	 	 	 
8011	1	 	 	 	 
8011	2	 	 	 	 
8012	1	0	0	300	50
8012	2	-88	-88	-88	-88
8014	1	 	 	 	 
8014	2	 	 	 	 
8015	1	0	0	60	0
8015	2	-88	-88	-88	-88
8016	1	 	 	 	 
8016	2	 	 	 	 
8017	1	0	0	350	150
8017	2	-88	-88	-88	-88
8018	1	0	30	280	50
8018	2	-88	-88	-88	-88
8019	1	 	 	 	 
8019	2	 	 	 	 
8020	1	 	 	 	 
8020	2	 	 	 	 
8021	1	 	 	 	 
8021	2	 	 	 	 
8022	1	 	 	 	 
8022	2	 	 	 	 
8023	1	 	 	 	 
8023	2	 	 	 	 
8024	1	0	50	120	0
