PLACEID	HCSWIDR4	SEWSRVC	SEWSTS
101	1	1	2
101	2	0	 
101	3	0	 
101	4	0	 
101	5	0	 
102	1	1	2
102	2	0	 
102	3	0	 
102	4	0	 
102	5	0	 
201	1	0	 
201	2	1	1
201	3	0	 
201	4	0	 
201	5	0	 
202	1	0	 
202	2	0	 
202	3	1	1
202	4	0	 
202	5	0	 
203	1	0	 
203	2	1	2
203	3	0	 
203	4	0	 
203	5	0	 
204	1	1	1
204	2	0	 
204	3	0	 
204	4	0	 
204	5	0	 
205	1	1	2
205	2	0	 
205	3	0	 
205	4	0	 
205	5	0	 
301	1	1	2
301	2	0	 
301	3	0	 
301	4	0	 
301	5	0	 
304	1	1	1
304	2	0	 
304	3	0	 
304	4	0	 
304	5	0	 
305	1	1	2
305	2	0	 
305	3	0	 
305	4	0	 
305	5	0	 
306	1	1	2
306	2	0	 
306	3	0	 
306	4	0	 
306	5	0	 
307	1	1	2
307	2	0	 
307	3	0	 
307	4	0	 
307	5	0	 
308	1	1	2
308	2	0	 
308	3	0	 
308	4	0	 
308	5	0	 
309	1	1	1
309	2	0	 
309	3	0	 
309	4	1	2
309	5	0	 
310	1	1	2
310	2	0	 
310	3	0	 
310	4	0	 
310	5	0	 
311	1	1	2
311	2	0	 
311	3	0	 
311	4	0	 
311	5	0	 
312	1	1	2
312	2	0	 
312	3	0	 
312	4	0	 
312	5	0	 
313	1	1	2
313	2	0	 
313	3	0	 
313	4	0	 
313	5	0	 
314	1	1	2
314	2	0	 
314	3	0	 
314	4	0	 
314	5	0	 
401	1	1	1
401	2	0	 
401	3	0	 
401	4	0	 
401	5	0	 
402	1	1	2
402	2	0	 
402	3	0	 
402	4	0	 
402	5	0	 
403	1	1	1
403	2	0	 
403	3	0	 
403	4	0	 
403	5	0	 
404	1	1	2
404	2	0	 
404	3	0	 
404	4	0	 
404	5	0	 
405	1	1	2
405	2	0	 
405	3	0	 
405	4	0	 
405	5	0	 
406	1	1	1
406	2	0	 
406	3	0	 
406	4	0	 
406	5	0	 
408	1	1	2
408	2	0	 
408	3	0	 
408	4	0	 
408	5	0	 
501	1	0	 
501	2	0	 
501	3	0	 
501	4	1	2
501	5	0	 
503	1	1	2
503	2	0	 
503	3	0	 
503	4	0	 
503	5	0	 
504	1	0	 
504	2	0	 
504	3	0	 
504	4	1	2
504	5	0	 
505	1	1	2
505	2	0	 
505	3	0	 
505	4	0	 
505	5	0	 
507	1	1	1
507	2	0	 
507	3	0	 
507	4	0	 
507	5	0	 
508	1	1	1
508	2	0	 
508	3	0	 
508	4	0	 
508	5	0	 
509	1	1	1
509	2	0	 
509	3	0	 
509	4	0	 
509	5	0	 
510	1	1	1
510	2	0	 
510	3	0	 
510	4	0	 
510	5	0	 
511	1	1	2
511	2	0	 
511	3	0	 
511	4	0	 
511	5	0	 
512	1	1	2
512	2	0	 
512	3	0	 
512	4	0	 
512	5	0	 
601	1	1	1
601	2	0	 
601	3	0	 
601	4	0	 
601	5	0	 
602	1	1	2
602	2	0	 
602	3	0	 
602	4	0	 
602	5	0	 
701	1	1	1
701	2	0	 
701	3	0	 
701	4	0	 
701	5	0	 
702	1	1	2
702	2	1	2
702	3	0	 
702	4	0	 
702	5	0	 
703	1	1	2
703	2	1	2
703	3	0	 
703	4	0	 
703	5	0	 
704	1	1	1
704	2	0	 
704	3	0	 
704	4	0	 
704	5	0	 
801	1	1	1
801	2	0	 
801	3	0	 
801	4	0	 
801	5	0	 
802	1	1	1
802	2	0	 
802	3	0	 
802	4	0	 
802	5	0	 
901	1	0	 
901	2	0	 
901	3	1	2
901	4	0	 
901	5	0	 
902	1	0	 
902	2	0	 
902	3	1	2
902	4	0	 
902	5	0	 
903	1	1	2
903	2	0	 
903	3	0	 
903	4	0	 
903	5	0	 
904	1	1	3
904	2	0	 
904	3	0	 
904	4	0	 
904	5	0	 
905	1	1	2
905	2	0	 
905	3	0	 
905	4	0	 
905	5	0	 
906	1	1	2
906	2	0	 
906	3	0	 
906	4	0	 
906	5	0	 
907	1	1	2
907	2	0	 
907	3	0	 
907	4	0	 
907	5	0	 
908	1	1	1
908	2	0	 
908	3	0	 
908	4	0	 
908	5	0	 
909	1	1	3
909	2	0	 
909	3	0	 
909	4	0	 
909	5	0	 
910	1	1	2
910	2	0	 
910	3	0	 
910	4	0	 
910	5	0	 
911	1	1	2
911	2	0	 
911	3	0	 
911	4	0	 
911	5	0	 
912	1	0	 
912	2	0	 
912	3	1	2
912	4	0	 
912	5	0	 
1001	1	1	2
1001	2	0	 
1001	3	0	 
1001	4	0	 
1001	5	0	 
1003	1	1	2
1003	2	0	 
1003	3	0	 
1003	4	0	 
1003	5	0	 
1004	1	1	2
1004	2	0	 
1004	3	0	 
1004	4	0	 
1004	5	0	 
1005	1	1	2
1005	2	0	 
1005	3	0	 
1005	4	0	 
1005	5	0	 
1006	1	1	2
1006	2	0	 
1006	3	0	 
1006	4	0	 
1006	5	0	 
1101	1	1	2
1101	2	0	 
1101	3	0	 
1101	4	0	 
1101	5	0	 
1102	1	1	2
1102	2	0	 
1102	3	0	 
1102	4	0	 
1102	5	0	 
1103	1	1	2
1103	2	0	 
1103	3	0	 
1103	4	0	 
1103	5	0	 
1104	1	1	2
1104	2	0	 
1104	3	0	 
1104	4	0	 
1104	5	0	 
1105	1	1	2
1105	2	0	 
1105	3	0	 
1105	4	0	 
1105	5	0	 
1106	1	0	 
1106	2	0	 
1106	3	0	 
1106	4	0	 
1106	5	0	 
1107	1	1	2
1107	2	0	 
1107	3	0	 
1107	4	0	 
1107	5	0	 
1108	1	1	2
1108	2	0	 
1108	3	0	 
1108	4	0	 
1108	5	0	 
1202	1	1	1
1202	2	0	 
1202	3	0	 
1202	4	0	 
1202	5	0	 
1203	1	1	2
1203	2	0	 
1203	3	0	 
1203	4	0	 
1203	5	0	 
1302	1	1	2
1302	2	0	 
1302	3	0	 
1302	4	0	 
1302	5	0	 
1303	1	1	2
1303	2	0	 
1303	3	0	 
1303	4	0	 
1303	5	0	 
1304	1	1	2
1304	2	0	 
1304	3	0	 
1304	4	0	 
1304	5	0	 
1402	1	1	1
1402	2	0	 
1402	3	0	 
1402	4	0	 
1402	5	0	 
1403	1	1	1
1403	2	0	 
1403	3	0	 
1403	4	0	 
1403	5	0	 
1404	1	1	1
1404	2	0	 
1404	3	0	 
1404	4	0	 
1404	5	0	 
1501	1	1	3
1501	2	0	 
1501	3	0	 
1501	4	0	 
1501	5	0	 
1502	1	1	2
1502	2	0	 
1502	3	0	 
1502	4	0	 
1502	5	0	 
1503	1	1	2
1503	2	0	 
1503	3	0	 
1503	4	0	 
1503	5	0	 
1504	1	1	2
1504	2	0	 
1504	3	0	 
1504	4	0	 
1504	5	0	 
1505	1	1	1
1505	2	0	 
1505	3	0	 
1505	4	0	 
1505	5	0	 
1506	1	1	2
1506	2	0	 
1506	3	0	 
1506	4	0	 
1506	5	0	 
1507	1	1	2
1507	2	0	 
1507	3	0	 
1507	4	0	 
1507	5	0	 
1508	1	1	2
1508	2	0	 
1508	3	0	 
