PLACEID	DEPARTID	CLUSTID	MAPLOC	STRTDINT	CHRINF1	CHRINF2	CHRINF3	GENCHRST	POPSIZE	CITY	POPCITY	TIMECAP	TRANS1	TRANS2	TRANS3	TIMPRVCA	PRTRANS1	PRTRANS2	PRTRANS3	PVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	OTTRANN	MAINRTE	JANACC	FEBACC	MARACC	APRACC	MAYACC	JUNACC	JULACC	AUGACC	SEPACC	OCTACC	NOVACC	DECACC	NTRLDIST	CURRVULN	CSFRWTR1	CSFRWTR2	CSFRWTR3	CSFRWTR4	CSFRWTR5	CSFRWTR6	CSFRWTR7	CSFRWTR8	CSFRWTR9	CSFRWTR10	CSFRWTR11	CSFRWTR12	CSFRWTR13	CSFRWTR14	CSFRWTR15	CSFRWTR16	CSFRWTR17	CSFRWTR18	CSFRWTR19	CSFRWTR20	CSFRWTR21	CSFRWTR22	RECYCLE	GENCHREN	SOCINF1	SOCINF2	SOCINF3	SOCENVST	LBRUNION	COMMKITC	MTHRCLUB	APAFA	POLTGRP	RELGGRP	SVGSCOOP	HOUSCOOP	LENDCOOP	SPRTASSC	CRMASSC	PSNTASSC	NTVASSC	AGRIASSC	PRDCRS	OTHERS1	RLOTHR1	OTHERS2	RLOTHR2	OTHERS3	RLOTHR3	OTHERS4	RLOTHR4	OTHERS5	RLOTHR5	OTHERS6	RLOTHR6	OTHERS7	RLOTHR7	OTHERS8	RLOTHR8	SOCENVEN	SRVINF1	SRVINF2	SRVINF3	ACSSRVST	ACSSRVEN	PRGINF1	PRGINF2	PRGINF3	PROGMST	GLSSMILK	COMMKITC2	FOODWORK	COMPFEED	OTHFOOD1	OTHFOOD2	OTHFOOD3	CUNAMAS	WAWAWASI	PRONOEI	SCHBKFST	SCHCLTH	SCHLTEXT	LITRCY	PROMLIBR	ALTBSCED	LAPTOPCH	EDUCTN1	EDUCTN2	EDUCTN3	HLTHINSR	CREDCTRL	TUBCNTRL	MALARIA	HIVSIDA	MENTLHTH	CNTRLSTD	HLTHOTH1	HLTHOTH2	HLTHOTH3	RPRSCHL	RPRHLTH	RPRWTR	RPRSWR	RPRPIT	RPRBRDG	RPRAND	REFOREST	IRRGTN	INFROTH1	INFROTH2	INFROTH3	AGRITECH	ANIMAL	AGRINPUT	TITLING	TECHNCAL	MICROCRD	LABORENR	RECYCPRG	JUNTOPRG	PENSIONS65	FONCODES	PROJOVEN	OTHOTHR1	OTHOTHR2	OTHOTHR3	PROGMEN	ECNINF1	ECNINF2	ECNINF3	ECNMYST	TCHTEMP	TCHPUB	NURSTEMP	NURSPUB	SECRTRY	ECNMYEN	PRCINF1	PRCINF2	PRCINF3	PRCINF4	PRCINF5	PRCINF6	PRCINF7	PRCINF8	PRCINF9	PRCINF10	PRICEST	IMPCROP	PRICCROP	MINCROP	MAXCROP	PRICEEN	EDCINF1	EDCINF2	EDCINF3	EDCSRVST	LTRCYCMP	TYPAUTOR	EDCSRVEN	PRMINF1	PRMSECST	HRSPRIM	EDHRSSEC	HRSOTHR	EDPUBLIC	EDPRIVAT	EDCHRCH	EDCOMMTY	EDOTHER	SHFTPRMY	SHFTSECD	SHFTOTHR	ONE4ALL	V2ORMORE	ONEPERGR	OTHRKND	TCHSPAN	TCHQUE	TCHAYMA	TCHSOTHR	SPKSPAN	SPKQUE	SPKAYMA	SPKSOTHR	STARTOP	LABCMPPS	DISLCMPS	LABCCSPS	DISLCSPS	CAMDEPPS	DISCDEPS	BIBLITPS	DISBIBPS	OTHINSPS	DISOINPS	COMLAPPS	DESESCPS	ALMESCPS	EDINTBI	ESCSEGPS	OTHPROPS	PSICOLPS	ENFERMPS	OTHPERPS	PRMSECEN	PRIINF1	PRIMRYST	PRIHRSPR	PRIHRSOT	PRIPUBLC	PRIPRVAT	PRIPBCHR	PRICMMTY	PRIOTHED	PRISHPRY	PRISHOTH	PRIONE4A	PRI2OMRE	PRI1PRGR	PRIOTHKN	PRITCHSP	PRITCHQU	PRITCHAM	PRITCHOT	PRISPKSP	PRISPKQU	PRISPKAM	PRISPKOT	PRISTROP	PRIDROP	PRIMREP	PRILBCMP	PRIDCMPS	PRILBCCS	PRIDCSPS	PRICMDEP	PRIDDEPS	PRIBBLIT	PRIDSBPS	PRIOTHIN	PRIDSONP	PRICMLPS	PRIDSSCP	PRIALMSC	PRIEDINB	PRIESCSG	PRIOTRPS	PRIPSICL	PRIENFRM	PRIOTPER	PRIMRYEN	SECINF1	SECNDYST	SECNDRY	APAFASEC	PURSEC	EXTRSEC	HRSSECN	PREPUBLC	PREPRVAT	PREPBCHR	PRECMMTY	PREOTHED	SHFTSECD2	PREONE4A	PRE2OMRE	PRE1PRGR	PREOTHKN	PRETCHSP	PRETCHQU	PRETCHAM	PREOTHKN2	PRESPKSP	PRESPKQU	PRESPKAM	PRESPKOT	PRESTROP	SECDROP	SECREP	PRELBCMP	PREDCMPS	PRELBCCS	PREDCSPS	PRECMDEP	PREDDEPS	PREBBLIT	PREDSBPS	PREOTHIN	PREDSONP	PRECMLPS	PREDSSCP	PREALMSC	PREEDINB	PREESCSG	PREOTRPS	PREPSICL	PREENFRM	PREOTPER	SECNDYEN	HLTINF1	HLTSRVST	MIDWIFE	BIRTHATT	TRADHLR	CURIOSO	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	MTLHLTH	GENPHYS	SPECPHYS	ANESTST	DENTIST	BLOODBNK	OTHRPERS	NTRLTRNG	HLTSRVEN	KEYHINF1	KEYHLTST	TYPESTB	TYPEDLV1	TYPEDLV2	TYPEDLV3	TRNSPRTN	AMBLNCE	TRUCK	CAR	MOTOTAXI	OTHRTRNS	BEDS	NUMBEDS	XTRMLSRV	ABUSE	FMLYVLNC	EXIST	KEYHLTEN	WALLHT	STSBLDHT	CNDAPP	CNDINSFF	CNDLGHT	CNDVNTL	CNDSPACE	OTHRCOND	DWELLSRC	DWELLHRS	DWELLDYS	DWELLSTS	OTHRSRC	ELCTRHT	SAMESTR2	CPRTINF1	CPRTINF2	CPRTINF3	CHDPRTST	CHORGACC	CHPOLICE	CHPLCWMN	CHHEALTH	CHDEMUNA	CHCHRDNA	CHCMTDNA	CHNGODNA	CHTWNDNA	CHSCHDNA	CHOTHDNA	CHSCHOOL	CHPARCHR	CHINFMLY	CHAUTCOM	CHNGOOTH	CHOTHOR1	CHOTHOR2	CHOTHOR3	WMORGACC	WMPOLICE	WMPLCWMN	WMHEALTH	WMCEM	WMSCHOOL	WMPARCHR	WMINFMLY	WMNAUTCM	WMNGOOTH	WMOTHOR1	WMOTHOR2	WMOTHOR3	DISTRICT	DISTWHR	DISTFNC	DISTUSE	OTHRDNA	OTHRFNC	OTHRUSE	CHDPRTEN	ENDDINT
101	24	1	1	06/08/2013	3	10	1	08/08/2013   HORA: 09:50	110000	1	152000	-88	88	 	 	-88	88	 	 	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	13/08/2013   HORA:09:50	2	3	10	07/08/2013   HORA:16:30	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	9	1	9	1	15	1	15	1	15	1	11	0	 	0	 	13/08/2013   HORA-.10:00	2	3	11	07/08/2013   HORA: 10:00	16/08/2013   HORA: 09:20	3	4	7	07/08/2013   HORA: 11:30	1	1	0	0	1	0	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	12/08/2013   HORA:08:30	6	7	10	08/08/2013   HORA: 19:00	1500	1500	1700	2800	4000	16/08/2013   HORA: 11:20	8	9	15	16	17	18	19	20	21	22	09/08/2013   HORA: 10:00	ARROZ	3	 	 	16/08/2013   HORA:13:30	7	4	88	12/08/2013   HORA:11:45	0	 	12/08/2013   HORA:11:58	7	12/08/2013   HORA: 12:05	4	5	4	1	0	0	0	0	2	2	2	0	0	1	0	1	0	0	0	1	0	0	0	1943	1	1	1	1	1	1	1	1	0	 	1	1	0	0	1	0	1	0	1	12/08/2013   HORA: 12:25	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	16/08/2013   HORA: 07:35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	16/08/2013   HORA:07:50	12	16/08/2013   HORA: 07:55	1	1	2	3	1	4	1	0	1	2	1	174	1	1	1	1963	16/08/2013   HORA:11:40	4	2	1	1	0	0	1	0	1	24	7	2	0	1	1	5	6	88	08/08/2013   HORA:11:00	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	 	1	1	1	1	1	16/08/2013   HORA: 11:50	16/08/2013
102	24	1	1	12/08/2013	2	3	22	25/08/2013   HORA: 10:33	26000	1	88000	15	6	88	 	15	6	88	 	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	05/08/2013   HORA: 11:13	2	3	22	05/08/2013   HORA: 11:16	1	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	9	1	9	1	15	1	15	1	9	1	9	1	9	0	 	05/08/2013   HORA: 12:15	3	2	21	05/08/2013   HORA: 12:16	05/08/2013   HORA: 12:36	1	3	2	05/08/2013   HORA: 08:55	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	05/08/2013   HORA: 12:56	3	2	23	05/08/2013   HORA: 12:57	1050	1245	750	1000	1000	05/08/2013   HORA: 13:10	4	5	6	7	8	9	10	11	12	13	05/08/2013   HORA:14:10	ARROZ	1,5	 	 	05/08/2013   HORA:13:15	3	2	88	05/08/2013   HORA:13:16	0	 	05/08/2013   HORA:15:06	23	12/08/2013   HORA: 10:09	6	6	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1986	1	1	1	1	0	 	1	1	0	 	1	1	0	0	1	1	0	0	0	12/08/2013   HORA: 10:15	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	05/08/2013   HORA: 08:58	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	05/08/2013   HORA: 09:05	1	05/08/2013   HORA: 09:06	1	2	88	 	1	0	0	0	0	1	1	8	1	0	0	1990	05/08/2013    HORA: 09:28	6	2	0	1	1	1	1	0	1	24	7	2	0	1	1	2	22	88	05/08/2013	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	TUMBES	1	1	0	 	 	05/08/2013   HORA: 15:08	12/08/2013
201	20	2	0	30/08/2013	2	3	4	30/08/2013    HORA:10:30	1200	1	26000	40	6	5	88	55	6	5	88	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	02/09/2013   HORA: 16:05	2	3	88	02/09/2013   HORA:16:06	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	9	0	 	0	 	0	 	0	 	0	 	0	 	0	 	02/09/2013    HORA: 16:17	2	3	88	02/09/2013   HORA:16:18	02/09/2013   HORA: 16:23	1	2	3	02/09/2013    HORA: 12:14	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	02/09/2013   HORA:16:30	1	2	3	02/09/2013   HORA:16:31	1300	1600	700	1400	-88	02/09/2013   HORA: 16:34	2	5	6	7	88	88	88	88	88	88	02/09/2013  HORA: 16:40	ARROZ	2	 	 	02/09/2013   HORA: 16:44	1	88	88	02/09/2013    HORA:12:18	0	 	02/09/2013   HORA: 12:23	1	02/09/2013    HORA: 12:24	5	6	4	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1945	1	1	0	 	1	1	0	 	0	 	1	1	0	0	1	0	0	0	1	02/09/2013    HORA: 12:33	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	02/09/2013    HORA: 13:33	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	02/09/2013    HORA: 13:38	2	02/09/2013   HORA: 13:39	1	1	2	88	0	 	 	 	 	 	1	4	1	1	1	1996	02/09/2013    HORA:13:49	4	2	0	1	0	0	1	0	1	24	7	1	0	1	1	3	88	88	02/09/2013   HORA:16:45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	MARCAVELICA	1	1	0	 	 	02/09/2013    HORA: 16:53	02/09/2013
202	20	2	0	24/08/2013	2	3	8	24/08/2013   HORA: 11:45	6000	1	26000	15	6	5	88	25	6	5	88	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25/08/2013   HORA: 13:30	6	8	2	25/08/2013   HORA: 13:31	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	15	1	4	1	1	0	 	0	 	0	 	0	 	0	 	25/08/2013   HORA: 13:40	6	8	2	25/08/2013   HORA: 13:41	25/08/2013   HORA: 13:55	1	6	9	23/08/2013   HORA: 16:46	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	25/08/2013   HORA: 14:00	6	1	10	25/08/2013   HORA: 14:02	1500	1600	800	1400	-88	25/08/2013   HORA:14:06	4	5	9	88	88	88	88	88	88	88	25/08/2013   HORA:11:00	BANANO	10	 	 	25/08/2013   HORA: 14:15	1	88	88	23/08/2013   HORA: 16:51	0	 	23/08/2013   HORA: 17:01	1	23/08/2013   HORA: 17:02	6	7	-88	1	0	0	0	0	2	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1984	1	1	0	 	0	 	0	 	0	 	1	1	0	0	0	0	0	0	0	23/08/2013   HORA: 17:30	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	26/08/2013   HORA: 09:15	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	26/08/2013   HORA: 09:25	9	26/08/2013   HORA: 09:30	1	2	88	 	0	 	 	 	 	 	1	5	1	1	1	1995	26/08/2013   HORA: 09:50	6	1	1	0	0	0	0	0	1	24	7	1	0	1	1	6	9	10	25/08/2013   HORA: 14:16	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	MARCAVELICA	1	1	0	 	 	25/08/2013   HORA: 14:23	26/08/2013
203	20	1	0	24/08/2013	6	8	9	29/08/2013  HORA: 08:30	3800	1	30000	20	6	88	 	30	6	88	 	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29/08/2013   HORA: 14:20	6	8	9	29/08/2013   HORA: 14:21	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	9	0	 	0	 	0	 	0	 	0	 	0	 	0	 	29/08/2013   HORA:14:30	6	10	88	29/08/2013   HORA: 14:31	29/08/2013   HORA: 14:40	1	2	6	24/08/2013  HORA: 11:40	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	01/09/2013   HORA: 14:40	6	10	88	01/09/2013  HORA: 14:41	1200	1700	750	1500	-88	01/09/2013   HORA:14:50	3	4	12	11	88	88	88	88	88	88	23/08/2013  HORA: 13:00	ARROZ	2	 	 	01/09/2013   HORA: 15:00	7	88	88	29/08/2013   HORA: 13:15	0	 	29/08/2013   HORA: 15:20	7	29/08/2013   HORA: 13:20	5	6	-88	1	0	0	0	0	1	1	-88	0	0	1	0	1	0	0	0	1	0	0	0	1955	1	1	0	 	1	1	0	 	0	 	1	0	0	0	1	0	0	0	1	29/08/2013   HORA: 13:40	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	24/08/2013   HORA: 12:00	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	24/08/2013  HORA: 12:02	1	24/08/2013   HORA: 12:03	1	1	2	88	0	 	 	 	 	 	1	6	1	1	1	-77	24/08/2013   HORA: 12:17	4	2	1	0	0	0	0	1	1	4	2	2	0	1	1	8	9	88	01/09/2013   HORA: 15:08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	MARCAVELICA	1	1	0	 	 	01/09/2013  HORA: 15:30	01/09/2013
204	20	2	0	26/08/2013	4	88	88	27/08/2013   HORA:10:25	6000	1	30000	15	6	88	 	20	6	88	 	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27/08/2013   HORA: 12:59	4	5	88	27/08/2013   HORA: 13:00	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	9	1	9	1	7	0	 	0	 	0	 	0	 	0	 	27/08/2013   HORA: 13:06	4	88	88	27/08/2013   HORA: 13:07	27/08/2013   HORA: 13:16	2	4	88	27/08/2013   HORA: 09:31	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	27/08/2013   HORA: 13:20	5	88	88	31/08/2013   HORA:12:23	800	1200	780	1450	-88	31/08/2013   HORA: 12:34	6	1	7	8	88	88	88	88	88	88	26/08/2013    HORA: 10:00	ARROZ	1,5	 	 	31/08/2013   HORA: 12:42	2	88	88	27/08/2013   HORA: 09:24	0	 	27/08/2013   HORA:  09:31	2	27/08/2013   HORA: 09:38	5	5	4	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1975	1	1	1	1	1	1	0	 	1	1	1	1	0	1	0	0	1	0	1	27/08/2013    HORA: 10:02	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	27/08/2013   HORA: 11:14	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	27/08/2013   HORA:11:19	3	27/08/2013   HORA: 11:20	1	1	2	88	0	 	 	 	 	 	1	4	1	1	1	1982	27/08/2013   HORA: 11:28	4	1	1	0	0	0	1	0	1	2	1	1	0	1	1	2	5	88	27/08/2014  HORA: 10:03	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	MARCAVELICA	1	1	0	 	 	31/08/2013   HORA: 12:49	31/08/2013
205	20	2	0	27/08/2013	7	9	10	27/08/2013   HORA. 12:20	10000	1	12000	5	6	88	 	15	6	88	 	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	27/08/2013   HORA: 13:26	7	10	10	27/08/2013   HORA: 13:27	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	15	1	15	1	9	1	9	1	11	0	 	0	 	0	 	27/08/2013   HORA:13:45	7	88	88	27/08/2013   HORA: 13:46	27/08/2013   HORA: 13:54	1	2	7	27/08/2013   HORA: 09:26	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	27/05/2013   HORA: 14:02	7	88	88	27/08/2013   HORA: 14:01	1200	1500	2200	2500	-88	27/08/2013   HORA: 14:06	3	4	5	6	88	88	88	88	88	88	27/08/2013   HORA: 10:00	ARROZ	1	 	 	31/08/2013   HORA: 10:53	1	88	88	27/08/2013   HORA: 09: 28	1	2	27/08/2013  HORA: 09:38	1	27/08/2013   HORA: 09:39	6	7	5	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1987	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	27/08/2013   HORA: 10:00	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	27/08/2013    HORA: 10:23	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	27/08/2013   HORA: 10:26	2	27/08/2013   HORA: 10:27	1	2	88	 	1	1	0	0	0	0	1	3	1	0	0	1983	27/08/2013   HORA: 10:38	6	1	0	1	1	1	1	0	1	24	7	2	0	1	1	8	11	88	31/08/2013   HORA: 10:54	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	 	1	1	0	 	 	31/08/2013   HORA: 10:53	31/08/2013
301	20	3	0	13/09/2013	3	88	88	13/09/2013   HORA: 15:52	350	1	-77	120	1	88	 	420	8	1	88	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	13/08/2013   HORA: 16:18	3	88	88	13/09/2013   HORA: 16:17	0	0	1	1	1	1	0	0	0	1	1	0	0	1	0	1	5	0	 	0	 	0	 	0	 	0	 	0	 	0	 	13/09/2013   HORA: 14:25	3	88	88	13/09/2013   HORA: 16:24	13/09/2013   HORA: 16:32	3	1	4	13/09/2013   HORA: 16:32	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	13/09/2013   HORA: 16:36	3	88	88	13/09/2013   HORA: 16:37	1200	1700	900	1200	-88	13/09/2013   HORA: 16:45	5	2	6	7	88	88	88	88	88	88	13/09/2013   HORA:14:00	MAIZ BLANCO	5	 	 	13/09/2013   HORA: 16:55	1	88	88	13/09/2013   HORA: 08:52	1	1	13/09/2013   HORA: 08:55	1	13/09/2013   HORA: 08:40	5	5	-88	1	0	0	0	0	1	1	-88	0	1	1	0	1	0	0	0	1	0	0	0	1970	1	1	0	 	0	 	0	 	0	 	1	1	1	0	1	0	0	0	0	13/09/2013   HORA: 08:52	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	12/09/2013   HORA: 12:08	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	12/09/2013   HORA: 12:13	4	12/09/2013   HORA: 12:14	1	1	2	88	1	0	0	0	1	0	1	5	1	1	1	2000	12/09/2013   HORA: 12:41	4	2	1	1	0	0	0	0	1	3	7	2	0	1	1	3	88	88	13/09/2013   HORA: 16:56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	CHALACO	1	0	0	 	 	13/09/2013   HORA: 17:05	13/09/2013
