PLACEID	NGOSIDR4	FNCNGO
101	1	11
205	1	15
205	2	15
308	1	15
308	2	15
310	1	15
314	1	15
403	1	15
512	1	15
601	1	15
602	1	15
602	2	15
602	3	15
701	1	15
802	1	15
904	1	6
1202	1	5
1203	1	8
1203	2	6
1302	1	7
1302	2	7
1302	3	15
1302	4	15
1303	1	6
1304	1	6
1304	2	6
1304	3	6
1304	4	6
1403	1	6
1403	2	6
1403	3	6
1403	4	6
1505	1	15
1505	2	13
1509	1	7
1601	1	88
1602	1	6
1602	2	6
1603	1	88
1604	1	88
1605	1	88
1606	1	15
1607	1	88
1608	1	10
1701	1	88
1702	1	88
1703	1	15
1705	1	88
1705	2	88
1706	1	79
1708	1	88
1710	1	88
1711	1	88
1801	1	88
1802	1	88
1803	1	88
1804	1	88
1807	1	6
1904	1	14
2003	1	6
8002	1	15
8002	2	15
8002	3	15
8002	4	15
8003	1	15
8004	1	12
8006	1	13
8007	1	6
8007	2	5
8008	1	8
8008	2	8
8008	3	8
8008	4	8
8010	1	7
8011	1	15
8012	1	6
8017	1	7
8017	2	7
8019	1	15
8019	2	15
8019	3	15
8020	1	6
8021	1	88
8025	1	15
8026	1	15
8026	2	8
8026	3	6
8027	1	15
