PLACEID	DWAGIDR4	EARNMALE	MMON	EARNFMLE	FMON	EARNCHLD	CMON
101	1	50	0	-11	88	-77	88
101	2	35	0	-11	88	-11	88
101	3	100	0	-11	88	-11	88
102	1	30	0	25	0	-11	88
102	2	-11	88	-11	88	-11	88
102	3	-88	88	-88	88	-88	88
201	1	25	0	25	0	-11	88
201	2	25	0	25	0	-11	88
201	3	-88	88	-88	88	-88	88
202	1	25	0	25	0	-11	88
202	2	-11	88	-11	88	-11	88
202	3	-88	88	-88	88	-88	88
203	1	20	0	15	0	10	0
203	2	-11	88	-11	88	-11	88
203	3	-88	88	-88	88	-88	88
204	1	20	0	15	0	-11	0
204	2	-11	88	-11	88	-11	88
204	3	-88	88	-88	88	-88	88
205	1	25	0	25	0	-11	88
205	2	-11	88	-11	88	-11	88
205	3	-11	88	-11	88	-11	88
301	1	10	6	10	6	5	6
301	2	-11	88	-11	88	-11	88
301	3	-88	88	-88	88	-88	88
304	1	25	0	20	0	-11	88
304	2	-88	88	-88	88	-88	88
304	3	-88	88	-88	88	-88	88
305	1	20	0	20	0	-11	88
305	2	-11	88	-11	88	-11	88
305	3	-88	88	-88	88	-88	88
306	1	10	6	10	6	-11	88
306	2	10	6	10	6	-11	88
306	3	-88	88	-88	88	-88	88
307	1	20	0	20	0	-11	88
307	2	-11	88	-11	88	-11	88
307	3	-88	88	-88	88	-88	88
308	1	10	6	10	6	-11	88
308	2	5	0	5	1	-11	88
308	3	-88	88	-88	88	-88	88
309	1	20	0	-11	88	-11	88
309	2	-88	88	-88	88	-88	88
309	3	-88	88	-88	88	-88	88
310	1	10	6	10	6	-11	88
310	2	-11	88	-11	88	-11	88
310	3	-88	88	-88	88	-88	88
311	1	10	6	-11	88	-11	88
311	2	-11	88	-11	88	-11	88
311	3	-88	88	-88	88	-88	88
312	1	10	6	-11	88	-11	88
312	2	-11	88	-11	88	-11	88
312	3	-88	88	-88	88	-88	88
313	1	20	88	-11	88	-11	88
313	2	-11	88	-11	88	-11	88
313	3	-11	88	-11	88	-11	88
314	1	10	6	-11	88	-11	88
314	2	-88	88	-88	88	-88	88
314	3	-88	88	-88	88	-88	88
401	1	25	2	20	2	-11	88
401	2	-11	88	-11	88	-11	88
401	3	-88	88	-88	88	-88	88
402	1	25	2	15	2	-11	88
402	2	-11	88	-11	88	-11	88
402	3	-88	88	-88	88	-88	88
403	1	20	6	15	6	5	6
403	2	-11	88	-11	88	-11	88
403	3	-88	88	-88	88	-88	88
404	1	20	2	20	2	-11	88
404	2	-11	88	-11	88	-11	88
404	3	-88	88	-88	88	-88	88
405	1	20	6	20	6	15	6
405	2	-11	88	-11	88	-11	88
405	3	-88	88	-88	88	-88	88
406	1	20	2	15	2	-11	88
406	2	-11	88	-11	88	-11	88
406	3	-88	88	-88	88	-88	88
408	1	20	6	20	6	-11	88
408	2	-11	88	-11	88	-11	88
408	3	-88	88	-11	88	-11	88
501	1	20	0	20	0	-11	88
501	2	-11	88	-11	88	-11	88
501	3	-11	88	-88	88	-88	88
503	1	20	0	20	0	-11	88
