PLACEID	RSID	AGERES	SEXRES	CAPAC
101	1	61	1	2
101	2	34	2	2
101	3	31	2	2
101	4	35	1	2
101	5	33	2	2
101	6	28	2	2
101	7	55	1	4
101	8	34	1	7
101	9	50	2	3
101	10	37	1	2
101	11	41	1	1
101	12	28	2	3
101	13	43	1	3
101	14	45	1	3
101	15	35	1	7
101	16	26	2	7
101	17	32	1	7
101	18	23	2	7
101	19	42	2	7
101	20	31	2	7
101	21	42	2	7
101	22	30	1	7
101	23	28	1	7
101	24	33	2	7
101	25	40	1	7
101	26	39	1	7
101	27	22	2	7
101	28	23	2	7
101	29	34	2	7
102	1	45	1	3
102	2	34	1	2
102	3	56	1	2
102	4	45	2	7
102	5	43	1	7
102	6	35	2	7
102	7	41	1	7
102	8	29	2	7
102	9	45	2	7
102	10	47	2	7
102	11	22	2	7
102	12	35	1	7
102	13	20	2	7
102	14	30	2	7
102	15	24	1	7
102	16	-79	1	88
102	17	-79	1	7
102	18	43	2	7
102	19	38	2	7
102	20	43	1	7
102	21	38	2	8
102	22	30	2	8
102	23	44	2	4
201	1	48	1	4
201	2	51	2	3
201	3	63	1	9
201	4	24	1	10
201	5	34	2	7
201	6	46	2	7
201	7	48	2	3
202	1	48	2	4
202	2	44	1	9
202	3	35	1	8
202	4	33	2	7
202	5	58	2	7
202	6	64	1	9
202	7	40	2	8
202	8	42	1	10
202	9	38	2	8
202	10	27	1	3
202	11	51	1	8
203	1	31	2	3
203	2	36	1	3
203	3	48	2	3
203	4	50	2	10
203	5	33	2	7
203	6	51	1	9
203	7	54	2	4
203	8	58	2	9
203	9	39	2	9
203	10	44	1	9
203	11	40	1	7
203	12	33	2	7
204	1	39	1	3
204	2	63	2	4
204	3	36	1	3
204	4	40	1	9
204	5	67	2	9
204	6	53	2	7
204	7	45	1	88
204	8	33	1	5
205	1	52	1	4
205	2	41	1	3
205	3	47	2	7
205	4	36	2	7
205	5	26	2	10
205	6	33	2	3
205	7	67	1	9
205	8	61	1	8
205	9	49	1	9
205	10	66	1	9
205	11	53	2	8
205	12	35	2	8
301	1	33	2	4
301	2	45	2	7
301	3	31	1	9
301	4	27	1	3
301	5	28	2	3
301	6	24	2	3
301	7	35	1	7
304	1	42	2	3
304	2	50	2	4
304	3	54	2	4
304	4	34	1	4
304	5	25	2	7
304	6	44	2	7
305	1	37	1	9
305	2	32	2	4
305	3	46	1	9
305	4	40	2	7
305	5	29	2	3
305	6	42	1	7
305	7	24	2	3
305	8	48	1	4
306	1	34	1	4
306	2	62	1	4
306	3	57	2	7
306	4	24	2	3
306	5	30	2	3
306	6	40	2	7
307	1	54	2	4
307	2	33	1	9
307	3	30	2	7
307	4	61	1	4
307	5	30	2	3
307	6	24	2	3
307	7	40	2	7
307	8	55	1	7
308	1	34	1	9
308	2	53	2	4
308	3	61	1	4
308	4	24	2	3
308	5	30	2	3
308	6	40	1	2
308	7	40	2	7
308	8	38	1	7
308	9	52	2	7
308	10	34	2	2
309	1	60	1	4
309	2	50	1	8
309	3	22	2	3
309	4	31	1	3
309	5	38	1	4
309	6	53	1	4
309	7	30	1	9
309	8	39	1	7
309	9	64	1	7
309	10	38	1	9
310	1	29	2	3
310	2	45	1	9
310	3	28	1	9
310	4	49	2	4
310	5	49	1	7
310	6	40	2	7
311	1	52	1	4
311	2	32	1	9
311	3	43	1	9
311	4	27	1	3
311	5	28	2	3
311	6	24	2	3
311	7	45	2	7
311	8	47	2	7
312	1	51	1	9
312	2	66	1	9
312	3	38	1	10
312	4	65	1	9
312	5	53	1	4
312	6	24	1	4
312	7	40	2	7
312	8	35	2	7
312	9	48	2	7
312	10	47	2	7
312	11	24	2	3
312	12	45	2	7
312	13	30	2	3
313	1	64	1	9
313	2	53	2	9
313	3	49	1	9
313	4	40	2	7
313	5	35	2	7
313	6	48	2	7
313	7	47	2	7
313	8	45	2	7
313	9	24	2	3
313	10	53	1	4
313	11	61	1	4
313	12	30	2	3
314	1	40	1	9
314	2	39	2	9
314	3	35	1	9
314	4	40	2	7
314	5	35	2	7
314	6	48	2	7
314	7	47	2	7
314	8	45	2	7
314	9	24	2	7
314	10	53	1	4
314	11	61	1	4
314	12	30	2	3
401	1	49	2	7
401	2	50	2	7
401	3	52	1	8
401	4	52	1	8
401	5	34	1	8
401	6	52	1	4
401	7	44	1	4
401	8	36	2	3
401	9	31	1	3
401	10	29	1	3
402	1	25	2	3
402	2	26	1	3
402	3	53	1	9
402	4	57	1	9
402	5	30	1	9
402	6	31	2	7
402	7	24	2	7
402	8	38	1	4
402	9	54	2	7
402	10	40	2	7
402	11	29	2	7
402	12	68	2	7
403	1	48	1	8
403	2	40	2	8
403	3	46	2	7
403	4	34	2	7
403	5	29	2	3
403	6	52	1	3
403	7	63	1	4
403	8	24	2	3
404	1	38	1	4
404	2	40	1	9
404	3	50	1	8
404	4	28	1	3
404	5	36	2	3
404	6	35	1	7
404	7	23	2	7
404	8	26	1	9
404	9	54	2	7
405	1	25	2	3
405	2	39	2	4
405	3	21	1	9
405	4	28	1	9
405	5	31	1	7
405	6	38	1	4
405	7	52	1	3
405	8	46	2	7
406	1	52	1	8
406	2	50	1	10
406	3	58	1	9
406	4	41	2	3
406	5	49	2	4
406	6	53	2	7
406	7	54	2	7
406	8	44	1	4
408	1	30	1	9
408	2	37	1	9
408	3	38	1	9
408	4	48	2	4
408	5	40	2	3
408	6	42	2	7
408	7	40	1	7
408	8	52	1	7
408	9	54	2	7
408	10	38	1	4
501	1	26	1	3
501	2	31	2	3
501	3	44	1	4
501	4	48	1	8
501	5	33	2	8
501	6	39	1	7
501	7	44	2	7
501	8	39	2	7
501	9	29	1	7
503	1	42	1	4
503	2	34	1	3
503	3	40	1	1
503	4	53	1	7
503	5	39	2	7
503	6	42	2	7
504	1	39	1	8
504	2	47	1	4
504	3	25	2	8
504	4	28	2	8
504	5	24	2	3
504	6	34	1	3
504	7	39	2	7
504	8	68	2	7
504	9	31	1	7
505	1	34	2	4
505	2	27	2	7
505	3	52	1	9
505	4	53	1	9
505	5	32	2	7
505	6	64	1	4
505	7	22	2	7
505	8	40	2	3
505	9	42	1	3
507	1	25	1	9
507	2	60	2	7
507	3	34	1	7
507	4	41	1	4
507	5	24	2	3
507	6	21	2	7
507	7	45	1	4
508	1	27	1	9
508	2	36	1	9
508	3	57	1	4
508	4	29	2	3
508	5	45	1	4
508	6	50	2	3
508	7	23	2	7
508	8	48	1	7
508	9	40	2	7
508	10	37	2	7
509	1	62	1	9
509	2	28	1	8
509	3	52	1	4
509	4	63	2	7
509	5	50	2	7
509	6	46	1	7
509	7	23	1	7
509	8	40	2	7
509	9	37	2	7
509	10	32	1	4
509	11	29	2	8
510	1	47	2	4
510	2	47	2	7
510	3	40	2	7
510	4	29	2	3
510	5	45	1	4
510	6	60	1	9
510	7	21	2	7
510	8	42	2	7
511	1	59	1	4
511	2	18	2	7
511	3	28	2	7
511	4	37	1	9
511	5	34	1	3
512	1	40	2	8
512	2	42	2	3
512	3	50	2	7
512	4	32	1	8
512	5	45	1	4
512	6	49	1	8
512	7	42	2	7
512	8	21	2	7
512	9	43	2	7
512	10	53	1	7
512	11	39	2	7
512	12	64	1	4
601	1	56	2	3
601	2	30	1	7
601	3	50	1	8
601	4	56	2	3
601	5	44	2	3
601	6	59	1	4
601	7	38	2	7
601	8	25	2	7
601	9	38	1	7
601	10	41	1	7
601	11	35	2	7
601	12	23	2	7
601	13	42	1	7
601	14	27	2	7
602	1	41	1	8
602	2	56	1	8
602	3	46	1	8
602	4	48	2	7
