PLACEID	EDAVIDR4	EDCURAVL	EDHOWLNG	EDTRSNPT
101	1	1	 	 
101	2	1	 	 
101	3	1	 	 
101	4	1	 	 
101	5	0	300	8
101	6	1	 	 
101	7	1	 	 
101	8	0	300	8
101	9	1	 	 
101	10	1	 	 
101	11	1	 	 
101	12	0	300	8
101	13	1	 	 
101	14	1	 	 
101	15	1	 	 
101	17	1	 	 
101	18	1	 	 
101	19	88	 	 
101	20	1	 	 
101	21	1	 	 
101	22	1	 	 
101	63	1	 	 
102	1	1	 	 
102	2	1	 	 
102	3	1	 	 
102	4	1	 	 
102	5	3	 	 
102	6	1	 	 
102	7	1	 	 
102	8	3	 	 
102	9	3	 	 
102	10	1	 	 
102	11	1	 	 
102	12	3	 	 
102	13	3	 	 
102	14	1	 	 
102	15	1	 	 
102	17	1	 	 
102	18	0	8	6
102	19	1	 	 
102	20	1	 	 
102	21	1	 	 
102	22	1	 	 
102	63	1	 	 
201	1	0	35	6
201	2	1	 	 
201	3	1	 	 
201	4	1	 	 
201	5	0	35	6
201	6	0	35	6
201	7	1	 	 
201	8	0	35	6
201	9	0	35	6
201	10	0	25	6
201	11	1	 	 
201	12	0	35	6
201	13	0	35	6
201	14	0	25	6
201	15	0	35	6
201	17	0	35	6
201	18	0	35	6
201	19	88	 	 
201	20	0	35	6
201	21	0	35	6
201	22	0	35	6
201	63	0	35	6
202	1	0	15	6
202	2	0	15	6
202	3	0	15	6
202	4	1	 	 
202	5	0	15	6
202	6	0	15	6
202	7	1	 	 
202	8	0	15	6
202	9	0	15	6
202	10	0	10	6
202	11	1	 	 
202	12	0	15	6
202	13	0	15	6
202	14	0	10	6
202	15	1	 	 
202	17	0	15	6
202	18	0	15	6
202	19	88	 	 
202	20	0	15	6
202	21	0	15	6
202	22	0	15	6
202	63	0	15	6
203	1	0	15	6
203	2	0	20	6
203	3	1	 	 
203	4	1	 	 
203	5	0	20	6
203	6	0	15	6
203	7	1	 	 
203	8	0	20	6
203	9	0	20	6
203	10	0	10	6
203	11	1	 	 
203	12	0	20	6
203	13	0	20	6
203	14	0	10	6
203	15	0	20	6
203	17	0	15	6
203	18	0	15	6
203	19	88	 	 
203	20	0	20	6
203	21	0	20	6
203	22	0	20	6
203	63	0	20	6
204	1	0	30	6
204	2	0	30	6
204	3	1	 	 
204	4	1	 	 
204	5	0	60	6
204	6	1	 	 
204	7	1	 	 
204	8	0	60	6
204	9	0	30	6
204	10	0	15	6
204	11	1	 	 
204	12	0	60	6
204	13	0	30	6
204	14	0	15	6
204	15	0	10	6
204	17	0	30	6
204	18	0	30	6
204	19	88	 	 
204	20	0	30	6
204	21	0	30	6
204	22	0	30	6
204	63	0	30	6
205	1	0	20	6
205	2	1	 	 
205	3	1	 	 
205	4	0	20	6
205	5	1	 	 
205	6	1	 	 
205	7	1	 	 
205	8	0	20	6
205	9	0	20	6
205	10	1	 	 
205	11	1	 	 
205	12	0	20	6
205	13	0	20	6
205	14	1	 	 
205	15	0	15	6
205	17	0	20	6
205	18	0	20	6
205	19	88	 	 
205	20	1	 	 
205	21	0	60	6
205	22	0	20	6
205	63	0	20	6
301	1	1	 	 
301	2	0	-77	88
301	3	0	40	1
301	4	1	 	 
301	5	0	-77	88
301	6	0	300	8
301	7	1	 	 
301	8	0	-77	88
301	9	0	300	8
301	10	0	300	8
301	11	1	 	 
301	12	0	-77	88
301	13	0	360	8
301	14	0	300	8
301	15	0	210	8
301	17	0	300	8
301	18	0	360	8
301	19	88	 	 
301	20	0	300	8
301	21	0	360	8
301	22	0	-77	77
301	63	0	360	8
304	1	1	 	 
304	2	0	180	6
304	3	0	30	1
304	4	1	 	 
304	5	0	240	6
304	6	0	180	6
304	7	1	 	 
304	8	0	240	6
304	9	0	240	6
304	10	0	180	6
304	11	1	 	 
304	12	0	240	6
304	13	0	240	6
304	14	0	180	6
304	15	0	360	6
304	17	0	360	6
304	18	0	360	6
304	19	88	 	 
304	20	0	240	1
304	21	0	240	6
304	22	88	 	 
304	63	0	360	6
305	1	0	-77	88
305	2	0	-77	88
305	3	0	30	1
305	4	1	 	 
305	5	0	240	8
305	6	0	120	8
305	7	1	 	 
305	8	0	240	8
305	9	0	120	8
305	10	0	120	8
305	11	0	40	1
305	12	0	240	8
305	13	0	120	8
305	14	0	120	8
305	15	0	120	8
305	17	0	240	8
305	18	0	240	8
305	19	88	 	 
305	20	0	240	8
305	21	0	240	8
305	22	1	 	 
305	63	0	240	8
306	1	0	90	1
306	2	0	180	8
306	3	0	90	1
306	4	1	 	 
306	5	0	-77	88
306	6	0	180	8
306	7	1	 	 
306	8	0	-77	88
306	9	0	180	8
306	10	0	180	8
306	11	0	20	1
306	12	0	-77	88
306	13	0	180	88
306	14	0	180	88
306	15	0	180	8
306	17	0	180	8
306	18	0	180	8
306	19	88	 	 
306	20	0	90	1
306	21	0	180	8
306	22	0	90	1
306	63	0	180	8
307	1	0	-77	88
307	2	0	-77	88
307	3	0	60	1
307	4	1	 	 
307	5	0	360	8
307	6	0	360	8
307	7	1	 	 
307	8	0	360	8
307	9	0	240	8
307	10	0	240	8
307	11	0	30	1
307	12	0	360	8
307	13	0	240	8
307	14	0	240	8
307	15	0	120	8
307	17	0	360	8
307	18	0	120	8
307	19	88	 	 
307	20	0	30	1
307	21	0	360	8
307	22	1	 	 
307	63	0	360	8
308	1	1	 	 
308	2	0	-77	88
308	3	1	 	 
308	4	1	 	 
308	5	0	240	8
308	6	0	180	8
308	7	1	 	 
308	8	0	240	8
308	9	0	180	8
308	10	0	180	8
308	11	1	 	 
308	12	0	240	8
308	13	0	180	8
308	14	0	180	8
308	15	0	240	8
308	17	0	60	8
308	18	0	240	8
308	19	1	 	 
308	20	1	 	 
308	21	0	180	8
308	22	1	 	 
308	63	0	180	8
309	1	0	120	6
309	2	0	120	6
309	3	0	60	1
309	4	1	 	 
309	5	0	360	8
309	6	0	360	8
309	7	1	 	 
309	8	0	360	8
309	9	0	240	8
309	10	0	360	8
309	11	1	 	 
309	12	0	360	8
309	13	0	360	8
309	14	0	120	8
309	15	0	120	8
309	17	0	240	8
309	18	0	360	8
309	19	88	 	 
309	20	0	120	8
309	21	0	360	8
309	22	0	120	6
309	63	0	240	8
310	1	0	-77	88
310	2	0	300	8
310	3	0	60	1
310	4	1	 	 
310	5	0	300	8
310	6	0	300	8
310	7	1	 	 
310	8	0	300	8
310	9	0	300	8
310	10	0	300	8
310	11	0	60	1
310	12	0	300	8
310	13	0	300	8
310	14	0	300	8
310	15	0	120	8
310	17	0	300	8
310	18	0	120	8
310	19	88	 	 
310	20	0	60	1
310	21	0	300	8
310	22	0	-77	88
310	63	0	300	8
311	1	1	 	 
311	2	0	120	1
311	3	0	40	1
311	4	1	 	 
311	5	0	-77	88
311	6	0	360	8
311	7	1	 	 
311	8	0	-77	88
311	9	0	360	8
311	10	0	360	8
311	11	0	25	1
311	12	0	-77	88
311	13	0	360	8
311	14	0	360	8
311	15	0	240	8
311	17	0	360	8
311	18	0	360	8
311	19	88	 	 
311	20	0	120	1
311	21	0	360	8
311	22	1	 	 
311	63	0	360	8
312	1	1	 	 
312	2	0	180	8
312	3	0	60	1
312	4	1	 	 
312	5	0	240	8
312	6	0	180	8
312	7	0	15	1
312	8	0	240	8
