PLACEID	PRLDIDR4	AVLNDPRC	MNLNDPRC	MXLDNPRC
101	1	-77	70000	120000
101	2	-77	25000	50000
101	3	-77	21	73
102	1	70000	 	 
102	2	40000	 	 
102	3	40	 	 
201	1	45000	 	 
201	2	40000	 	 
201	3	-88	 	 
202	1	60000	 	 
202	2	10000	 	 
202	3	50	 	 
203	1	75000	 	 
203	2	30000	 	 
203	3	40	 	 
204	1	60000	 	 
204	2	-88	 	 
204	3	-77	20	60
205	1	30000	 	 
205	2	15000	 	 
205	3	200	 	 
301	1	20000	 	 
301	2	10000	 	 
301	3	33	 	 
304	1	20000	 	 
304	2	10000	 	 
304	3	10	 	 
305	1	15000	 	 
305	2	7000	 	 
305	3	-77	10	13
306	1	25000	 	 
306	2	8000	 	 
306	3	20	 	 
307	1	15000	 	 
307	2	7000	 	 
307	3	14	 	 
308	1	2000	 	 
308	2	1000	 	 
308	3	40	 	 
309	1	20000	 	 
309	2	10000	 	 
309	3	16	 	 
310	1	14000	 	 
310	2	5000	 	 
310	3	7	 	 
311	1	20000	 	 
311	2	10000	 	 
311	3	33	 	 
312	1	20000	 	 
312	2	10000	 	 
312	3	200	 	 
313	1	10000	 	 
313	2	5000	 	 
313	3	100	 	 
314	1	20000	 	 
314	2	6000	 	 
314	3	40	 	 
401	1	-88	 	 
401	2	-77	6000	8000
401	3	20	 	 
402	1	-88	 	 
402	2	-88	 	 
402	3	100	 	 
403	1	-88	 	 
403	2	3000	 	 
403	3	30	 	 
404	1	-88	 	 
404	2	-77	10000	20000
404	3	20	 	 
405	1	-88	 	 
405	2	8000	 	 
405	3	-77	15	20
406	1	-88	 	 
406	2	2000	 	 
406	3	40	 	 
408	1	-88	 	 
408	2	15000	 	 
408	3	10	 	 
501	1	-88	 	 
501	2	4000	 	 
501	3	20	 	 
503	1	-88	 	 
503	2	5000	 	 
503	3	25	 	 
504	1	-88	 	 
504	2	10000	 	 
504	3	50	 	 
505	1	-88	 	 
505	2	-77	1500	5000
505	3	6	 	 
507	1	50000	 	 
