PLACEID	PLPRIDR4	PROBLOCL	PRBAFCT	PRB3YRS
101	1	1	2	1
101	2	1	2	1
101	3	1	2	1
101	4	1	2	1
101	5	1	2	1
101	6	1	2	1
101	7	1	2	1
101	8	1	2	1
101	9	1	1	2
101	10	1	1	2
101	11	1	2	2
101	12	1	2	2
101	13	1	2	1
101	14	1	2	1
101	15	1	2	1
102	1	0	 	 
102	2	0	 	 
102	3	1	1	3
102	4	0	 	 
102	5	1	1	3
102	6	1	1	3
102	7	0	 	 
102	8	1	2	3
102	9	0	 	 
102	10	0	 	 
102	11	1	1	3
102	12	1	2	3
102	13	1	2	3
102	14	1	1	3
102	15	1	1	3
201	1	0	 	 
201	2	0	 	 
201	3	0	 	 
201	4	0	 	 
201	5	1	1	4
201	6	0	 	 
201	7	0	 	 
201	8	1	2	2
201	9	1	1	2
201	10	0	 	 
201	11	0	 	 
201	12	1	1	3
201	13	0	 	 
201	14	1	2	1
201	15	0	 	 
202	1	0	 	 
202	2	0	 	 
202	3	0	 	 
202	4	0	 	 
202	5	1	2	3
202	6	1	2	3
202	7	0	 	 
202	8	1	2	3
202	9	1	1	3
202	10	0	 	 
202	11	0	 	 
202	12	1	2	3
202	13	0	 	 
202	14	0	 	 
202	15	0	 	 
203	1	0	 	 
203	2	0	 	 
203	3	0	 	 
203	4	0	 	 
203	5	0	 	 
203	6	1	1	1
203	7	0	 	 
203	8	1	1	2
203	9	0	 	 
203	10	1	1	4
203	11	0	 	 
203	12	0	 	 
203	13	0	 	 
203	14	0	 	 
203	15	0	 	 
204	1	0	 	 
204	2	0	 	 
204	3	0	 	 
204	4	0	 	 
204	5	0	 	 
204	6	1	1	2
204	7	0	 	 
204	8	1	2	2
204	9	0	 	 
204	10	0	 	 
204	11	0	 	 
204	12	0	 	 
204	13	0	 	 
204	14	1	1	3
204	15	1	1	2
205	1	0	 	 
205	2	0	 	 
205	3	0	 	 
205	4	0	 	 
205	5	0	 	 
205	6	1	2	3
205	7	0	 	 
205	8	1	2	3
205	9	0	 	 
205	10	1	2	3
205	11	1	1	3
205	12	1	2	3
205	13	1	2	3
205	14	1	2	3
205	15	0	 	 
301	1	0	 	 
301	2	0	 	 
301	3	1	2	3
301	4	1	2	3
301	5	0	 	 
301	6	1	1	1
301	7	0	 	 
301	8	1	2	1
301	9	0	 	 
301	10	0	 	 
301	11	0	 	 
301	12	1	2	3
301	13	0	 	 
301	14	1	1	3
301	15	0	 	 
304	1	0	 	 
304	2	0	 	 
304	3	0	 	 
304	4	0	 	 
304	5	0	 	 
304	6	1	2	3
304	7	0	 	 
304	8	1	2	1
304	9	1	2	3
304	10	0	 	 
304	11	0	 	 
304	12	1	2	3
304	13	0	 	 
304	14	0	 	 
304	15	0	 	 
305	1	0	 	 
305	2	0	 	 
305	3	0	 	 
305	4	0	 	 
305	5	0	 	 
305	6	0	 	 
305	7	0	 	 
305	8	0	 	 
305	9	1	2	1
305	10	0	 	 
305	11	0	 	 
305	12	0	 	 
305	13	0	 	 
305	14	1	1	3
305	15	0	 	 
306	1	0	 	 
306	2	0	 	 
306	3	1	2	3
306	4	0	 	 
306	5	0	 	 
306	6	1	1	3
306	7	0	 	 
306	8	1	2	3
306	9	0	 	 
306	10	0	 	 
306	11	0	 	 
306	12	1	2	3
306	13	0	 	 
306	14	0	 	 
306	15	0	 	 
307	1	0	 	 
307	2	0	 	 
307	3	0	 	 
307	4	0	 	 
307	5	0	 	 
307	6	0	 	 
307	7	0	 	 
307	8	0	 	 
307	9	0	 	 
307	10	0	 	 
307	11	0	 	 
307	12	1	2	4
307	13	0	 	 
307	14	0	 	 
307	15	0	 	 
308	1	0	 	 
308	2	0	 	 
308	3	0	 	 
308	4	1	2	1
308	5	0	 	 
308	6	0	 	 
308	7	0	 	 
308	8	1	2	1
308	9	0	 	 
308	10	0	 	 
308	11	0	 	 
308	12	1	2	1
308	13	0	 	 
308	14	1	2	3
308	15	0	 	 
309	1	0	 	 
309	2	0	 	 
309	3	0	 	 
309	4	0	 	 
309	5	0	 	 
309	6	0	 	 
309	7	0	 	 
309	8	1	1	1
309	9	1	2	3
309	10	0	 	 
309	11	0	 	 
309	12	0	 	 
309	13	0	 	 
309	14	0	 	 
309	15	1	1	3
310	1	0	 	 
310	2	0	 	 
310	3	0	 	 
310	4	1	2	3
310	5	0	 	 
310	6	1	1	3
310	7	0	 	 
310	8	1	1	2
310	9	0	 	 
310	10	0	 	 
310	11	0	 	 
310	12	1	1	3
310	13	0	 	 
310	14	1	1	3
310	15	0	 	 
311	1	0	 	 
311	2	0	 	 
311	3	0	 	 
311	4	1	2	2
311	5	0	 	 
311	6	0	 	 
311	7	0	 	 
311	8	1	2	2
311	9	0	 	 
311	10	0	 	 
311	11	0	 	 
311	12	0	 	 
311	13	0	 	 
311	14	1	1	2
311	15	0	 	 
312	1	0	 	 
312	2	0	 	 
312	3	0	 	 
312	4	0	 	 
312	5	0	 	 
312	6	0	 	 
312	7	0	 	 
312	8	1	2	2
312	9	1	2	2
312	10	0	 	 
312	11	1	2	3
312	12	1	2	2
312	13	0	 	 
312	14	1	2	1
312	15	0	 	 
313	1	0	 	 
313	2	0	 	 
313	3	0	 	 
313	4	0	 	 
313	5	0	 	 
313	6	0	 	 
313	7	0	 	 
313	8	1	2	2
313	9	1	2	1
313	10	0	 	 
313	11	0	 	 
313	12	1	2	1
313	13	0	 	 
313	14	0	 	 
313	15	0	 	 
314	1	0	 	 
314	2	0	 	 
314	3	0	 	 
314	4	0	 	 
314	5	0	 	 
314	6	0	 	 
314	7	0	 	 
314	8	1	1	1
314	9	1	2	2
314	10	0	 	 
314	11	1	2	3
314	12	1	2	3
314	13	0	 	 
314	14	1	2	3
314	15	0	 	 
401	1	0	 	 
401	2	0	 	 
401	3	0	 	 
401	4	0	 	 
401	5	0	 	 
401	6	1	2	2
401	7	0	 	 
401	8	1	2	2
401	9	0	 	 
401	10	0	 	 
401	11	0	 	 
401	12	0	 	 
401	13	0	 	 
401	14	0	 	 
401	15	0	 	 
402	1	0	 	 
402	2	0	 	 
402	3	1	2	2
402	4	1	2	2
402	5	0	 	 
402	6	0	 	 
402	7	0	 	 
402	8	1	2	3
402	9	0	 	 
402	10	0	 	 
402	11	0	 	 
402	12	0	 	 
402	13	0	 	 
402	14	1	1	2
402	15	0	 	 
403	1	0	 	 
403	2	0	 	 
403	3	0	 	 
403	4	0	 	 
403	5	0	 	 
403	6	1	2	2
403	7	0	 	 
403	8	1	2	1
403	9	0	 	 
403	10	0	 	 
403	11	0	 	 
403	12	1	2	2
403	13	0	 	 
403	14	1	2	1
403	15	0	 	 
404	1	0	 	 
404	2	0	 	 
404	3	0	 	 
404	4	0	 	 
404	5	0	 	 
404	6	0	 	 
404	7	0	 	 
